example_idx,split,target_color,template_name,bbox_shape,input_color_pos,true_missing,true_full_variant,compatible_variant_count,compatible_variants,ambiguity_kind
11,arc-gen,2,inner_diag,"(5, 5)","((0, 2), (2, 0), (2, 2), (2, 4), (3, 3), (4, 2))","((1, 1), (1, 3), (3, 1))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
12,arc-gen,8,inner_diag,"(5, 5)","((2, 2), (3, 3))","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
13,arc-gen,3,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
14,arc-gen,3,inner_diag,"(5, 5)","((1, 1),)","((1, 3), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
15,arc-gen,1,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
16,arc-gen,4,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
17,arc-gen,8,inner_diag,"(5, 5)","((0, 2), (1, 1), (2, 0), (2, 2), (2, 4), (4, 2))","((1, 3), (3, 1), (3, 3))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
18,arc-gen,8,corners,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
19,arc-gen,3,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
20,arc-gen,1,corners,"(5, 5)","((4, 0),)","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
21,arc-gen,1,corners,"(5, 5)","((0, 4), (1, 1), (1, 3), (3, 1), (3, 3))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
22,arc-gen,8,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
23,arc-gen,8,inner_diag,"(5, 5)","((3, 1),)","((1, 1), (1, 3), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
24,arc-gen,3,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
25,arc-gen,4,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
26,arc-gen,4,inner_diag,"(5, 5)","((0, 2), (2, 0), (2, 4), (3, 3), (4, 2))","((1, 1), (1, 3), (3, 1))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
27,arc-gen,3,corners,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
28,arc-gen,1,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
29,arc-gen,3,edge_mid,"(5, 5)","((2, 2), (4, 2))","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
30,arc-gen,2,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
31,arc-gen,8,corners,"(5, 5)","((0, 0),)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
32,arc-gen,4,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
33,arc-gen,2,edge_mid,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 2))","((0, 2), (2, 0), (2, 4))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
34,arc-gen,1,inner_diag,"(5, 5)","((2, 2), (3, 3))","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
35,arc-gen,1,inner_diag,"(5, 5)","((1, 3), (2, 2))","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
36,arc-gen,8,corners,"(5, 5)","((0, 0), (1, 1), (1, 3), (3, 1), (3, 3))","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
37,arc-gen,3,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
38,arc-gen,4,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
39,arc-gen,8,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
40,arc-gen,8,edge_mid,"(5, 5)","((0, 0), (0, 2), (0, 4), (4, 0), (4, 4))","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
41,arc-gen,8,corners,"(5, 5)","((0, 4), (2, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (2, 2), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
42,arc-gen,2,corners,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
43,arc-gen,4,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 0), (4, 0), (4, 4))","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
44,arc-gen,2,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
45,arc-gen,4,inner_diag,"(5, 5)","((0, 2), (2, 0), (2, 4), (3, 3), (4, 2))","((1, 1), (1, 3), (3, 1))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
46,arc-gen,2,corners,"(5, 5)","((0, 0),)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
47,arc-gen,4,edge_mid,"(5, 5)","((0, 2), (1, 1), (1, 3), (3, 1), (3, 3))","((2, 0), (2, 4), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
48,arc-gen,2,corners,"(5, 5)","((4, 0),)","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
49,arc-gen,8,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
50,arc-gen,4,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
51,arc-gen,4,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 0), (4, 0), (4, 4))","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
52,arc-gen,1,inner_diag,"(5, 5)","((1, 1),)","((1, 3), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
53,arc-gen,1,corners,"(5, 5)","((0, 4), (2, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (2, 2), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
54,arc-gen,1,edge_mid,"(5, 5)","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))","((0, 2), (2, 0), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
55,arc-gen,8,corners,"(5, 5)","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
56,arc-gen,1,inner_diag,"(5, 5)","((1, 1),)","((1, 3), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
57,arc-gen,3,inner_diag,"(5, 5)","((0, 0), (0, 4), (2, 2), (3, 3), (4, 0), (4, 4))","((1, 1), (1, 3), (3, 1))","((0, 0), (0, 4), (1, 1), (1, 3), (2, 2), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
58,arc-gen,2,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
59,arc-gen,4,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
60,arc-gen,8,corners,"(5, 5)","((0, 0), (0, 2), (2, 0), (2, 4), (4, 2))","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
61,arc-gen,3,edge_mid,"(5, 5)","((0, 2), (1, 1), (1, 3), (3, 1), (3, 3))","((2, 0), (2, 4), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
62,arc-gen,3,inner_diag,"(5, 5)","((2, 2), (3, 1))","((1, 1), (1, 3), (3, 3))","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
63,arc-gen,4,corners,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
64,arc-gen,1,corners,"(5, 5)","((0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
65,arc-gen,1,corners,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 4))","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
66,arc-gen,8,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
67,arc-gen,4,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
68,arc-gen,3,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
69,arc-gen,1,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
70,arc-gen,3,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
71,arc-gen,3,inner_diag,"(5, 5)","((3, 1),)","((1, 1), (1, 3), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
72,arc-gen,2,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 3), (4, 0), (4, 4))","((1, 1), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
73,arc-gen,8,inner_diag,"(5, 5)","((0, 0), (0, 4), (3, 3), (4, 0), (4, 4))","((1, 1), (1, 3), (3, 1))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
74,arc-gen,3,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 3), (4, 0), (4, 4))","((1, 1), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
75,arc-gen,8,corners,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
76,arc-gen,3,inner_diag,"(5, 5)","((3, 1),)","((1, 1), (1, 3), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
77,arc-gen,8,inner_diag,"(5, 5)","((1, 3),)","((1, 1), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
78,arc-gen,1,edge_mid,"(5, 5)","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3), (4, 2))","((0, 2), (2, 0), (2, 4))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
79,arc-gen,8,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
80,arc-gen,2,inner_diag,"(5, 5)","((0, 0), (0, 4), (3, 1), (4, 0), (4, 4))","((1, 1), (1, 3), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
81,arc-gen,4,edge_mid,"(5, 5)","((0, 0), (0, 4), (4, 0), (4, 2), (4, 4))","((0, 2), (2, 0), (2, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
82,arc-gen,8,inner_diag,"(5, 5)","((3, 3),)","((1, 1), (1, 3), (3, 1))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
83,arc-gen,8,edge_mid,"(5, 5)","((1, 1), (1, 3), (2, 0), (3, 1), (3, 3))","((0, 2), (2, 4), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
84,arc-gen,1,corners,"(5, 5)","((0, 0), (0, 2), (2, 0), (2, 4), (4, 2))","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
85,arc-gen,1,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
86,arc-gen,8,corners,"(5, 5)","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2))","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
87,arc-gen,3,edge_mid,"(5, 5)","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))","((0, 2), (2, 0), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
88,arc-gen,1,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
89,arc-gen,2,edge_mid,"(5, 5)","((2, 0), (2, 2))","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
90,arc-gen,4,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
91,arc-gen,1,edge_mid,"(5, 5)","((1, 1), (1, 3), (3, 1), (3, 3), (4, 2))","((0, 2), (2, 0), (2, 4))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
92,arc-gen,8,edge_mid,"(5, 5)","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))","((0, 2), (2, 0), (4, 2))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
93,arc-gen,3,corners,"(5, 5)","((4, 4),)","((0, 0), (0, 4), (4, 0))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 0))]",unique_orientation
94,arc-gen,3,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
95,arc-gen,2,edge_mid,"(5, 5)","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 2), (0, 4), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
96,arc-gen,4,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
97,arc-gen,4,corners,"(5, 5)","((0, 4),)","((0, 0), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (4, 0), (4, 4))]",unique_orientation
98,arc-gen,2,corners,"(5, 5)","((0, 0),)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
99,arc-gen,4,inner_diag,"(5, 5)","((0, 2), (2, 0), (2, 4), (3, 3), (4, 2))","((1, 1), (1, 3), (3, 1))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 1), (1, 3), (3, 1))]",unique_orientation
100,arc-gen,2,edge_mid,"(5, 5)","((2, 0),)","((0, 2), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 4), (4, 2))]",unique_orientation
101,arc-gen,8,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
102,arc-gen,3,edge_mid,"(5, 5)","((2, 4),)","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
103,arc-gen,4,inner_diag,"(5, 5)","((0, 0), (0, 4), (3, 1), (4, 0), (4, 4))","((1, 1), (1, 3), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 1), (1, 3), (3, 3))]",unique_orientation
104,arc-gen,2,edge_mid,"(5, 5)","((2, 2), (2, 4))","((0, 2), (2, 0), (4, 2))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (4, 2))]",unique_orientation
105,arc-gen,1,corners,"(5, 5)","((4, 0),)","((0, 0), (0, 4), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 0), (0, 4), (4, 4))]",unique_orientation
