idx,out_color,binary,colorized,features
21,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 3, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 4, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 5}"
22,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 8, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0}"
23,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 9, 'bbox_br': 7, 'bbox_center': 0}"
24,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 5, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 5, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 4}"
25,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 9, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 9, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 1}"
26,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 7, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 2, 'bbox_center': 6}"
27,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
28,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 7, 'bbox_br': 9, 'bbox_center': 0}"
29,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 4}"
30,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 3, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 7, 'bbox_center': 6}"
31,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 8, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 9, 'bbox_center': 1}"
32,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 7, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 6, 'bbox_br': 9, 'bbox_center': 9}"
33,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
34,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 8, 'bbox_bl': 6, 'bbox_br': 9, 'bbox_center': 0}"
35,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 1, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 8, 'bbox_center': 3}"
36,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 7, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 9, 'bbox_bl': 2, 'bbox_br': 9, 'bbox_center': 9}"
37,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 1, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 2, 'bbox_center': 5}"
38,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 9, 'bbox_br': 2, 'bbox_center': 0}"
39,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 5, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
40,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 2, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 4, 'bbox_br': 6, 'bbox_center': 6}"
41,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 2, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
42,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0}"
43,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 6, 'bbox_br': 9, 'bbox_center': 0}"
44,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 4, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 2}"
45,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 4, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 9, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 2}"
46,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
47,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 8, 'bbox_bl': 1, 'bbox_br': 5, 'bbox_center': 0}"
48,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 8, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0}"
49,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 3, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0}"
50,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 3, 'bbox_center': 0}"
51,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 2, 'bbox_br': 4, 'bbox_center': 0}"
52,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 5, 'bbox_br': 9, 'bbox_center': 0}"
53,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 9, 'bbox_bl': 1, 'bbox_br': 9, 'bbox_center': 0}"
54,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 1, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 4}"
55,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 9, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 7, 'bbox_center': 7}"
56,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 6, 'bbox_bl': 5, 'bbox_br': 5, 'bbox_center': 0}"
57,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
58,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 8, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
59,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 3, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 0}"
60,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 2, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 2, 'bbox_br': 7, 'bbox_center': 8}"
61,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 5, 'bbox_center': 0}"
62,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 2, 'bbox_center': 0}"
63,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 5, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 0}"
64,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 8, 'bbox_center': 0}"
65,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 7, 'bbox_bl': 1, 'bbox_br': 7, 'bbox_center': 0}"
66,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 5, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 4}"
67,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 3, 'bbox_br': 8, 'bbox_center': 0}"
68,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 4, 'least_nz': 7, 'mode_all': 0, 'center': 4, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 4, 'bbox_bl': 7, 'bbox_br': 2, 'bbox_center': 4}"
69,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 9, 'bbox_bl': 9, 'bbox_br': 6, 'bbox_center': 0}"
70,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 7, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 7, 'bbox_center': 8}"
71,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 8, 'bbox_br': 2, 'bbox_center': 0}"
72,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 3, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 7}"
73,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 4, 'bbox_center': 0}"
74,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 2, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 6, 'bbox_center': 1}"
75,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 1, 'mode_all': 0, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 2, 'bbox_center': 8}"
76,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 5, 'bbox_bl': 9, 'bbox_br': 5, 'bbox_center': 0}"
77,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 7, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 2, 'bbox_br': 7, 'bbox_center': 5}"
78,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 6, 'bbox_br': 2, 'bbox_center': 0}"
79,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 7, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 9, 'bbox_bl': 7, 'bbox_br': 1, 'bbox_center': 0}"
80,8,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 2, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 2, 'bbox_center': 0}"
81,9,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 3, 'least_nz': 5, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 3}"
82,5,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 8, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0}"
83,7,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 5, 'mode_all': 0, 'center': 5, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 1, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 5}"
84,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 8, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 8, 'bbox_bl': 6, 'bbox_br': 8, 'bbox_center': 0}"
85,6,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 1, 'least_nz': 7, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 1, 'bbox_bl': 7, 'bbox_br': 1, 'bbox_center': 1}"
86,2,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 0}"
87,4,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 9, 'least_nz': 5, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 6, 'bbox_bl': 6, 'bbox_br': 4, 'bbox_center': 0}"
88,3,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 6, 'bbox_tr': 6, 'bbox_bl': 2, 'bbox_br': 6, 'bbox_center': 0}"
89,1,"(1, 1, 1)","(1, 0, 0)","{'mode_nz': 6, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 6, 'bbox_br': 6, 'bbox_center': 0}"
