task_id,cost,points,priority_gain_if_cost_900,shape_pairs,same_shape_examples,avg_diff_pixels,avg_non_bg_pixels,avg_bbox_h,avg_bbox_w,route
383,128140,13.239121304806988,4.958483931868701,"(15, 17, 15, 17);(16, 18, 16, 18);(19, 13, 19, 13);(19, 18, 19, 18)",4,37.0,141.25,11.5,12.25,sparse_edit_or_object_completion
202,125720,13.258187509088495,4.939417727587193,"(13, 15, 13, 15);(14, 13, 14, 13);(14, 15, 14, 15);(15, 19, 15, 19);(17, 15, 17, 15)",5,14.4,131.0,14.6,14.2,sparse_edit_or_object_completion
5,117225,13.328149556042213,4.869455680633475,"(21, 21, 21, 21)",4,33.75,12.0,6.75,5.75,sparse_edit_or_object_completion
13,116882,13.3310798421544,4.866525394521288,"(7, 23, 7, 23);(10, 25, 10, 25);(11, 27, 11, 27);(22, 9, 22, 9);(24, 8, 24, 8)",5,61.6,2.0,7.2,4.6,same_shape_global_transform
18,114578,13.35098890724301,4.846616329432678,"(14, 15, 14, 15);(14, 18, 14, 18);(16, 14, 16, 14);(24, 19, 24, 19)",4,23.0,18.25,12.75,12.5,sparse_edit_or_object_completion
64,114153,13.354705067178468,4.84290016949722,"(9, 12, 9, 12);(10, 12, 10, 12);(14, 12, 14, 12);(14, 18, 14, 18);(19, 21, 19, 21)",5,7.8,25.0,10.8,10.6,sparse_edit_or_object_completion
358,113999,13.356055044591665,4.841550192084023,"(12, 11, 12, 11);(15, 14, 15, 14);(20, 20, 20, 20)",3,23.333,6.333,3.667,3.667,sparse_edit_or_object_completion
85,113178,13.36328292042622,4.834322316249468,"(8, 20, 8, 20);(8, 30, 8, 30);(11, 20, 11, 20)",3,13.333,87.0,8.0,21.667,sparse_edit_or_object_completion
205,112313,13.370955104619776,4.826650132055912,"(16, 17, 6, 8);(17, 23, 7, 6);(19, 17, 10, 8);(27, 23, 10, 9)",0,-1,299.25,19.75,20.0,crop_or_resize
110,109201,13.399054500239831,4.798550736435857,"(29, 29, 29, 29)",4,75.0,566.25,29.0,29.0,same_shape_global_transform
370,108296,13.407376502134378,4.79022873454131,"(12, 14, 12, 14);(12, 16, 12, 16);(13, 15, 13, 15);(18, 16, 18, 16)",4,11.5,8.75,4.0,4.5,sparse_edit_or_object_completion
382,107354,13.416112936092428,4.78149230058326,"(12, 12, 12, 12);(12, 17, 12, 17);(14, 10, 14, 10);(17, 12, 17, 12)",4,45.25,5.75,10.75,10.5,sparse_edit_or_object_completion
34,106316,13.425828929592994,4.771776307082694,"(9, 9, 9, 9)",5,21.6,4.0,2.0,2.0,sparse_edit_or_object_completion
187,105313,13.435307852707972,4.7622973839677165,"(22, 25, 22, 25);(23, 23, 23, 23);(24, 21, 24, 21)",4,423.75,109.5,21.0,22.25,same_shape_global_transform
204,104544,13.442636685599203,4.754968551076486,"(10, 10, 10, 10);(11, 11, 11, 11);(15, 15, 15, 15);(20, 20, 20, 20)",6,51.667,58.0,13.0,13.0,same_shape_global_transform
198,103821,13.449576458609688,4.748028778066001,"(19, 19, 19, 19);(24, 24, 24, 24);(27, 27, 27, 27);(29, 29, 29, 29)",4,447.0,179.75,24.75,24.75,same_shape_global_transform
216,103572,13.451977697992342,4.745627538683346,"(20, 20, 5, 6);(20, 20, 5, 17);(20, 20, 9, 9);(20, 20, 9, 10)",0,-1,174.0,19.25,19.0,crop_or_resize
284,102032,13.466958231444947,4.730647005230741,"(10, 13, 10, 13);(10, 18, 10, 18);(14, 10, 14, 10);(19, 9, 19, 9)",4,21.0,2.0,7.0,7.0,sparse_edit_or_object_completion
251,100580,13.481291290274044,4.716313946401645,"(8, 8, 8, 8);(9, 9, 9, 9);(12, 12, 12, 12)",4,13.0,30.25,8.5,7.5,sparse_edit_or_object_completion
2,97293,13.514517676859928,4.68308755981576,"(6, 6, 6, 6);(10, 10, 10, 10);(20, 20, 20, 20)",6,13.667,36.167,10.667,10.167,sparse_edit_or_object_completion
29,97117,13.516328283804857,4.681276952870832,"(13, 16, 5, 3);(17, 16, 8, 9);(17, 18, 8, 10);(23, 21, 6, 8)",0,-1,220.75,17.5,17.75,crop_or_resize
128,95042,13.537925821853902,4.659679414821786,"(15, 15, 15, 15)",4,72.5,36.25,5.25,12.75,same_shape_global_transform
109,94878,13.539652865248629,4.65795237142706,"(7, 7, 6, 6);(9, 9, 8, 8);(11, 11, 10, 10);(13, 13, 12, 12)",0,-1,24.25,10.0,10.0,crop_or_resize
239,94477,13.54388830238479,4.653716934290898,"(3, 3, 5, 3);(3, 4, 6, 4);(4, 3, 5, 4);(4, 3, 6, 3);(4, 4, 6, 5)",0,-1,6.6,2.8,2.8,crop_or_resize
201,92700,13.562876248446054,4.634728988229634,"(13, 13, 4, 6);(13, 13, 5, 6);(13, 13, 6, 8);(13, 13, 7, 8)",0,-1,23.0,11.0,8.0,crop_or_resize
208,92273,13.56749314667969,4.630112089995999,"(21, 21, 21, 21)",4,16.0,217.75,21.0,21.0,sparse_edit_or_object_completion
280,90506,13.586828574167079,4.610776662508609,"(10, 10, 10, 10);(20, 20, 20, 20)",5,105.0,82.6,15.2,14.4,same_shape_global_transform
20,90133,13.590958363748854,4.606646872926834,"(10, 10, 10, 10)",4,3.0,10.0,5.0,5.0,sparse_edit_or_object_completion
159,89501,13.597994922615115,4.599610314060573,"(18, 21, 8, 8);(19, 22, 5, 5);(21, 24, 11, 11);(24, 26, 14, 14)",0,-1,38.75,13.5,13.75,crop_or_resize
25,89286,13.600400020341894,4.597205216333794,"(15, 14, 15, 14);(15, 16, 15, 16);(18, 19, 18, 19);(19, 26, 19, 26)",4,11.5,41.0,16.0,17.75,sparse_edit_or_object_completion
