idx,output_color,template,features
10,9,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 4, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 9, 'bbox_tl': 4, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 9, 'bbox_center': 0, 'color4_count': 20, 'color4_bbox_h': 8, 'color4_bbox_w': 4, 'color9_count': 20, 'color9_bbox_h': 7, 'color9_bbox_w': 5}"
11,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 3, 'tr': 0, 'bl': 3, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 0, 'bbox_bl': 3, 'bbox_br': 0, 'bbox_center': 9, 'color3_count': 22, 'color3_bbox_h': 10, 'color3_bbox_w': 3, 'color9_count': 18, 'color9_bbox_h': 4, 'color9_bbox_w': 7}"
12,6,"(1, 1, 1, 1)","{'mode_nz': 6, 'least_nz': 7, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 6, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 6, 'bbox_bl': 0, 'bbox_br': 6, 'bbox_center': 7, 'color6_count': 20, 'color6_bbox_h': 9, 'color6_bbox_w': 3, 'color7_count': 16, 'color7_bbox_h': 4, 'color7_bbox_w': 6}"
13,5,"(1, 1, 1, 1)","{'mode_nz': 5, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 5, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 5, 'bbox_bl': 1, 'bbox_br': 0, 'bbox_center': 0, 'color1_count': 12, 'color1_bbox_h': 5, 'color1_bbox_w': 3, 'color5_count': 18, 'color5_bbox_h': 3, 'color5_bbox_w': 8}"
14,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 2, 'bbox_bl': 0, 'bbox_br': 6, 'bbox_center': 2, 'color2_count': 14, 'color2_bbox_h': 5, 'color2_bbox_w': 4, 'color6_count': 8, 'color6_bbox_h': 3, 'color6_bbox_w': 3}"
15,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 7, 'tr': 0, 'bl': 9, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 9, 'bbox_br': 0, 'bbox_center': 0, 'color7_count': 20, 'color7_bbox_h': 3, 'color7_bbox_w': 9, 'color9_count': 16, 'color9_bbox_h': 7, 'color9_bbox_w': 3}"
16,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 1, 'mode_all': 0, 'center': 7, 'tl': 0, 'tr': 1, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 1, 'bbox_bl': 7, 'bbox_br': 0, 'bbox_center': 0, 'color1_count': 12, 'color1_bbox_h': 5, 'color1_bbox_w': 3, 'color7_count': 20, 'color7_bbox_h': 5, 'color7_bbox_w': 7}"
17,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 4, 'bbox_br': 4, 'bbox_center': 4, 'color1_count': 10, 'color1_bbox_h': 3, 'color1_bbox_w': 4, 'color4_count': 16, 'color4_bbox_h': 6, 'color4_bbox_w': 4}"
18,5,"(1, 1, 1, 1)","{'mode_nz': 5, 'least_nz': 3, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 0, 'bbox_br': 0, 'bbox_center': 5, 'color3_count': 12, 'color3_bbox_h': 5, 'color3_bbox_w': 3, 'color5_count': 22, 'color5_bbox_h': 5, 'color5_bbox_w': 8}"
19,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 9, 'mode_all': 0, 'center': 3, 'tl': 3, 'tr': 3, 'bl': 9, 'br': 9, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0, 'color3_count': 28, 'color3_bbox_h': 6, 'color3_bbox_w': 10, 'color9_count': 24, 'color9_bbox_h': 4, 'color9_bbox_w': 10}"
20,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 2, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 2, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 3, 'bbox_bl': 2, 'bbox_br': 0, 'bbox_center': 3, 'color2_count': 16, 'color2_bbox_h': 7, 'color2_bbox_w': 3, 'color3_count': 18, 'color3_bbox_h': 5, 'color3_bbox_w': 6}"
21,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 1, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 7, 'bbox_bl': 1, 'bbox_br': 0, 'bbox_center': 7, 'color1_count': 16, 'color1_bbox_h': 5, 'color1_bbox_w': 5, 'color7_count': 18, 'color7_bbox_h': 5, 'color7_bbox_w': 6}"
22,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 9, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 0, 'bbox_bl': 9, 'bbox_br': 0, 'bbox_center': 0, 'color3_count': 12, 'color3_bbox_h': 5, 'color3_bbox_w': 3, 'color9_count': 26, 'color9_bbox_h': 9, 'color9_bbox_w': 6}"
23,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 2, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 7, 'color2_count': 10, 'color2_bbox_h': 3, 'color2_bbox_w': 4, 'color7_count': 20, 'color7_bbox_h': 5, 'color7_bbox_w': 7}"
24,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 3, 'bbox_center': 3, 'color3_count': 20, 'color3_bbox_h': 6, 'color3_bbox_w': 6, 'color7_count': 10, 'color7_bbox_h': 4, 'color7_bbox_w': 3}"
25,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 8, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 2, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 0, 'color2_count': 26, 'color2_bbox_h': 7, 'color2_bbox_w': 8, 'color8_count': 20, 'color8_bbox_h': 3, 'color8_bbox_w': 9}"
26,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 8, 'tr': 0, 'bl': 0, 'br': 1, 'bbox_tl': 8, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 1, 'bbox_center': 1, 'color1_count': 26, 'color1_bbox_h': 6, 'color1_bbox_w': 9, 'color8_count': 14, 'color8_bbox_h': 4, 'color8_bbox_w': 5}"
27,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 1, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 0, 'bbox_br': 2, 'bbox_center': 1, 'color1_count': 24, 'color1_bbox_h': 5, 'color1_bbox_w': 9, 'color2_count': 20, 'color2_bbox_h': 4, 'color2_bbox_w': 8}"
28,1,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 2, 'bbox_tl': 0, 'bbox_tr': 2, 'bbox_bl': 0, 'bbox_br': 2, 'bbox_center': 0, 'color1_count': 18, 'color1_bbox_h': 4, 'color1_bbox_w': 7, 'color2_count': 20, 'color2_bbox_h': 9, 'color2_bbox_w': 3}"
29,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 6, 'bbox_tl': 0, 'bbox_tr': 6, 'bbox_bl': 0, 'bbox_br': 6, 'bbox_center': 0, 'color6_count': 20, 'color6_bbox_h': 9, 'color6_bbox_w': 3, 'color7_count': 22, 'color7_bbox_h': 6, 'color7_bbox_w': 7}"
30,7,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 3, 'tr': 3, 'bl': 7, 'br': 0, 'bbox_tl': 3, 'bbox_tr': 3, 'bbox_bl': 7, 'bbox_br': 0, 'bbox_center': 7, 'color3_count': 24, 'color3_bbox_h': 4, 'color3_bbox_w': 10, 'color7_count': 24, 'color7_bbox_h': 6, 'color7_bbox_w': 8}"
31,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 7, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 0, 'bbox_br': 0, 'bbox_center': 7, 'color2_count': 12, 'color2_bbox_h': 5, 'color2_bbox_w': 3, 'color7_count': 24, 'color7_bbox_h': 5, 'color7_bbox_w': 9}"
32,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 2, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 0, 'bbox_bl': 8, 'bbox_br': 0, 'bbox_center': 8, 'color2_count': 12, 'color2_bbox_h': 3, 'color2_bbox_w': 5, 'color8_count': 20, 'color8_bbox_h': 7, 'color8_bbox_w': 5}"
33,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 6, 'mode_all': 0, 'center': 6, 'tl': 0, 'tr': 4, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 4, 'bbox_bl': 6, 'bbox_br': 0, 'bbox_center': 4, 'color4_count': 20, 'color4_bbox_h': 4, 'color4_bbox_w': 8, 'color6_count': 16, 'color6_bbox_h': 3, 'color6_bbox_w': 7}"
34,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 3, 'mode_all': 0, 'center': 9, 'tl': 3, 'tr': 9, 'bl': 0, 'br': 9, 'bbox_tl': 3, 'bbox_tr': 9, 'bbox_bl': 0, 'bbox_br': 9, 'bbox_center': 0, 'color3_count': 14, 'color3_bbox_h': 5, 'color3_bbox_w': 4, 'color9_count': 26, 'color9_bbox_h': 10, 'color9_bbox_w': 5}"
35,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 1, 'tr': 0, 'bl': 7, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 7, 'bbox_br': 0, 'bbox_center': 0, 'color1_count': 28, 'color1_bbox_h': 7, 'color1_bbox_w': 9, 'color7_count': 14, 'color7_bbox_h': 3, 'color7_bbox_w': 6}"
36,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 3, 'bbox_center': 0, 'color3_count': 14, 'color3_bbox_h': 4, 'color3_bbox_w': 5, 'color7_count': 14, 'color7_bbox_h': 6, 'color7_bbox_w': 3}"
37,3,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 6, 'mode_all': 0, 'center': 3, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 6, 'bbox_bl': 3, 'bbox_br': 3, 'bbox_center': 0, 'color3_count': 20, 'color3_bbox_h': 3, 'color3_bbox_w': 9, 'color6_count': 12, 'color6_bbox_h': 4, 'color6_bbox_w': 4}"
38,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 3, 'mode_all': 0, 'center': 4, 'tl': 4, 'tr': 0, 'bl': 4, 'br': 3, 'bbox_tl': 4, 'bbox_tr': 0, 'bbox_bl': 4, 'bbox_br': 3, 'bbox_center': 0, 'color3_count': 20, 'color3_bbox_h': 9, 'color3_bbox_w': 3, 'color4_count': 28, 'color4_bbox_h': 10, 'color4_bbox_w': 6}"
39,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 9, 'bbox_tl': 1, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 9, 'bbox_center': 0, 'color1_count': 26, 'color1_bbox_h': 7, 'color1_bbox_w': 8, 'color9_count': 10, 'color9_bbox_h': 3, 'color9_bbox_w': 4}"
40,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 2, 'mode_all': 0, 'center': 7, 'tl': 2, 'tr': 0, 'bl': 7, 'br': 7, 'bbox_tl': 2, 'bbox_tr': 0, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 2, 'color2_count': 20, 'color2_bbox_h': 5, 'color2_bbox_w': 7, 'color7_count': 26, 'color7_bbox_h': 5, 'color7_bbox_w': 10}"
41,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 9, 'tr': 6, 'bl': 9, 'br': 0, 'bbox_tl': 9, 'bbox_tr': 6, 'bbox_bl': 9, 'bbox_br': 0, 'bbox_center': 9, 'color6_count': 16, 'color6_bbox_h': 5, 'color6_bbox_w': 5, 'color9_count': 26, 'color9_bbox_h': 10, 'color9_bbox_w': 5}"
42,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 4, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 4, 'bbox_tr': 8, 'bbox_bl': 4, 'bbox_br': 0, 'bbox_center': 0, 'color4_count': 20, 'color4_bbox_h': 8, 'color4_bbox_w': 4, 'color8_count': 12, 'color8_bbox_h': 4, 'color8_bbox_w': 4}"
43,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 8, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 9, 'br': 9, 'bbox_tl': 0, 'bbox_tr': 0, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 8, 'color8_count': 14, 'color8_bbox_h': 5, 'color8_bbox_w': 4, 'color9_count': 26, 'color9_bbox_h': 5, 'color9_bbox_w': 10}"
44,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 4, 'mode_all': 0, 'center': 2, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 2, 'bbox_bl': 4, 'bbox_br': 0, 'bbox_center': 0, 'color2_count': 18, 'color2_bbox_h': 7, 'color2_bbox_w': 4, 'color4_count': 14, 'color4_bbox_h': 3, 'color4_bbox_w': 6}"
45,6,"(1, 1, 1, 1)","{'mode_nz': 6, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 8, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 6, 'bbox_center': 6, 'color6_count': 24, 'color6_bbox_h': 5, 'color6_bbox_w': 9, 'color8_count': 14, 'color8_bbox_h': 3, 'color8_bbox_w': 6}"
46,4,"(1, 1, 1, 1)","{'mode_nz': 4, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 9, 'br': 4, 'bbox_tl': 9, 'bbox_tr': 0, 'bbox_bl': 9, 'bbox_br': 4, 'bbox_center': 0, 'color4_count': 16, 'color4_bbox_h': 3, 'color4_bbox_w': 7, 'color9_count': 14, 'color9_bbox_h': 6, 'color9_bbox_w': 3}"
47,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 1, 'mode_all': 0, 'center': 0, 'tl': 7, 'tr': 7, 'bl': 0, 'br': 1, 'bbox_tl': 7, 'bbox_tr': 7, 'bbox_bl': 0, 'bbox_br': 1, 'bbox_center': 0, 'color1_count': 16, 'color1_bbox_h': 6, 'color1_bbox_w': 4, 'color7_count': 22, 'color7_bbox_h': 3, 'color7_bbox_w': 10}"
48,9,"(1, 1, 1, 1)","{'mode_nz': 3, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 9, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 3, 'bbox_bl': 9, 'bbox_br': 0, 'bbox_center': 9, 'color3_count': 18, 'color3_bbox_h': 8, 'color3_bbox_w': 3, 'color9_count': 18, 'color9_bbox_h': 6, 'color9_bbox_w': 5}"
49,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 2, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 9, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 9, 'bbox_bl': 2, 'bbox_br': 0, 'bbox_center': 0, 'color2_count': 10, 'color2_bbox_h': 3, 'color2_bbox_w': 4, 'color9_count': 16, 'color9_bbox_h': 6, 'color9_bbox_w': 4}"
50,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 8, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 8, 'bbox_tr': 0, 'bbox_bl': 0, 'bbox_br': 6, 'bbox_center': 0, 'color6_count': 12, 'color6_bbox_h': 4, 'color6_bbox_w': 4, 'color8_count': 14, 'color8_bbox_h': 3, 'color8_bbox_w': 6}"
51,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 8, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 7, 'br': 0, 'bbox_tl': 7, 'bbox_tr': 8, 'bbox_bl': 7, 'bbox_br': 8, 'bbox_center': 7, 'color7_count': 24, 'color7_bbox_h': 9, 'color7_bbox_w': 5, 'color8_count': 20, 'color8_bbox_h': 9, 'color8_bbox_w': 3}"
52,8,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 8, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 8, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 8, 'color1_count': 20, 'color1_bbox_h': 3, 'color1_bbox_w': 9, 'color8_count': 18, 'color8_bbox_h': 4, 'color8_bbox_w': 7}"
53,1,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 1, 'bl': 0, 'br': 0, 'bbox_tl': 1, 'bbox_tr': 1, 'bbox_bl': 0, 'bbox_br': 0, 'bbox_center': 1, 'color1_count': 18, 'color1_bbox_h': 5, 'color1_bbox_w': 6, 'color3_count': 8, 'color3_bbox_h': 3, 'color3_bbox_w': 3}"
54,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 2, 'tr': 0, 'bl': 9, 'br': 9, 'bbox_tl': 2, 'bbox_tr': 0, 'bbox_bl': 9, 'bbox_br': 9, 'bbox_center': 0, 'color2_count': 28, 'color2_bbox_h': 7, 'color2_bbox_w': 9, 'color9_count': 22, 'color9_bbox_h': 3, 'color9_bbox_w': 10}"
55,2,"(1, 1, 1, 1)","{'mode_nz': 1, 'least_nz': 1, 'mode_all': 0, 'center': 1, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 2, 'bbox_tr': 0, 'bbox_bl': 1, 'bbox_br': 1, 'bbox_center': 2, 'color1_count': 18, 'color1_bbox_h': 3, 'color1_bbox_w': 8, 'color2_count': 18, 'color2_bbox_h': 4, 'color2_bbox_w': 7}"
56,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 9, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 9, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 7, 'bbox_bl': 9, 'bbox_br': 0, 'bbox_center': 7, 'color7_count': 14, 'color7_bbox_h': 5, 'color7_bbox_w': 4, 'color9_count': 10, 'color9_bbox_h': 4, 'color9_bbox_w': 3}"
57,2,"(1, 1, 1, 1)","{'mode_nz': 2, 'least_nz': 6, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 2, 'bbox_bl': 0, 'bbox_br': 2, 'bbox_center': 0, 'color2_count': 24, 'color2_bbox_h': 10, 'color2_bbox_w': 4, 'color6_count': 8, 'color6_bbox_h': 3, 'color6_bbox_w': 3}"
58,9,"(1, 1, 1, 1)","{'mode_nz': 9, 'least_nz': 4, 'mode_all': 0, 'center': 9, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 0, 'bbox_tr': 9, 'bbox_bl': 4, 'bbox_br': 0, 'bbox_center': 0, 'color4_count': 12, 'color4_bbox_h': 3, 'color4_bbox_w': 5, 'color9_count': 20, 'color9_bbox_h': 6, 'color9_bbox_w': 6}"
59,8,"(1, 1, 1, 1)","{'mode_nz': 8, 'least_nz': 7, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 7, 'bl': 8, 'br': 8, 'bbox_tl': 0, 'bbox_tr': 7, 'bbox_bl': 8, 'bbox_br': 8, 'bbox_center': 8, 'color7_count': 20, 'color7_bbox_h': 3, 'color7_bbox_w': 9, 'color8_count': 28, 'color8_bbox_h': 6, 'color8_bbox_w': 10}"
60,7,"(1, 1, 1, 1)","{'mode_nz': 7, 'least_nz': 3, 'mode_all': 0, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 7, 'br': 7, 'bbox_tl': 0, 'bbox_tr': 0, 'bbox_bl': 7, 'bbox_br': 7, 'bbox_center': 0, 'color3_count': 14, 'color3_bbox_h': 6, 'color3_bbox_w': 3, 'color7_count': 22, 'color7_bbox_h': 3, 'color7_bbox_w': 10}"
61,5,"(1, 1, 1, 1)","{'mode_nz': 5, 'least_nz': 4, 'mode_all': 0, 'center': 4, 'tl': 5, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 0, 'bbox_br': 0, 'bbox_center': 0, 'color4_count': 8, 'color4_bbox_h': 3, 'color4_bbox_w': 3, 'color5_count': 20, 'color5_bbox_h': 3, 'color5_bbox_w': 9}"
