all_changes_on_zero,all_changes_to_existing_colors,changed_bbox,changed_components,changed_coords_norm,changed_count,changed_from_to,idx,input_colors,input_nonzero_bbox,input_nonzero_count,input_shape,output_colors,output_equals_input_plus_sparse,output_nonzero_bbox,output_nonzero_count,output_shape,same_shape,split
False,True,"(1, 1, 10, 12)",2,1:1:2->0 10:12:2->0,2,2->0:2,10,0:328 2:2 4:22 8:22,"(1, 0, 13, 21)",46,"(17, 22)",0:330 4:22 8:22,True,"(5, 0, 13, 21)",44,"(17, 22)",True,arc-gen
False,True,"(0, 12, 11, 28)",5,0:19:3->0 7:13:0->4 8:13:4->0 10:12:3->0 10:28:3->0 11:12:0->3 11:19:0->3 11:28:0->3,8,3->0:3 0->3:3 0->4:1 4->0:1,11,0:326 3:33 4:31,"(0, 0, 12, 29)",64,"(13, 30)",0:326 3:33 4:31,True,"(6, 0, 12, 29)",64,"(13, 30)",True,arc-gen
False,True,"(0, 3, 23, 13)",9,0:3:4->0 4:10:0->6 5:10:6->0 9:6:4->0 13:11:0->7 13:13:0->7 16:4:2->0 16:13:7->0 18:4:0->2 23:11:7->0,10,4->0:2 0->7:2 7->0:2 0->6:1 6->0:1 2->0:1 0->2:1,12,0:346 2:17 4:2 6:17 7:18,"(0, 0, 23, 15)",54,"(25, 16)",0:348 2:17 6:17 7:18,True,"(3, 0, 19, 15)",52,"(25, 16)",True,arc-gen
False,True,"(1, 7, 10, 20)",8,1:17:1->0 3:8:2->0 3:20:1->0 7:11:1->0 9:7:2->0 10:11:0->1 10:17:0->1 10:20:0->1,8,1->0:3 0->1:3 2->0:2,13,0:271 1:26 2:2 5:23,"(1, 0, 11, 22)",51,"(14, 23)",0:273 1:26 5:23,True,"(5, 0, 11, 22)",49,"(14, 23)",True,arc-gen
False,True,"(10, 16, 10, 16)",1,10:16:8->0,1,8->0:1,14,0:305 2:17 6:17 7:17 8:1,"(0, 3, 16, 18)",52,"(17, 21)",0:306 2:17 6:17 7:17,True,"(0, 3, 16, 18)",51,"(17, 21)",True,arc-gen
False,True,"(4, 0, 27, 11)",7,4:2:4->0 9:4:4->0 11:1:1->0 11:11:0->1 16:0:4->0 27:1:9->0 27:5:0->9,7,4->0:3 1->0:1 0->1:1 9->0:1 0->9:1,15,0:325 1:31 4:3 9:31,"(0, 0, 29, 12)",65,"(30, 13)",0:328 1:31 9:31,True,"(0, 5, 29, 12)",62,"(30, 13)",True,arc-gen
False,True,"(4, 2, 17, 25)",16,4:7:0->3 4:8:0->3 4:9:0->3 4:11:0->3 4:22:0->3 4:25:0->3 5:7:3->0 5:13:4->0 7:17:1->0 8:2:4->0 9:21:4->0 10:17:0->1 12:12:0->1 12:22:0->1 13:8:3->0 13:9:3->0 13:22:3->0 13:25:3->0 14:12:1->0 15:11:3->0 16:11:4->0 17:22:1->0,22,0->3:6 3->0:6 4->0:4 1->0:3 0->1:3,16,0:509 1:32 3:35 4:4,"(3, 0, 17, 28)",71,"(20, 29)",0:513 1:32 3:35,False,"(3, 0, 12, 28)",67,"(20, 29)",True,arc-gen
False,True,"(0, 4, 13, 26)",6,0:4:8->0 4:25:0->4 6:17:8->0 6:25:4->0 10:9:0->3 11:9:3->0 13:26:8->0,7,8->0:3 0->4:1 4->0:1 0->3:1 3->0:1,17,0:319 3:28 4:28 8:3,"(0, 0, 13, 26)",59,"(14, 27)",0:322 3:28 4:28,True,"(3, 0, 10, 26)",56,"(14, 27)",True,arc-gen
False,True,"(1, 6, 27, 28)",15,1:6:1->0 1:20:6->0 1:22:2->0 2:6:8->0 5:6:0->1 10:8:2->0 11:6:0->8 13:7:0->8 14:7:8->0 15:11:2->0 18:8:6->0 19:8:0->6 19:20:0->6 24:11:3->0 24:28:3->0 27:8:0->2 27:11:0->2 27:22:0->2,18,2->0:3 0->2:3 6->0:2 8->0:2 0->8:2 0->6:2 3->0:2 1->0:1 0->1:1,18,0:715 1:30 2:32 3:2 6:31 8:31,"(1, 0, 28, 28)",126,"(29, 29)",0:717 1:30 2:32 6:31 8:31,True,"(5, 0, 28, 28)",124,"(29, 29)",True,arc-gen
False,True,"(1, 0, 22, 25)",15,1:8:6->0 1:11:2->0 7:3:6->0 8:18:2->0 12:0:6->0 12:5:2->0 12:25:2->0 13:0:0->6 13:3:0->6 13:8:0->6 20:15:2->0 21:16:2->0 22:5:0->2 22:11:0->2 22:15:0->2 22:16:0->2 22:18:0->2 22:25:0->2,18,2->0:6 0->2:6 6->0:3 0->6:3,19,0:600 2:35 6:32 9:29,"(1, 0, 23, 28)",96,"(24, 29)",0:600 2:35 6:32 9:29,True,"(5, 0, 23, 28)",96,"(24, 29)",True,arc-gen
False,True,"(2, 1, 19, 8)",2,2:1:5->0 19:8:5->0,2,5->0:2,20,0:284 2:26 4:26 5:2,"(0, 1, 25, 12)",54,"(26, 13)",0:286 2:26 4:26,True,"(0, 5, 25, 12)",52,"(26, 13)",True,arc-gen
False,True,"(2, 5, 11, 17)",6,2:5:0->1 2:8:1->0 9:15:8->0 9:17:0->8 11:5:0->1 11:10:1->0,6,0->1:2 1->0:2 8->0:1 0->8:1,21,0:358 1:21 2:19 8:20,"(0, 4, 18, 18)",60,"(19, 22)",0:358 1:21 2:19 8:20,True,"(0, 4, 18, 18)",60,"(19, 22)",True,arc-gen
False,True,"(5, 7, 14, 25)",9,5:8:3->0 5:12:0->3 6:7:0->9 6:19:9->0 6:25:4->0 8:7:0->9 8:10:9->0 14:7:0->9 14:19:9->0,9,0->9:3 9->0:3 3->0:1 0->3:1 4->0:1,22,0:451 3:20 4:1 6:19 9:22,"(0, 6, 18, 25)",62,"(19, 27)",0:452 3:20 6:19 9:22,True,"(0, 6, 18, 22)",61,"(19, 27)",True,arc-gen
False,True,"(1, 0, 17, 14)",10,1:14:8->0 3:6:1->0 3:10:0->1 4:0:1->0 4:10:0->1 5:4:0->9 5:8:9->0 10:9:1->0 10:10:0->1 15:9:8->0 17:4:0->9 17:9:9->0,12,1->0:3 0->1:3 8->0:2 0->9:2 9->0:2,23,0:279 1:25 8:2 9:24,"(0, 0, 21, 14)",51,"(22, 15)",0:281 1:25 9:24,True,"(0, 3, 21, 11)",49,"(22, 15)",True,arc-gen
False,True,"(4, 5, 22, 15)",5,4:11:0->7 4:15:7->0 16:5:7->0 16:9:0->7 17:5:2->0 22:5:2->0,6,0->7:2 7->0:2 2->0:2,24,0:346 2:2 5:25 7:27,"(0, 3, 24, 15)",54,"(25, 16)",0:348 5:25 7:27,True,"(0, 3, 24, 11)",52,"(25, 16)",True,arc-gen
False,True,"(1, 0, 23, 28)",23,1:20:9->0 1:21:0->9 2:7:9->0 2:21:0->9 3:0:8->0 3:6:0->2 3:12:3->0 3:13:0->8 3:24:2->0 7:17:9->0 7:21:0->9 9:12:9->0 9:21:0->9 10:2:9->0 10:21:0->9 11:0:3->0 14:3:9->0 14:21:0->9 15:6:0->2 15:28:2->0 17:1:3->0 17:7:8->0 17:13:0->8 19:2:2->0 19:4:0->2 22:15:0->8 22:25:8->0 23:25:3->0,28,9->0:6 0->9:6 3->0:4 8->0:3 0->2:3 0->8:3 2->0:3,25,0:608 2:27 3:4 8:27 9:30,"(0, 0, 23, 28)",88,"(24, 29)",0:612 2:27 8:27 9:30,False,"(0, 4, 23, 22)",84,"(24, 29)",True,arc-gen
False,True,"(1, 5, 24, 17)",13,1:11:9->0 3:5:0->7 3:10:7->0 4:14:0->8 4:17:8->0 8:8:8->0 8:12:0->8 9:5:0->7 9:7:7->0 16:5:0->7 16:10:7->0 19:17:9->0 24:5:0->7 24:6:7->0,14,0->7:4 7->0:4 9->0:2 0->8:2 8->0:2,26,0:451 7:31 8:29 9:2,"(0, 4, 26, 17)",62,"(27, 19)",0:453 7:31 8:29,True,"(0, 4, 26, 14)",60,"(27, 19)",True,arc-gen
False,True,"(7, 1, 17, 21)",10,7:16:0->6 7:21:0->6 9:3:1->0 9:16:6->0 10:4:1->0 10:21:7->0 13:3:0->1 13:4:0->1 15:1:0->1 16:21:6->0 17:1:1->0,11,1->0:3 0->1:3 0->6:2 6->0:2 7->0:1,27,0:507 1:30 6:29 7:1,"(6, 0, 17, 26)",60,"(21, 27)",0:508 1:30 6:29,True,"(6, 0, 15, 26)",59,"(21, 27)",True,arc-gen
False,True,"(0, 0, 19, 25)",10,0:9:5->0 0:20:0->5 3:6:6->0 3:11:0->6 6:4:0->7 6:25:7->0 7:0:8->0 10:15:8->0 19:7:5->0 19:20:0->5,10,5->0:2 0->5:2 8->0:2 6->0:1 0->6:1 0->7:1 7->0:1,28,0:474 5:22 6:21 7:21 8:2 9:20,"(0, 0, 19, 27)",86,"(20, 28)",0:476 5:22 6:21 7:21 9:20,True,"(0, 3, 19, 27)",84,"(20, 28)",True,arc-gen
False,True,"(2, 2, 21, 28)",11,2:2:4->0 12:8:3->0 12:28:0->3 17:11:9->0 17:12:0->9 18:14:0->9 18:23:9->0 19:5:0->6 19:7:6->0 19:8:7->0 19:20:0->7 21:2:9->0 21:12:0->9,13,9->0:3 0->9:3 4->0:1 3->0:1 0->3:1 0->6:1 6->0:1 7->0:1 0->7:1,29,0:565 3:23 4:1 6:23 7:23 9:25,"(0, 2, 21, 29)",95,"(22, 30)",0:566 3:23 6:23 7:23 9:25,True,"(0, 4, 21, 29)",94,"(22, 30)",True,arc-gen
False,True,"(2, 2, 17, 20)",15,2:2:2->0 2:9:3->0 3:7:3->0 3:15:3->0 5:2:0->2 7:16:0->2 9:16:2->0 9:20:3->0 10:18:3->0 13:7:0->3 13:9:0->3 13:15:0->3 13:18:0->3 13:20:0->3 17:11:5->0,15,3->0:5 0->3:5 2->0:2 0->2:2 5->0:1,30,0:392 2:27 3:30 5:1,"(2, 0, 17, 24)",58,"(18, 25)",0:393 2:27 3:30,True,"(5, 0, 14, 24)",57,"(18, 25)",True,arc-gen
False,True,"(0, 3, 21, 26)",13,0:22:5->0 0:24:6->0 1:10:2->0 2:24:2->0 2:26:2->0 3:3:7->0 5:3:0->7 11:10:0->2 11:24:0->2 11:26:0->2 13:20:0->2 14:20:2->0 18:22:0->5 21:3:6->0,14,2->0:4 0->2:4 6->0:2 5->0:1 7->0:1 0->7:1 0->5:1,31,0:524 2:32 5:29 6:2 7:29,"(0, 0, 21, 27)",92,"(22, 28)",0:526 2:32 5:29 7:29,True,"(5, 0, 19, 27)",90,"(22, 28)",True,arc-gen
False,True,"(0, 1, 26, 20)",8,0:1:4->0 10:9:4->0 14:12:0->2 14:20:2->0 17:1:2->0 17:10:0->2 17:20:4->0 26:3:4->0,8,4->0:4 0->2:2 2->0:2,32,0:534 2:32 3:30 4:4 8:30,"(0, 1, 29, 20)",96,"(30, 21)",0:538 2:32 3:30 8:30,True,"(0, 5, 29, 18)",92,"(30, 21)",True,arc-gen
False,True,"(1, 12, 16, 28)",4,1:12:9->0 2:12:0->9 5:20:4->0 10:20:0->4 16:28:2->0,5,9->0:1 0->9:1 4->0:1 0->4:1 2->0:1,33,0:461 2:1 4:30 9:30,"(1, 0, 16, 28)",61,"(18, 29)",0:462 4:30 9:30,True,"(2, 0, 11, 28)",60,"(18, 29)",True,arc-gen
False,True,"(10, 1, 10, 12)",2,10:1:3->0 10:12:0->3,2,3->0:1 0->3:1,34,0:299 2:20 3:21,"(0, 1, 19, 13)",41,"(20, 17)",0:299 2:20 3:21,True,"(0, 4, 19, 13)",41,"(20, 17)",True,arc-gen
False,True,"(1, 1, 23, 29)",16,1:11:1->0 2:24:1->0 6:2:0->2 6:29:0->2 7:7:4->0 8:4:4->0 11:1:1->0 12:24:4->0 13:1:0->1 13:11:0->1 13:24:0->1 18:29:2->0 20:4:0->4 20:7:0->4 20:24:0->4 22:28:0->4 23:2:2->0 23:28:4->0,18,4->0:4 0->4:4 1->0:3 0->1:3 0->2:2 2->0:2,35,0:741 1:33 2:32 4:34,"(1, 0, 23, 29)",99,"(28, 30)",0:741 1:33 2:32 4:34,True,"(5, 0, 22, 29)",99,"(28, 30)",True,arc-gen
False,True,"(1, 1, 24, 19)",14,1:8:1->0 2:8:0->1 4:13:0->1 4:19:0->1 6:19:1->0 7:9:5->0 7:14:6->0 9:9:0->5 11:1:0->5 11:4:0->5 13:8:6->0 18:4:5->0 21:1:5->0 21:13:1->0 23:9:7->0 24:9:0->7,16,1->0:3 0->1:3 5->0:3 0->5:3 6->0:2 7->0:1 0->7:1,36,0:431 1:23 3:20 5:23 6:2 7:21,"(1, 0, 25, 19)",89,"(26, 20)",0:433 1:23 3:20 5:23 7:21,True,"(2, 0, 25, 19)",87,"(26, 20)",True,arc-gen
False,True,"(6, 3, 12, 17)",4,6:3:4->0 6:5:0->4 11:4:7->0 12:16:0->3 12:17:3->0,5,4->0:1 0->4:1 7->0:1 0->3:1 3->0:1,37,0:305 3:15 4:15 7:1 9:14,"(0, 3, 13, 23)",45,"(14, 25)",0:306 3:15 4:15 9:14,True,"(0, 5, 13, 23)",44,"(14, 25)",True,arc-gen
False,True,"(0, 0, 18, 25)",14,0:6:0->1 0:14:1->0 11:0:5->0 11:13:4->0 11:19:0->5 12:16:6->0 12:25:0->6 13:13:5->0 13:19:0->5 14:3:1->0 14:4:0->1 15:13:4->0 17:23:4->0 18:12:0->7 18:22:7->0,15,4->0:3 0->1:2 1->0:2 5->0:2 0->5:2 6->0:1 0->6:1 0->7:1 7->0:1,38,0:537 1:23 4:3 5:23 6:22 7:22,"(0, 0, 20, 26)",93,"(21, 30)",0:540 1:23 5:23 6:22 7:22,True,"(0, 4, 20, 26)",90,"(21, 30)",True,arc-gen
False,True,"(1, 3, 15, 19)",7,1:7:0->7 1:15:7->0 4:15:8->0 6:3:8->0 14:4:8->0 15:10:4->0 15:19:0->4,7,8->0:3 0->7:1 7->0:1 4->0:1 0->4:1,39,0:415 2:21 4:22 7:22 8:3,"(0, 3, 20, 20)",68,"(21, 23)",0:418 2:21 4:22 7:22,True,"(0, 6, 20, 20)",65,"(21, 23)",True,arc-gen
False,True,"(3, 0, 23, 18)",11,3:7:5->0 5:6:4->0 5:17:5->0 5:18:0->4 8:8:3->0 8:12:0->3 16:1:4->0 16:18:0->4 21:10:3->0 21:12:0->3 23:0:6->0 23:3:0->6,12,5->0:2 4->0:2 0->4:2 3->0:2 0->3:2 6->0:1 0->6:1,40,0:487 3:28 4:28 5:2 6:27,"(0, 0, 25, 19)",85,"(26, 22)",0:489 3:28 4:28 6:27,True,"(0, 3, 25, 19)",83,"(26, 22)",True,arc-gen
False,True,"(9, 13, 9, 13)",1,9:13:8->0,1,8->0:1,41,0:237 2:17 4:17 8:1,"(0, 5, 16, 13)",35,"(17, 16)",0:238 2:17 4:17,True,"(0, 5, 16, 11)",34,"(17, 16)",True,arc-gen
False,True,"(4, 6, 11, 12)",2,4:6:1->0 11:12:1->0,2,1->0:2,42,0:264 1:2 8:14 9:14,"(4, 0, 15, 13)",30,"(21, 14)",0:266 8:14 9:14,True,"(6, 0, 15, 13)",28,"(21, 14)",True,arc-gen
False,True,"(8, 5, 10, 8)",3,8:6:3->0 10:5:0->1 10:8:1->0,3,3->0:1 0->1:1 1->0:1,43,0:236 1:15 2:14 3:1 7:14,"(0, 4, 13, 17)",44,"(14, 20)",0:237 1:15 2:14 7:14,True,"(0, 4, 13, 17)",43,"(14, 20)",True,arc-gen
False,True,"(6, 8, 12, 18)",5,6:8:3->0 8:12:8->0 8:18:8->0 12:12:0->8 12:18:0->8,5,8->0:2 0->8:2 3->0:1,44,0:270 3:1 7:21 8:23,"(4, 0, 13, 20)",45,"(15, 21)",0:271 7:21 8:23,True,"(4, 0, 13, 20)",44,"(15, 21)",True,arc-gen
False,True,"(2, 0, 18, 8)",5,2:2:9->0 2:3:0->9 10:0:9->0 10:3:0->9 18:5:0->9 18:8:9->0,6,9->0:3 0->9:3,45,0:333 4:28 9:31,"(0, 0, 27, 10)",59,"(28, 14)",0:333 4:28 9:31,True,"(0, 3, 27, 10)",59,"(28, 14)",True,arc-gen
False,True,"(0, 2, 26, 11)",7,0:8:6->0 7:10:1->0 7:11:0->1 9:2:1->0 9:11:0->1 17:8:6->0 18:8:6->0 25:10:6->0 26:8:6->0,9,6->0:5 1->0:2 0->1:2,46,0:317 1:29 6:5 7:27,"(0, 2, 26, 12)",61,"(27, 14)",0:322 1:29 7:27,True,"(0, 6, 26, 12)",56,"(27, 14)",True,arc-gen
False,True,"(9, 1, 21, 16)",6,9:13:4->0 10:1:5->0 12:13:0->4 15:16:9->0 18:1:0->5 20:5:0->5 21:5:5->0,7,5->0:2 0->5:2 4->0:1 0->4:1 9->0:1,47,0:396 4:21 5:22 6:20 9:1,"(5, 0, 21, 19)",64,"(23, 20)",0:397 4:21 5:22 6:20,True,"(5, 0, 20, 19)",63,"(23, 20)",True,arc-gen
False,True,"(13, 10, 14, 16)",4,13:10:0->2 13:15:2->0 14:12:1->0 14:16:0->1,4,0->2:1 2->0:1 1->0:1 0->1:1,48,0:298 1:16 2:16 3:15 7:15,"(0, 3, 14, 23)",62,"(15, 24)",0:298 1:16 2:16 3:15 7:15,True,"(0, 3, 14, 23)",62,"(15, 24)",True,arc-gen
False,True,"(11, 8, 11, 9)",1,11:8:8->0 11:9:0->8,2,8->0:1 0->8:1,49,0:159 8:17 9:16,"(0, 4, 15, 10)",33,"(16, 12)",0:159 8:17 9:16,True,"(0, 4, 15, 10)",33,"(16, 12)",True,arc-gen
False,True,"(8, 2, 14, 5)",3,8:2:7->0 10:5:9->0 14:2:0->7,3,7->0:1 9->0:1 0->7:1,50,0:397 7:20 8:19 9:1,"(6, 0, 15, 18)",40,"(23, 19)",0:398 7:20 8:19,True,"(6, 0, 15, 18)",39,"(23, 19)",True,arc-gen
False,True,"(0, 4, 8, 20)",3,0:4:5->0 4:20:0->2 5:20:2->0 8:4:0->5,4,5->0:1 0->2:1 2->0:1 0->5:1,51,0:448 2:31 4:30 5:31,"(0, 0, 15, 29)",92,"(18, 30)",0:448 2:31 4:30 5:31,True,"(3, 0, 15, 29)",92,"(18, 30)",True,arc-gen
False,True,"(2, 2, 15, 16)",7,2:16:1->0 7:2:4->0 7:9:0->4 9:11:0->4 9:15:4->0 14:2:3->0 14:3:0->3 15:6:1->0,8,1->0:2 4->0:2 0->4:2 3->0:1 0->3:1,52,0:318 1:2 3:20 4:21 5:19,"(0, 2, 18, 18)",62,"(19, 20)",0:320 3:20 4:21 5:19,True,"(0, 3, 18, 18)",60,"(19, 20)",True,arc-gen
False,True,"(0, 2, 19, 19)",16,0:7:0->2 0:15:2->0 0:18:5->0 1:10:5->0 2:2:2->0 2:5:0->2 2:14:0->9 2:19:9->0 12:4:9->0 12:12:0->9 14:2:2->0 14:5:0->2 15:14:0->9 15:17:9->0 19:14:0->9 19:16:9->0,16,0->9:4 9->0:4 0->2:3 2->0:3 5->0:2,53,0:471 2:27 5:2 9:28,"(0, 2, 23, 19)",57,"(24, 22)",0:473 2:27 9:28,True,"(0, 5, 23, 14)",55,"(24, 22)",True,arc-gen
False,True,"(4, 8, 14, 24)",5,4:20:0->9 5:24:4->0 7:8:3->0 10:8:0->3 14:20:9->0,5,0->9:1 4->0:1 3->0:1 0->3:1 9->0:1,54,0:445 3:29 4:1 9:29,"(3, 0, 14, 27)",59,"(18, 28)",0:446 3:29 9:29,True,"(3, 0, 11, 27)",58,"(18, 28)",True,arc-gen
False,True,"(0, 1, 20, 22)",8,0:10:0->9 0:19:9->0 9:1:1->0 11:14:1->0 12:14:1->0 12:18:0->5 12:22:5->0 20:4:0->7 20:11:7->0,9,1->0:3 0->9:1 9->0:1 0->5:1 5->0:1 0->7:1 7->0:1,55,0:414 1:3 5:22 7:22 9:22,"(0, 1, 20, 22)",69,"(21, 23)",0:417 5:22 7:22 9:22,True,"(0, 3, 20, 18)",66,"(21, 23)",True,arc-gen
False,True,"(1, 3, 11, 10)",6,1:7:9->0 4:3:0->6 5:10:9->0 8:3:6->0 11:7:0->9 11:10:0->9,6,9->0:2 0->9:2 0->6:1 6->0:1,56,0:195 6:19 9:20,"(1, 0, 12, 17)",39,"(13, 18)",0:195 6:19 9:20,True,"(3, 0, 12, 17)",39,"(13, 18)",True,arc-gen
False,True,"(4, 12, 16, 22)",6,4:14:1->0 13:14:7->0 13:19:0->7 15:12:0->4 15:22:4->0 16:15:1->0,6,1->0:2 7->0:1 0->7:1 0->4:1 4->0:1,57,0:410 1:2 4:19 7:19 9:18,"(0, 4, 17, 22)",58,"(18, 26)",0:412 4:19 7:19 9:18,True,"(0, 4, 17, 20)",56,"(18, 26)",True,arc-gen
False,True,"(0, 1, 12, 22)",10,0:1:6->0 0:21:3->0 5:1:0->6 7:4:0->6 7:6:0->6 7:8:0->6 7:22:0->6 8:6:6->0 8:22:6->0 9:8:6->0 11:4:6->0 12:6:3->0,12,6->0:5 0->6:5 3->0:2,58,0:281 3:2 6:29,"(0, 0, 12, 23)",31,"(13, 24)",0:283 6:29,True,"(5, 0, 7, 23)",29,"(13, 24)",True,arc-gen
False,True,"(1, 4, 24, 12)",9,1:12:3->0 2:12:0->3 4:5:0->3 4:7:0->3 6:6:8->0 7:9:8->0 13:4:0->7 16:7:3->0 23:4:7->0 24:5:3->0,10,3->0:3 0->3:3 8->0:2 0->7:1 7->0:1,59,0:426 2:18 3:21 7:19 8:2,"(1, 0, 24, 17)",60,"(27, 18)",0:428 2:18 3:21 7:19,True,"(2, 0, 18, 17)",58,"(27, 18)",True,arc-gen
False,True,"(9, 3, 9, 5)",2,9:3:6->0 9:5:0->6,2,6->0:1 0->6:1,60,0:181 5:14 6:15,"(0, 3, 13, 12)",29,"(14, 15)",0:181 5:14 6:15,True,"(0, 5, 13, 12)",29,"(14, 15)",True,arc-gen
False,True,"(6, 2, 19, 24)",11,6:2:9->0 10:2:7->0 10:12:0->7 11:9:7->0 11:12:0->7 12:23:0->1 12:24:1->0 16:15:9->0 17:10:7->0 17:12:0->7 18:3:7->0 18:12:0->7 19:6:0->8 19:8:8->0,14,7->0:4 0->7:4 9->0:2 0->1:1 1->0:1 0->8:1 8->0:1,61,0:432 1:21 7:24 8:21 9:2,"(0, 2, 19, 24)",68,"(20, 25)",0:434 1:21 7:24 8:21,True,"(0, 5, 19, 23)",66,"(20, 25)",True,arc-gen
False,True,"(9, 1, 10, 8)",2,9:1:9->0 9:8:9->0 10:1:0->9 10:8:0->9,4,9->0:2 0->9:2,62,0:202 1:17 9:19,"(4, 0, 11, 16)",36,"(14, 17)",0:202 1:17 9:19,True,"(4, 0, 11, 16)",36,"(14, 17)",True,arc-gen
False,True,"(8, 5, 29, 17)",7,8:11:3->0 9:5:0->2 9:17:2->0 23:5:0->2 23:10:2->0 29:14:0->9 29:17:9->0,7,0->2:2 2->0:2 3->0:1 0->9:1 9->0:1,63,0:506 2:32 3:1 6:30 9:31,"(0, 4, 29, 19)",94,"(30, 20)",0:507 2:32 6:30 9:31,True,"(0, 4, 29, 19)",93,"(30, 20)",True,arc-gen
