idx,split,object_count,output_shape,matching_object_ranks,object_rows
14,arc-gen,3,"(3, 3)",[2],"[{""bbox"": [0, 0, 3, 6], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 11, ""count2"": 3, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 6, 7, 9], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 5, ""count2"": 2, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 0, 9, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 1, ""count2"": 4, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
15,arc-gen,2,"(4, 4)",[1],"[{""bbox"": [0, 6, 6, 10], ""h"": 6, ""w"": 4, ""area"": 24, ""nz"": 24, ""count1"": 14, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 1, 7, 5], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 5, ""count2"": 4, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}]"
16,arc-gen,3,"(3, 4)",[0],"[{""bbox"": [0, 6, 3, 10], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 3, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 0, 9, 5], ""h"": 6, ""w"": 5, ""area"": 30, ""nz"": 30, ""count1"": 17, ""count2"": 1, ""count8"": 12, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [4, 7, 7, 10], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 2, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 2}]"
17,arc-gen,2,"(5, 5)",[1],"[{""bbox"": [0, 7, 6, 10], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 10, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 0, 9, 5], ""h"": 5, ""w"": 5, ""area"": 25, ""nz"": 25, ""count1"": 8, ""count2"": 4, ""count8"": 13, ""colors"": [1, 2, 8], ""rank"": 1}]"
18,arc-gen,3,"(4, 3)",[2],"[{""bbox"": [0, 3, 3, 9], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 7, ""count2"": 1, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 4, 9, 9], ""h"": 5, ""w"": 5, ""area"": 25, ""nz"": 25, ""count1"": 11, ""count2"": 2, ""count8"": 12, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 0, 9, 3], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 3, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
19,arc-gen,3,"(3, 3)",[1],"[{""bbox"": [0, 1, 6, 5], ""h"": 6, ""w"": 4, ""area"": 24, ""nz"": 24, ""count1"": 14, ""count2"": 1, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 6, 4, 9], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 2, 10, 5], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 1, ""count2"": 3, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
20,arc-gen,2,"(4, 4)",[0],"[{""bbox"": [1, 5, 5, 9], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 7, ""count2"": 4, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 0, 6, 3], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 8, ""count2"": 2, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 1}]"
21,arc-gen,3,"(3, 3)",[2],"[{""bbox"": [0, 0, 5, 4], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 9, ""count2"": 3, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 5, 7, 9], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 8, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 1, 10, 4], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 3, ""count2"": 4, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 2}]"
22,arc-gen,3,"(3, 6)",[0],"[{""bbox"": [0, 0, 3, 6], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 10, ""count2"": 4, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 7, 9, 10], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 4, ""count2"": 3, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 0, 10, 6], ""h"": 5, ""w"": 6, ""area"": 30, ""nz"": 30, ""count1"": 11, ""count2"": 2, ""count8"": 17, ""colors"": [1, 2, 8], ""rank"": 2}]"
23,arc-gen,2,"(5, 5)",[1],"[{""bbox"": [0, 6, 6, 9], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 12, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 0, 9, 5], ""h"": 5, ""w"": 5, ""area"": 25, ""nz"": 25, ""count1"": 6, ""count2"": 3, ""count8"": 16, ""colors"": [1, 2, 8], ""rank"": 1}]"
24,arc-gen,3,"(3, 3)",[2],"[{""bbox"": [0, 3, 3, 9], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 9, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 1, 9, 5], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 11, ""count2"": 1, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 6, 8, 9], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 2}]"
25,arc-gen,3,"(3, 5)",[1],"[{""bbox"": [0, 1, 4, 4], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 8, ""count2"": 1, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 5, 4, 10], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 1, 10, 5], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 10, ""count2"": 2, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 2}]"
26,arc-gen,3,"(5, 5)",[0],"[{""bbox"": [0, 5, 5, 10], ""h"": 5, ""w"": 5, ""area"": 25, ""nz"": 25, ""count1"": 15, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 0, 7, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 1, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 4, 9, 9], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 7, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
27,arc-gen,3,"(3, 3)",[1],"[{""bbox"": [0, 2, 4, 6], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 7, ""count2"": 1, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [0, 7, 3, 10], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 3, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 3, 10, 8], ""h"": 5, ""w"": 5, ""area"": 25, ""nz"": 25, ""count1"": 7, ""count2"": 2, ""count8"": 16, ""colors"": [1, 2, 8], ""rank"": 2}]"
28,arc-gen,3,"(3, 6)",[0],"[{""bbox"": [0, 2, 3, 8], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 4, ""count2"": 4, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 5, 8, 8], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 3, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 0, 10, 3], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 1, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 2}]"
29,arc-gen,3,"(3, 4)",[2],"[{""bbox"": [0, 3, 4, 6], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 3, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 7, 8, 10], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 1, 9, 5], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 7, ""count2"": 4, ""count8"": 1, ""colors"": [1, 2, 8], ""rank"": 2}]"
30,arc-gen,3,"(3, 3)",[1],"[{""bbox"": [0, 0, 5, 3], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 2, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 5, 4, 8], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 5, 9, 10], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
31,arc-gen,3,"(4, 5)",[0],"[{""bbox"": [1, 5, 5, 10], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 8, ""count2"": 4, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 0, 9, 4], ""h"": 6, ""w"": 4, ""area"": 24, ""nz"": 24, ""count1"": 7, ""count2"": 2, ""count8"": 15, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 5, 10, 8], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 1, ""count2"": 3, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
32,arc-gen,3,"(3, 5)",[2],"[{""bbox"": [2, 1, 5, 4], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 2, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 6, 10, 9], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 8, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 0, 9, 5], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 4, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
33,arc-gen,3,"(4, 3)",[1],"[{""bbox"": [0, 4, 3, 10], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 9, ""count2"": 2, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 0, 5, 3], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 3, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 2, 10, 8], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 5, ""count2"": 1, ""count8"": 12, ""colors"": [1, 2, 8], ""rank"": 2}]"
34,arc-gen,3,"(4, 4)",[1],"[{""bbox"": [0, 1, 3, 7], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 10, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 6, 8, 10], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 4, ""count2"": 3, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 2, 10, 5], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 2, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
35,arc-gen,3,"(5, 4)",[1],"[{""bbox"": [0, 0, 3, 4], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [0, 5, 5, 9], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 9, ""count2"": 4, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 4, 10, 9], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 2, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 2}]"
36,arc-gen,3,"(5, 3)",[0],"[{""bbox"": [1, 7, 6, 10], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 4, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [2, 0, 6, 6], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 12, ""count2"": 1, ""count8"": 11, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 2, 10, 8], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 9, ""count2"": 2, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 2}]"
37,arc-gen,3,"(3, 4)",[2],"[{""bbox"": [0, 1, 4, 6], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 9, ""count2"": 1, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [0, 7, 4, 10], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 3, 8, 7], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 4, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
38,arc-gen,3,"(4, 4)",[2],"[{""bbox"": [0, 4, 3, 8], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 0, 9, 4], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 10, ""count2"": 2, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 6, 9, 10], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 5, ""count2"": 4, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 2}]"
39,arc-gen,3,"(3, 6)",[2],"[{""bbox"": [0, 0, 5, 3], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 9, ""count2"": 2, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [0, 4, 4, 9], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 9, ""count2"": 1, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 3, 10, 9], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 7, ""count2"": 4, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 2}]"
40,arc-gen,3,"(4, 3)",[2],"[{""bbox"": [1, 7, 5, 10], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 0, 10, 4], ""h"": 6, ""w"": 4, ""area"": 24, ""nz"": 24, ""count1"": 11, ""count2"": 2, ""count8"": 11, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 6, 10, 9], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 2, ""count2"": 4, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
41,arc-gen,3,"(4, 4)",[2],"[{""bbox"": [1, 0, 5, 4], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 7, ""count2"": 2, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 5, 5, 10], ""h"": 4, ""w"": 5, ""area"": 20, ""nz"": 20, ""count1"": 7, ""count2"": 3, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 5, 10, 9], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 6, ""count2"": 4, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
42,arc-gen,3,"(3, 5)",[2],"[{""bbox"": [1, 2, 5, 5], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 2, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 6, 9, 9], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 0, 9, 5], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 2}]"
43,arc-gen,3,"(4, 4)",[0],"[{""bbox"": [0, 0, 4, 4], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 4, ""count2"": 4, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [5, 0, 10, 5], ""h"": 5, ""w"": 5, ""area"": 25, ""nz"": 25, ""count1"": 17, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 6, 9, 9], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 3, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
