task_id,current_cost,shape_pairs,same_shape,avg_changed_ratio,max_changed_ratio,input_colors,output_colors,pass_rule_count,best_projected_gain
70,18939,"(17, 17)->(17, 17):3",True,0.03575547866205306,0.04498269896193772,0 1 8,0 1 3 8,0,0.0
281,18843,"(11, 11)->(11, 11):2;(13, 12)->(13, 12):1",True,0.18070565797838525,0.21153846153846154,0 1 2 3 6 8,0 1 2 3 6,0,0.0
379,18843,"(13, 13)->(13, 13):1;(13, 18)->(13, 18):1;(17, 12)->(17, 12):1",True,0.10790114862513052,0.12745098039215685,0 2 8,0 2 8,0,0.0
69,18263,"(10, 10)->(10, 10):2",True,0.18,0.2,0 4 6 7 8 9,0 4 6 7 9,0,0.0
196,18011,"(15, 15)->(15, 15):2;(9, 9)->(9, 9):1",True,0.12345679012345678,0.18666666666666668,0 1,0 1 3,0,0.0
219,18011,"(15, 10)->(15, 10):3",True,0.10222222222222223,0.14,0 8,0 1 8,0,0.0
183,17795,"(6, 6)->(2, 2):1;(8, 8)->(4, 4):2",False,,,0 1 2 3 4 6 7 8 9,0 2 3 4 6 7 9,0,0.0
325,17795,"(12, 12)->(3, 3):1;(16, 10)->(4, 4):1;(8, 12)->(2, 2):1",False,,,0 8,0 8,0,0.0
84,17595,"(15, 15)->(15, 15):1;(3, 3)->(3, 3):1;(7, 7)->(7, 7):1",True,0.2712622826908541,0.4444444444444444,0 5 6 8,0 2 4 5 6 8,0,0.0
189,17571,"(9, 9)->(6, 6):3",False,,,0 1 2 3 4 5 6 8,0 1 2 4 5 6,0,0.0
239,17568,"(3, 3)->(5, 3):1;(3, 4)->(6, 4):1;(4, 3)->(5, 4):1;(4, 3)->(6, 3):1",False,,,1 2 3 4 8,0 1 2 3 4 8,0,0.0
18,17467,"(14, 15)->(14, 15):1;(14, 18)->(14, 18):1;(16, 14)->(16, 14):1",True,0.08667328042328042,0.10317460317460317,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
154,17371,"(15, 15)->(15, 15):3",True,0.06814814814814815,0.08888888888888889,0 2 5,0 2 5,0,0.0
224,17243,"(12, 13)->(12, 13):1;(15, 13)->(15, 13):1;(15, 14)->(15, 14):1",True,0.18021978021978022,0.20512820512820512,0 1 3 4 5,0 1 3 4 5,0,0.0
163,17092,"(11, 11)->(11, 11):4",True,0.23553719008264462,0.32231404958677684,0 1 2 3 4 5 6 7 8 9,0 2 3 4 5 6 7 8 9,0,0.0
34,17058,"(9, 9)->(9, 9):4",True,0.2623456790123457,0.3950617283950617,0 2 3 4 6 7,0 3 4 6 7,0,0.0
85,16926,"(8, 20)->(8, 20):1;(8, 30)->(8, 30):1",True,0.06979166666666667,0.08333333333333333,0 1 4 7 8,0 1 4 7 8,0,0.0
390,16699,"(15, 15)->(15, 15):3",True,0.06222222222222223,0.07111111111111111,0 2 5,0 2 5,0,0.0
330,16635,"(10, 10)->(10, 10):3",True,0.26333333333333336,0.35,0 5,0 1 2,0,0.0
319,16583,"(15, 17)->(3, 5):1;(17, 17)->(5, 5):1;(18, 18)->(5, 3):1;(19, 17)->(5, 3):1",False,,,1 2 3 4 6 8,1 2 3 4 8,0,0.0
232,16283,"(10, 12)->(10, 12):1;(10, 8)->(10, 8):1;(7, 8)->(7, 8):1",True,0.1279761904761905,0.2,0 2 3 6 8,0 2 3 5 6 8,0,0.0
36,15912,"(30, 30)->(3, 3):1;(30, 30)->(5, 3):1",False,,,0 1 2 3 4 5,0 3 4,0,0.0
358,15757,"(12, 11)->(12, 11):1;(15, 14)->(15, 14):1",True,0.1143939393939394,0.12878787878787878,0 2 3 4 8,0 2 3 4 8,0,0.0
351,15683,"(16, 16)->(5, 5):3",False,,,1 2 3 4 5 6 7 8 9,1 2 5 6 7 8 9,0,0.0
44,15483,"(10, 10)->(10, 10):3",True,0.18666666666666668,0.24,0 2 3 4 5 6 7 8 9,0 2 3 4 5 6 7 8 9,0,0.0
57,15459,"(8, 8)->(3, 6):3",False,,,0 1 2 8,0 1 2 8,0,0.0
365,15459,"(10, 10)->(3, 3):1;(10, 10)->(5, 4):1;(10, 10)->(6, 4):1",False,,,0 1 2 8,1 2 8,0,0.0
400,15459,"(24, 24)->(5, 5):3",False,,,0 1 2 3 5 6 8,0 3 5 6,0,0.0
247,15339,"(10, 10)->(3, 1):1;(10, 10)->(3, 2):1;(10, 10)->(3, 3):1;(10, 10)->(5, 1):1;(10, 10)->(5, 3):1;(10, 10)->(9, 2):1",False,,,0 1 2 3 4 6 7 8 9,1 2 3 4 6 8 9,0,0.0
368,15056,"(10, 10)->(10, 10):2",True,0.21,0.24,0 2 4 5 6 8,0 2 4 6 8,0,0.0
112,15003,"(10, 10)->(10, 10):1;(12, 14)->(12, 14):1;(20, 30)->(20, 30):1",True,0.07666666666666666,0.18,0 2 3,0 2 3,0,0.0
197,14567,"(10, 8)->(10, 8):2;(12, 8)->(12, 8):1;(6, 8)->(6, 8):1",True,0.13541666666666666,0.1875,0 1 2 3 4 5 6 8,0 1 2 3 4 5 6 8,0,0.0
253,14444,"(13, 13)->(4, 4):2",False,,,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
82,14420,"(6, 10)->(6, 10):1;(6, 7)->(6, 7):1",True,0.22857142857142856,0.26666666666666666,0 2 4 8,0 2 4 8,0,0.0
141,14107,"(15, 15)->(15, 15):2;(7, 7)->(7, 7):1",True,0.12728647014361302,0.20408163265306123,0 2 7 8,0 2 7 8,0,0.0
117,14075,"(12, 12)->(12, 12):1;(14, 14)->(14, 14):2",True,0.12145691609977323,0.15306122448979592,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
287,13779,"(16, 16)->(16, 16):4",True,0.076171875,0.09375,1 2 3 4 5 6 7 8 9,1 2 3 5 6 7 8 9,0,0.0
284,13755,"(10, 13)->(10, 13):1;(10, 18)->(10, 18):1;(14, 10)->(14, 10):1",True,0.13487993487993488,0.15384615384615385,0 1 2 3 5 8,0 1 2 3 5 8,0,0.0
170,13731,"(22, 22)->(4, 4):1;(27, 21)->(3, 3):1;(27, 25)->(3, 3):1",False,,,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0,0.0
244,13731,"(11, 11)->(3, 3):1;(19, 19)->(4, 4):2",False,,,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
4,13560,"(14, 9)->(14, 9):1;(8, 9)->(8, 9):1",True,0.1468253968253968,0.16666666666666666,0 2 6 8,0 2 6 8,0,0.0
375,13531,"(3, 3)->(3, 3):1;(5, 5)->(5, 5):1;(7, 7)->(7, 7):1",True,0.33644746787603924,0.4444444444444444,0 1 2 3,0 1 2 3,0,0.0
178,13497,"(3, 3)->(1, 3):1;(3, 3)->(3, 1):1;(3, 5)->(1, 4):1;(4, 2)->(3, 1):1;(6, 4)->(4, 1):1",False,,,1 2 3 4 6 8,1 2 3 4 6 8,0,0.0
185,13431,"(27, 27)->(3, 3):2;(29, 29)->(3, 3):2",False,,,0 1 2 3 4 6 8,0 1 2 3 6 8,0,0.0
300,13323,"(5, 10)->(3, 2):1;(6, 11)->(4, 3):1;(7, 13)->(4, 3):1;(7, 9)->(3, 3):1",False,,,0 1 2 3 4 6 7 8,0 2 4 8,0,0.0
22,13283,"(11, 11)->(3, 3):3",False,,,0 1 2 3 4 5 6 7 9,0 1 2 3 4 5 6 7 9,0,0.0
174,12963,"(10, 10)->(2, 2):1;(10, 10)->(2, 4):2",False,,,0 2 3 4 5 6 7 8,0 4 5 6,0,0.0
79,12835,"(14, 14)->(3, 3):3",False,,,0 1 2 4 6 8,0 4 8,0,0.0
271,12732,"(9, 9)->(3, 3):4",False,,,0 1 8,1 8,0,0.0
218,12611,"(21, 21)->(2, 2):1;(21, 21)->(3, 2):1;(21, 21)->(3, 3):1",False,,,0 1 2 3 4 5 7 8,1 2 3 4 5 7 8,0,0.0
242,12611,"(16, 16)->(3, 3):3",False,,,0 1 2 3 4 5 6 7 8 9,1 2 3 4 5 6 7 9,0,0.0
93,12539,"(14, 14)->(14, 14):3",True,0.08333333333333333,0.09693877551020408,0 1 2 3 5,0 5,0,0.0
130,12490,"(9, 9)->(3, 3):2",False,,,0 2 3 5 6 7 8 9,0 2 3 6 7 8 9,0,0.0
217,12475,"(9, 9)->(9, 9):3",True,0.1810699588477366,0.24691358024691357,0 6 7 8,0 6 7 8,0,0.0
184,12387,"(18, 22)->(2, 3):1;(20, 20)->(2, 2):1;(23, 17)->(3, 2):1",False,,,0 1 2 3 4 6 7 8,1 2 3 4 6 7 8,0,0.0
182,12364,"(20, 20)->(20, 20):4",True,0.030625,0.045,0 1 2 3 5,0 1 2 3 5,0,0.0
265,12187,"(18, 18)->(18, 18):3",True,0.06378600823045268,0.07407407407407407,0 5,0 2 5,0,0.0
162,12027,"(20, 20)->(20, 20):3",True,0.03,0.045,0 3 5 7,0 1 3 5 7,0,0.0
166,11867,"(14, 10)->(14, 10):1;(7, 8)->(7, 8):1;(9, 8)->(9, 8):1",True,0.1318783068783069,0.1527777777777778,0 8,0 2 8,0,0.0
131,11707,"(17, 5)->(17, 5):2;(4, 16)->(4, 16):1",True,0.30281862745098037,0.34375,0 2 3,0 2 3 8,0,0.0
89,11703,"(13, 13)->(13, 13):4",True,0.05029585798816568,0.08284023668639054,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
355,11622,"(16, 15)->(1, 1):1;(16, 17)->(1, 1):1;(16, 19)->(1, 1):1;(17, 13)->(1, 1):1",False,,,0 1 2 3 4 5 6 8,2 4 6 8,0,0.0
370,11547,"(12, 14)->(12, 14):1;(12, 16)->(12, 16):1;(13, 15)->(13, 15):1",True,0.07210012210012211,0.08333333333333333,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
374,11254,"(10, 10)->(10, 10):4",True,0.14,0.16,0 5,0 1 2 4,0,0.0
12,11213,"(12, 12)->(12, 12):2",True,0.16666666666666666,0.16666666666666666,0 2 6 7 8,0 2 6 7 8,0,0.0
193,11099,"(13, 13)->(13, 13):1;(17, 17)->(17, 17):1;(7, 7)->(7, 7):1",True,0.058535352881145496,0.10204081632653061,0 5 6 7,0 5 6 7,0,0.0
343,11099,"(5, 15)->(5, 15):3",True,0.16,0.18666666666666668,0 1 2 3 4,0 1 2 3 4,0,0.0
340,10939,"(10, 15)->(10, 15):1;(12, 12)->(12, 12):1;(14, 11)->(14, 11):1",True,0.08047619047619048,0.08666666666666667,0 1 2 3 4 6 7 8,0 1 2 3 4 6 7 8,0,0.0
23,10875,"(8, 10)->(8, 10):1;(8, 9)->(8, 9):1;(9, 11)->(9, 11):1",True,0.2230218855218855,0.2625,0 5,0 2 8,0,0.0
66,10875,"(10, 10)->(10, 10):1;(15, 15)->(15, 15):1;(20, 20)->(20, 20):1",True,0.06259259259259259,0.07,0 2 3 8,0 2 3 8,0,0.0
208,10875,"(21, 21)->(21, 21):3",True,0.034769463340891905,0.04081632653061224,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
251,10875,"(12, 12)->(12, 12):1;(8, 8)->(8, 8):2",True,0.13425925925925927,0.1527777777777778,0 2,0 1 2,0,0.0
64,10771,"(10, 12)->(10, 12):1;(14, 12)->(14, 12):1;(14, 18)->(14, 18):1;(9, 12)->(9, 12):1",True,0.032374338624338625,0.037037037037037035,1 2 3 4 5 8,1 2 3 4 5 8,0,0.0
8,10555,"(11, 10)->(11, 10):1;(14, 9)->(14, 9):1;(9, 10)->(9, 10):1",True,0.15901875901875903,0.2,0 2 8,0 2 8,0,0.0
77,10491,"(15, 14)->(15, 14):1;(15, 16)->(15, 16):1;(17, 18)->(17, 18):1",True,0.051054310613134146,0.0625,0 1 2 3 8,0 1 2 3 4 8,0,0.0
25,10331,"(15, 14)->(15, 14):1;(15, 16)->(15, 16):1;(18, 19)->(18, 19):1",True,0.03734335839598998,0.05238095238095238,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
397,10235,"(10, 10)->(10, 10):3",True,0.12,0.16,0 1 2 4 6 7 8 9,0 1 2 3 4 6 7 8 9,0,0.0
102,10233,"(12, 12)->(12, 12):4",True,0.052083333333333336,0.14583333333333334,0 5,0 2 5,0,0.0
118,10000,"(11, 12)->(11, 12):1;(18, 19)->(18, 19):1;(20, 20)->(20, 20):1;(20, 22)->(20, 22):1",True,0.02276847421584264,0.035,0 2 5,0 2 5 8,0,0.0
270,9819,"(15, 15)->(15, 15):3",True,0.056296296296296296,0.07111111111111111,0 1 2 3 7,0 1 2 3 7,0,0.0
169,9787,"(10, 10)->(10, 10):3",True,0.15,0.18,0 5,0 1 2 3,0,0.0
341,9787,"(10, 10)->(10, 10):3",True,0.11666666666666665,0.2,0 2 3 4 6 7 9,0 2 3 4 6 7 8 9,0,0.0
246,9755,"(10, 16)->(10, 16):1;(12, 14)->(12, 14):1;(15, 15)->(15, 15):1",True,0.08619708994708995,0.09375,0 2 3,0 2 3 8,0,0.0
252,9531,"(3, 3)->(3, 3):1;(6, 6)->(6, 6):1;(8, 8)->(8, 8):1",True,0.09085648148148147,0.1111111111111111,0 2 3 9,0 2 3 4 9,0,0.0
71,9502,"(16, 16)->(16, 16):2",True,0.0546875,0.0625,0 1 2 3 6,0 2 6,0,0.0
156,9502,"(10, 10)->(10, 10):2",True,0.11499999999999999,0.12,0 4,0 1 2 4,0,0.0
225,9371,"(6, 6)->(6, 6):3",True,0.3796296296296296,0.4444444444444444,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0,0.0
335,9307,"(10, 12)->(10, 12):1;(12, 11)->(12, 11):1;(8, 11)->(8, 11):1",True,0.10934343434343434,0.11363636363636363,0 2 8,0 2 4 8,0,0.0
41,9243,"(10, 10)->(10, 10):3",True,0.13999999999999999,0.18,0 1 3 4 6 8,0 1 3 4 6 8,0,0.0
192,9231,"(13, 14)->(13, 14):1;(13, 16)->(13, 16):1",True,0.07280219780219781,0.08791208791208792,0 1 2 3 8,0 2 3,0,0.0
50,9146,"(10, 11)->(10, 11):1;(12, 11)->(12, 11):2;(3, 3)->(3, 3):1;(5, 6)->(5, 6):1;(7, 13)->(7, 13):1;(7, 6)->(7, 6):1;(9, 6)->(9, 6):1",True,0.06069786694786695,0.09523809523809523,0 8,0 3 8,0,0.0
250,8969,"(10, 10)->(10, 10):2",True,0.07,0.08,0 2 5,0 2 5,0,0.0
245,8818,"(7, 7)->(7, 7):1;(9, 10)->(9, 10):1;(9, 8)->(9, 8):1;(9, 9)->(9, 9):1",True,0.20553350970017636,0.2857142857142857,0 2 3,0 2 3,0,0.0
237,8729,"(3, 3)->(3, 3):1;(6, 6)->(6, 6):2;(7, 5)->(7, 5):1",True,0.2589285714285714,0.2857142857142857,0 2 3 5 6 7 8,0 2 3 5 6 7 8,0,0.0
173,8475,"(13, 12)->(13, 12):1;(13, 22)->(13, 22):1;(14, 19)->(14, 19):1",True,0.032100939995676835,0.045454545454545456,0 1 2 3 4 6 8,0 1 2 3 4 6 8,0,0.0
37,8379,"(10, 10)->(10, 10):3",True,0.09333333333333334,0.11,0 2 3 4 6 7 8 9,0 2 3 4 6 7 8 9,0,0.0
361,8315,"(10, 10)->(10, 10):3",True,0.049999999999999996,0.06,0 3 4 6 7 8 9,0 3 4 6 7 8 9,0,0.0
97,8263,"(11, 19)->(11, 19):1;(12, 18)->(12, 18):1;(16, 11)->(16, 11):1;(17, 9)->(17, 9):1",True,0.055704914209171175,0.0625,0 4 5 6 8,0 4 5 6 8,0,0.0
90,8030,"(2, 20)->(2, 20):1;(3, 30)->(3, 30):1;(4, 20)->(4, 20):2",True,0.13159722222222223,0.25,0 1 5,0 1 5 6,0,0.0
