canon_pos,count,template_name,feature_bits
"((0, 0), (0, 2), (0, 4), (2, 2), (4, 0), (4, 4))",3,edge_mid,"{""center_eq0"": false, ""center_eq1"": true, ""center_eq2"": false, ""center_ge1"": true, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": true, ""corner_and_edge"": true, ""corner_and_inner"": false, ""corners_eq0"": false, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": true, ""corners_ge2"": true, ""corners_ge3"": true, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": false, ""edge_mid_eq0"": false, ""edge_mid_eq1"": true, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": true, ""has_corners"": true, ""has_edge_mid"": true, ""has_inner"": false, ""inner_eq0"": true, ""inner_eq1"": false, ""inner_eq2"": false, ""inner_ge1"": false, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 0), (0, 2), (0, 4), (4, 0), (4, 4))",14,edge_mid,"{""center_eq0"": true, ""center_eq1"": false, ""center_eq2"": false, ""center_ge1"": false, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": false, ""corner_and_edge"": true, ""corner_and_inner"": false, ""corners_eq0"": false, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": true, ""corners_ge2"": true, ""corners_ge3"": true, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": false, ""edge_mid_eq0"": false, ""edge_mid_eq1"": true, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": false, ""has_corners"": true, ""has_edge_mid"": true, ""has_inner"": false, ""inner_eq0"": true, ""inner_eq1"": false, ""inner_eq2"": false, ""inner_ge1"": false, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 2),)",45,edge_mid,"{""center_eq0"": true, ""center_eq1"": false, ""center_eq2"": false, ""center_ge1"": false, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": false, ""corner_and_edge"": false, ""corner_and_inner"": false, ""corners_eq0"": true, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": false, ""corners_ge2"": false, ""corners_ge3"": false, ""count_eq1"": true, ""count_eq2"": false, ""count_ge5"": false, ""edge_and_inner"": false, ""edge_mid_eq0"": false, ""edge_mid_eq1"": true, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": false, ""has_corners"": false, ""has_edge_mid"": true, ""has_inner"": false, ""inner_eq0"": true, ""inner_eq1"": false, ""inner_eq2"": false, ""inner_ge1"": false, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": true, ""only_inner"": false}"
"((0, 2), (1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",1,edge_mid,"{""center_eq0"": false, ""center_eq1"": true, ""center_eq2"": false, ""center_ge1"": true, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": true, ""corner_and_edge"": false, ""corner_and_inner"": false, ""corners_eq0"": true, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": false, ""corners_ge2"": false, ""corners_ge3"": false, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": true, ""edge_mid_eq0"": false, ""edge_mid_eq1"": true, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": true, ""has_corners"": false, ""has_edge_mid"": true, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": false, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": true, ""inner_ge3"": true, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 2), (1, 1), (1, 3), (3, 1), (3, 3))",13,edge_mid,"{""center_eq0"": true, ""center_eq1"": false, ""center_eq2"": false, ""center_ge1"": false, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": false, ""corner_and_edge"": false, ""corner_and_inner"": false, ""corners_eq0"": true, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": false, ""corners_ge2"": false, ""corners_ge3"": false, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": true, ""edge_mid_eq0"": false, ""edge_mid_eq1"": true, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": false, ""has_corners"": false, ""has_edge_mid"": true, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": false, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": true, ""inner_ge3"": true, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 2), (2, 2))",11,edge_mid,"{""center_eq0"": false, ""center_eq1"": true, ""center_eq2"": false, ""center_ge1"": true, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": true, ""corner_and_edge"": false, ""corner_and_inner"": false, ""corners_eq0"": true, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": false, ""corners_ge2"": false, ""corners_ge3"": false, ""count_eq1"": false, ""count_eq2"": true, ""count_ge5"": false, ""edge_and_inner"": false, ""edge_mid_eq0"": false, ""edge_mid_eq1"": true, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": true, ""has_corners"": false, ""has_edge_mid"": true, ""has_inner"": false, ""inner_eq0"": true, ""inner_eq1"": false, ""inner_eq2"": false, ""inner_ge1"": false, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 0), (0, 2), (0, 4), (1, 1), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2), (4, 4))",1,inner_diag,"{""center_eq0"": false, ""center_eq1"": true, ""center_eq2"": false, ""center_ge1"": true, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": true, ""corner_and_edge"": true, ""corner_and_inner"": true, ""corners_eq0"": false, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": true, ""corners_ge2"": true, ""corners_ge3"": true, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": true, ""edge_mid_eq0"": false, ""edge_mid_eq1"": false, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": true, ""edge_mid_ge3"": true, ""has_center"": true, ""has_corners"": true, ""has_edge_mid"": true, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": true, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 0), (0, 2), (0, 4), (1, 1), (2, 0), (2, 4), (4, 0), (4, 2), (4, 4))",1,inner_diag,"{""center_eq0"": true, ""center_eq1"": false, ""center_eq2"": false, ""center_ge1"": false, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": false, ""corner_and_edge"": true, ""corner_and_inner"": true, ""corners_eq0"": false, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": true, ""corners_ge2"": true, ""corners_ge3"": true, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": true, ""edge_mid_eq0"": false, ""edge_mid_eq1"": false, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": true, ""edge_mid_ge3"": true, ""has_center"": false, ""has_corners"": true, ""has_edge_mid"": true, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": true, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 0), (0, 4), (1, 1), (2, 2), (4, 0), (4, 4))",2,inner_diag,"{""center_eq0"": false, ""center_eq1"": true, ""center_eq2"": false, ""center_ge1"": true, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": true, ""corner_and_edge"": false, ""corner_and_inner"": true, ""corners_eq0"": false, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": true, ""corners_ge2"": true, ""corners_ge3"": true, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": false, ""edge_mid_eq0"": true, ""edge_mid_eq1"": false, ""edge_mid_eq2"": false, ""edge_mid_ge1"": false, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": true, ""has_corners"": true, ""has_edge_mid"": false, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": true, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))",15,inner_diag,"{""center_eq0"": true, ""center_eq1"": false, ""center_eq2"": false, ""center_ge1"": false, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": false, ""corner_and_edge"": false, ""corner_and_inner"": true, ""corners_eq0"": false, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": true, ""corners_ge2"": true, ""corners_ge3"": true, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": false, ""edge_mid_eq0"": true, ""edge_mid_eq1"": false, ""edge_mid_eq2"": false, ""edge_mid_ge1"": false, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": false, ""has_corners"": true, ""has_edge_mid"": false, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": true, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 2), (1, 1), (2, 0), (2, 2), (2, 4), (4, 2))",4,inner_diag,"{""center_eq0"": false, ""center_eq1"": true, ""center_eq2"": false, ""center_ge1"": true, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": true, ""corner_and_edge"": false, ""corner_and_inner"": false, ""corners_eq0"": true, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": false, ""corners_ge2"": false, ""corners_ge3"": false, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": true, ""edge_mid_eq0"": false, ""edge_mid_eq1"": false, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": true, ""edge_mid_ge3"": true, ""has_center"": true, ""has_corners"": false, ""has_edge_mid"": true, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": true, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((0, 2), (1, 1), (2, 0), (2, 4), (4, 2))",9,inner_diag,"{""center_eq0"": true, ""center_eq1"": false, ""center_eq2"": false, ""center_ge1"": false, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": false, ""corner_and_edge"": false, ""corner_and_inner"": false, ""corners_eq0"": true, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": false, ""corners_ge2"": false, ""corners_ge3"": false, ""count_eq1"": false, ""count_eq2"": false, ""count_ge5"": true, ""edge_and_inner"": true, ""edge_mid_eq0"": false, ""edge_mid_eq1"": false, ""edge_mid_eq2"": false, ""edge_mid_ge1"": true, ""edge_mid_ge2"": true, ""edge_mid_ge3"": true, ""has_center"": false, ""has_corners"": false, ""has_edge_mid"": true, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": true, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
"((1, 1),)",47,inner_diag,"{""center_eq0"": true, ""center_eq1"": false, ""center_eq2"": false, ""center_ge1"": false, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": false, ""corner_and_edge"": false, ""corner_and_inner"": false, ""corners_eq0"": true, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": false, ""corners_ge2"": false, ""corners_ge3"": false, ""count_eq1"": true, ""count_eq2"": false, ""count_ge5"": false, ""edge_and_inner"": false, ""edge_mid_eq0"": true, ""edge_mid_eq1"": false, ""edge_mid_eq2"": false, ""edge_mid_ge1"": false, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": false, ""has_corners"": false, ""has_edge_mid"": false, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": true, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": true}"
"((1, 1), (2, 2))",8,inner_diag,"{""center_eq0"": false, ""center_eq1"": true, ""center_eq2"": false, ""center_ge1"": true, ""center_ge2"": false, ""center_ge3"": false, ""center_present"": true, ""corner_and_edge"": false, ""corner_and_inner"": false, ""corners_eq0"": true, ""corners_eq1"": false, ""corners_eq2"": false, ""corners_ge1"": false, ""corners_ge2"": false, ""corners_ge3"": false, ""count_eq1"": false, ""count_eq2"": true, ""count_ge5"": false, ""edge_and_inner"": false, ""edge_mid_eq0"": true, ""edge_mid_eq1"": false, ""edge_mid_eq2"": false, ""edge_mid_ge1"": false, ""edge_mid_ge2"": false, ""edge_mid_ge3"": false, ""has_center"": true, ""has_corners"": false, ""has_edge_mid"": false, ""has_inner"": true, ""inner_eq0"": false, ""inner_eq1"": true, ""inner_eq2"": false, ""inner_ge1"": true, ""inner_ge2"": false, ""inner_ge3"": false, ""only_center"": false, ""only_corners"": false, ""only_edge_mid"": false, ""only_inner"": false}"
