idx,shape,output,mode_color,least_color,unique_color,border_mode,inner_mode,center_color,corner_tl,corner_tr,corner_bl,corner_br,bbox_center,bbox_mode,bbox_least
219,11x12,9,5,4,0,5,5,5,5,6,8,9,5,5,4
220,16x14,6,9,7,0,9,9,9,6,9,1,0,9,9,7
221,18x17,5,3,2,0,3,3,3,7,5,3,1,3,3,2
222,15x18,9,6,7,0,3,6,6,7,3,9,6,6,6,7
223,16x13,2,6,4,0,2,6,2,6,9,2,3,2,6,4
224,13x14,6,8,2,0,8,8,8,1,6,8,3,8,8,2
225,16x14,0,1,5,0,1,1,1,0,9,2,1,1,1,5
226,15x20,8,8,1,0,8,8,0,4,7,8,0,0,8,1
227,16x14,8,9,7,0,9,9,9,9,5,8,2,9,9,7
228,13x12,6,3,8,0,3,3,3,4,6,3,9,3,3,8
229,16x17,7,2,6,0,2,2,2,7,2,4,0,2,2,6
230,15x16,9,4,3,0,2,4,7,3,7,2,9,7,4,3
231,15x10,2,1,8,0,2,1,1,3,4,2,1,1,1,8
232,13x13,7,7,2,0,1,7,7,4,1,5,7,7,7,2
233,18x16,6,9,2,0,9,9,0,9,0,6,7,0,9,2
234,10x15,2,8,6,0,2,8,8,9,2,3,8,8,8,6
235,11x19,6,1,7,0,1,1,1,6,5,1,8,1,1,7
236,16x14,9,3,1,0,3,3,3,2,3,9,7,3,3,1
237,18x10,2,3,1,0,3,2,2,9,1,8,2,2,3,1
238,18x15,7,8,6,0,8,8,8,5,8,7,0,8,8,6
239,15x12,4,4,2,0,6,4,4,6,2,5,7,4,4,2
240,10x17,2,5,6,0,3,5,3,9,5,2,3,3,5,6
241,15x17,6,6,3,0,6,6,6,1,6,9,8,6,6,3
242,17x13,6,6,5,0,7,6,6,4,7,3,6,6,6,5
243,12x13,2,9,4,0,9,9,9,0,9,2,7,9,9,4
244,15x19,8,5,6,0,5,5,5,0,1,5,8,5,5,6
245,14x13,8,4,3,0,4,4,5,8,4,6,5,5,4,3
246,15x12,1,4,8,0,4,4,4,8,1,8,4,4,4,8
247,17x15,0,1,3,0,1,1,1,1,0,2,6,1,1,3
248,17x16,6,9,3,0,9,9,9,8,6,4,9,9,9,3
249,16x18,7,7,4,0,2,7,0,7,0,2,3,0,7,4
250,16x17,2,8,9,0,8,8,8,2,8,6,7,8,8,9
251,12x15,3,6,9,0,6,6,6,6,4,7,3,6,6,9
252,12x13,0,1,5,0,1,1,1,1,6,7,5,1,1,5
253,15x15,2,7,1,0,7,7,7,7,3,2,0,7,7,1
254,18x19,7,1,3,0,1,1,1,0,7,1,6,1,1,3
255,16x16,3,2,5,0,3,2,2,3,4,2,9,2,2,5
256,14x14,6,1,8,0,1,1,1,8,4,1,6,1,1,8
257,15x16,1,1,3,0,1,1,1,6,1,8,4,1,1,3
258,11x11,3,3,8,0,2,3,3,3,4,2,7,3,3,8
259,17x17,9,3,1,0,3,3,3,6,3,9,2,3,3,1
260,14x13,7,7,6,0,7,7,6,1,4,7,2,6,7,6
261,19x17,7,7,2,0,7,7,7,1,7,0,5,7,7,2
262,17x11,1,1,2,0,1,1,1,1,7,9,6,1,1,2
263,12x13,7,3,6,0,3,3,3,5,3,0,7,3,3,6
264,16x14,1,3,2,0,1,3,8,3,0,1,8,8,3,2
265,14x17,2,5,9,0,5,5,5,4,8,5,2,5,5,9
266,14x14,9,5,4,0,5,5,0,5,6,0,9,0,5,4
