idx,split,input_shape,output_shape,source_objects,used_objects,distractor_objects,marker_cells,max_patch_cells,unique_templates
56,arc-gen,"(10, 18)","(10, 9)",2,2,0,3,14,2
57,arc-gen,"(26, 12)","(13, 12)",3,1,2,1,25,3
58,arc-gen,"(10, 22)","(10, 11)",2,1,1,1,14,2
59,arc-gen,"(26, 12)","(13, 12)",3,2,1,3,24,3
60,arc-gen,"(15, 26)","(15, 13)",3,1,2,4,49,3
61,arc-gen,"(10, 24)","(10, 12)",2,2,0,1,21,2
62,arc-gen,"(26, 13)","(13, 13)",3,3,0,6,21,3
63,arc-gen,"(20, 9)","(10, 9)",2,2,0,3,21,2
64,arc-gen,"(30, 15)","(15, 15)",3,1,2,1,18,3
65,arc-gen,"(22, 10)","(11, 10)",2,1,1,1,21,2
66,arc-gen,"(14, 30)","(14, 15)",3,2,1,3,20,3
67,arc-gen,"(26, 11)","(13, 11)",3,1,2,1,35,3
68,arc-gen,"(22, 13)","(11, 13)",2,1,1,1,24,2
69,arc-gen,"(12, 26)","(12, 13)",3,1,2,1,42,3
70,arc-gen,"(30, 16)","(15, 16)",3,3,0,6,30,3
71,arc-gen,"(26, 15)","(13, 15)",3,2,1,4,14,3
72,arc-gen,"(20, 10)","(10, 10)",2,1,1,1,12,2
73,arc-gen,"(14, 28)","(14, 14)",3,2,1,4,14,3
74,arc-gen,"(20, 8)","(10, 8)",2,2,0,3,20,2
75,arc-gen,"(10, 24)","(10, 12)",2,2,0,3,15,2
76,arc-gen,"(22, 13)","(11, 13)",2,2,0,3,35,2
77,arc-gen,"(26, 12)","(13, 12)",3,2,1,3,20,3
78,arc-gen,"(12, 26)","(12, 13)",3,3,0,3,14,3
79,arc-gen,"(12, 28)","(12, 14)",3,2,1,4,12,3
80,arc-gen,"(10, 24)","(10, 12)",2,1,1,1,20,2
81,arc-gen,"(11, 26)","(11, 13)",2,1,1,1,21,2
82,arc-gen,"(22, 13)","(11, 13)",2,2,0,3,30,2
83,arc-gen,"(26, 15)","(13, 15)",3,3,0,4,28,3
84,arc-gen,"(20, 9)","(10, 9)",2,1,1,1,30,2
85,arc-gen,"(12, 22)","(12, 11)",3,3,0,4,16,3
86,arc-gen,"(13, 30)","(13, 15)",3,2,1,4,18,3
87,arc-gen,"(20, 9)","(10, 9)",2,1,1,1,24,2
88,arc-gen,"(12, 26)","(12, 13)",3,2,1,4,35,3
89,arc-gen,"(20, 11)","(10, 11)",2,1,1,1,36,2
90,arc-gen,"(10, 20)","(10, 10)",2,2,0,3,14,2
91,arc-gen,"(11, 20)","(11, 10)",2,2,0,3,12,2
92,arc-gen,"(12, 28)","(12, 14)",3,2,1,3,15,3
93,arc-gen,"(14, 26)","(14, 13)",3,2,1,4,28,3
94,arc-gen,"(22, 12)","(11, 12)",2,1,1,1,12,2
95,arc-gen,"(26, 14)","(13, 14)",3,3,0,6,10,3
96,arc-gen,"(22, 11)","(11, 11)",2,1,1,1,42,2
97,arc-gen,"(28, 15)","(14, 15)",3,2,1,4,10,3
98,arc-gen,"(11, 18)","(11, 9)",2,2,0,3,12,2
99,arc-gen,"(26, 14)","(13, 14)",3,3,0,6,12,3
100,arc-gen,"(30, 16)","(15, 16)",3,3,0,3,12,3
101,arc-gen,"(24, 14)","(12, 14)",3,2,1,3,42,3
102,arc-gen,"(11, 18)","(11, 9)",2,2,0,3,9,2
103,arc-gen,"(20, 12)","(10, 12)",2,2,0,3,15,2
104,arc-gen,"(20, 9)","(10, 9)",2,2,0,3,12,2
105,arc-gen,"(22, 12)","(11, 12)",2,1,1,1,28,2
106,arc-gen,"(22, 11)","(11, 11)",2,2,0,3,15,2
107,arc-gen,"(15, 32)","(15, 16)",3,3,0,4,42,3
108,arc-gen,"(13, 22)","(13, 11)",3,3,0,6,21,3
109,arc-gen,"(20, 10)","(10, 10)",2,1,1,3,10,2
110,arc-gen,"(13, 26)","(13, 13)",3,2,1,6,24,3
111,arc-gen,"(14, 24)","(14, 12)",3,3,0,3,28,3
112,arc-gen,"(22, 9)","(11, 9)",2,2,0,3,28,2
113,arc-gen,"(28, 14)","(14, 14)",3,3,0,6,15,3
114,arc-gen,"(28, 16)","(14, 16)",3,3,0,6,20,3
115,arc-gen,"(30, 14)","(15, 14)",3,3,0,6,20,3
116,arc-gen,"(28, 16)","(14, 16)",3,2,1,4,16,3
117,arc-gen,"(13, 30)","(13, 15)",3,1,2,4,30,3
118,arc-gen,"(30, 17)","(15, 17)",3,1,2,1,25,3
119,arc-gen,"(28, 13)","(14, 13)",3,3,0,3,20,3
120,arc-gen,"(13, 26)","(13, 13)",3,3,0,4,12,3
121,arc-gen,"(13, 30)","(13, 15)",3,3,0,6,12,3
122,arc-gen,"(22, 11)","(11, 11)",2,2,0,3,20,2
123,arc-gen,"(11, 22)","(11, 11)",2,2,0,3,15,2
124,arc-gen,"(26, 11)","(13, 11)",3,3,0,3,24,3
125,arc-gen,"(28, 12)","(14, 12)",3,2,1,3,14,3
126,arc-gen,"(13, 30)","(13, 15)",3,2,1,3,20,3
127,arc-gen,"(14, 28)","(14, 14)",3,3,0,6,12,3
128,arc-gen,"(13, 24)","(13, 12)",3,2,1,4,18,3
129,arc-gen,"(10, 16)","(10, 8)",2,1,1,1,30,2
130,arc-gen,"(15, 32)","(15, 16)",3,2,1,4,42,3
131,arc-gen,"(20, 9)","(10, 9)",2,1,1,1,30,2
132,arc-gen,"(30, 15)","(15, 15)",3,3,0,6,24,3
133,arc-gen,"(28, 15)","(14, 15)",3,2,1,4,42,3
134,arc-gen,"(12, 20)","(12, 10)",3,2,1,1,24,3
135,arc-gen,"(12, 26)","(12, 13)",3,1,2,1,14,3
136,arc-gen,"(30, 17)","(15, 17)",3,2,1,6,15,3
137,arc-gen,"(14, 32)","(14, 16)",3,3,0,4,35,3
138,arc-gen,"(28, 15)","(14, 15)",3,2,1,3,16,3
139,arc-gen,"(24, 14)","(12, 14)",3,1,2,4,9,3
140,arc-gen,"(13, 30)","(13, 15)",3,1,2,1,15,3
141,arc-gen,"(11, 26)","(11, 13)",2,1,1,1,42,2
142,arc-gen,"(14, 24)","(14, 12)",3,2,1,4,15,3
143,arc-gen,"(10, 24)","(10, 12)",2,1,1,1,28,2
144,arc-gen,"(12, 28)","(12, 14)",3,1,2,1,36,3
145,arc-gen,"(13, 26)","(13, 13)",3,1,2,4,21,3
146,arc-gen,"(22, 13)","(11, 13)",2,1,1,1,12,2
147,arc-gen,"(28, 13)","(14, 13)",3,3,0,4,18,3
148,arc-gen,"(30, 14)","(15, 14)",3,2,1,3,12,3
149,arc-gen,"(20, 8)","(10, 8)",2,1,1,1,16,2
150,arc-gen,"(24, 11)","(12, 11)",3,1,2,1,24,3
151,arc-gen,"(11, 26)","(11, 13)",2,2,0,3,12,2
152,arc-gen,"(15, 26)","(15, 13)",3,3,0,4,21,3
153,arc-gen,"(24, 13)","(12, 13)",3,3,0,3,28,3
154,arc-gen,"(11, 26)","(11, 13)",2,1,1,3,14,2
155,arc-gen,"(22, 13)","(11, 13)",2,2,0,3,20,2
156,arc-gen,"(12, 28)","(12, 14)",3,3,0,3,15,3
157,arc-gen,"(14, 30)","(14, 15)",3,2,1,4,24,3
158,arc-gen,"(10, 18)","(10, 9)",2,1,1,1,24,2
159,arc-gen,"(12, 20)","(12, 10)",3,1,2,1,21,3
160,arc-gen,"(20, 10)","(10, 10)",2,1,1,1,24,2
161,arc-gen,"(20, 10)","(10, 10)",2,2,0,3,6,2
162,arc-gen,"(12, 28)","(12, 14)",3,3,0,6,30,3
163,arc-gen,"(10, 22)","(10, 11)",2,1,1,1,12,2
164,arc-gen,"(14, 28)","(14, 14)",3,1,2,1,30,3
165,arc-gen,"(22, 13)","(11, 13)",2,2,0,3,9,2
166,arc-gen,"(12, 22)","(12, 11)",3,2,1,4,9,3
167,arc-gen,"(28, 12)","(14, 12)",3,2,1,4,10,3
168,arc-gen,"(26, 12)","(13, 12)",3,1,2,1,20,3
169,arc-gen,"(30, 14)","(15, 14)",3,2,1,3,30,3
170,arc-gen,"(20, 12)","(10, 12)",2,2,0,3,30,2
171,arc-gen,"(15, 26)","(15, 13)",3,3,0,6,15,3
172,arc-gen,"(30, 13)","(15, 13)",3,2,1,3,21,3
173,arc-gen,"(30, 17)","(15, 17)",3,3,0,6,21,3
174,arc-gen,"(24, 10)","(12, 10)",3,3,0,6,10,3
175,arc-gen,"(22, 12)","(11, 12)",2,1,1,1,12,2
176,arc-gen,"(28, 16)","(14, 16)",3,2,1,3,30,3
177,arc-gen,"(20, 8)","(10, 8)",2,1,1,1,10,2
178,arc-gen,"(28, 12)","(14, 12)",3,1,2,1,15,3
179,arc-gen,"(26, 14)","(13, 14)",3,1,2,4,15,3
180,arc-gen,"(30, 15)","(15, 15)",3,1,2,1,20,3
181,arc-gen,"(20, 9)","(10, 9)",2,1,1,1,14,2
182,arc-gen,"(10, 22)","(10, 11)",2,2,0,3,20,2
183,arc-gen,"(30, 13)","(15, 13)",3,3,0,3,28,3
184,arc-gen,"(14, 24)","(14, 12)",3,3,0,4,21,3
185,arc-gen,"(14, 26)","(14, 13)",3,2,1,4,24,3
186,arc-gen,"(24, 14)","(12, 14)",3,3,0,3,16,3
187,arc-gen,"(24, 13)","(12, 13)",3,3,0,4,16,3
188,arc-gen,"(22, 13)","(11, 13)",2,1,1,1,8,2
189,arc-gen,"(14, 28)","(14, 14)",3,3,0,6,14,3
190,arc-gen,"(11, 22)","(11, 11)",2,2,0,3,15,2
191,arc-gen,"(20, 10)","(10, 10)",2,2,0,1,35,2
192,arc-gen,"(30, 13)","(15, 13)",3,3,0,4,35,3
193,arc-gen,"(28, 15)","(14, 15)",3,1,2,4,30,3
194,arc-gen,"(15, 34)","(15, 17)",3,2,1,6,16,3
195,arc-gen,"(22, 11)","(11, 11)",2,2,0,3,8,2
196,arc-gen,"(15, 30)","(15, 15)",3,2,1,3,21,3
197,arc-gen,"(30, 14)","(15, 14)",3,2,1,6,10,3
198,arc-gen,"(22, 11)","(11, 11)",2,2,0,3,20,2
199,arc-gen,"(10, 24)","(10, 12)",2,1,1,1,30,2
200,arc-gen,"(15, 30)","(15, 15)",3,3,0,4,18,3
201,arc-gen,"(24, 12)","(12, 12)",3,1,2,1,30,3
202,arc-gen,"(13, 30)","(13, 15)",3,2,1,6,21,3
203,arc-gen,"(11, 22)","(11, 11)",2,1,1,1,24,2
204,arc-gen,"(10, 18)","(10, 9)",2,1,1,1,14,2
205,arc-gen,"(15, 26)","(15, 13)",3,3,0,3,10,3
206,arc-gen,"(14, 24)","(14, 12)",3,1,2,1,28,3
207,arc-gen,"(24, 12)","(12, 12)",3,3,0,4,14,3
208,arc-gen,"(28, 13)","(14, 13)",3,2,1,3,30,3
209,arc-gen,"(10, 16)","(10, 8)",2,2,0,1,12,2
210,arc-gen,"(15, 28)","(15, 14)",3,3,0,4,24,3
211,arc-gen,"(12, 20)","(12, 10)",3,1,2,1,30,3
212,arc-gen,"(12, 24)","(12, 12)",3,2,1,3,12,3
213,arc-gen,"(28, 15)","(14, 15)",3,3,0,6,14,3
214,arc-gen,"(14, 32)","(14, 16)",3,3,0,6,15,3
215,arc-gen,"(26, 11)","(13, 11)",3,2,1,3,20,3
216,arc-gen,"(14, 24)","(14, 12)",3,2,1,3,9,3
217,arc-gen,"(22, 12)","(11, 12)",2,2,0,3,21,2
218,arc-gen,"(30, 13)","(15, 13)",3,2,1,6,18,3
219,arc-gen,"(28, 12)","(14, 12)",3,1,2,1,21,3
220,arc-gen,"(24, 10)","(12, 10)",3,1,2,4,21,3
221,arc-gen,"(12, 22)","(12, 11)",3,3,0,4,15,3
222,arc-gen,"(13, 28)","(13, 14)",3,2,1,4,16,3
223,arc-gen,"(10, 16)","(10, 8)",2,2,0,3,21,2
224,arc-gen,"(22, 11)","(11, 11)",2,2,0,3,21,2
225,arc-gen,"(26, 14)","(13, 14)",3,2,1,1,28,3
226,arc-gen,"(11, 26)","(11, 13)",2,1,1,1,25,2
227,arc-gen,"(30, 17)","(15, 17)",3,3,0,6,16,3
228,arc-gen,"(20, 12)","(10, 12)",2,1,1,1,14,2
229,arc-gen,"(20, 8)","(10, 8)",2,2,0,3,16,2
230,arc-gen,"(20, 11)","(10, 11)",2,1,1,1,15,2
231,arc-gen,"(10, 20)","(10, 10)",2,2,0,3,12,2
232,arc-gen,"(12, 20)","(12, 10)",3,1,2,1,14,3
233,arc-gen,"(24, 14)","(12, 14)",3,3,0,3,9,3
234,arc-gen,"(22, 11)","(11, 11)",2,2,0,3,24,2
235,arc-gen,"(20, 11)","(10, 11)",2,1,1,1,18,2
236,arc-gen,"(30, 17)","(15, 17)",3,1,2,1,35,3
237,arc-gen,"(10, 22)","(10, 11)",2,2,0,3,30,2
238,arc-gen,"(10, 20)","(10, 10)",2,1,1,1,21,2
239,arc-gen,"(28, 13)","(14, 13)",3,2,1,4,21,3
240,arc-gen,"(11, 22)","(11, 11)",2,2,0,3,18,2
241,arc-gen,"(28, 16)","(14, 16)",3,3,0,6,15,3
242,arc-gen,"(12, 28)","(12, 14)",3,2,1,3,24,3
243,arc-gen,"(13, 26)","(13, 13)",3,3,0,3,12,3
244,arc-gen,"(12, 22)","(12, 11)",3,1,2,1,15,3
245,arc-gen,"(30, 13)","(15, 13)",3,3,0,4,16,3
246,arc-gen,"(30, 17)","(15, 17)",3,2,1,3,30,3
247,arc-gen,"(14, 28)","(14, 14)",3,3,0,4,30,3
248,arc-gen,"(26, 12)","(13, 12)",3,3,0,6,12,3
249,arc-gen,"(24, 14)","(12, 14)",3,2,1,4,35,3
250,arc-gen,"(22, 9)","(11, 9)",2,1,1,1,14,2
251,arc-gen,"(26, 15)","(13, 15)",3,2,1,1,28,3
252,arc-gen,"(12, 22)","(12, 11)",3,1,2,1,15,3
253,arc-gen,"(24, 14)","(12, 14)",3,3,0,4,24,3
254,arc-gen,"(11, 18)","(11, 9)",2,2,0,1,10,2
255,arc-gen,"(20, 11)","(10, 11)",2,2,0,3,21,2
256,arc-gen,"(24, 12)","(12, 12)",3,2,1,3,12,3
257,arc-gen,"(15, 30)","(15, 15)",3,1,2,1,49,3
258,arc-gen,"(26, 12)","(13, 12)",3,2,1,3,28,3
259,arc-gen,"(30, 14)","(15, 14)",3,3,0,3,24,3
260,arc-gen,"(14, 32)","(14, 16)",3,3,0,4,30,3
261,arc-gen,"(15, 34)","(15, 17)",3,2,1,3,24,3
262,arc-gen,"(30, 17)","(15, 17)",3,2,1,4,21,3
263,arc-gen,"(10, 16)","(10, 8)",2,1,1,1,15,2
264,arc-gen,"(12, 28)","(12, 14)",3,2,1,3,16,3
265,arc-gen,"(14, 32)","(14, 16)",3,3,0,6,12,3
