template_id,count,patch_shape,patch_cells,marker_color_count,marker_signature,estimated_kernel_params,lowering_role
T010,1,3x4,12,2,"{""markers"": [[2, [[0, 2], [1, 0]]], [3, [[0, 0], [0, 1], [0, 2], [1, 0], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3]]]], ""nz"": [[0, 0, 3], [0, 1, 3], [0, 2, 3], [0, 3, 2], [1, 0, 3], [1, 1, 2], [1, 2, 3], [1, 3, 3], [2, 0, 3], [2, 1, 3],",12,common_used_template
T011,1,4x3,12,2,"{""markers"": [[1, [[0, 0], [0, 1], [0, 2], [1, 1], [1, 2], [2, 0], [2, 1], [2, 2], [3, 1], [3, 2]]], [2, [[0, 0], [2, 0]]]], ""nz"": [[0, 0, 1], [0, 1, 1], [0, 2, 1], [1, 0, 2], [1, 1, 1], [1, 2, 1], [2, 0, 1], [2, 1, 1], [2, 2, 1], [3, 0, 2],",12,common_used_template
T012,1,2x3,6,2,"{""markers"": [[1, [[0, 0], [0, 1], [1, 0], [1, 1], [1, 2]]], [6, [[0, 0]]]], ""nz"": [[0, 0, 1], [0, 1, 1], [0, 2, 6], [1, 0, 1], [1, 1, 1], [1, 2, 1]], ""shape"": [2, 3]}",6,common_used_template
T013,1,3x5,15,2,"{""markers"": [[1, [[0, 0], [1, 1]]], [8, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [1, 0], [1, 1], [1, 2], [1, 4], [2, 0], [2, 1], [2, 2], [2, 3]]]], ""nz"": [[0, 0, 8], [0, 1, 8], [0, 2, 8], [0, 3, 8], [0, 4, 8], [1, 0, 8], [1, 1, 8], [1, 2, 8",15,common_used_template
T014,1,4x2,8,2,"{""markers"": [[1, [[0, 0]]], [8, [[0, 0], [0, 1], [1, 1], [2, 0], [2, 1], [3, 0], [3, 1]]]], ""nz"": [[0, 0, 8], [0, 1, 8], [1, 0, 1], [1, 1, 8], [2, 0, 8], [2, 1, 8], [3, 0, 8], [3, 1, 8]], ""shape"": [4, 2]}",8,common_used_template
T015,1,3x5,15,2,"{""markers"": [[1, [[0, 2], [1, 0], [2, 2]]], [8, [[0, 0], [0, 1], [0, 3], [0, 4], [1, 1], [1, 2], [1, 3], [1, 4], [2, 0], [2, 1], [2, 3], [2, 4]]]], ""nz"": [[0, 0, 8], [0, 1, 8], [0, 2, 1], [0, 3, 8], [0, 4, 8], [1, 0, 1], [1, 1, 8], [1, 2, 8",15,common_used_template
T016,1,6x3,18,2,"{""markers"": [[3, [[0, 1], [1, 0]]], [6, [[0, 0], [0, 1], [0, 2], [1, 0], [1, 1], [1, 2], [2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2], [4, 0], [4, 2], [5, 1], [5, 2]]]], ""nz"": [[0, 0, 6], [0, 1, 6], [0, 2, 6], [1, 0, 6], [1, 1, 6], [1, 2,",18,common_used_template
T017,1,6x3,18,2,"{""markers"": [[6, [[0, 0], [0, 1], [0, 2], [1, 0], [1, 1], [1, 2], [2, 0], [2, 1], [2, 2], [3, 0], [3, 2], [4, 0], [4, 1], [4, 2], [5, 0], [5, 1], [5, 2]]], [8, [[0, 0]]]], ""nz"": [[0, 0, 6], [0, 1, 6], [0, 2, 6], [1, 0, 6], [1, 1, 6], [1, 2,",18,common_used_template
T018,1,3x5,15,2,"{""markers"": [[3, [[0, 2], [1, 0], [1, 3]]], [6, [[0, 0], [0, 1], [0, 3], [0, 4], [1, 1], [1, 2], [1, 4], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4]]]], ""nz"": [[0, 0, 6], [0, 1, 6], [0, 2, 3], [0, 3, 6], [0, 4, 6], [1, 0, 3], [1, 1, 6], [1, 2, 6",15,common_used_template
T019,1,2x2,4,2,"{""markers"": [[3, [[0, 0]]], [6, [[0, 0], [0, 1], [1, 0]]]], ""nz"": [[0, 0, 6], [0, 1, 6], [1, 0, 6], [1, 1, 3]], ""shape"": [2, 2]}",4,common_used_template
T020,1,2x6,12,2,"{""markers"": [[4, [[0, 0], [1, 0]]], [6, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [1, 0], [1, 1], [1, 2], [1, 3], [1, 4]]]], ""nz"": [[0, 0, 6], [0, 1, 6], [0, 2, 6], [0, 3, 6], [0, 4, 6], [0, 5, 4], [1, 0, 6], [1, 1, 6], [1, 2, 6], [1, 3, 6],",12,distractor_or_rare
T021,1,4x4,16,2,"{""markers"": [[7, [[0, 0], [0, 3], [1, 0], [1, 1], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3], [3, 0], [3, 1], [3, 2], [3, 3]]], [9, [[0, 0], [0, 1]]]], ""nz"": [[0, 0, 7], [0, 1, 9], [0, 2, 9], [0, 3, 7], [1, 0, 7], [1, 1, 7], [1, 2, 7], ",16,common_used_template
T022,1,5x2,10,2,"{""markers"": [[6, [[0, 0]]], [7, [[0, 0], [0, 1], [1, 0], [1, 1], [2, 1], [3, 0], [3, 1], [4, 0], [4, 1]]]], ""nz"": [[0, 0, 7], [0, 1, 7], [1, 0, 7], [1, 1, 7], [2, 0, 6], [2, 1, 7], [3, 0, 7], [3, 1, 7], [4, 0, 7], [4, 1, 7]], ""shape"": [5, 2",10,common_used_template
T023,1,2x6,12,2,"{""markers"": [[7, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 0], [1, 1], [1, 2], [1, 4]]], [9, [[0, 0], [0, 2]]]], ""nz"": [[0, 0, 7], [0, 1, 7], [0, 2, 7], [0, 3, 7], [0, 4, 7], [0, 5, 7], [1, 0, 7], [1, 1, 7], [1, 2, 7], [1, 3, 9],",12,common_used_template
T024,1,2x3,6,2,"{""markers"": [[2, [[0, 2], [1, 0], [1, 2]]], [7, [[0, 0], [0, 1], [1, 1]]]], ""nz"": [[0, 0, 7], [0, 1, 7], [0, 2, 2], [1, 0, 2], [1, 1, 7], [1, 2, 2]], ""shape"": [2, 3]}",6,common_used_template
T025,1,4x2,8,2,"{""markers"": [[3, [[0, 0]]], [7, [[0, 0], [0, 1], [1, 0], [2, 0], [2, 1], [3, 0], [3, 1]]]], ""nz"": [[0, 0, 7], [0, 1, 7], [1, 0, 7], [1, 1, 3], [2, 0, 7], [2, 1, 7], [3, 0, 7], [3, 1, 7]], ""shape"": [4, 2]}",8,common_used_template
T026,1,2x7,14,2,"{""markers"": [[6, [[0, 1], [1, 0], [1, 3]]], [8, [[0, 0], [0, 1], [0, 2], [0, 4], [0, 5], [0, 6], [1, 0], [1, 1], [1, 3], [1, 4], [1, 6]]]], ""nz"": [[0, 0, 8], [0, 1, 8], [0, 2, 8], [0, 3, 6], [0, 4, 8], [0, 5, 8], [0, 6, 8], [1, 0, 8], [1, 1",14,common_used_template
T027,1,2x3,6,2,"{""markers"": [[4, [[0, 0]]], [8, [[0, 0], [0, 1], [0, 2], [1, 0], [1, 2]]]], ""nz"": [[0, 0, 8], [0, 1, 8], [0, 2, 8], [1, 0, 8], [1, 1, 4], [1, 2, 8]], ""shape"": [2, 3]}",6,common_used_template
T028,1,3x3,9,2,"{""markers"": [[3, [[0, 0], [2, 0]]], [8, [[0, 0], [0, 1], [1, 0], [1, 1], [1, 2], [2, 0], [2, 1]]]], ""nz"": [[0, 0, 8], [0, 1, 8], [0, 2, 3], [1, 0, 8], [1, 1, 8], [1, 2, 8], [2, 0, 8], [2, 1, 8], [2, 2, 3]], ""shape"": [3, 3]}",9,common_used_template
T029,1,2x4,8,2,"{""markers"": [[1, [[0, 0], [0, 1], [0, 3], [1, 0], [1, 1], [1, 3]]], [4, [[0, 0], [1, 0]]]], ""nz"": [[0, 0, 1], [0, 1, 1], [0, 2, 4], [0, 3, 1], [1, 0, 1], [1, 1, 1], [1, 2, 4], [1, 3, 1]], ""shape"": [2, 4]}",8,distractor_or_rare
T030,1,2x5,10,2,"{""markers"": [[1, [[0, 0], [0, 1], [0, 2], [0, 3], [1, 0], [1, 1], [1, 2]]], [2, [[0, 0], [1, 0], [1, 4]]]], ""nz"": [[0, 0, 2], [0, 1, 1], [0, 2, 1], [0, 3, 1], [0, 4, 1], [1, 0, 2], [1, 1, 1], [1, 2, 1], [1, 3, 1], [1, 4, 2]], ""shape"": [2, 5",10,common_used_template
T031,1,3x7,21,2,"{""markers"": [[1, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6]]], [6, [[0, 0]]]], ""nz"": [[0, 0, 1], [0, 1, 1], [0, 2, 1], [0, ",21,common_used_template
T032,1,4x3,12,2,"{""markers"": [[4, [[0, 0]]], [8, [[0, 1], [0, 2], [1, 0], [1, 1], [1, 2], [2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2]]]], ""nz"": [[0, 0, 4], [0, 1, 8], [0, 2, 8], [1, 0, 8], [1, 1, 8], [1, 2, 8], [2, 0, 8], [2, 1, 8], [2, 2, 8], [3, 0, 8],",12,common_used_template
T033,1,3x2,6,2,"{""markers"": [[6, [[0, 0], [1, 1]]], [8, [[0, 1], [1, 0], [2, 0], [2, 1]]]], ""nz"": [[0, 0, 6], [0, 1, 8], [1, 0, 8], [1, 1, 6], [2, 0, 8], [2, 1, 8]], ""shape"": [3, 2]}",6,common_used_template
T034,1,3x6,18,2,"{""markers"": [[1, [[0, 0], [1, 0], [1, 1]]], [8, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 0], [1, 1], [1, 2], [1, 4], [1, 5], [2, 0], [2, 1], [2, 2], [2, 5]]]], ""nz"": [[0, 0, 8], [0, 1, 8], [0, 2, 8], [0, 3, 8], [0, 4, 8], [0, 5,",18,distractor_or_rare
T035,1,7x6,42,2,"{""markers"": [[2, [[0, 0]]], [9, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 0], [1, 1], [1, 3], [1, 4], [1, 5], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [4, 0], [4, 1], [4, 2],",42,common_used_template
T036,1,2x2,4,2,"{""markers"": [[8, [[0, 0], [0, 1]]], [9, [[0, 0], [0, 1]]]], ""nz"": [[0, 0, 8], [0, 1, 8], [1, 0, 9], [1, 1, 9]], ""shape"": [2, 2]}",4,distractor_or_rare
T037,1,6x2,12,2,"{""markers"": [[4, [[0, 0]]], [7, [[0, 0], [0, 1], [1, 0], [1, 1], [2, 0], [2, 1], [3, 0], [3, 1], [4, 0], [5, 0], [5, 1]]]], ""nz"": [[0, 0, 7], [0, 1, 7], [1, 0, 7], [1, 1, 7], [2, 0, 7], [2, 1, 7], [3, 0, 7], [3, 1, 7], [4, 0, 7], [4, 1, 4],",12,common_used_template
T038,1,2x3,6,2,"{""markers"": [[2, [[0, 0], [0, 1], [1, 1]]], [7, [[0, 0], [1, 0], [1, 1]]]], ""nz"": [[0, 0, 7], [0, 1, 2], [0, 2, 2], [1, 0, 7], [1, 1, 7], [1, 2, 2]], ""shape"": [2, 3]}",6,distractor_or_rare
T039,1,3x3,9,2,"{""markers"": [[3, [[0, 1], [2, 0]]], [7, [[0, 0], [0, 2], [1, 0], [1, 1], [1, 2], [2, 1], [2, 2]]]], ""nz"": [[0, 0, 7], [0, 1, 3], [0, 2, 7], [1, 0, 7], [1, 1, 7], [1, 2, 7], [2, 0, 3], [2, 1, 7], [2, 2, 7]], ""shape"": [3, 3]}",9,common_used_template
T040,1,3x4,12,2,"{""markers"": [[2, [[0, 0]]], [9, [[0, 1], [0, 2], [0, 3], [1, 0], [1, 1], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3]]]], ""nz"": [[0, 0, 2], [0, 1, 9], [0, 2, 9], [0, 3, 9], [1, 0, 9], [1, 1, 9], [1, 2, 9], [1, 3, 9], [2, 0, 9], [2, 1, 9],",12,common_used_template
T041,1,6x2,12,2,"{""markers"": [[1, [[0, 1], [2, 0]]], [9, [[0, 0], [0, 1], [1, 0], [1, 1], [2, 0], [2, 1], [3, 0], [4, 0], [4, 1], [5, 1]]]], ""nz"": [[0, 0, 9], [0, 1, 9], [1, 0, 9], [1, 1, 9], [2, 0, 9], [2, 1, 9], [3, 0, 9], [3, 1, 1], [4, 0, 9], [4, 1, 9],",12,distractor_or_rare
T042,1,7x4,28,2,"{""markers"": [[3, [[0, 0], [0, 1]]], [9, [[0, 2], [0, 3], [1, 0], [1, 1], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3], [3, 0], [3, 1], [3, 2], [3, 3], [4, 0], [4, 1], [4, 2], [4, 3], [5, 0], [5, 1], [5, 2], [5, 3], [6, 0], [6, 1], [6, 2],",28,common_used_template
T043,1,5x2,10,2,"{""markers"": [[5, [[0, 0]]], [9, [[0, 1], [1, 0], [1, 1], [2, 0], [2, 1], [3, 0], [3, 1], [4, 0], [4, 1]]]], ""nz"": [[0, 0, 5], [0, 1, 9], [1, 0, 9], [1, 1, 9], [2, 0, 9], [2, 1, 9], [3, 0, 9], [3, 1, 9], [4, 0, 9], [4, 1, 9]], ""shape"": [5, 2",10,common_used_template
T044,1,2x2,4,2,"{""markers"": [[4, [[0, 0], [1, 0], [1, 1]]], [9, [[0, 0]]]], ""nz"": [[0, 0, 4], [0, 1, 9], [1, 0, 4], [1, 1, 4]], ""shape"": [2, 2]}",4,distractor_or_rare
T045,1,3x4,12,2,"{""markers"": [[1, [[0, 0], [0, 1], [0, 2], [0, 3], [1, 0], [1, 2], [1, 3], [2, 1], [2, 2], [2, 3]]], [8, [[0, 1], [1, 0]]]], ""nz"": [[0, 0, 1], [0, 1, 1], [0, 2, 1], [0, 3, 1], [1, 0, 1], [1, 1, 8], [1, 2, 1], [1, 3, 1], [2, 0, 8], [2, 1, 1],",12,common_used_template
T046,1,2x3,6,2,"{""markers"": [[1, [[0, 1], [0, 2], [1, 0], [1, 1], [1, 2]]], [4, [[0, 0]]]], ""nz"": [[0, 0, 4], [0, 1, 1], [0, 2, 1], [1, 0, 1], [1, 1, 1], [1, 2, 1]], ""shape"": [2, 3]}",6,common_used_template
T047,1,6x5,30,2,"{""markers"": [[8, [[0, 0]]], [9, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [1, 0], [1, 2], [1, 3], [1, 4], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [4, 0], [4, 1], [4, 2], [4, 3], [4, 4], [5, 0], [5, 1],",30,common_used_template
T048,1,4x4,16,2,"{""markers"": [[6, [[0, 2], [2, 0], [2, 1]]], [9, [[0, 0], [0, 1], [0, 2], [0, 3], [1, 0], [1, 1], [1, 2], [2, 0], [2, 1], [2, 2], [2, 3], [3, 0], [3, 3]]]], ""nz"": [[0, 0, 9], [0, 1, 9], [0, 2, 9], [0, 3, 9], [1, 0, 9], [1, 1, 9], [1, 2, 9], ",16,distractor_or_rare
T049,1,3x6,18,2,"{""markers"": [[6, [[0, 0], [0, 2]]], [9, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 0], [1, 2], [1, 4], [1, 5], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5]]]], ""nz"": [[0, 0, 9], [0, 1, 9], [0, 2, 9], [0, 3, 9], [0, 4, 9], [0, 5,",18,distractor_or_rare
T050,1,2x3,6,2,"{""markers"": [[6, [[0, 0], [0, 1], [1, 0], [1, 1], [1, 2]]], [7, [[0, 0]]]], ""nz"": [[0, 0, 6], [0, 1, 6], [0, 2, 7], [1, 0, 6], [1, 1, 6], [1, 2, 6]], ""shape"": [2, 3]}",6,common_used_template
T051,1,4x4,16,2,"{""markers"": [[2, [[0, 1], [1, 0]]], [6, [[0, 0], [0, 1], [0, 2], [0, 3], [1, 0], [1, 1], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [3, 3]]]], ""nz"": [[0, 0, 6], [0, 1, 6], [0, 2, 6], [0, 3, 6], [1, 0, 6], [1, 1, 6], [1, 2, 6], ",16,common_used_template
T052,1,5x5,25,2,"{""markers"": [[5, [[0, 0]]], [7, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [4, 1], [4, 2], [4, 3], [4, 4]]]], ""nz"": [[0, 0",25,common_used_template
T053,1,2x7,14,2,"{""markers"": [[1, [[0, 0], [0, 1]]], [7, [[0, 0], [0, 3], [0, 4], [0, 5], [0, 6], [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6]]]], ""nz"": [[0, 0, 7], [0, 1, 1], [0, 2, 1], [0, 3, 7], [0, 4, 7], [0, 5, 7], [0, 6, 7], [1, 0, 7], [1, 1",14,common_used_template
T054,1,5x2,10,2,"{""markers"": [[5, [[0, 1], [2, 0], [2, 1]]], [7, [[0, 0], [1, 0], [1, 1], [3, 0], [3, 1], [4, 0], [4, 1]]]], ""nz"": [[0, 0, 7], [0, 1, 5], [1, 0, 7], [1, 1, 7], [2, 0, 5], [2, 1, 5], [3, 0, 7], [3, 1, 7], [4, 0, 7], [4, 1, 7]], ""shape"": [5, 2",10,common_used_template
T055,1,6x6,36,2,"{""markers"": [[4, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5]",36,common_used_template
T056,1,7x2,14,2,"{""markers"": [[3, [[0, 0]]], [4, [[0, 1], [1, 0], [1, 1], [2, 0], [2, 1], [3, 0], [3, 1], [4, 0], [4, 1], [5, 0], [5, 1], [6, 0], [6, 1]]]], ""nz"": [[0, 0, 3], [0, 1, 4], [1, 0, 4], [1, 1, 4], [2, 0, 4], [2, 1, 4], [3, 0, 4], [3, 1, 4], [4, 0",14,common_used_template
T057,1,5x2,10,2,"{""markers"": [[2, [[0, 1], [1, 0]]], [4, [[0, 0], [0, 1], [1, 0], [2, 1], [3, 0], [3, 1], [4, 0], [4, 1]]]], ""nz"": [[0, 0, 4], [0, 1, 4], [1, 0, 4], [1, 1, 2], [2, 0, 2], [2, 1, 4], [3, 0, 4], [3, 1, 4], [4, 0, 4], [4, 1, 4]], ""shape"": [5, 2",10,distractor_or_rare
T058,1,3x4,12,2,"{""markers"": [[2, [[0, 0], [2, 0]]], [8, [[0, 1], [0, 2], [0, 3], [1, 0], [1, 1], [1, 2], [1, 3], [2, 1], [2, 2], [2, 3]]]], ""nz"": [[0, 0, 2], [0, 1, 8], [0, 2, 8], [0, 3, 8], [1, 0, 8], [1, 1, 8], [1, 2, 8], [1, 3, 8], [2, 0, 2], [2, 1, 8],",12,distractor_or_rare
T059,1,2x6,12,2,"{""markers"": [[7, [[0, 0]]], [8, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 0], [1, 1], [1, 2], [1, 3], [1, 5]]]], ""nz"": [[0, 0, 8], [0, 1, 8], [0, 2, 8], [0, 3, 8], [0, 4, 8], [0, 5, 8], [1, 0, 8], [1, 1, 8], [1, 2, 8], [1, 3, 8],",12,common_used_template
T060,1,5x6,30,2,"{""markers"": [[2, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [0, 5], [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [4, 0], [4, 1], [4, 2], [4, 3]",30,common_used_template
T061,1,4x5,20,2,"{""markers"": [[1, [[0, 0], [1, 1]]], [2, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [1, 0], [1, 1], [1, 2], [1, 4], [2, 0], [2, 1], [2, 2], [2, 3], [3, 0], [3, 1], [3, 2], [3, 3], [3, 4]]]], ""nz"": [[0, 0, 2], [0, 1, 2], [0, 2, 2], [0, 3, 2], [",20,distractor_or_rare
T062,1,6x3,18,2,"{""markers"": [[2, [[0, 0], [0, 1], [0, 2], [1, 1], [1, 2], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2], [4, 0], [4, 1], [4, 2], [5, 0], [5, 1]]], [5, [[0, 0], [1, 0], [4, 2]]]], ""nz"": [[0, 0, 2], [0, 1, 2], [0, 2, 2], [1, 0, 5], [1, 1, 2], [1, 2,",18,distractor_or_rare
T063,1,7x2,14,2,"{""markers"": [[1, [[0, 0], [3, 0]]], [7, [[0, 1], [1, 0], [1, 1], [2, 0], [2, 1], [3, 1], [4, 0], [4, 1], [5, 0], [5, 1], [6, 0], [6, 1]]]], ""nz"": [[0, 0, 1], [0, 1, 7], [1, 0, 7], [1, 1, 7], [2, 0, 7], [2, 1, 7], [3, 0, 1], [3, 1, 7], [4, 0",14,common_used_template
T064,1,7x2,14,2,"{""markers"": [[7, [[0, 0], [0, 1], [1, 0], [1, 1], [2, 0], [2, 1], [3, 0], [3, 1], [4, 0], [5, 0], [5, 1], [6, 0], [6, 1]]], [9, [[0, 0]]]], ""nz"": [[0, 0, 7], [0, 1, 7], [1, 0, 7], [1, 1, 7], [2, 0, 7], [2, 1, 7], [3, 0, 7], [3, 1, 7], [4, 0",14,common_used_template
T065,1,6x3,18,2,"{""markers"": [[6, [[0, 0], [1, 0], [2, 2]]], [7, [[0, 0], [0, 1], [0, 2], [1, 0], [1, 1], [1, 2], [2, 0], [2, 1], [2, 2], [3, 1], [3, 2], [4, 1], [4, 2], [5, 0], [5, 1]]]], ""nz"": [[0, 0, 7], [0, 1, 7], [0, 2, 7], [1, 0, 7], [1, 1, 7], [1, 2,",18,distractor_or_rare
T066,1,2x5,10,2,"{""markers"": [[3, [[0, 1], [1, 0]]], [7, [[0, 0], [0, 1], [0, 2], [0, 4], [1, 0], [1, 1], [1, 3], [1, 4]]]], ""nz"": [[0, 0, 7], [0, 1, 7], [0, 2, 7], [0, 3, 3], [0, 4, 7], [1, 0, 7], [1, 1, 7], [1, 2, 3], [1, 3, 7], [1, 4, 7]], ""shape"": [2, 5",10,distractor_or_rare
T067,1,4x2,8,2,"{""markers"": [[6, [[0, 0]]], [7, [[0, 0], [0, 1], [1, 0], [1, 1], [2, 0], [2, 1], [3, 0]]]], ""nz"": [[0, 0, 7], [0, 1, 7], [1, 0, 7], [1, 1, 7], [2, 0, 7], [2, 1, 7], [3, 0, 7], [3, 1, 6]], ""shape"": [4, 2]}",8,common_used_template
T068,1,6x3,18,2,"{""markers"": [[2, [[0, 0], [0, 1], [0, 2], [1, 0], [1, 1], [1, 2], [2, 0], [2, 2], [3, 0], [3, 1], [3, 2], [4, 0], [4, 1], [4, 2], [5, 0], [5, 1]]], [4, [[0, 0], [3, 1]]]], ""nz"": [[0, 0, 2], [0, 1, 2], [0, 2, 2], [1, 0, 2], [1, 1, 2], [1, 2,",18,distractor_or_rare
T069,1,6x3,18,2,"{""markers"": [[2, [[0, 0], [0, 1], [0, 2], [1, 0], [1, 1], [1, 2], [2, 0], [2, 1], [3, 0], [3, 1], [3, 2], [4, 0], [4, 1], [4, 2], [5, 0], [5, 1], [5, 2]]], [6, [[0, 0]]]], ""nz"": [[0, 0, 2], [0, 1, 2], [0, 2, 2], [1, 0, 2], [1, 1, 2], [1, 2,",18,common_used_template
T070,1,3x3,9,2,"{""markers"": [[3, [[0, 0], [0, 1], [0, 2], [1, 0], [1, 1], [1, 2], [2, 1], [2, 2]]], [8, [[0, 0]]]], ""nz"": [[0, 0, 3], [0, 1, 3], [0, 2, 3], [1, 0, 3], [1, 1, 3], [1, 2, 3], [2, 0, 8], [2, 1, 3], [2, 2, 3]], ""shape"": [3, 3]}",9,common_used_template
