task_id,route,source,status,cost,local_points,file_bytes,node_count,initializer_count,initializer_params,op_counts,first_ops,compiler_lesson
67,crop_or_resize,massimilianoghiotto_6254,baseline,315,19.247427361174367,1053,7,4,33,"{""Conv"": 1, ""Div"": 1, ""Greater"": 1, ""ReduceMax"": 1, ""ReduceSum"": 1, ""Sum"": 1, ""Where"": 1}",ReduceMax Conv ReduceSum Div Sum Greater Where,near-250 minimal graph; profile manually
135,crop_or_resize,massimilianoghiotto_6254,baseline,360,19.113895968549844,280,2,0,0,"{""Pad"": 1, ""Slice"": 1}",Slice Pad,near-250 shape/index pattern; useful for crop/object-anchor lowering
186,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,364,19.10284613236326,1253,11,5,46,"{""Cast"": 2, ""Concat"": 1, ""Gather"": 1, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 1, ""Sub"": 3, ""Unsqueeze"": 1}",Slice Cast ReduceSum Sub Cast Gather Unsqueeze Sub,near-250 shape/index pattern; useful for crop/object-anchor lowering
87,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,368,19.09191706183107,433,2,4,8,"{""Pad"": 1, ""Slice"": 1}",Slice Pad,near-250 shape/index pattern; useful for crop/object-anchor lowering
140,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,368,19.09191706183107,433,2,4,8,"{""Pad"": 1, ""Slice"": 1}",Slice Pad,near-250 shape/index pattern; useful for crop/object-anchor lowering
149,crop_or_resize,massimilianoghiotto_6254,baseline,437,18.92006680490441,1048,5,5,97,"{""Concat"": 1, ""Conv"": 1, ""Neg"": 1, ""Pad"": 1, ""Slice"": 1}",Conv Slice Neg Concat Pad,near-250 small Conv pattern; useful for color-role or local mask lowering
393,crop_or_resize,massimilianoghiotto_6254,baseline,459,18.870949789939456,2250,25,8,9,"{""Add"": 3, ""ArgMax"": 3, ""Cast"": 1, ""Concat"": 1, ""Mul"": 2, ""OneHot"": 5, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 1, ""Squeeze"": 2, ""Sub"": 2, ""Unsqueeze"": 3}",ReduceSum Cast Slice ArgMax Add OneHot Mul Squeeze,near-250 shape/index pattern; useful for crop/object-anchor lowering
373,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,524,18.738508315678956,823,9,1,4,"{""Cast"": 2, ""Concat"": 3, ""Pad"": 1, ""Slice"": 2, ""Tile"": 1}",Slice Cast Slice Cast Concat Concat Concat Tile,near-250 shape/index pattern; useful for crop/object-anchor lowering
334,crop_or_resize,massimilianoghiotto_6254,baseline,609,18.588181732290103,1128,9,5,37,"{""ArgMax"": 1, ""Concat"": 1, ""Gather"": 1, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 1, ""Sub"": 2, ""Unsqueeze"": 1}",Slice ReduceSum ArgMax Gather Unsqueeze Sub Sub Concat,low-cost crop/resize artifact; mine for object-anchor crop compiler
236,crop_or_resize,massimilianoghiotto_6254,baseline,643,18.53385527576238,958,11,0,0,"{""Abs"": 1, ""Cast"": 2, ""Concat"": 1, ""Constant"": 1, ""Pad"": 1, ""Slice"": 2, ""Sub"": 3}",Slice Cast Slice Cast Sub Abs Constant Sub,low-cost crop/resize artifact; mine for object-anchor crop compiler
167,sparse_edit_or_object_completion,afr1ste_5689_artifact,baseline,685,18.470581161737776,1744,9,9,294,"{""Cast"": 2, ""Gather"": 1, ""Greater"": 1, ""Pad"": 1, ""ReduceSum"": 2, ""Slice"": 1, ""Sub"": 1}",Slice Cast ReduceSum Greater Cast ReduceSum Sub Gather,low-cost non-crop artifact; possible sparse rule template
26,crop_or_resize,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,improved,724,18.415208607614282,1490,13,8,34,"{""Cast"": 2, ""Concat"": 1, ""Mul"": 1, ""Pad"": 1, ""Slice"": 2, ""Sub"": 5, ""Sum"": 1}",Slice Cast Slice Cast Sub Sub Mul Sum,low-cost crop/resize artifact; mine for object-anchor crop compiler
380,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,728,18.409698951803314,504,3,4,8,"{""Pad"": 1, ""Slice"": 1, ""Transpose"": 1}",Slice Transpose Pad,low-cost non-crop artifact; possible sparse rule template
318,crop_or_resize,massimilianoghiotto_6254,baseline,739,18.394702079051797,1164,14,0,0,"{""Cast"": 2, ""Concat"": 1, ""Constant"": 1, ""Mul"": 1, ""Pad"": 1, ""Slice"": 2, ""Sub"": 5, ""Sum"": 1}",Slice Cast Slice Cast Constant Sub Sub Mul,low-cost crop/resize artifact; mine for object-anchor crop compiler
144,crop_or_resize,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,improved,771,18.35231162643667,1492,13,8,35,"{""Cast"": 2, ""Concat"": 1, ""Mul"": 1, ""Pad"": 1, ""Slice"": 2, ""Sub"": 5, ""Sum"": 1}",Slice Cast Slice Cast Sub Sub Mul Sum,low-cost crop/resize artifact; mine for object-anchor crop compiler
111,crop_or_resize,massimilianoghiotto_6254,baseline,797,18.319145321209785,2007,15,8,25,"{""Add"": 3, ""ArgMax"": 2, ""Concat"": 2, ""Pad"": 1, ""ReduceSum"": 2, ""Reshape"": 2, ""Slice"": 2, ""Sub"": 1}",Slice ReduceSum ArgMax ReduceSum ArgMax Reshape Reshape Add,low-cost crop/resize artifact; mine for object-anchor crop compiler
129,sparse_edit_or_object_completion,afr1ste_5689_artifact,baseline,807,18.306676331730053,997,8,6,29,"{""ArgMax"": 1, ""Cast"": 2, ""Equal"": 1, ""Expand"": 1, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 1}",Slice Cast ReduceSum ArgMax Equal Cast Expand Pad,low-cost non-crop artifact; possible sparse rule template
322,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,867,18.23496102321946,728,8,0,0,"{""Cast"": 1, ""Concat"": 1, ""Constant"": 1, ""MaxPool"": 1, ""Pad"": 1, ""ReduceMax"": 1, ""Slice"": 1, ""Sub"": 1}",Slice Cast MaxPool ReduceMax Constant Sub Concat Pad,low-cost non-crop artifact; possible sparse rule template
339,crop_or_resize,afr1ste_5689_artifact,baseline,884,18.215542937362358,1707,13,11,108,"{""Add"": 1, ""ArgMax"": 1, ""Cast"": 2, ""Gather"": 1, ""Mul"": 1, ""OneHot"": 1, ""Pad"": 1, ""ReduceSum"": 2, ""Slice"": 1, ""Sub"": 1, ""Unsqueeze"": 1}",Slice Cast ReduceSum Cast Sub ReduceSum ArgMax Add,low-cost crop/resize artifact; mine for object-anchor crop compiler
15,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,900,18.197605236675688,3802,1,1,900,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
127,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,900,18.197605236675688,3800,1,1,900,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
220,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,900,18.197605236675688,3803,1,1,900,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
230,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,900,18.197605236675688,3803,1,1,900,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
282,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,900,18.197605236675688,3803,1,1,900,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
317,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,900,18.197605236675688,3803,1,1,900,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
73,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3870,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
95,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3953,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
98,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3880,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
120,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3880,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
147,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3870,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
151,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3929,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
171,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3870,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
266,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3870,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
272,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3870,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
283,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3870,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
294,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3870,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
331,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,910,18.186555400489105,3880,1,2,910,"{""Conv"": 1}",Conv,low-cost Conv artifact; mine kernel/channel pattern
150,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,1014,18.078341815848873,1583,11,6,36,"{""Cast"": 2, ""Gather"": 1, ""Greater"": 1, ""Less"": 1, ""ReduceSum"": 2, ""Squeeze"": 1, ""Sub"": 2, ""Where"": 1}",ReduceSum Greater Cast ReduceSum Cast Less Sub Sub,low-cost non-crop artifact; possible sparse rule template
155,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,1014,18.078341815848873,1583,11,6,36,"{""Cast"": 2, ""Gather"": 1, ""Greater"": 1, ""Less"": 1, ""ReduceSum"": 2, ""Squeeze"": 1, ""Sub"": 2, ""Where"": 1}",ReduceSum Greater Cast ReduceSum Cast Less Sub Sub,low-cost non-crop artifact; possible sparse rule template
257,crop_or_resize,massimilianoghiotto_6254,baseline,1077,18.01806532284361,1891,20,11,53,"{""Cast"": 4, ""Concat"": 1, ""Mul"": 6, ""Pad"": 1, ""Slice"": 4, ""Sub"": 4}",Slice Cast Slice Cast Slice Cast Slice Cast,low-cost crop/resize artifact; mine for object-anchor crop compiler
106,crop_or_resize,massimilianoghiotto_6254,baseline,1164,17.940382371708615,2647,13,16,125,"{""ArgMax"": 1, ""Cast"": 1, ""Concat"": 1, ""Equal"": 2, ""GatherElements"": 1, ""Pad"": 1, ""Reshape"": 3, ""Slice"": 2, ""Where"": 1}",Slice ArgMax Cast Reshape Concat Slice Equal Reshape,low-cost crop/resize artifact; mine for object-anchor crop compiler
181,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,1194,17.91493570604745,3575,21,21,86,"{""And"": 2, ""Concat"": 1, ""Equal"": 1, ""Gather"": 1, ""Greater"": 4, ""Or"": 2, ""Pad"": 3, ""Slice"": 5, ""Where"": 2}",Slice Greater Slice Greater Slice Slice Greater Greater,low-cost non-crop artifact; possible sparse rule template
267,sparse_edit_or_object_completion,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,improved,1207,17.904106778902467,1439,11,13,47,"{""Cast"": 2, ""Equal"": 1, ""Mul"": 3, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 2, ""Sub"": 1}",Slice Cast Sub Mul Slice Cast Mul ReduceSum,low-cost non-crop artifact; possible sparse rule template
52,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,1228,17.886857891292912,1342,11,12,43,"{""Cast"": 1, ""Equal"": 1, ""Mul"": 2, ""Pad"": 1, ""ReduceMax"": 1, ""ReduceSum"": 1, ""Slice"": 1, ""Sub"": 1, ""Sum"": 1, ""Where"": 1}",Slice Cast ReduceSum ReduceMax Equal Where Sub Mul,low-cost non-crop artifact; possible sparse rule template
114,crop_or_resize,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,improved,1250,17.869101169703654,4329,26,21,159,"{""ArgMax"": 1, ""Cast"": 5, ""Concat"": 1, ""Equal"": 3, ""GatherElements"": 1, ""Not"": 2, ""Pad"": 1, ""ReduceMax"": 2, ""Reshape"": 4, ""Slice"": 3, ""Where"": 3}",Slice ArgMax Cast Reshape Concat Slice Equal Not,low-cost crop/resize artifact; mine for object-anchor crop compiler
72,crop_or_resize,massimilianoghiotto_6254,baseline,1309,17.8229812340901,1389,11,8,49,"{""Abs"": 1, ""Cast"": 2, ""Concat"": 1, ""Pad"": 1, ""Slice"": 2, ""Sub"": 4}",Slice Cast Slice Cast Sub Sub Sub Abs,low-cost crop/resize artifact; mine for object-anchor crop compiler
235,crop_or_resize,massimilianoghiotto_6254,baseline,1338,17.801068759311825,3616,35,19,114,"{""ArgMax"": 3, ""Cast"": 3, ""Concat"": 1, ""Expand"": 3, ""Gather"": 3, ""MatMul"": 3, ""Mul"": 3, ""OneHot"": 3, ""Pad"": 1, ""Reshape"": 3, ""Slice"": 3, ""Sub"": 3, ""Unsqueeze"": 3}",Slice Reshape Cast Mul Sub MatMul ArgMax Gather,low-cost crop/resize artifact; mine for object-anchor crop compiler
229,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,1409,17.74936448810132,1695,14,12,45,"{""ArgMax"": 1, ""Cast"": 1, ""Equal"": 1, ""Mul"": 1, ""Pad"": 1, ""ReduceSum"": 2, ""Reshape"": 2, ""Slice"": 1, ""Sub"": 1, ""Sum"": 1, ""Where"": 2}",Slice Cast ReduceSum Reshape ArgMax Equal Reshape Where,low-cost non-crop artifact; possible sparse rule template
347,crop_or_resize,massimilianoghiotto_6254,baseline,1607,17.61787563426249,1120,13,2,20,"{""Cast"": 2, ""Constant"": 1, ""Max"": 1, ""Mul"": 2, ""Pad"": 1, ""ReduceMax"": 2, ""Slice"": 2, ""Sub"": 1, ""Sum"": 1}",Slice Cast ReduceMax Slice Cast ReduceMax Constant Max,low-cost crop/resize artifact; mine for object-anchor crop compiler
6,crop_or_resize,afr1ste_5689_artifact,baseline,1631,17.603051397378987,1450,12,10,47,"{""Cast"": 2, ""Mul"": 3, ""Pad"": 1, ""ReduceMax"": 2, ""Slice"": 2, ""Sub"": 1, ""Sum"": 1}",Slice Cast ReduceMax Slice Cast ReduceMax Mul Sub,low-cost crop/resize artifact; mine for object-anchor crop compiler
395,crop_or_resize,afr1ste_5689_artifact,baseline,1667,17.581219117249205,1579,14,10,47,"{""Cast"": 2, ""Mul"": 3, ""Pad"": 1, ""ReduceMax"": 2, ""Slice"": 2, ""Sub"": 3, ""Sum"": 1}",Slice Cast ReduceMax Slice Cast ReduceMax Sub Sub,low-cost crop/resize artifact; mine for object-anchor crop compiler
299,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,1790,17.5100291011652,2062,21,8,62,"{""And"": 3, ""Cast"": 8, ""Concat"": 1, ""Not"": 2, ""Or"": 2, ""Pad"": 1, ""ReduceMax"": 2, ""Slice"": 2}",Slice Cast Slice Cast ReduceMax ReduceMax Cast Cast,low-cost non-crop artifact; possible sparse rule template
83,crop_or_resize,massimilianoghiotto_6254,baseline,1800,17.504458056115745,7476,1,1,1800,"{""GridSample"": 1}",GridSample,low-cost crop/resize artifact; mine for object-anchor crop compiler
108,crop_or_resize,massimilianoghiotto_6254,baseline,1800,17.504458056115745,7476,1,1,1800,"{""GridSample"": 1}",GridSample,low-cost crop/resize artifact; mine for object-anchor crop compiler
142,crop_or_resize,massimilianoghiotto_6254,baseline,1800,17.504458056115745,7476,1,1,1800,"{""GridSample"": 1}",GridSample,low-cost crop/resize artifact; mine for object-anchor crop compiler
152,crop_or_resize,massimilianoghiotto_6254,baseline,1800,17.504458056115745,7476,1,1,1800,"{""GridSample"": 1}",GridSample,low-cost crop/resize artifact; mine for object-anchor crop compiler
194,crop_or_resize,massimilianoghiotto_6254,baseline,1800,17.504458056115745,7476,1,1,1800,"{""GridSample"": 1}",GridSample,low-cost crop/resize artifact; mine for object-anchor crop compiler
211,crop_or_resize,massimilianoghiotto_6254,baseline,1800,17.504458056115745,7476,1,1,1800,"{""GridSample"": 1}",GridSample,low-cost crop/resize artifact; mine for object-anchor crop compiler
214,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,1800,17.504458056115745,7476,1,1,1800,"{""GridSample"": 1}",GridSample,low-cost non-crop artifact; possible sparse rule template
223,crop_or_resize,massimilianoghiotto_6254,baseline,1800,17.504458056115745,7476,1,1,1800,"{""GridSample"": 1}",GridSample,low-cost crop/resize artifact; mine for object-anchor crop compiler
307,crop_or_resize,massimilianoghiotto_6254,baseline,1800,17.504458056115745,7476,1,1,1800,"{""GridSample"": 1}",GridSample,low-cost crop/resize artifact; mine for object-anchor crop compiler
399,crop_or_resize,massimilianoghiotto_6254,baseline,1839,17.48302277539568,2146,8,4,909,"{""Abs"": 1, ""ArgMax"": 1, ""Gather"": 1, ""Neg"": 1, ""Pad"": 1, ""ReduceSum"": 2, ""Sub"": 1}",ReduceSum Sub Abs ReduceSum Neg ArgMax Gather Pad,low-cost crop/resize artifact; mine for object-anchor crop compiler
207,crop_or_resize,massimilianoghiotto_6254,baseline,1875,17.463636061595487,2718,25,15,35,"{""ArgMax"": 1, ""Cast"": 4, ""Concat"": 2, ""Gather"": 1, ""Greater"": 1, ""Neg"": 1, ""Pad"": 1, ""ReduceSum"": 4, ""Reshape"": 1, ""Slice"": 4, ""Sum"": 1, ""Where"": 4}",Slice Cast Slice Cast Slice Cast Slice Cast,low-cost crop/resize artifact; mine for object-anchor crop compiler
389,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,1898,17.451444020830127,1824,13,9,42,"{""ArgMax"": 1, ""Conv"": 1, ""Mul"": 3, ""OneHot"": 1, ""ReduceMax"": 1, ""Reshape"": 5, ""Sum"": 1}",ReduceMax Mul ArgMax Reshape OneHot Reshape Reshape Mul,low-cost Conv artifact; mine kernel/channel pattern
386,crop_or_resize,massimilianoghiotto_6254,baseline,2183,17.311544643450056,1245,15,2,20,"{""Cast"": 2, ""Constant"": 1, ""Mul"": 3, ""Pad"": 1, ""ReduceMax"": 2, ""Slice"": 2, ""Sub"": 3, ""Sum"": 1}",Slice Cast ReduceMax Slice Cast ReduceMax Constant Sub,not low-cost exemplar
38,crop_or_resize,massimilianoghiotto_6254,baseline,2193,17.306974251582112,2630,16,13,77,"{""Concat"": 1, ""Mul"": 3, ""Pad"": 1, ""ReduceSum"": 1, ""Relu"": 2, ""Resize"": 1, ""Slice"": 4, ""Sub"": 2, ""Sum"": 1}",Slice Slice Slice Slice Mul Mul Mul ReduceSum,not low-cost exemplar
146,crop_or_resize,massimilianoghiotto_6254,baseline,2256,17.27865138738205,2622,29,10,24,"{""ArgMax"": 3, ""Cast"": 6, ""Equal"": 3, ""Less"": 3, ""Max"": 1, ""Pad"": 1, ""ReduceSum"": 3, ""Slice"": 3, ""Transpose"": 3, ""Where"": 3}",Slice ArgMax Transpose Equal Cast ReduceSum Less Cast,not low-cost exemplar
81,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,2307,17.256296741826247,5225,35,17,109,"{""And"": 9, ""Concat"": 1, ""Greater"": 1, ""Not"": 2, ""Or"": 4, ""Pad"": 9, ""Slice"": 9}",Slice Greater Slice Pad Slice Pad Slice Pad,not low-cost exemplar
122,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,2510,17.17196196787417,10280,1,2,2510,"{""Conv"": 1}",Conv,not low-cost exemplar
344,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,2510,17.17196196787417,10280,1,2,2510,"{""Conv"": 1}",Conv,not low-cost exemplar
1,crop_or_resize,vyanktesh_multi_source_output,baseline,2843,17.047384888349,1319,13,4,24,"{""Cast"": 2, ""Concat"": 1, ""Gather"": 2, ""Or"": 1, ""Pad"": 1, ""ReduceMax"": 1, ""Slice"": 3, ""Tile"": 1, ""Where"": 1}",Slice Slice Slice Cast ReduceMax Concat Cast Tile,not low-cost exemplar
227,crop_or_resize,massimilianoghiotto_6254,baseline,2927,17.018266713308115,1579,14,10,47,"{""Cast"": 2, ""Mul"": 3, ""Pad"": 1, ""ReduceMax"": 2, ""Slice"": 2, ""Sub"": 3, ""Sum"": 1}",Slice Cast ReduceMax Slice Cast ReduceMax Sub Sub,not low-cost exemplar
47,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,3024,16.985664262700574,3823,30,8,36,"{""And"": 5, ""Cast"": 6, ""Concat"": 1, ""Not"": 2, ""Or"": 5, ""Pad"": 1, ""ReduceMax"": 4, ""Slice"": 2, ""Tile"": 4}",Slice Cast ReduceMax ReduceMax Cast Cast Tile Tile,not low-cost exemplar
32,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,3405,16.86699978141639,2765,19,10,69,"{""Cast"": 2, ""Conv"": 1, ""CumSum"": 1, ""Equal"": 1, ""Greater"": 1, ""Mul"": 1, ""Pad"": 1, ""ReduceSum"": 2, ""ScatterElements"": 1, ""Sign"": 1, ""Slice"": 1, ""Sqrt"": 1, ""Sub"": 3, ""Sum"": 1, ""Where"": 1}",Slice Conv Sign ReduceSum Sqrt Sub Greater Cast,not low-cost exemplar
139,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,3630,16.803012072741105,5416,33,22,174,"{""And"": 2, ""Concat"": 1, ""Greater"": 1, ""Not"": 2, ""Or"": 9, ""Pad"": 9, ""Slice"": 9}",Slice Greater Slice Pad Slice Pad Slice Pad,not low-cost exemplar
381,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,3681,16.78906026662098,4146,31,11,41,"{""And"": 8, ""Cast"": 8, ""Concat"": 1, ""MaxPool"": 2, ""Not"": 4, ""Pad"": 3, ""ReduceMax"": 2, ""Slice"": 3}",Slice Cast Cast MaxPool MaxPool Cast Cast Not,not low-cost exemplar
104,crop_or_resize,massimilianoghiotto_6254,baseline,3682,16.788788638206977,4136,21,16,990,"{""Cast"": 1, ""Concat"": 1, ""Mul"": 8, ""Pad"": 1, ""ReduceMax"": 2, ""Slice"": 3, ""Sub"": 4, ""Sum"": 1}",Slice Cast Sub Slice ReduceMax Slice ReduceMax Sub,not low-cost exemplar
262,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,3770,16.765169719557946,1095,8,10,26,"{""ArgMax"": 1, ""Expand"": 1, ""Gather"": 1, ""OneHot"": 1, ""Pad"": 1, ""Slice"": 1, ""Squeeze"": 1, ""Unsqueeze"": 1}",Slice ArgMax Squeeze Gather Unsqueeze Expand Pad OneHot,not low-cost exemplar
