idx,split,shape,bg,line_rows,line_cols,rr,cc,rr_count,cc_count,special_count,rr_delta,cc_delta
120,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,16,"5,5,5","5,5,5"
121,arc-gen,27x27,4,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,10,"4,4,4","4,4,4"
122,arc-gen,29x29,2,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,16,"5,5,5","5,5,5"
123,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,13,"5,5,5","5,5,5"
124,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","3,7,11,15",4,4,11,"4,4,4","4,4,4"
125,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,12,"4,4,4","4,4,4"
126,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","11,14,17,20",4,4,14,"3,3,3","3,3,3"
127,arc-gen,29x29,6,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","11,14,17,20",4,4,16,"3,3,3","3,3,3"
128,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","3,7,11,15",4,4,13,"4,4,4","4,4,4"
129,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,10,"5,5,5","5,5,5"
130,arc-gen,27x27,6,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,14,"4,4,4","4,4,4"
131,arc-gen,29x29,2,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,16,"5,5,5","5,5,5"
132,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,15,"4,4,4","4,4,4"
133,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","17,20,23,26",4,4,11,"3,3,3","3,3,3"
134,arc-gen,29x29,3,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,12,"5,5,5","5,5,5"
135,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","17,20,23,26",4,4,14,"3,3,3","3,3,3"
136,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,14,"5,5,5","5,5,5"
137,arc-gen,29x29,5,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,13,"5,5,5","5,5,5"
138,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,10,"5,5,5","5,5,5"
139,arc-gen,27x27,5,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","3,7,11,15",4,4,10,"4,4,4","4,4,4"
140,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,14,"4,4,4","4,4,4"
141,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,12,"5,5,5","5,5,5"
142,arc-gen,29x29,5,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,10,"5,5,5","5,5,5"
143,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,16,"5,5,5","5,5,5"
144,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,16,"4,4,4","4,4,4"
145,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,14,"4,4,4","4,4,4"
146,arc-gen,29x29,3,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","2,5,8,11",4,4,8,"3,3,3","3,3,3"
147,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,14,"5,5,5","5,5,5"
148,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","2,5,8,11",4,4,14,"3,3,3","3,3,3"
149,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,8,"4,4,4","4,4,4"
150,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","3,7,11,15",4,4,12,"4,4,4","4,4,4"
151,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","11,14,17,20",4,4,16,"3,3,3","3,3,3"
152,arc-gen,29x29,1,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,12,"5,5,5","5,5,5"
153,arc-gen,29x29,8,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,14,"5,5,5","5,5,5"
154,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","5,8,11,14",4,4,14,"3,3,3","3,3,3"
155,arc-gen,27x27,5,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,14,"4,4,4","4,4,4"
156,arc-gen,29x29,2,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","2,5,8,11",4,4,15,"3,3,3","3,3,3"
157,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,12,"5,5,5","5,5,5"
158,arc-gen,29x29,8,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,11,"5,5,5","5,5,5"
159,arc-gen,27x27,6,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","11,15,19,23",4,4,12,"4,4,4","4,4,4"
160,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","14,17,20,23",4,4,12,"3,3,3","3,3,3"
161,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","11,14,17,20",4,4,16,"3,3,3","3,3,3"
162,arc-gen,27x27,6,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,14,"4,4,4","4,4,4"
163,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,12,"5,5,5","5,5,5"
164,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","2,5,8,11",4,4,14,"3,3,3","3,3,3"
165,arc-gen,27x27,2,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","3,7,11,15",4,4,11,"4,4,4","4,4,4"
166,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","17,20,23,26",4,4,12,"3,3,3","3,3,3"
167,arc-gen,29x29,2,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","17,20,23,26",4,4,11,"3,3,3","3,3,3"
168,arc-gen,27x27,6,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,13,"4,4,4","4,4,4"
169,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","17,20,23,26",4,4,14,"3,3,3","3,3,3"
170,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,12,"5,5,5","5,5,5"
171,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","8,11,14,17",4,4,11,"3,3,3","3,3,3"
172,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,8,"4,4,4","4,4,4"
173,arc-gen,29x29,5,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,14,"5,5,5","5,5,5"
174,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,12,"4,4,4","4,4,4"
175,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,14,"5,5,5","5,5,5"
176,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","8,11,14,17",4,4,14,"3,3,3","3,3,3"
