idx,target,stats,rules_hit
58,3,"[{'color': 1, 'count': 15, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 2, 'count': 7, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 1}, {'color': 3, 'count': 54, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 16}, {'color': 4, 'count': 59, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 7, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 1}, {'color': 6, 'count': 24, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 19, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 8, 'count': 51, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 36}, {'color': 9, 'count': 11, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}]","['count_rank1', 'area_rank1']"
59,3,"[{'color': 1, 'count': 12, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'r0': 4, 'c0': 4, 'r1': 11, 'c1': 11, 'largest_component': 1}, {'color': 2, 'count': 16, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 4}, {'color': 3, 'count': 37, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 4, 'count': 34, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 30, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 6, 'count': 36, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 7, 'count': 42, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 28, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 9, 'count': 12, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 1}]","['bbox_h_max_low', 'bbox_w_max_low', 'bbox_area_max_low', 'r0_min_low', 'c0_min_low', 'r1_max_low', 'c1_max_low', 'count_rank1', 'area_rank0']"
60,4,"[{'color': 1, 'count': 12, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 2, 'count': 12, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 3, 'count': 26, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 4, 'count': 41, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 5}, {'color': 5, 'count': 22, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 1}, {'color': 6, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 54, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 8}, {'color': 8, 'count': 32, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 9, 'count': 32, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}]",['count_rank1']
61,4,"[{'color': 1, 'count': 11, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 2, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 3, 'count': 47, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 4, 'count': 30, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 19, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 2}, {'color': 6, 'count': 28, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 3}, {'color': 7, 'count': 19, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 8, 'count': 23, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 2}, {'color': 9, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}]","['count_rank3', 'area_rank2']"
62,8,"[{'color': 1, 'count': 27, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 2, 'count': 12, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 3, 'count': 55, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 4, 'count': 11, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 27, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 5}, {'color': 6, 'count': 16, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 7, 'count': 27, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 3}, {'color': 8, 'count': 56, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 9, 'count': 16, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'r0': 4, 'c0': 4, 'r1': 11, 'c1': 11, 'largest_component': 2}]","['count_max_low', 'count_max_high', 'bbox_h_max_high', 'bbox_w_max_high', 'bbox_area_max_high', 'r0_min_high', 'c0_min_high', 'r1_max_high', 'c1_max_high', 'count_rank0']"
63,3,"[{'color': 1, 'count': 8, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 2, 'count': 16, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 3, 'count': 21, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 4}, {'color': 4, 'count': 28, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 38, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 6, 'count': 46, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 7, 'count': 16, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 8, 'count': 39, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 9, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}]","['bbox_h_min_low', 'bbox_h_min_high', 'bbox_w_min_low', 'bbox_w_min_high', 'bbox_area_min_low', 'bbox_area_min_high', 'r0_max_low', 'r0_max_high', 'c0_max_low', 'c0_max_high', 'r1_min_low', 'r1_min_high', 'c1_min_low', 'c1_min_high', 'largest_component_max_low']"
64,1,"[{'color': 1, 'count': 40, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 5}, {'color': 2, 'count': 39, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 3, 'count': 18, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 4, 'count': 43, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 5, 'count': 31, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 6, 'count': 16, 'bbox_h': 6, 'bbox_w': 6, 'bbox_area': 36, 'r0': 5, 'c0': 5, 'r1': 10, 'c1': 10, 'largest_component': 4}, {'color': 7, 'count': 16, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 4}, {'color': 8, 'count': 8, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'r0': 4, 'c0': 4, 'r1': 11, 'c1': 11, 'largest_component': 1}, {'color': 9, 'count': 36, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}]","['bbox_h_max_low', 'bbox_w_max_low', 'bbox_area_max_low', 'r0_min_low', 'c0_min_low', 'r1_max_low', 'c1_max_low', 'largest_component_max_low', 'largest_component_max_high', 'count_rank1', 'area_rank0']"
65,6,"[{'color': 1, 'count': 11, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 2, 'count': 20, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 5}, {'color': 3, 'count': 48, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 6}, {'color': 4, 'count': 32, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 5, 'count': 15, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 6, 'count': 32, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 3}, {'color': 7, 'count': 36, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 4}, {'color': 8, 'count': 33, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 9, 'count': 20, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}]","['bbox_h_min_low', 'bbox_h_min_high', 'bbox_w_min_low', 'bbox_w_min_high', 'bbox_area_min_low', 'bbox_area_min_high', 'r0_max_low', 'r0_max_high', 'c0_max_low', 'c0_max_high', 'r1_min_low', 'r1_min_high', 'c1_min_low', 'c1_min_high', 'count_rank4']"
66,2,"[{'color': 1, 'count': 38, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 2, 'count': 31, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 3}, {'color': 3, 'count': 12, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 4, 'count': 27, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 5, 'count': 20, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 6, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 32, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 8, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 9, 'count': 36, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}]",['count_rank4']
67,9,"[{'color': 1, 'count': 20, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 2, 'count': 44, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 12}, {'color': 3, 'count': 16, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 4, 'count': 43, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 5, 'count': 15, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 2}, {'color': 6, 'count': 7, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'r0': 4, 'c0': 4, 'r1': 11, 'c1': 11, 'largest_component': 1}, {'color': 7, 'count': 54, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 8, 'count': 11, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 9, 'count': 37, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 4}]",['count_rank3']
68,2,"[{'color': 1, 'count': 16, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 4}, {'color': 2, 'count': 38, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 3, 'count': 54, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 4, 'count': 20, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 3}, {'color': 5, 'count': 7, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 6, 'count': 32, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 4}, {'color': 7, 'count': 39, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 8, 'count': 22, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 9, 'count': 19, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}]","['bbox_h_max_low', 'bbox_w_max_low', 'bbox_area_max_low', 'r0_min_low', 'c0_min_low', 'r1_max_low', 'c1_max_low', 'count_rank2', 'area_rank0']"
69,9,"[{'color': 1, 'count': 35, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 2, 'count': 24, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 3, 'count': 15, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 4, 'count': 40, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 6, 'count': 26, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 31, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 8, 'count': 27, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 9, 'count': 49, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}]","['count_max_low', 'count_max_high', 'bbox_h_max_high', 'bbox_w_max_high', 'bbox_area_max_high', 'r0_min_high', 'c0_min_high', 'r1_max_high', 'c1_max_high', 'largest_component_max_high', 'count_rank0']"
70,5,"[{'color': 1, 'count': 22, 'bbox_h': 10, 'bbox_w': 10, 'bbox_area': 100, 'r0': 3, 'c0': 3, 'r1': 12, 'c1': 12, 'largest_component': 2}, {'color': 2, 'count': 43, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 3, 'count': 43, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 4, 'count': 16, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'r0': 4, 'c0': 4, 'r1': 11, 'c1': 11, 'largest_component': 2}, {'color': 5, 'count': 22, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 6, 'count': 46, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 24, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 2}, {'color': 8, 'count': 24, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 9, 'count': 7, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 1}]",['area_rank2']
71,1,"[{'color': 1, 'count': 6, 'bbox_h': 6, 'bbox_w': 6, 'bbox_area': 36, 'r0': 5, 'c0': 5, 'r1': 10, 'c1': 10, 'largest_component': 1}, {'color': 2, 'count': 56, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 6}, {'color': 3, 'count': 19, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 4, 'count': 12, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 5, 'count': 38, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 6, 'count': 28, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 40, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}, {'color': 8, 'count': 18, 'bbox_h': 12, 'bbox_w': 12, 'bbox_area': 144, 'r0': 2, 'c0': 2, 'r1': 13, 'c1': 13, 'largest_component': 2}, {'color': 9, 'count': 30, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 3}]","['count_min_low', 'count_min_high', 'bbox_h_min_low', 'bbox_h_min_high', 'bbox_w_min_low', 'bbox_w_min_high', 'bbox_area_min_low', 'bbox_area_min_high', 'r0_max_low', 'r0_max_high', 'c0_max_low', 'c0_max_high', 'r1_min_low', 'r1_min_high', 'c1_min_low', 'c1_min_high', 'largest_component_min_low']"
72,1,"[{'color': 1, 'count': 29, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 3, 'count': 31, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 1}, {'color': 4, 'count': 40, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 5, 'count': 26, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 6, 'count': 23, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 2}, {'color': 7, 'count': 28, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 4}, {'color': 8, 'count': 15, 'bbox_h': 14, 'bbox_w': 14, 'bbox_area': 196, 'r0': 1, 'c0': 1, 'r1': 14, 'c1': 14, 'largest_component': 1}, {'color': 9, 'count': 55, 'bbox_h': 16, 'bbox_w': 16, 'bbox_area': 256, 'r0': 0, 'c0': 0, 'r1': 15, 'c1': 15, 'largest_component': 12}]","['bbox_h_max_low', 'bbox_w_max_low', 'bbox_area_max_low', 'r0_min_low', 'c0_min_low', 'r1_max_low', 'c1_max_low', 'largest_component_min_low', 'count_rank3', 'area_rank0']"
