example_idx,split,io,component_idx,color,size,bbox,height,width
1,train,output,6,4,1,"(4, 4, 5, 5)",1,1
1,train,output,7,3,1,"(4, 6, 5, 7)",1,1
1,train,output,8,4,1,"(5, 3, 6, 4)",1,1
1,train,output,9,4,1,"(5, 5, 6, 6)",1,1
1,train,output,10,2,1,"(6, 2, 7, 3)",1,1
1,train,output,11,3,1,"(6, 4, 7, 5)",1,1
1,train,output,12,2,1,"(6, 6, 7, 7)",1,1
2,train,input,0,8,1,"(1, 3, 2, 4)",1,1
2,train,input,1,8,1,"(1, 5, 2, 6)",1,1
2,train,input,2,8,1,"(1, 7, 2, 8)",1,1
2,train,input,3,4,1,"(2, 4, 3, 5)",1,1
2,train,input,4,8,1,"(3, 3, 4, 4)",1,1
2,train,input,5,1,1,"(3, 5, 4, 6)",1,1
2,train,input,6,8,1,"(3, 7, 4, 8)",1,1
2,train,input,7,8,1,"(5, 3, 6, 4)",1,1
2,train,input,8,8,1,"(5, 5, 6, 6)",1,1
2,train,input,9,8,1,"(5, 7, 6, 8)",1,1
2,train,output,0,8,1,"(1, 3, 2, 4)",1,1
2,train,output,1,8,1,"(1, 5, 2, 6)",1,1
2,train,output,2,8,1,"(1, 7, 2, 8)",1,1
2,train,output,3,4,1,"(2, 4, 3, 5)",1,1
2,train,output,4,4,1,"(2, 6, 3, 7)",1,1
2,train,output,5,8,1,"(3, 3, 4, 4)",1,1
2,train,output,6,1,1,"(3, 5, 4, 6)",1,1
2,train,output,7,8,1,"(3, 7, 4, 8)",1,1
2,train,output,8,4,1,"(4, 4, 5, 5)",1,1
2,train,output,9,4,1,"(4, 6, 5, 7)",1,1
2,train,output,10,8,1,"(5, 3, 6, 4)",1,1
2,train,output,11,8,1,"(5, 5, 6, 6)",1,1
2,train,output,12,8,1,"(5, 7, 6, 8)",1,1
3,test,input,0,1,1,"(2, 1, 3, 2)",1,1
3,test,input,1,4,1,"(2, 3, 3, 4)",1,1
3,test,input,2,1,1,"(2, 5, 3, 6)",1,1
3,test,input,3,2,1,"(3, 2, 4, 3)",1,1
3,test,input,4,2,1,"(3, 4, 4, 5)",1,1
3,test,input,5,1,1,"(4, 3, 5, 4)",1,1
3,test,input,6,2,1,"(5, 2, 6, 3)",1,1
3,test,input,7,2,1,"(5, 4, 6, 5)",1,1
3,test,input,8,1,1,"(6, 1, 7, 2)",1,1
3,test,input,9,1,1,"(6, 5, 7, 6)",1,1
3,test,output,0,1,1,"(2, 1, 3, 2)",1,1
3,test,output,1,4,1,"(2, 3, 3, 4)",1,1
3,test,output,2,1,1,"(2, 5, 3, 6)",1,1
3,test,output,3,2,1,"(3, 2, 4, 3)",1,1
3,test,output,4,2,1,"(3, 4, 4, 5)",1,1
3,test,output,5,4,1,"(4, 1, 5, 2)",1,1
3,test,output,6,1,1,"(4, 3, 5, 4)",1,1
3,test,output,7,4,1,"(4, 5, 5, 6)",1,1
3,test,output,8,2,1,"(5, 2, 6, 3)",1,1
3,test,output,9,2,1,"(5, 4, 6, 5)",1,1
3,test,output,10,1,1,"(6, 1, 7, 2)",1,1
3,test,output,11,4,1,"(6, 3, 7, 4)",1,1
3,test,output,12,1,1,"(6, 5, 7, 6)",1,1
4,arc-gen,input,0,2,1,"(1, 4, 2, 5)",1,1
4,arc-gen,input,1,8,1,"(1, 6, 2, 7)",1,1
4,arc-gen,input,2,2,1,"(1, 8, 2, 9)",1,1
4,arc-gen,input,3,4,1,"(2, 5, 3, 6)",1,1
4,arc-gen,input,4,8,1,"(3, 4, 4, 5)",1,1
4,arc-gen,input,5,3,1,"(3, 6, 4, 7)",1,1
4,arc-gen,input,6,8,1,"(3, 8, 4, 9)",1,1
4,arc-gen,input,7,2,1,"(5, 4, 6, 5)",1,1
4,arc-gen,input,8,8,1,"(5, 6, 6, 7)",1,1
4,arc-gen,input,9,2,1,"(5, 8, 6, 9)",1,1
4,arc-gen,output,0,2,1,"(1, 4, 2, 5)",1,1
4,arc-gen,output,1,8,1,"(1, 6, 2, 7)",1,1
4,arc-gen,output,2,2,1,"(1, 8, 2, 9)",1,1
4,arc-gen,output,3,4,1,"(2, 5, 3, 6)",1,1
4,arc-gen,output,4,4,1,"(2, 7, 3, 8)",1,1
4,arc-gen,output,5,8,1,"(3, 4, 4, 5)",1,1
4,arc-gen,output,6,3,1,"(3, 6, 4, 7)",1,1
4,arc-gen,output,7,8,1,"(3, 8, 4, 9)",1,1
4,arc-gen,output,8,4,1,"(4, 5, 5, 6)",1,1
4,arc-gen,output,9,4,1,"(4, 7, 5, 8)",1,1
4,arc-gen,output,10,2,1,"(5, 4, 6, 5)",1,1
4,arc-gen,output,11,8,1,"(5, 6, 6, 7)",1,1
4,arc-gen,output,12,2,1,"(5, 8, 6, 9)",1,1
5,arc-gen,input,0,8,1,"(1, 3, 2, 4)",1,1
5,arc-gen,input,1,8,1,"(1, 5, 2, 6)",1,1
5,arc-gen,input,2,8,1,"(2, 4, 3, 5)",1,1
5,arc-gen,input,3,8,1,"(2, 6, 3, 7)",1,1
5,arc-gen,input,4,8,1,"(3, 3, 4, 4)",1,1
5,arc-gen,input,5,2,1,"(3, 5, 4, 6)",1,1
5,arc-gen,input,6,8,1,"(3, 7, 4, 8)",1,1
5,arc-gen,input,7,8,1,"(4, 4, 5, 5)",1,1
5,arc-gen,input,8,8,1,"(4, 6, 5, 7)",1,1
5,arc-gen,input,9,8,1,"(5, 5, 6, 6)",1,1
5,arc-gen,output,0,8,1,"(1, 3, 2, 4)",1,1
5,arc-gen,output,1,8,1,"(1, 5, 2, 6)",1,1
5,arc-gen,output,2,8,1,"(1, 7, 2, 8)",1,1
5,arc-gen,output,3,8,1,"(2, 4, 3, 5)",1,1
5,arc-gen,output,4,8,1,"(2, 6, 3, 7)",1,1
5,arc-gen,output,5,8,1,"(3, 3, 4, 4)",1,1
5,arc-gen,output,6,2,1,"(3, 5, 4, 6)",1,1
5,arc-gen,output,7,8,1,"(3, 7, 4, 8)",1,1
5,arc-gen,output,8,8,1,"(4, 4, 5, 5)",1,1
5,arc-gen,output,9,8,1,"(4, 6, 5, 7)",1,1
5,arc-gen,output,10,8,1,"(5, 3, 6, 4)",1,1
5,arc-gen,output,11,8,1,"(5, 5, 6, 6)",1,1
5,arc-gen,output,12,8,1,"(5, 7, 6, 8)",1,1
6,arc-gen,input,0,4,1,"(1, 4, 2, 5)",1,1
6,arc-gen,input,1,2,1,"(1, 6, 2, 7)",1,1
6,arc-gen,input,2,4,1,"(1, 8, 2, 9)",1,1
6,arc-gen,input,3,4,1,"(2, 5, 3, 6)",1,1
6,arc-gen,input,4,2,1,"(3, 4, 4, 5)",1,1
6,arc-gen,input,5,3,1,"(3, 6, 4, 7)",1,1
6,arc-gen,input,6,2,1,"(3, 8, 4, 9)",1,1
6,arc-gen,input,7,4,1,"(5, 4, 6, 5)",1,1
6,arc-gen,input,8,2,1,"(5, 6, 6, 7)",1,1
6,arc-gen,input,9,4,1,"(5, 8, 6, 9)",1,1
6,arc-gen,output,0,4,1,"(1, 4, 2, 5)",1,1
6,arc-gen,output,1,2,1,"(1, 6, 2, 7)",1,1
6,arc-gen,output,2,4,1,"(1, 8, 2, 9)",1,1
6,arc-gen,output,3,4,1,"(2, 5, 3, 6)",1,1
6,arc-gen,output,4,4,1,"(2, 7, 3, 8)",1,1
6,arc-gen,output,5,2,1,"(3, 4, 4, 5)",1,1
6,arc-gen,output,6,3,1,"(3, 6, 4, 7)",1,1
6,arc-gen,output,7,2,1,"(3, 8, 4, 9)",1,1
6,arc-gen,output,8,4,1,"(4, 5, 5, 6)",1,1
6,arc-gen,output,9,4,1,"(4, 7, 5, 8)",1,1
6,arc-gen,output,10,4,1,"(5, 4, 6, 5)",1,1
6,arc-gen,output,11,2,1,"(5, 6, 6, 7)",1,1
6,arc-gen,output,12,4,1,"(5, 8, 6, 9)",1,1
7,arc-gen,input,0,2,1,"(3, 2, 4, 3)",1,1
7,arc-gen,input,1,3,1,"(3, 4, 4, 5)",1,1
7,arc-gen,input,2,3,1,"(4, 3, 5, 4)",1,1
7,arc-gen,input,3,3,1,"(4, 5, 5, 6)",1,1
7,arc-gen,input,4,3,1,"(5, 2, 6, 3)",1,1
7,arc-gen,input,5,3,1,"(5, 4, 6, 5)",1,1
7,arc-gen,input,6,3,1,"(5, 6, 6, 7)",1,1
7,arc-gen,input,7,3,1,"(6, 3, 7, 4)",1,1
7,arc-gen,input,8,3,1,"(6, 5, 7, 6)",1,1
7,arc-gen,input,9,3,1,"(7, 4, 8, 5)",1,1
7,arc-gen,output,0,2,1,"(3, 2, 4, 3)",1,1
7,arc-gen,output,1,3,1,"(3, 4, 4, 5)",1,1
7,arc-gen,output,2,2,1,"(3, 6, 4, 7)",1,1
7,arc-gen,output,3,3,1,"(4, 3, 5, 4)",1,1
7,arc-gen,output,4,3,1,"(4, 5, 5, 6)",1,1
7,arc-gen,output,5,3,1,"(5, 2, 6, 3)",1,1
7,arc-gen,output,6,3,1,"(5, 4, 6, 5)",1,1
7,arc-gen,output,7,3,1,"(5, 6, 6, 7)",1,1
7,arc-gen,output,8,3,1,"(6, 3, 7, 4)",1,1
7,arc-gen,output,9,3,1,"(6, 5, 7, 6)",1,1
7,arc-gen,output,10,2,1,"(7, 2, 8, 3)",1,1
7,arc-gen,output,11,3,1,"(7, 4, 8, 5)",1,1
7,arc-gen,output,12,2,1,"(7, 6, 8, 7)",1,1
8,arc-gen,input,0,2,1,"(4, 4, 5, 5)",1,1
8,arc-gen,input,1,8,1,"(4, 6, 5, 7)",1,1
8,arc-gen,input,2,2,1,"(4, 8, 5, 9)",1,1
8,arc-gen,input,3,8,1,"(5, 7, 6, 8)",1,1
8,arc-gen,input,4,8,1,"(6, 4, 7, 5)",1,1
8,arc-gen,input,5,4,1,"(6, 6, 7, 7)",1,1
8,arc-gen,input,6,8,1,"(6, 8, 7, 9)",1,1
8,arc-gen,input,7,2,1,"(8, 4, 9, 5)",1,1
8,arc-gen,input,8,8,1,"(8, 6, 9, 7)",1,1
8,arc-gen,input,9,2,1,"(8, 8, 9, 9)",1,1
8,arc-gen,output,0,2,1,"(4, 4, 5, 5)",1,1
8,arc-gen,output,1,8,1,"(4, 6, 5, 7)",1,1
8,arc-gen,output,2,2,1,"(4, 8, 5, 9)",1,1
8,arc-gen,output,3,8,1,"(5, 5, 6, 6)",1,1
8,arc-gen,output,4,8,1,"(5, 7, 6, 8)",1,1
8,arc-gen,output,5,8,1,"(6, 4, 7, 5)",1,1
8,arc-gen,output,6,4,1,"(6, 6, 7, 7)",1,1
8,arc-gen,output,7,8,1,"(6, 8, 7, 9)",1,1
8,arc-gen,output,8,8,1,"(7, 5, 8, 6)",1,1
8,arc-gen,output,9,8,1,"(7, 7, 8, 8)",1,1
8,arc-gen,output,10,2,1,"(8, 4, 9, 5)",1,1
8,arc-gen,output,11,8,1,"(8, 6, 9, 7)",1,1
8,arc-gen,output,12,2,1,"(8, 8, 9, 9)",1,1
9,arc-gen,input,0,4,1,"(3, 4, 4, 5)",1,1
9,arc-gen,input,1,4,1,"(3, 6, 4, 7)",1,1
9,arc-gen,input,2,4,1,"(3, 8, 4, 9)",1,1
9,arc-gen,input,3,4,1,"(4, 5, 5, 6)",1,1
9,arc-gen,input,4,4,1,"(4, 7, 5, 8)",1,1
9,arc-gen,input,5,4,1,"(5, 6, 6, 7)",1,1
9,arc-gen,input,6,4,1,"(6, 5, 7, 6)",1,1
9,arc-gen,input,7,4,1,"(6, 7, 7, 8)",1,1
9,arc-gen,input,8,4,1,"(7, 4, 8, 5)",1,1
9,arc-gen,input,9,4,1,"(7, 8, 8, 9)",1,1
9,arc-gen,output,0,4,1,"(3, 4, 4, 5)",1,1
9,arc-gen,output,1,4,1,"(3, 6, 4, 7)",1,1
9,arc-gen,output,2,4,1,"(3, 8, 4, 9)",1,1
9,arc-gen,output,3,4,1,"(4, 5, 5, 6)",1,1
9,arc-gen,output,4,4,1,"(4, 7, 5, 8)",1,1
9,arc-gen,output,5,4,1,"(5, 4, 6, 5)",1,1
9,arc-gen,output,6,4,1,"(5, 6, 6, 7)",1,1
9,arc-gen,output,7,4,1,"(5, 8, 6, 9)",1,1
9,arc-gen,output,8,4,1,"(6, 5, 7, 6)",1,1
9,arc-gen,output,9,4,1,"(6, 7, 7, 8)",1,1
9,arc-gen,output,10,4,1,"(7, 4, 8, 5)",1,1
9,arc-gen,output,11,4,1,"(7, 6, 8, 7)",1,1
9,arc-gen,output,12,4,1,"(7, 8, 8, 9)",1,1
10,arc-gen,input,0,2,1,"(2, 3, 3, 4)",1,1
10,arc-gen,input,1,2,1,"(2, 7, 3, 8)",1,1
10,arc-gen,input,2,4,1,"(3, 4, 4, 5)",1,1
10,arc-gen,input,3,4,1,"(3, 6, 4, 7)",1,1
10,arc-gen,input,4,4,1,"(4, 5, 5, 6)",1,1
10,arc-gen,input,5,4,1,"(5, 4, 6, 5)",1,1
10,arc-gen,input,6,4,1,"(5, 6, 6, 7)",1,1
10,arc-gen,input,7,2,1,"(6, 3, 7, 4)",1,1
10,arc-gen,input,8,8,1,"(6, 5, 7, 6)",1,1
10,arc-gen,input,9,2,1,"(6, 7, 7, 8)",1,1
10,arc-gen,output,0,2,1,"(2, 3, 3, 4)",1,1
10,arc-gen,output,1,8,1,"(2, 5, 3, 6)",1,1
10,arc-gen,output,2,2,1,"(2, 7, 3, 8)",1,1
10,arc-gen,output,3,4,1,"(3, 4, 4, 5)",1,1
10,arc-gen,output,4,4,1,"(3, 6, 4, 7)",1,1
10,arc-gen,output,5,8,1,"(4, 3, 5, 4)",1,1
10,arc-gen,output,6,4,1,"(4, 5, 5, 6)",1,1
10,arc-gen,output,7,8,1,"(4, 7, 5, 8)",1,1
10,arc-gen,output,8,4,1,"(5, 4, 6, 5)",1,1
10,arc-gen,output,9,4,1,"(5, 6, 6, 7)",1,1
10,arc-gen,output,10,2,1,"(6, 3, 7, 4)",1,1
10,arc-gen,output,11,8,1,"(6, 5, 7, 6)",1,1
10,arc-gen,output,12,2,1,"(6, 7, 7, 8)",1,1
11,arc-gen,input,0,8,1,"(1, 4, 2, 5)",1,1
11,arc-gen,input,1,2,1,"(1, 6, 2, 7)",1,1
11,arc-gen,input,2,8,1,"(1, 8, 2, 9)",1,1
11,arc-gen,input,3,2,1,"(3, 4, 4, 5)",1,1
11,arc-gen,input,4,2,1,"(3, 6, 4, 7)",1,1
11,arc-gen,input,5,2,1,"(3, 8, 4, 9)",1,1
11,arc-gen,input,6,2,1,"(4, 7, 5, 8)",1,1
11,arc-gen,input,7,8,1,"(5, 4, 6, 5)",1,1
11,arc-gen,input,8,2,1,"(5, 6, 6, 7)",1,1
11,arc-gen,input,9,8,1,"(5, 8, 6, 9)",1,1
11,arc-gen,output,0,8,1,"(1, 4, 2, 5)",1,1
11,arc-gen,output,1,2,1,"(1, 6, 2, 7)",1,1
11,arc-gen,output,2,8,1,"(1, 8, 2, 9)",1,1
11,arc-gen,output,3,2,1,"(2, 5, 3, 6)",1,1
11,arc-gen,output,4,2,1,"(2, 7, 3, 8)",1,1
11,arc-gen,output,5,2,1,"(3, 4, 4, 5)",1,1
11,arc-gen,output,6,2,1,"(3, 6, 4, 7)",1,1
11,arc-gen,output,7,2,1,"(3, 8, 4, 9)",1,1
11,arc-gen,output,8,2,1,"(4, 5, 5, 6)",1,1
11,arc-gen,output,9,2,1,"(4, 7, 5, 8)",1,1
11,arc-gen,output,10,8,1,"(5, 4, 6, 5)",1,1
11,arc-gen,output,11,2,1,"(5, 6, 6, 7)",1,1
11,arc-gen,output,12,8,1,"(5, 8, 6, 9)",1,1
12,arc-gen,input,0,4,1,"(4, 2, 5, 3)",1,1
12,arc-gen,input,1,2,1,"(4, 4, 5, 5)",1,1
12,arc-gen,input,2,4,1,"(4, 6, 5, 7)",1,1
12,arc-gen,input,3,2,1,"(6, 2, 7, 3)",1,1
12,arc-gen,input,4,8,1,"(6, 4, 7, 5)",1,1
12,arc-gen,input,5,2,1,"(6, 6, 7, 7)",1,1
12,arc-gen,input,6,8,1,"(7, 5, 8, 6)",1,1
12,arc-gen,input,7,4,1,"(8, 2, 9, 3)",1,1
12,arc-gen,input,8,2,1,"(8, 4, 9, 5)",1,1
12,arc-gen,input,9,4,1,"(8, 6, 9, 7)",1,1
12,arc-gen,output,0,4,1,"(4, 2, 5, 3)",1,1
12,arc-gen,output,1,2,1,"(4, 4, 5, 5)",1,1
12,arc-gen,output,2,4,1,"(4, 6, 5, 7)",1,1
12,arc-gen,output,3,8,1,"(5, 3, 6, 4)",1,1
12,arc-gen,output,4,8,1,"(5, 5, 6, 6)",1,1
12,arc-gen,output,5,2,1,"(6, 2, 7, 3)",1,1
12,arc-gen,output,6,8,1,"(6, 4, 7, 5)",1,1
12,arc-gen,output,7,2,1,"(6, 6, 7, 7)",1,1
12,arc-gen,output,8,8,1,"(7, 3, 8, 4)",1,1
12,arc-gen,output,9,8,1,"(7, 5, 8, 6)",1,1
12,arc-gen,output,10,4,1,"(8, 2, 9, 3)",1,1
12,arc-gen,output,11,2,1,"(8, 4, 9, 5)",1,1
12,arc-gen,output,12,4,1,"(8, 6, 9, 7)",1,1
13,arc-gen,input,0,1,1,"(1, 3, 2, 4)",1,1
13,arc-gen,input,1,3,1,"(1, 5, 2, 6)",1,1
13,arc-gen,input,2,1,1,"(1, 7, 2, 8)",1,1
13,arc-gen,input,3,1,1,"(2, 4, 3, 5)",1,1
13,arc-gen,input,4,1,1,"(2, 6, 3, 7)",1,1
13,arc-gen,input,5,8,1,"(3, 5, 4, 6)",1,1
13,arc-gen,input,6,1,1,"(4, 4, 5, 5)",1,1
13,arc-gen,input,7,1,1,"(4, 6, 5, 7)",1,1
13,arc-gen,input,8,1,1,"(5, 3, 6, 4)",1,1
13,arc-gen,input,9,1,1,"(5, 7, 6, 8)",1,1
13,arc-gen,output,0,1,1,"(1, 3, 2, 4)",1,1
13,arc-gen,output,1,3,1,"(1, 5, 2, 6)",1,1
13,arc-gen,output,2,1,1,"(1, 7, 2, 8)",1,1
13,arc-gen,output,3,1,1,"(2, 4, 3, 5)",1,1
13,arc-gen,output,4,1,1,"(2, 6, 3, 7)",1,1
13,arc-gen,output,5,3,1,"(3, 3, 4, 4)",1,1
13,arc-gen,output,6,8,1,"(3, 5, 4, 6)",1,1
13,arc-gen,output,7,3,1,"(3, 7, 4, 8)",1,1
13,arc-gen,output,8,1,1,"(4, 4, 5, 5)",1,1
13,arc-gen,output,9,1,1,"(4, 6, 5, 7)",1,1
13,arc-gen,output,10,1,1,"(5, 3, 6, 4)",1,1
13,arc-gen,output,11,3,1,"(5, 5, 6, 6)",1,1
13,arc-gen,output,12,1,1,"(5, 7, 6, 8)",1,1
14,arc-gen,input,0,8,1,"(3, 2, 4, 3)",1,1
14,arc-gen,input,1,8,1,"(3, 4, 4, 5)",1,1
14,arc-gen,input,2,8,1,"(3, 6, 4, 7)",1,1
14,arc-gen,input,3,3,1,"(4, 3, 5, 4)",1,1
14,arc-gen,input,4,8,1,"(5, 2, 6, 3)",1,1
14,arc-gen,input,5,4,1,"(5, 4, 6, 5)",1,1
14,arc-gen,input,6,8,1,"(5, 6, 6, 7)",1,1
14,arc-gen,input,7,8,1,"(7, 2, 8, 3)",1,1
14,arc-gen,input,8,8,1,"(7, 4, 8, 5)",1,1
14,arc-gen,input,9,8,1,"(7, 6, 8, 7)",1,1
14,arc-gen,output,0,8,1,"(3, 2, 4, 3)",1,1
14,arc-gen,output,1,8,1,"(3, 4, 4, 5)",1,1
14,arc-gen,output,2,8,1,"(3, 6, 4, 7)",1,1
14,arc-gen,output,3,3,1,"(4, 3, 5, 4)",1,1
14,arc-gen,output,4,3,1,"(4, 5, 5, 6)",1,1
14,arc-gen,output,5,8,1,"(5, 2, 6, 3)",1,1
14,arc-gen,output,6,4,1,"(5, 4, 6, 5)",1,1
14,arc-gen,output,7,8,1,"(5, 6, 6, 7)",1,1
14,arc-gen,output,8,3,1,"(6, 3, 7, 4)",1,1
14,arc-gen,output,9,3,1,"(6, 5, 7, 6)",1,1
14,arc-gen,output,10,8,1,"(7, 2, 8, 3)",1,1
14,arc-gen,output,11,8,1,"(7, 4, 8, 5)",1,1
14,arc-gen,output,12,8,1,"(7, 6, 8, 7)",1,1
15,arc-gen,input,0,4,1,"(1, 4, 2, 5)",1,1
15,arc-gen,input,1,4,1,"(1, 6, 2, 7)",1,1
15,arc-gen,input,2,4,1,"(1, 8, 2, 9)",1,1
15,arc-gen,input,3,1,1,"(2, 7, 3, 8)",1,1
15,arc-gen,input,4,4,1,"(3, 4, 4, 5)",1,1
15,arc-gen,input,5,8,1,"(3, 6, 4, 7)",1,1
15,arc-gen,input,6,4,1,"(3, 8, 4, 9)",1,1
15,arc-gen,input,7,4,1,"(5, 4, 6, 5)",1,1
15,arc-gen,input,8,4,1,"(5, 6, 6, 7)",1,1
15,arc-gen,input,9,4,1,"(5, 8, 6, 9)",1,1
15,arc-gen,output,0,4,1,"(1, 4, 2, 5)",1,1
15,arc-gen,output,1,4,1,"(1, 6, 2, 7)",1,1
15,arc-gen,output,2,4,1,"(1, 8, 2, 9)",1,1
15,arc-gen,output,3,1,1,"(2, 5, 3, 6)",1,1
15,arc-gen,output,4,1,1,"(2, 7, 3, 8)",1,1
15,arc-gen,output,5,4,1,"(3, 4, 4, 5)",1,1
15,arc-gen,output,6,8,1,"(3, 6, 4, 7)",1,1
15,arc-gen,output,7,4,1,"(3, 8, 4, 9)",1,1
15,arc-gen,output,8,1,1,"(4, 5, 5, 6)",1,1
15,arc-gen,output,9,1,1,"(4, 7, 5, 8)",1,1
15,arc-gen,output,10,4,1,"(5, 4, 6, 5)",1,1
15,arc-gen,output,11,4,1,"(5, 6, 6, 7)",1,1
15,arc-gen,output,12,4,1,"(5, 8, 6, 9)",1,1
16,arc-gen,input,0,1,1,"(3, 1, 4, 2)",1,1
16,arc-gen,input,1,1,1,"(3, 5, 4, 6)",1,1
16,arc-gen,input,2,1,1,"(4, 2, 5, 3)",1,1
16,arc-gen,input,3,1,1,"(4, 4, 5, 5)",1,1
16,arc-gen,input,4,4,1,"(5, 1, 6, 2)",1,1
16,arc-gen,input,5,2,1,"(5, 3, 6, 4)",1,1
16,arc-gen,input,6,1,1,"(6, 2, 7, 3)",1,1
16,arc-gen,input,7,1,1,"(6, 4, 7, 5)",1,1
16,arc-gen,input,8,1,1,"(7, 1, 8, 2)",1,1
16,arc-gen,input,9,1,1,"(7, 5, 8, 6)",1,1
16,arc-gen,output,0,1,1,"(3, 1, 4, 2)",1,1
16,arc-gen,output,1,4,1,"(3, 3, 4, 4)",1,1
16,arc-gen,output,2,1,1,"(3, 5, 4, 6)",1,1
16,arc-gen,output,3,1,1,"(4, 2, 5, 3)",1,1
16,arc-gen,output,4,1,1,"(4, 4, 5, 5)",1,1
16,arc-gen,output,5,4,1,"(5, 1, 6, 2)",1,1
16,arc-gen,output,6,2,1,"(5, 3, 6, 4)",1,1
16,arc-gen,output,7,4,1,"(5, 5, 6, 6)",1,1
16,arc-gen,output,8,1,1,"(6, 2, 7, 3)",1,1
16,arc-gen,output,9,1,1,"(6, 4, 7, 5)",1,1
16,arc-gen,output,10,1,1,"(7, 1, 8, 2)",1,1
16,arc-gen,output,11,4,1,"(7, 3, 8, 4)",1,1
16,arc-gen,output,12,1,1,"(7, 5, 8, 6)",1,1
17,arc-gen,input,0,1,1,"(1, 4, 2, 5)",1,1
17,arc-gen,input,1,8,1,"(1, 6, 2, 7)",1,1
17,arc-gen,input,2,1,1,"(1, 8, 2, 9)",1,1
17,arc-gen,input,3,8,1,"(2, 5, 3, 6)",1,1
17,arc-gen,input,4,8,1,"(3, 4, 4, 5)",1,1
17,arc-gen,input,5,8,1,"(3, 6, 4, 7)",1,1
17,arc-gen,input,6,8,1,"(3, 8, 4, 9)",1,1
17,arc-gen,input,7,1,1,"(5, 4, 6, 5)",1,1
17,arc-gen,input,8,8,1,"(5, 6, 6, 7)",1,1
17,arc-gen,input,9,1,1,"(5, 8, 6, 9)",1,1
17,arc-gen,output,0,1,1,"(1, 4, 2, 5)",1,1
17,arc-gen,output,1,8,1,"(1, 6, 2, 7)",1,1
17,arc-gen,output,2,1,1,"(1, 8, 2, 9)",1,1
17,arc-gen,output,3,8,1,"(2, 5, 3, 6)",1,1
17,arc-gen,output,4,8,1,"(2, 7, 3, 8)",1,1
17,arc-gen,output,5,8,1,"(3, 4, 4, 5)",1,1
17,arc-gen,output,6,8,1,"(3, 6, 4, 7)",1,1
17,arc-gen,output,7,8,1,"(3, 8, 4, 9)",1,1
17,arc-gen,output,8,8,1,"(4, 5, 5, 6)",1,1
17,arc-gen,output,9,8,1,"(4, 7, 5, 8)",1,1
17,arc-gen,output,10,1,1,"(5, 4, 6, 5)",1,1
17,arc-gen,output,11,8,1,"(5, 6, 6, 7)",1,1
17,arc-gen,output,12,1,1,"(5, 8, 6, 9)",1,1
18,arc-gen,input,0,3,1,"(4, 3, 5, 4)",1,1
18,arc-gen,input,1,8,1,"(5, 2, 6, 3)",1,1
18,arc-gen,input,2,8,1,"(5, 4, 6, 5)",1,1
18,arc-gen,input,3,3,1,"(6, 1, 7, 2)",1,1
18,arc-gen,input,4,3,1,"(6, 3, 7, 4)",1,1
18,arc-gen,input,5,3,1,"(6, 5, 7, 6)",1,1
18,arc-gen,input,6,8,1,"(7, 2, 8, 3)",1,1
