example_idx,split_guess,input_shape,output_shape,input_colors,output_colors,changed_count,added_count,removed_count,changed_bbox,input_nonzero_bbox,output_nonzero_bbox,dominant_changed_from_to,component_count_input,component_count_output,rule_hints
10,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"2:5,3:8","2:7,3:8","2:7,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
11,arc-gen,"(10, 10)","(10, 10)","[0, 2, 8]","[0, 2, 8]",3,3,0,"2:5,5:8","1:6,4:9","1:6,4:9","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
12,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"5:8,3:6","4:9,2:7","4:9,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
13,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"3:6,3:8","1:6,3:8","1:6,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
14,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"4:7,3:6","3:8,2:7","3:8,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
15,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"2:5,5:8","1:6,4:9","1:6,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
16,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"3:8,3:6","3:8,1:6","3:8,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
17,arc-gen,"(10, 10)","(10, 10)","[0, 1, 8]","[0, 1, 8]",3,3,0,"2:5,5:8","1:6,4:9","1:6,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
18,arc-gen,"(10, 10)","(10, 10)","[0, 3, 8]","[0, 3, 8]",3,3,0,"4:9,1:6","4:9,1:6","4:9,1:6","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
19,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"4:9,3:8","4:9,3:8","4:9,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
20,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"1:6,4:9","1:6,4:9","1:6,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
21,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4]","[0, 1, 3, 4]",3,3,0,"3:8,2:7","3:8,2:7","3:8,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
22,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",3,3,0,"4:9,2:7","4:9,2:7","4:9,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
23,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"2:5,4:7","1:6,3:8","1:6,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
24,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"3:6,5:8","2:7,4:9","2:7,4:9","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
25,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"4:7,3:8","4:9,3:8","4:9,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
26,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4]","[0, 1, 4]",3,3,0,"3:6,5:8","2:7,4:9","2:7,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
27,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"3:8,4:9","3:8,4:9","3:8,4:9","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
28,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"3:8,1:6","3:8,1:6","3:8,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
29,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"3:6,2:7","3:8,2:7","3:8,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
30,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"2:7,4:9","2:7,4:9","2:7,4:9","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
31,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4, 8]","[0, 1, 2, 4, 8]",3,3,0,"3:8,4:9","3:8,4:9","3:8,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
32,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4, 8]","[0, 1, 2, 4, 8]",3,3,0,"4:7,4:7","3:8,3:8","3:8,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
33,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"2:5,1:6","2:7,1:6","2:7,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
34,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 8]","[0, 1, 2, 8]",3,3,0,"3:6,4:7","2:7,3:8","2:7,3:8","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
35,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"4:7,5:8","3:8,4:9","3:8,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
36,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 8]","[0, 1, 2, 8]",3,3,0,"4:9,3:8","4:9,3:8","4:9,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
37,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3]","[0, 2, 3]",3,3,0,"3:6,2:5","2:7,1:6","2:7,1:6","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
38,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",3,3,0,"4:9,3:6","4:9,1:6","4:9,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
39,arc-gen,"(10, 10)","(10, 10)","[0, 1, 8]","[0, 1, 8]",3,3,0,"4:7,4:7","3:8,3:8","3:8,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
40,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"5:8,3:8","3:8,3:8","3:8,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
41,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"3:8,4:9","3:8,4:9","3:8,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
42,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2]","[0, 1, 2]",3,3,0,"2:7,2:7","2:7,2:7","2:7,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
43,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"3:8,3:6","3:8,1:6","3:8,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
44,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"4:7,2:5","3:8,1:6","3:8,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
45,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4]","[0, 1, 3, 4]",3,3,0,"2:5,4:7","1:6,3:8","1:6,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
46,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"1:6,2:7","1:6,2:7","1:6,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
47,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"3:6,4:9","1:6,4:9","1:6,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
48,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",3,3,0,"3:8,3:8","3:8,3:8","3:8,3:8","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
49,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"5:8,2:5","4:9,1:6","4:9,1:6","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
50,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"1:6,2:7","1:6,2:7","1:6,2:7","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
51,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"3:8,4:7","3:8,2:7","3:8,2:7","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
52,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"3:6,2:5","2:7,1:6","2:7,1:6","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
53,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"3:8,2:7","3:8,2:7","3:8,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
54,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"3:8,4:7","3:8,4:9","3:8,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
55,arc-gen,"(10, 10)","(10, 10)","[0, 3, 8]","[0, 3, 8]",3,3,0,"2:7,1:6","2:7,1:6","2:7,1:6","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
56,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4]","[0, 1, 3, 4]",3,3,0,"4:7,4:7","3:8,3:8","3:8,3:8","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
57,arc-gen,"(10, 10)","(10, 10)","[0, 3, 8]","[0, 3, 8]",3,3,0,"2:5,3:6","1:6,2:7","1:6,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
58,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"5:8,3:6","4:9,2:7","4:9,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
59,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",3,3,0,"1:6,6:9","1:6,4:9","1:6,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
60,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"4:9,2:7","4:9,2:7","4:9,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
61,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3]","[0, 2, 3]",3,3,0,"3:6,1:6","1:6,1:6","1:6,1:6","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
62,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3]","[0, 1, 2, 3]",3,3,0,"2:5,2:5","1:6,1:6","1:6,1:6","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
63,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"4:9,3:8","4:9,3:8","4:9,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
64,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2]","[0, 1, 2]",3,3,0,"1:6,2:7","1:6,2:7","1:6,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
65,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 8]","[0, 1, 2, 8]",3,3,0,"3:8,2:7","3:8,2:7","3:8,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
66,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",3,3,0,"3:6,3:6","2:7,2:7","2:7,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
67,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"4:9,2:5","4:9,2:7","4:9,2:7","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
68,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"4:9,1:6","4:9,1:6","4:9,1:6","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
69,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"4:7,3:8","2:7,3:8","2:7,3:8","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
70,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"4:7,5:8","3:8,4:9","3:8,4:9","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
71,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",3,3,0,"5:8,5:8","4:9,4:9","4:9,4:9","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
72,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"5:8,4:7","4:9,3:8","4:9,3:8","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
73,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"2:5,4:7","1:6,3:8","1:6,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
74,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"4:7,5:8","3:8,4:9","3:8,4:9","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
75,arc-gen,"(10, 10)","(10, 10)","[0, 3, 4, 8]","[0, 3, 4, 8]",3,3,0,"1:6,1:6","1:6,1:6","1:6,1:6","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
76,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3]","[0, 2, 3]",3,3,0,"2:5,5:8","1:6,4:9","1:6,4:9","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
77,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",3,3,0,"3:6,2:5","2:7,1:6","2:7,1:6","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
78,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2]","[0, 1, 2]",3,3,0,"4:7,2:7","4:9,2:7","4:9,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
79,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4, 8]","[0, 1, 3, 4, 8]",3,3,0,"4:7,5:8","3:8,4:9","3:8,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
80,arc-gen,"(10, 10)","(10, 10)","[0, 2, 8]","[0, 2, 8]",3,3,0,"4:7,3:6","3:8,2:7","3:8,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
81,arc-gen,"(10, 10)","(10, 10)","[0, 4, 8]","[0, 4, 8]",3,3,0,"3:6,1:6","3:8,1:6","3:8,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
82,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 4, 8]","[0, 1, 3, 4, 8]",3,3,0,"2:5,4:7","1:6,3:8","1:6,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
83,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"2:7,4:7","2:7,2:7","2:7,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
84,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4]","[0, 1, 4]",3,3,0,"2:7,4:9","2:7,4:9","2:7,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
85,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",3,3,0,"6:9,2:7","4:9,2:7","4:9,2:7","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
86,arc-gen,"(10, 10)","(10, 10)","[0, 4, 8]","[0, 4, 8]",3,3,0,"1:6,2:7","1:6,2:7","1:6,2:7","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
87,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"3:8,2:5","3:8,2:7","3:8,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
88,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"6:9,4:9","4:9,4:9","4:9,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
89,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"1:6,4:7","1:6,2:7","1:6,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
90,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 4, 8]","[0, 1, 2, 4, 8]",3,3,0,"3:8,6:9","3:8,4:9","3:8,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
91,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"1:4,4:9","1:6,4:9","1:6,4:9","[((0, 1), 3)]",10,13,same_shape;sparse_edit;single_target_color_1;only_fill_background;nonzero_bbox_preserved
92,arc-gen,"(10, 10)","(10, 10)","[0, 1, 3, 8]","[0, 1, 3, 8]",3,3,0,"1:6,3:6","1:6,3:8","1:6,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
93,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",3,3,0,"2:7,2:7","2:7,2:7","2:7,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
94,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"3:8,3:6","3:8,3:8","3:8,3:8","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
95,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4]","[0, 2, 4]",3,3,0,"2:7,2:5","2:7,2:7","2:7,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
96,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"2:7,4:7","2:7,4:9","2:7,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
97,arc-gen,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"4:9,4:9","4:9,4:9","4:9,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
98,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"2:7,3:8","2:7,3:8","2:7,3:8","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
99,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"5:8,3:6","4:9,2:7","4:9,2:7","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
100,arc-gen,"(10, 10)","(10, 10)","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",3,3,0,"2:7,3:6","2:7,1:6","2:7,1:6","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
