idx,template,color,features
10,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 6, 'bbox_area': 60, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
11,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 7, 'bbox_area': 49, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
12,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 6, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
13,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 5, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
14,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 4, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
15,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 4, 'bbox_w': 7, 'bbox_area': 28, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
16,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 4, 'bbox_area': 28, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
17,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 6, 'bbox_area': 60, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
18,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 4, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
19,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 6, 'bbox_area': 54, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
20,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 4, 'bbox_area': 24, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
21,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 8, 'bbox_area': 80, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
22,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 11, 'bbox_w': 7, 'bbox_area': 77, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
23,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 4, 'bbox_area': 32, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
24,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 6, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
25,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 7, 'bbox_area': 56, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
26,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 4, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
27,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 5, 'bbox_area': 30, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
28,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
29,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 5, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
30,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 6, 'bbox_area': 54, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
31,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 8, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
32,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 8, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
33,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 5, 'bbox_area': 45, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
34,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 6, 'bbox_area': 60, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
35,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 6, 'bbox_area': 54, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
36,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 5, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
37,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 5, 'bbox_area': 30, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
38,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 8, 'bbox_area': 80, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
39,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 7, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
40,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 3, 'bbox_w': 5, 'bbox_area': 15, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
41,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 7, 'bbox_area': 42, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
42,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 6, 'bbox_area': 60, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
43,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 6, 'bbox_area': 60, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
44,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 5, 'bbox_area': 30, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
45,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 6, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
46,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 8, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
47,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 4, 'bbox_area': 24, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
48,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 4, 'bbox_area': 32, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
49,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 12, 'bbox_w': 4, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
50,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 6, 'bbox_area': 60, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
51,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 3, 'bbox_w': 7, 'bbox_area': 21, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
52,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 10, 'bbox_w': 4, 'bbox_area': 40, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
53,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 6, 'bbox_area': 42, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
54,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 5, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
55,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 6, 'bbox_area': 30, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
56,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 8, 'bbox_area': 64, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
57,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 6, 'bbox_area': 30, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
58,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 4, 'bbox_w': 4, 'bbox_area': 16, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
59,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 7, 'bbox_area': 35, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
60,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 4, 'bbox_area': 36, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
61,"(1, 1, 1, 0, 0, 1, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 4, 'bbox_area': 24, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
62,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 4, 'bbox_area': 32, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
63,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 7, 'bbox_area': 49, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
64,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 4, 'bbox_area': 20, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
65,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 8, 'bbox_w': 6, 'bbox_area': 48, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
66,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 0, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 5, 'bbox_w': 5, 'bbox_area': 25, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
67,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 8, 'bbox_area': 56, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
68,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 8, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 7, 'bbox_area': 63, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
69,"(1, 1, 1, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 8, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 9, 'bbox_w': 5, 'bbox_area': 45, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
70,"(1, 0, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 5, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 6, 'bbox_w': 6, 'bbox_area': 36, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
71,"(1, 1, 0, 0, 0, 0, 0, 0, 0)",8,"{'mode_nz': 8, 'least_nz': 5, 'mode_all': 0, 'color_count': 2, 'center': 8, 'tl': 0, 'tr': 0, 'bl': 0, 'br': 0, 'bbox_h': 7, 'bbox_w': 7, 'bbox_area': 49, 'bbox_tl': 5, 'bbox_tr': 5, 'bbox_bl': 5, 'bbox_br': 5}"
