task_id,cost,route,source,node_count,initializer_count,initializer_params,op_sequence,op_counts,output_shapes,value_shape_count,max_intermediate_rank,archetype,compiler_family,compiler_lesson,initializer_detail,sha256
67,315,crop_or_resize,massimilianoghiotto_6254,7,4,33,ReduceMax Conv ReduceSum Div Sum Greater Where,"{""Conv"": 1, ""Div"": 1, ""Greater"": 1, ""ReduceMax"": 1, ""ReduceSum"": 1, ""Sum"": 1, ""Where"": 1}",1x10x30x30,7,4,small_conv_where_mask,local_mask,Small Conv + scalar reductions can be viable; avoid full-grid repeated Where.,safe_name_0:1x1x1x30:float32:30;safe_name_1:1x1x1x1:float32:1;safe_name_2:1x1x1x1:float32:1;safe_name_3:scalar:float32:1,988b4d005f09426a7fb6b169820d02368203d8b03fc7d1b80b4f44af49e395c4
135,360,crop_or_resize,massimilianoghiotto_6254,2,0,0,Slice Pad,"{""Pad"": 1, ""Slice"": 1}",1x10x30x30,2,4,static_slice_pad,fixed_crop_or_fixed_transform,Best static crop archetype; cost scales with active output area.,,82d31b6d2f8c5ea98415560d590d218cd0caf26681332ae0c40f6f9f623ee1cf
186,364,sparse_edit_or_object_completion,massimilianoghiotto_6254,11,5,46,Slice Cast ReduceSum Sub Cast Gather Unsqueeze Sub Sub Concat Pad,"{""Cast"": 2, ""Concat"": 1, ""Gather"": 1, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 1, ""Sub"": 3, ""Unsqueeze"": 1}",1x10x30x30,11,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,safe_name_0:4x3x3:float16:36;safe_name_1:3:int64:3;safe_name_2:3:int64:3;safe_name_3:3:int64:3;safe_name_4:scalar:float16:1,96637eb3c4a66a8b2c4172839d118e3ab2df33e08e4a1da27d62a0212abf3447
87,368,sparse_edit_or_object_completion,massimilianoghiotto_6254,2,4,8,Slice Pad,"{""Pad"": 1, ""Slice"": 1}",1x10x30x30,2,4,static_slice_pad,fixed_crop_or_fixed_transform,Best static crop archetype; cost scales with active output area.,safe_name_0:2:int64:2;safe_name_1:2:int64:2;safe_name_2:2:int64:2;safe_name_3:2:int64:2,9186c0ad0ce5668c83d32e5aa4b40feda7de197e46c3908d674976a335250eb1
140,368,sparse_edit_or_object_completion,massimilianoghiotto_6254,2,4,8,Slice Pad,"{""Pad"": 1, ""Slice"": 1}",1x10x30x30,2,4,static_slice_pad,fixed_crop_or_fixed_transform,Best static crop archetype; cost scales with active output area.,safe_name_0:2:int64:2;safe_name_1:2:int64:2;safe_name_2:2:int64:2;safe_name_3:2:int64:2,9571c563ae4fcc148c4d0fc67978cd7456f17d3012d5339ff0685730d14c0f2c
149,437,crop_or_resize,massimilianoghiotto_6254,5,5,97,Conv Slice Neg Concat Pad,"{""Concat"": 1, ""Conv"": 1, ""Neg"": 1, ""Pad"": 1, ""Slice"": 1}",1x10x30x30,5,4,misc_under_600,unknown_low_cost,Inspect manually; under-600 pattern may be reusable.,safe_name_0:1x10x3x3:float32:90;safe_name_1:1:float32:1;safe_name_2:2:int64:2;safe_name_3:2:int64:2;safe_name_4:2:int64:2,66db496e8fd7432ba9e4b6f94f04f957852732e7cd414f29632a5a7c5e41f865
393,459,crop_or_resize,massimilianoghiotto_6254,25,8,9,ReduceSum Cast Slice ArgMax Add OneHot Mul Squeeze Sub ArgMax Add OneHot Mul Squeeze Sub ArgMax Add OneHot OneHot OneHot Unsqueeze Unsqueeze Unsqueeze Concat Pad,"{""Add"": 3, ""ArgMax"": 3, ""Cast"": 1, ""Concat"": 1, ""Mul"": 2, ""OneHot"": 5, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 1, ""Squeeze"": 2, ""Sub"": 2, ""Unsqueeze"": 3}",1x10x30x30,25,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,safe_name_0:1:int64:1;safe_name_1:1:int64:1;safe_name_2:1:int64:1;safe_name_3:scalar:int64:1;safe_name_4:scalar:int64:1;safe_name_5:2:float16:2;safe_name_6:scalar:int64:1;safe_name_7:scalar:float16:1,f1e8a80277e2fb2c19bcbf0fa8a70920895200627f186c92d0abf7fa5c03f6de
373,524,sparse_edit_or_object_completion,massimilianoghiotto_6254,9,1,4,Slice Cast Slice Cast Concat Concat Concat Tile Pad,"{""Cast"": 2, ""Concat"": 3, ""Pad"": 1, ""Slice"": 2, ""Tile"": 1}",1x10x30x30,9,4,misc_under_600,unknown_low_cost,Inspect manually; under-600 pattern may be reusable.,safe_name_0:4:int64:4,a626cd1b3f27a87820b3e15edc5f1b1900979033f29fc1c778980f90bcf81576
334,609,crop_or_resize,massimilianoghiotto_6254,9,5,37,Slice ReduceSum ArgMax Gather Unsqueeze Sub Sub Concat Pad,"{""ArgMax"": 1, ""Concat"": 1, ""Gather"": 1, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 1, ""Sub"": 2, ""Unsqueeze"": 1}",1x10x30x30,9,4,tiny_dynamic_shape_index,shape_index_crop,Use ReduceSum/ArgMax/Gather to select small shape/offset without full-grid masks.,safe_name_0:3x3x3:float16:27;safe_name_1:3:int64:3;safe_name_2:3:int64:3;safe_name_3:3:int64:3;safe_name_4:scalar:float16:1,c34116b2661554d54e4a00802036f2165a649ff6e4f38ab5d406cbab0b2e3230
236,643,crop_or_resize,massimilianoghiotto_6254,11,0,0,Slice Cast Slice Cast Sub Abs Constant Sub Sub Concat Pad,"{""Abs"": 1, ""Cast"": 2, ""Concat"": 1, ""Constant"": 1, ""Pad"": 1, ""Slice"": 2, ""Sub"": 3}",1x10x30x30,11,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,,e45ddef9028aac5aeab004971f064fe2aa3bc398a657e44107d82dd0aeb1a81c
167,685,sparse_edit_or_object_completion,afr1ste_5689_artifact,9,9,294,Slice Cast ReduceSum Greater Cast ReduceSum Sub Gather Pad,"{""Cast"": 2, ""Gather"": 1, ""Greater"": 1, ""Pad"": 1, ""ReduceSum"": 2, ""Slice"": 1, ""Sub"": 1}",1x10x30x30,9,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,safe_name_0:3:int64:3;safe_name_1:3:int64:3;safe_name_2:3:int64:3;safe_name_3:3:int64:3;safe_name_4:2:int64:2;safe_name_5:scalar:float16:1;safe_name_6:1:int64:1;safe_name_7:3x10x3x3:float16:270;safe_name_8:8:int64:8,9b89403dd1f7eaab2e051924a605b008b97adbddab87e9c7d77e4e345e40b321
26,724,crop_or_resize,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,13,8,34,Slice Cast Slice Cast Sub Sub Mul Sum Sub Sub Sub Concat Pad,"{""Cast"": 2, ""Concat"": 1, ""Mul"": 1, ""Pad"": 1, ""Slice"": 2, ""Sub"": 5, ""Sum"": 1}",1x10x30x30,13,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,safe_name_0:scalar:float16:1;safe_name_1:1x1x5x3:float16:15;safe_name_2:3:int64:3;safe_name_3:3:int64:3;safe_name_4:3:int64:3;safe_name_5:3:int64:3;safe_name_6:3:int64:3;safe_name_7:3:int64:3,5270bcd8f8701a46cc6ba52ed1ee804ceb9fe9f2e1c09e16bf9f0f533a04f1de
380,728,sparse_edit_or_object_completion,massimilianoghiotto_6254,3,4,8,Slice Transpose Pad,"{""Pad"": 1, ""Slice"": 1, ""Transpose"": 1}",1x10x30x30,3,4,misc_under_2000,unknown_near_low_cost,Potentially useful but not first compiler archetype.,safe_name_0:2:int64:2;safe_name_1:2:int64:2;safe_name_2:2:int64:2;safe_name_3:2:int64:2,3f003f715e3a9f9397b8b51f84415b1c50dbec859a6f8858294a535192dc2c79
318,739,crop_or_resize,massimilianoghiotto_6254,14,0,0,Slice Cast Slice Cast Constant Sub Sub Mul Sum Sub Sub Sub Concat Pad,"{""Cast"": 2, ""Concat"": 1, ""Constant"": 1, ""Mul"": 1, ""Pad"": 1, ""Slice"": 2, ""Sub"": 5, ""Sum"": 1}",1x10x30x30,14,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,,00a18155b908e6209a42767ff1198c3610858a887ae0e8800cc01c566c3b4688
144,771,crop_or_resize,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,13,8,35,Slice Cast Slice Cast Sub Sub Mul Sum Sub Sub Sub Concat Pad,"{""Cast"": 2, ""Concat"": 1, ""Mul"": 1, ""Pad"": 1, ""Slice"": 2, ""Sub"": 5, ""Sum"": 1}",1x10x30x30,13,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,safe_name_0:scalar:float16:1;safe_name_1:1x1x4x4:float16:16;safe_name_2:3:int64:3;safe_name_3:3:int64:3;safe_name_4:3:int64:3;safe_name_5:3:int64:3;safe_name_6:3:int64:3;safe_name_7:3:int64:3,6a5ef64e5f1fe2f0fbc68e27a824f3088251f712b5149fa3702c859095179e2f
111,797,crop_or_resize,massimilianoghiotto_6254,15,8,25,Slice ReduceSum ArgMax ReduceSum ArgMax Reshape Reshape Add Add Sub Add Concat Concat Slice Pad,"{""Add"": 3, ""ArgMax"": 2, ""Concat"": 2, ""Pad"": 1, ""ReduceSum"": 2, ""Reshape"": 2, ""Slice"": 2, ""Sub"": 1}",1x10x30x30,15,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,safe_name_0:1:int64:1;safe_name_1:1:int64:1;safe_name_2:1:int64:1;safe_name_3:8:int64:8;safe_name_4:4:int64:4;safe_name_5:2:int64:2;safe_name_6:4:int64:4;safe_name_7:4:int64:4,aaefda6901c637c886a3b943314b43f0a81b9ce46e573c0a1ae37be5dc923bdd
129,807,sparse_edit_or_object_completion,afr1ste_5689_artifact,8,6,29,Slice Cast ReduceSum ArgMax Equal Cast Expand Pad,"{""ArgMax"": 1, ""Cast"": 2, ""Equal"": 1, ""Expand"": 1, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 1}",1x10x30x30,8,4,misc_under_2000,unknown_near_low_cost,Potentially useful but not first compiler archetype.,safe_name_0:4:int64:4;safe_name_1:4:int64:4;safe_name_2:2:int64:2;safe_name_3:1x10x1x1:int64:10;safe_name_4:8:int64:8;safe_name_5:scalar:float16:1,3555306a16022548fe54f96fe61de5d46b3fecead22a24be75ac91b6881228f3
322,867,sparse_edit_or_object_completion,massimilianoghiotto_6254,8,0,0,Slice Cast MaxPool ReduceMax Constant Sub Concat Pad,"{""Cast"": 1, ""Concat"": 1, ""Constant"": 1, ""MaxPool"": 1, ""Pad"": 1, ""ReduceMax"": 1, ""Slice"": 1, ""Sub"": 1}",1x10x30x30,8,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,,e652cbcc7ee26d00cdba6feeb2959c3523b0a18c930cf9e72090d55c7f25cf95
339,884,crop_or_resize,afr1ste_5689_artifact,13,11,108,Slice Cast ReduceSum Cast Sub ReduceSum ArgMax Add OneHot Unsqueeze Gather Mul Pad,"{""Add"": 1, ""ArgMax"": 1, ""Cast"": 2, ""Gather"": 1, ""Mul"": 1, ""OneHot"": 1, ""Pad"": 1, ""ReduceSum"": 2, ""Slice"": 1, ""Sub"": 1, ""Unsqueeze"": 1}",1x10x30x30,13,4,tiny_dynamic_shape_index,shape_index_crop,Use ReduceSum/ArgMax/Gather to select small shape/offset without full-grid masks.,safe_name_0:3:int64:3;safe_name_1:3:int64:3;safe_name_2:3:int64:3;safe_name_3:3:int64:3;safe_name_4:1:int64:1;safe_name_5:2:int64:2;safe_name_6:scalar:int64:1;safe_name_7:2:float16:2;safe_name_8:9x1x1x9:float16:81;safe_name_9:8:int64:8;safe_name_10:scalar:float16:1,d567d607e88a0479e6281bbb3e7a134385ffaac9103a57feb74901b852c5c197
15,900,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,900,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900,1ffd2d96fdecfb3f3aff30b61ec79024b253580c0365fa4b8455c4efee2f4c93
127,900,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,900,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900,7e9978ae7837339e7daa690667e1151f4a598a32ae15a2449e7b3cbd7debd63d
220,900,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,900,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900,632b8fb1ccd0dd3825002474344d4a714a97fcf24c4e46d3f5bfb61870dbf407
230,900,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,900,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900,513c2f92afc641fecbd08cf3bab18b5addfb7e781e7e38b578bda17b8908804b
282,900,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,900,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900,f9fc4d6866e865fd798e58bbb321326a6decd15eea64ad7043af737262c00829
317,900,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,900,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900,043fafbb9cba74766379a2e433f9c5a0bb13b27b58162a396758ac6b81fa95ed
73,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,991392cf02f9450481e5e836166795e50390595c68a1f05000ff7a4d6e1adb04
95,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,865104aaf1de4802da48ad310fb91506cfe1860a7c84b36fe13957343885add3
98,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,a8f900b509645e6f976a19b886bfbb64685e0fdee99c5ec60fc805eed20545b5
120,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,0785e5a0983b2b5c6b626a8b0d271359db71a4c00c97d2ad82d835bcf5d32754
147,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,20e31f9954eb07b1ed602c8e9d6d2e7591d1c02862d3c665f9ef9a0af12c87d1
151,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,78279de40234dc3b49f23ce8efa2aa776b92bd38a0a498486896af47e8e1057f
171,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,870d03d11f50675a25e91011d3de920f98d7b42c7cea3ef00ac5889afbe2b765
266,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,9266080d8ed294e52e63b99529da14cc1579383439176769c66563d294d12414
272,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,2d16a68fb9c67906f50d61d5ef9d7ea99b5be9e1241a424a754da7a4a9554267
283,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,8db88668af17c5c730bab617d6a4a0585532ddb4633d97ae3c3317a3e7b9226a
294,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,5037f105281aeed7f850b84f0b90baa656d0667ae2c026d838e8c61ca2bcfb8e
331,910,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,910,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x3x3:float32:900;safe_name_1:10:float32:10,5d958e2bec660aada61848feb0b17c6bd6433a91959a3674a3b4f8d7dbb98f04
150,1014,sparse_edit_or_object_completion,massimilianoghiotto_6254,11,6,36,ReduceSum Greater Cast ReduceSum Cast Less Sub Sub Where Squeeze Gather,"{""Cast"": 2, ""Gather"": 1, ""Greater"": 1, ""Less"": 1, ""ReduceSum"": 2, ""Squeeze"": 1, ""Sub"": 2, ""Where"": 1}",1x10x30x30,11,4,misc_under_2000,unknown_near_low_cost,Potentially useful but not first compiler archetype.,safe_name_0:scalar:float32:1;safe_name_1:scalar:int64:1;safe_name_2:1x30:int64:30;safe_name_3:1:int64:1;safe_name_4:1:int64:1;safe_name_5:2:int64:2,658f2a1f85f9b0e0098bb73d7bd931804a72b90cb015b2f7d1893b985acc0b42
155,1014,sparse_edit_or_object_completion,massimilianoghiotto_6254,11,6,36,ReduceSum Greater Cast ReduceSum Cast Less Sub Sub Where Squeeze Gather,"{""Cast"": 2, ""Gather"": 1, ""Greater"": 1, ""Less"": 1, ""ReduceSum"": 2, ""Squeeze"": 1, ""Sub"": 2, ""Where"": 1}",1x10x30x30,11,4,misc_under_2000,unknown_near_low_cost,Potentially useful but not first compiler archetype.,safe_name_0:scalar:float32:1;safe_name_1:scalar:int64:1;safe_name_2:1x30:int64:30;safe_name_3:1:int64:1;safe_name_4:1:int64:1;safe_name_5:2:int64:2,e64d0639c1b46bd5d2a784efaa34bc5a67c1b0ef925812a729280be4b82283c2
