idx,split,r,c,in_color,out_color,is_zero,dr,dc,h,w,row_from_bottom,col_from_right,row_parity,col_parity,rank,u,d,l,rr,ud_pair,lr_pair,nbr4
2,test,8,4,8,0,1,3,0,8,10,4,9,1,0,1,8,8,0,8,8:8,0:8,8:8:0:8
2,test,8,5,8,5,0,3,1,8,10,4,8,1,1,1,8,8,8,8,8:8,8:8,8:8:8:8
2,test,8,6,8,5,0,3,2,8,10,4,7,1,0,1,8,8,8,8,8:8,8:8,8:8:8:8
2,test,8,7,8,5,0,3,3,8,10,4,6,1,1,1,8,8,8,5,8:8,8:5,8:8:8:5
2,test,9,4,8,0,1,4,0,8,10,3,9,0,0,1,8,8,0,8,8:8,0:8,8:8:0:8
2,test,9,5,8,0,1,4,1,8,10,3,8,0,1,1,8,8,8,8,8:8,8:8,8:8:8:8
2,test,9,6,8,0,1,4,2,8,10,3,7,0,0,1,8,8,8,8,8:8,8:8,8:8:8:8
2,test,9,7,8,0,1,4,3,8,10,3,6,0,1,1,8,8,8,0,8:8,8:0,8:8:8:0
2,test,10,4,8,0,1,5,0,8,10,2,9,1,0,1,8,0,0,8,8:0,0:8,8:0:0:8
2,test,10,5,8,5,0,5,1,8,10,2,8,1,1,1,8,0,8,8,8:0,8:8,8:0:8:8
2,test,10,6,8,5,0,5,2,8,10,2,7,1,0,1,8,5,8,8,8:5,8:8,8:5:8:8
2,test,10,7,8,5,0,5,3,8,10,2,6,1,1,1,8,5,8,5,8:5,8:5,8:5:8:5
3,arc-gen,3,7,1,7,0,1,5,5,9,3,3,1,1,1,7,1,7,1,7:1,7:1,7:1:7:1
3,arc-gen,3,8,1,7,0,1,6,5,9,3,2,1,0,1,0,1,1,1,0:1,1:1,0:1:1:1
3,arc-gen,3,9,1,7,0,1,7,5,9,3,1,1,1,1,0,1,1,1,0:1,1:1,0:1:1:1
3,arc-gen,3,10,1,0,1,1,8,5,9,3,0,1,0,1,0,1,1,0,0:1,1:0,0:1:1:0
3,arc-gen,4,7,1,7,0,2,5,5,9,2,3,0,1,1,1,1,0,1,1:1,0:1,1:1:0:1
3,arc-gen,4,8,1,7,0,2,6,5,9,2,2,0,0,1,1,1,1,1,1:1,1:1,1:1:1:1
3,arc-gen,4,9,1,0,1,2,7,5,9,2,1,0,1,1,1,1,1,1,1:1,1:1,1:1:1:1
3,arc-gen,4,10,1,0,1,2,8,5,9,2,0,0,0,1,1,1,1,0,1:1,1:0,1:1:1:0
3,arc-gen,5,7,1,0,1,3,5,5,9,1,3,1,1,1,1,0,0,1,1:0,0:1,1:0:0:1
3,arc-gen,5,8,1,7,0,3,6,5,9,1,2,1,0,1,1,7,1,1,1:7,1:1,1:7:1:1
3,arc-gen,5,9,1,0,1,3,7,5,9,1,1,1,1,1,1,0,1,1,1:0,1:1,1:0:1:1
3,arc-gen,5,10,1,0,1,3,8,5,9,1,0,1,0,1,1,0,1,0,1:0,1:0,1:0:1:0
4,arc-gen,3,1,4,0,1,1,0,6,9,4,8,1,0,0,0,4,0,4,0:4,0:4,0:4:0:4
4,arc-gen,3,2,4,0,1,1,1,6,9,4,7,1,1,0,0,4,4,4,0:4,4:4,0:4:4:4
4,arc-gen,3,3,4,6,0,1,2,6,9,4,6,1,0,0,6,4,4,4,6:4,4:4,6:4:4:4
4,arc-gen,3,4,4,6,0,1,3,6,9,4,5,1,1,0,6,4,4,6,6:4,4:6,6:4:4:6
4,arc-gen,4,1,4,0,1,2,0,6,9,3,8,0,0,0,4,4,0,4,4:4,0:4,4:4:0:4
4,arc-gen,4,2,4,0,1,2,1,6,9,3,7,0,1,0,4,4,4,4,4:4,4:4,4:4:4:4
4,arc-gen,4,3,4,6,0,2,2,6,9,3,6,0,0,0,4,4,4,4,4:4,4:4,4:4:4:4
4,arc-gen,4,4,4,0,1,2,3,6,9,3,5,0,1,0,4,4,4,0,4:4,4:0,4:4:4:0
4,arc-gen,5,1,4,0,1,3,0,6,9,2,8,1,0,0,4,4,0,4,4:4,0:4,4:4:0:4
4,arc-gen,5,2,4,0,1,3,1,6,9,2,7,1,1,0,4,4,4,4,4:4,4:4,4:4:4:4
4,arc-gen,5,3,4,0,1,3,2,6,9,2,6,1,0,0,4,4,4,4,4:4,4:4,4:4:4:4
4,arc-gen,5,4,4,0,1,3,3,6,9,2,5,1,1,0,4,4,4,0,4:4,4:0,4:4:4:0
4,arc-gen,6,1,4,0,1,4,0,6,9,1,8,0,0,0,4,4,0,4,4:4,0:4,4:4:0:4
4,arc-gen,6,2,4,0,1,4,1,6,9,1,7,0,1,0,4,4,4,4,4:4,4:4,4:4:4:4
4,arc-gen,6,3,4,0,1,4,2,6,9,1,6,0,0,0,4,4,4,4,4:4,4:4,4:4:4:4
4,arc-gen,6,4,4,0,1,4,3,6,9,1,5,0,1,0,4,4,4,0,4:4,4:0,4:4:4:0
4,arc-gen,7,1,4,0,1,5,0,6,9,0,8,1,0,0,4,0,0,4,4:0,0:4,4:0:0:4
4,arc-gen,7,2,4,0,1,5,1,6,9,0,7,1,1,0,4,0,4,4,4:0,4:4,4:0:4:4
4,arc-gen,7,3,4,0,1,5,2,6,9,0,6,1,0,0,4,0,4,4,4:0,4:4,4:0:4:4
4,arc-gen,7,4,4,0,1,5,3,6,9,0,5,1,1,0,4,0,4,0,4:0,4:0,4:0:4:0
5,arc-gen,5,9,5,2,0,1,5,5,9,3,3,1,1,1,2,5,2,5,2:5,2:5,2:5:2:5
5,arc-gen,5,10,5,2,0,1,6,5,9,3,2,1,0,1,2,5,5,5,2:5,5:5,2:5:5:5
5,arc-gen,5,11,5,0,1,1,7,5,9,3,1,1,1,1,2,5,5,5,2:5,5:5,2:5:5:5
5,arc-gen,5,12,5,0,1,1,8,5,9,3,0,1,0,1,0,5,5,0,0:5,5:0,0:5:5:0
5,arc-gen,6,9,5,0,1,2,5,5,9,2,3,0,1,1,5,5,0,5,5:5,0:5,5:5:0:5
5,arc-gen,6,10,5,2,0,2,6,5,9,2,2,0,0,1,5,5,5,5,5:5,5:5,5:5:5:5
5,arc-gen,6,11,5,2,0,2,7,5,9,2,1,0,1,1,5,5,5,5,5:5,5:5,5:5:5:5
5,arc-gen,6,12,5,0,1,2,8,5,9,2,0,0,0,1,5,5,5,0,5:5,5:0,5:5:5:0
5,arc-gen,7,9,5,0,1,3,5,5,9,1,3,1,1,1,5,5,0,5,5:5,0:5,5:5:0:5
5,arc-gen,7,10,5,2,0,3,6,5,9,1,2,1,0,1,5,5,5,5,5:5,5:5,5:5:5:5
5,arc-gen,7,11,5,2,0,3,7,5,9,1,1,1,1,1,5,5,5,5,5:5,5:5,5:5:5:5
5,arc-gen,7,12,5,0,1,3,8,5,9,1,0,1,0,1,5,5,5,0,5:5,5:0,5:5:5:0
5,arc-gen,8,9,5,0,1,4,5,5,9,0,3,0,1,1,5,0,0,5,5:0,0:5,5:0:0:5
5,arc-gen,8,10,5,0,1,4,6,5,9,0,2,0,0,1,5,0,5,5,5:0,5:5,5:0:5:5
5,arc-gen,8,11,5,0,1,4,7,5,9,0,1,0,1,1,5,0,5,5,5:0,5:5,5:0:5:5
5,arc-gen,8,12,5,0,1,4,8,5,9,0,0,0,0,1,5,0,5,0,5:0,5:0,5:0:5:0
6,arc-gen,6,8,3,8,0,2,5,6,9,3,3,0,1,1,8,3,8,3,8:3,8:3,8:3:8:3
6,arc-gen,6,9,3,8,0,2,6,6,9,3,2,0,0,1,8,3,3,3,8:3,3:3,8:3:3:3
6,arc-gen,6,10,3,8,0,2,7,6,9,3,1,0,1,1,8,3,3,3,8:3,3:3,8:3:3:3
6,arc-gen,6,11,3,0,1,2,8,6,9,3,0,0,0,1,0,3,3,0,0:3,3:0,0:3:3:0
6,arc-gen,7,8,3,8,0,3,5,6,9,2,3,1,1,1,3,3,8,3,3:3,8:3,3:3:8:3
6,arc-gen,7,9,3,8,0,3,6,6,9,2,2,1,0,1,3,3,3,3,3:3,3:3,3:3:3:3
6,arc-gen,7,10,3,8,0,3,7,6,9,2,1,1,1,1,3,3,3,3,3:3,3:3,3:3:3:3
6,arc-gen,7,11,3,0,1,3,8,6,9,2,0,1,0,1,3,3,3,0,3:3,3:0,3:3:3:0
6,arc-gen,8,8,3,8,0,4,5,6,9,1,3,0,1,1,3,0,8,3,3:0,8:3,3:0:8:3
6,arc-gen,8,9,3,0,1,4,6,6,9,1,2,0,0,1,3,0,3,3,3:0,3:3,3:0:3:3
6,arc-gen,8,10,3,8,0,4,7,6,9,1,1,0,1,1,3,0,3,3,3:0,3:3,3:0:3:3
6,arc-gen,8,11,3,0,1,4,8,6,9,1,0,0,0,1,3,0,3,0,3:0,3:0,3:0:3:0
7,arc-gen,3,11,7,2,0,1,4,7,8,5,3,1,0,1,2,7,2,7,2:7,2:7,2:7:2:7
7,arc-gen,3,12,7,0,1,1,5,7,8,5,2,1,1,1,2,7,7,7,2:7,7:7,2:7:7:7
7,arc-gen,3,13,7,0,1,1,6,7,8,5,1,1,0,1,2,7,7,7,2:7,7:7,2:7:7:7
7,arc-gen,3,14,7,0,1,1,7,7,8,5,0,1,1,1,0,7,7,0,0:7,7:0,0:7:7:0
7,arc-gen,4,11,7,2,0,2,4,7,8,4,3,0,0,1,7,7,2,7,7:7,2:7,7:7:2:7
7,arc-gen,4,12,7,2,0,2,5,7,8,4,2,0,1,1,7,7,7,7,7:7,7:7,7:7:7:7
7,arc-gen,4,13,7,2,0,2,6,7,8,4,1,0,0,1,7,7,7,7,7:7,7:7,7:7:7:7
7,arc-gen,4,14,7,0,1,2,7,7,8,4,0,0,1,1,7,7,7,0,7:7,7:0,7:7:7:0
7,arc-gen,5,11,7,2,0,3,4,7,8,3,3,1,0,1,7,7,2,7,7:7,2:7,7:7:2:7
7,arc-gen,5,12,7,2,0,3,5,7,8,3,2,1,1,1,7,7,7,7,7:7,7:7,7:7:7:7
7,arc-gen,5,13,7,2,0,3,6,7,8,3,1,1,0,1,7,7,7,7,7:7,7:7,7:7:7:7
7,arc-gen,5,14,7,0,1,3,7,7,8,3,0,1,1,1,7,7,7,0,7:7,7:0,7:7:7:0
7,arc-gen,6,11,7,2,0,4,4,7,8,2,3,0,0,1,7,7,2,7,7:7,2:7,7:7:2:7
7,arc-gen,6,12,7,2,0,4,5,7,8,2,2,0,1,1,7,7,7,7,7:7,7:7,7:7:7:7
7,arc-gen,6,13,7,2,0,4,6,7,8,2,1,0,0,1,7,7,7,7,7:7,7:7,7:7:7:7
7,arc-gen,6,14,7,0,1,4,7,7,8,2,0,0,1,1,7,7,7,0,7:7,7:0,7:7:7:0
7,arc-gen,7,11,7,2,0,5,4,7,8,1,3,1,0,1,7,0,2,7,7:0,2:7,7:0:2:7
7,arc-gen,7,12,7,2,0,5,5,7,8,1,2,1,1,1,7,2,7,7,7:2,7:7,7:2:7:7
7,arc-gen,7,13,7,0,1,5,6,7,8,1,1,1,0,1,7,2,7,7,7:2,7:7,7:2:7:7
7,arc-gen,7,14,7,0,1,5,7,7,8,1,0,1,1,1,7,0,7,0,7:0,7:0,7:0:7:0
8,arc-gen,6,5,5,0,1,2,0,6,8,3,7,0,0,1,7,5,0,5,7:5,0:5,7:5:0:5
8,arc-gen,6,6,5,0,1,2,1,6,8,3,6,0,1,1,7,5,5,5,7:5,5:5,7:5:5:5
8,arc-gen,6,7,5,7,0,2,2,6,8,3,5,0,0,1,7,5,5,5,7:5,5:5,7:5:5:5
8,arc-gen,6,8,5,7,0,2,3,6,8,3,4,0,1,1,7,5,5,7,7:5,5:7,7:5:5:7
8,arc-gen,7,5,5,0,1,3,0,6,8,2,7,1,0,1,5,5,0,5,5:5,0:5,5:5:0:5
8,arc-gen,7,6,5,0,1,3,1,6,8,2,6,1,1,1,5,5,5,5,5:5,5:5,5:5:5:5
8,arc-gen,7,7,5,0,1,3,2,6,8,2,5,1,0,1,5,5,5,5,5:5,5:5,5:5:5:5
8,arc-gen,7,8,5,7,0,3,3,6,8,2,4,1,1,1,5,5,5,7,5:5,5:7,5:5:5:7
8,arc-gen,8,5,5,0,1,4,0,6,8,1,7,0,0,1,5,7,0,5,5:7,0:5,5:7:0:5
8,arc-gen,8,6,5,7,0,4,1,6,8,1,6,0,1,1,5,7,5,5,5:7,5:5,5:7:5:5
8,arc-gen,8,7,5,7,0,4,2,6,8,1,5,0,0,1,5,0,5,5,5:0,5:5,5:0:5:5
8,arc-gen,8,8,5,7,0,4,3,6,8,1,4,0,1,1,5,7,5,7,5:7,5:7,5:7:5:7
9,arc-gen,3,2,9,0,1,1,0,5,9,3,8,1,0,1,0,9,0,9,0:9,0:9,0:9:0:9
9,arc-gen,3,3,9,0,1,1,1,5,9,3,7,1,1,1,0,9,9,9,0:9,9:9,0:9:9:9
9,arc-gen,3,4,9,7,0,1,2,5,9,3,6,1,0,1,0,9,9,9,0:9,9:9,0:9:9:9
9,arc-gen,3,5,9,7,0,1,3,5,9,3,5,1,1,1,7,9,9,7,7:9,9:7,7:9:9:7
9,arc-gen,4,2,9,0,1,2,0,5,9,2,8,0,0,1,9,9,0,9,9:9,0:9,9:9:0:9
9,arc-gen,4,3,9,0,1,2,1,5,9,2,7,0,1,1,9,9,9,9,9:9,9:9,9:9:9:9
9,arc-gen,4,4,9,7,0,2,2,5,9,2,6,0,0,1,9,9,9,9,9:9,9:9,9:9:9:9
9,arc-gen,4,5,9,7,0,2,3,5,9,2,5,0,1,1,9,9,9,0,9:9,9:0,9:9:9:0
9,arc-gen,5,2,9,0,1,3,0,5,9,1,8,1,0,1,9,0,0,9,9:0,0:9,9:0:0:9
9,arc-gen,5,3,9,0,1,3,1,5,9,1,7,1,1,1,9,0,9,9,9:0,9:9,9:0:9:9
9,arc-gen,5,4,9,7,0,3,2,5,9,1,6,1,0,1,9,7,9,9,9:7,9:9,9:7:9:9
9,arc-gen,5,5,9,7,0,3,3,5,9,1,5,1,1,1,9,7,9,7,9:7,9:7,9:7:9:7
10,arc-gen,5,11,3,0,1,2,5,8,9,5,3,0,1,1,1,3,1,3,1:3,1:3,1:3:1:3
10,arc-gen,5,12,3,0,1,2,6,8,9,5,2,0,0,1,1,3,3,3,1:3,3:3,1:3:3:3
10,arc-gen,5,13,3,0,1,2,7,8,9,5,1,0,1,1,0,3,3,3,0:3,3:3,0:3:3:3
10,arc-gen,5,14,3,0,1,2,8,8,9,5,0,0,0,1,0,3,3,0,0:3,3:0,0:3:3:0
10,arc-gen,6,11,3,1,0,3,5,8,9,4,3,1,1,1,3,3,1,3,3:3,1:3,3:3:1:3
10,arc-gen,6,12,3,1,0,3,6,8,9,4,2,1,0,1,3,3,3,3,3:3,3:3,3:3:3:3
10,arc-gen,6,13,3,0,1,3,7,8,9,4,1,1,1,1,3,3,3,3,3:3,3:3,3:3:3:3
10,arc-gen,6,14,3,0,1,3,8,8,9,4,0,1,0,1,3,3,3,0,3:3,3:0,3:3:3:0
10,arc-gen,7,11,3,1,0,4,5,8,9,3,3,0,1,1,3,3,0,3,3:3,0:3,3:3:0:3
10,arc-gen,7,12,3,0,1,4,6,8,9,3,2,0,0,1,3,3,3,3,3:3,3:3,3:3:3:3
10,arc-gen,7,13,3,0,1,4,7,8,9,3,1,0,1,1,3,3,3,3,3:3,3:3,3:3:3:3
10,arc-gen,7,14,3,0,1,4,8,8,9,3,0,0,0,1,3,3,3,0,3:3,3:0,3:3:3:0
10,arc-gen,8,11,3,1,0,5,5,8,9,2,3,1,1,1,3,1,1,3,3:1,1:3,3:1:1:3
10,arc-gen,8,12,3,1,0,5,6,8,9,2,2,1,0,1,3,1,3,3,3:1,3:3,3:1:3:3
10,arc-gen,8,13,3,0,1,5,7,8,9,2,1,1,1,1,3,0,3,3,3:0,3:3,3:0:3:3
10,arc-gen,8,14,3,0,1,5,8,8,9,2,0,1,0,1,3,0,3,0,3:0,3:0,3:0:3:0
11,arc-gen,5,7,4,1,0,1,4,5,8,3,3,1,0,0,1,4,1,4,1:4,1:4,1:4:1:4
11,arc-gen,5,8,4,1,0,1,5,5,8,3,2,1,1,0,1,4,4,4,1:4,4:4,1:4:4:4
11,arc-gen,5,9,4,1,0,1,6,5,8,3,1,1,0,0,1,4,4,4,1:4,4:4,1:4:4:4
11,arc-gen,5,10,4,0,1,1,7,5,8,3,0,1,1,0,1,4,4,0,1:4,4:0,1:4:4:0
11,arc-gen,6,7,4,1,0,2,4,5,8,2,3,0,0,0,4,4,1,4,4:4,1:4,4:4:1:4
11,arc-gen,6,8,4,1,0,2,5,5,8,2,2,0,1,0,4,4,4,4,4:4,4:4,4:4:4:4
11,arc-gen,6,9,4,0,1,2,6,5,8,2,1,0,0,0,4,4,4,4,4:4,4:4,4:4:4:4
11,arc-gen,6,10,4,0,1,2,7,5,8,2,0,0,1,0,4,4,4,0,4:4,4:0,4:4:4:0
11,arc-gen,7,7,4,0,1,3,4,5,8,1,3,1,0,0,4,4,0,4,4:4,0:4,4:4:0:4
11,arc-gen,7,8,4,1,0,3,5,5,8,1,2,1,1,0,4,4,4,4,4:4,4:4,4:4:4:4
11,arc-gen,7,9,4,0,1,3,6,5,8,1,1,1,0,0,4,4,4,4,4:4,4:4,4:4:4:4
11,arc-gen,7,10,4,0,1,3,7,5,8,1,0,1,1,0,4,4,4,0,4:4,4:0,4:4:4:0
11,arc-gen,8,7,4,0,1,4,4,5,8,0,3,0,0,0,4,0,0,4,4:0,0:4,4:0:0:4
11,arc-gen,8,8,4,0,1,4,5,5,8,0,2,0,1,0,4,0,4,4,4:0,4:4,4:0:4:4
11,arc-gen,8,9,4,0,1,4,6,5,8,0,1,0,0,0,4,0,4,4,4:0,4:4,4:0:4:4
11,arc-gen,8,10,4,0,1,4,7,5,8,0,0,0,1,0,4,0,4,0,4:0,4:0,4:0:4:0
12,arc-gen,5,4,7,0,1,2,0,8,9,5,8,0,0,1,0,7,0,7,0:7,0:7,0:7:0:7
12,arc-gen,5,5,7,0,1,2,1,8,9,5,7,0,1,1,0,7,7,7,0:7,7:7,0:7:7:7
12,arc-gen,5,6,7,8,0,2,2,8,9,5,6,0,0,1,0,7,7,7,0:7,7:7,0:7:7:7
12,arc-gen,5,7,7,8,0,2,3,8,9,5,5,0,1,1,8,7,7,8,8:7,7:8,8:7:7:8
12,arc-gen,6,4,7,0,1,3,0,8,9,4,8,1,0,1,7,7,0,7,7:7,0:7,7:7:0:7
12,arc-gen,6,5,7,0,1,3,1,8,9,4,7,1,1,1,7,7,7,7,7:7,7:7,7:7:7:7
12,arc-gen,6,6,7,8,0,3,2,8,9,4,6,1,0,1,7,7,7,7,7:7,7:7,7:7:7:7
12,arc-gen,6,7,7,8,0,3,3,8,9,4,5,1,1,1,7,7,7,8,7:7,7:8,7:7:7:8
12,arc-gen,7,4,7,0,1,4,0,8,9,3,8,0,0,1,7,0,0,7,7:0,0:7,7:0:0:7
12,arc-gen,7,5,7,0,1,4,1,8,9,3,7,0,1,1,7,0,7,7,7:0,7:7,7:0:7:7
12,arc-gen,7,6,7,0,1,4,2,8,9,3,6,0,0,1,7,0,7,7,7:0,7:7,7:0:7:7
12,arc-gen,7,7,7,0,1,4,3,8,9,3,5,0,1,1,7,0,7,8,7:0,7:8,7:0:7:8
13,arc-gen,3,1,3,0,1,1,0,4,8,2,7,1,0,1,0,3,0,3,0:3,0:3,0:3:0:3
13,arc-gen,3,2,3,0,1,1,1,4,8,2,6,1,1,1,0,3,3,3,0:3,3:3,0:3:3:3
13,arc-gen,3,3,3,0,1,1,2,4,8,2,5,1,0,1,0,3,3,3,0:3,3:3,0:3:3:3
13,arc-gen,3,4,3,0,1,1,3,4,8,2,4,1,1,1,4,3,3,4,4:3,3:4,4:3:3:4
13,arc-gen,4,1,3,0,1,2,0,4,8,1,7,0,0,1,3,3,0,3,3:3,0:3,3:3:0:3
13,arc-gen,4,2,3,0,1,2,1,4,8,1,6,0,1,1,3,3,3,3,3:3,3:3,3:3:3:3
13,arc-gen,4,3,3,0,1,2,2,4,8,1,5,0,0,1,3,3,3,3,3:3,3:3,3:3:3:3
13,arc-gen,4,4,3,4,0,2,3,4,8,1,4,0,1,1,3,3,3,4,3:3,3:4,3:3:3:4
13,arc-gen,5,1,3,0,1,3,0,4,8,0,7,1,0,1,3,0,0,3,3:0,0:3,3:0:0:3
13,arc-gen,5,2,3,0,1,3,1,4,8,0,6,1,1,1,3,0,3,3,3:0,3:3,3:0:3:3
13,arc-gen,5,3,3,0,1,3,2,4,8,0,5,1,0,1,3,0,3,3,3:0,3:3,3:0:3:3
13,arc-gen,5,4,3,0,1,3,3,4,8,0,4,1,1,1,3,0,3,0,3:0,3:0,3:0:3:0
14,arc-gen,5,1,3,0,1,2,0,7,9,4,8,0,0,1,0,3,0,3,0:3,0:3,0:3:0:3
14,arc-gen,5,2,3,0,1,2,1,7,9,4,7,0,1,1,0,3,3,3,0:3,3:3,0:3:3:3
14,arc-gen,5,3,3,7,0,2,2,7,9,4,6,0,0,1,7,3,3,3,7:3,3:3,7:3:3:3
14,arc-gen,5,4,3,7,0,2,3,7,9,4,5,0,1,1,0,3,3,7,0:3,3:7,0:3:3:7
14,arc-gen,6,1,3,0,1,3,0,7,9,3,8,1,0,1,3,3,0,3,3:3,0:3,3:3:0:3
14,arc-gen,6,2,3,0,1,3,1,7,9,3,7,1,1,1,3,3,3,3,3:3,3:3,3:3:3:3
14,arc-gen,6,3,3,0,1,3,2,7,9,3,6,1,0,1,3,3,3,3,3:3,3:3,3:3:3:3
14,arc-gen,6,4,3,7,0,3,3,7,9,3,5,1,1,1,3,3,3,7,3:3,3:7,3:3:3:7
14,arc-gen,7,1,3,0,1,4,0,7,9,2,8,0,0,1,3,3,0,3,3:3,0:3,3:3:0:3
14,arc-gen,7,2,3,0,1,4,1,7,9,2,7,0,1,1,3,3,3,3,3:3,3:3,3:3:3:3
14,arc-gen,7,3,3,0,1,4,2,7,9,2,6,0,0,1,3,3,3,3,3:3,3:3,3:3:3:3
14,arc-gen,7,4,3,7,0,4,3,7,9,2,5,0,1,1,3,3,3,0,3:3,3:0,3:3:3:0
14,arc-gen,8,1,3,0,1,5,0,7,9,1,8,1,0,1,3,3,0,3,3:3,0:3,3:3:0:3
14,arc-gen,8,2,3,0,1,5,1,7,9,1,7,1,1,1,3,3,3,3,3:3,3:3,3:3:3:3
14,arc-gen,8,3,3,0,1,5,2,7,9,1,6,1,0,1,3,3,3,3,3:3,3:3,3:3:3:3
14,arc-gen,8,4,3,0,1,5,3,7,9,1,5,1,1,1,3,3,3,0,3:3,3:0,3:3:3:0
14,arc-gen,9,1,3,0,1,6,0,7,9,0,8,0,0,1,3,0,0,3,3:0,0:3,3:0:0:3
14,arc-gen,9,2,3,0,1,6,1,7,9,0,7,0,1,1,3,0,3,3,3:0,3:3,3:0:3:3
14,arc-gen,9,3,3,0,1,6,2,7,9,0,6,0,0,1,3,0,3,3,3:0,3:3,3:0:3:3
14,arc-gen,9,4,3,0,1,6,3,7,9,0,5,0,1,1,3,0,3,0,3:0,3:0,3:0:3:0
15,arc-gen,6,1,9,0,1,1,0,5,8,3,7,1,0,0,0,9,0,9,0:9,0:9,0:9:0:9
15,arc-gen,6,2,9,8,0,1,1,5,8,3,6,1,1,0,8,9,9,9,8:9,9:9,8:9:9:9
15,arc-gen,6,3,9,8,0,1,2,5,8,3,5,1,0,0,8,9,9,9,8:9,9:9,8:9:9:9
15,arc-gen,6,4,9,8,0,1,3,5,8,3,4,1,1,0,8,9,9,8,8:9,9:8,8:9:9:8
15,arc-gen,7,1,9,0,1,2,0,5,8,2,7,0,0,0,9,9,0,9,9:9,0:9,9:9:0:9
