idx,target,binary_candidate_count,signature_candidate_count,target_in_binary,target_in_signature,binary_candidates,signature_candidates
95,"0,5",4,0,True,False,"0,0;0,5;4,6;6,2",
96,"5,1",4,0,True,False,"1,1;1,5;5,1;6,5",
97,"6,2",4,0,True,False,"1,1;1,6;6,2;6,6",
98,"1,5",4,0,True,False,"1,5;2,1;5,5;6,1",
99,"6,4",4,0,True,False,"0,0;1,5;6,0;6,4",
100,"0,2",4,0,True,False,"0,2;1,6;5,5;6,0",
101,"5,0",4,0,True,False,"1,0;1,4;5,0;6,5",
102,"5,0",4,0,True,False,"0,0;0,5;5,0;5,4",
103,"6,0",4,0,True,False,"1,6;2,1;6,0;6,5",
104,"6,1",4,0,True,False,"1,1;1,5;6,1;6,5",
105,"6,6",4,0,True,False,"0,0;2,5;5,2;6,6",
106,"6,6",4,0,True,False,"1,6;2,1;6,1;6,6",
107,"2,5",4,0,True,False,"1,0;2,5;6,1;6,6",
108,"6,1",4,0,True,False,"0,5;2,0;4,6;6,1",
109,"5,4",4,0,True,False,"0,0;0,6;5,0;5,4",
110,"6,1",4,0,True,False,"0,5;2,1;5,5;6,1",
111,"4,1",4,0,True,False,"0,2;1,6;4,1;5,5",
112,"6,1",4,0,True,False,"0,0;0,6;4,5;6,1",
113,"1,4",4,0,True,False,"0,0;1,4;5,5;6,0",
114,"6,1",4,0,True,False,"1,1;2,6;6,1;6,6",
115,"6,0",4,0,True,False,"0,0;1,6;5,6;6,0",
116,"6,6",4,0,True,False,"0,0;2,6;5,1;6,6",
117,"6,6",4,0,True,False,"0,1;0,6;4,0;6,6",
118,"5,4",4,0,True,False,"0,6;2,0;5,4;6,0",
119,"6,6",4,0,True,False,"1,0;1,5;6,2;6,6",
120,"4,0",4,0,True,False,"0,1;2,6;4,0;6,5",
121,"6,5",4,0,True,False,"0,2;1,6;5,0;6,5",
122,"3,0",4,0,True,False,"0,3;3,0;3,6;6,3",
123,"0,1",4,0,True,False,"0,1;0,6;5,0;6,6",
124,"4,5",4,0,True,False,"0,4;1,0;4,5;6,0",
125,"4,6",4,0,True,False,"0,5;1,1;4,6;5,0",
126,"0,6",4,0,True,False,"0,1;0,6;4,5;6,0",
127,"1,6",4,0,True,False,"0,0;1,6;6,0;6,6",
128,"0,6",4,0,True,False,"0,1;0,6;5,0;6,5",
129,"4,0",4,0,True,False,"0,1;0,6;4,0;4,4",
130,"2,6",4,0,True,False,"1,0;2,6;6,0;6,4",
131,"0,5",4,0,True,False,"0,5;2,1;4,6;6,0",
132,"0,5",4,0,True,False,"0,1;0,5;4,1;5,6",
133,"1,0",4,0,True,False,"0,5;1,0;5,1;5,6",
134,"1,2",4,0,True,False,"0,6;1,2;4,6;6,2",
135,"2,1",4,0,True,False,"0,5;2,1;5,5;6,0",
136,"6,6",4,0,True,False,"0,6;1,1;6,1;6,6",
137,"5,6",4,0,True,False,"0,6;2,2;5,6;6,2",
138,"1,1",4,0,True,False,"1,1;1,6;5,2;6,6",
139,"1,2",4,0,True,False,"1,2;1,6;5,0;6,6",
140,"6,4",4,0,True,False,"0,1;0,6;4,0;6,4",
141,"6,1",4,0,True,False,"1,1;1,5;5,5;6,1",
142,"0,0",4,0,True,False,"0,0;1,6;4,0;5,6",
143,"1,6",4,0,True,False,"0,1;1,6;6,1;6,6",
144,"6,6",4,0,True,False,"0,0;0,4;6,1;6,6",
145,"5,6",4,0,True,False,"0,0;0,5;5,6;6,1",
146,"5,2",4,0,True,False,"0,6;1,0;4,6;5,2",
147,"6,0",4,0,True,False,"0,5;2,0;5,4;6,0",
148,"1,0",4,0,True,False,"0,5;1,0;5,0;5,5",
149,"2,6",4,0,True,False,"0,1;2,6;4,0;6,6",
150,"5,6",4,0,True,False,"0,2;1,6;5,1;5,6",
151,"5,5",4,0,True,False,"1,2;1,6;5,1;5,5",
152,"2,5",4,0,True,False,"2,0;2,5;6,1;6,5",
153,"0,0",4,0,True,False,"0,0;1,6;5,0;6,4",
154,"5,5",4,0,True,False,"0,6;2,1;5,5;6,0",
155,"0,1",4,0,True,False,"0,1;2,5;6,0;6,6",
156,"6,6",4,0,True,False,"0,1;1,5;6,0;6,6",
157,"0,1",4,0,True,False,"0,1;0,5;4,5;6,1",
158,"2,0",4,0,True,False,"2,0;2,4;6,1;6,5",
159,"6,6",4,0,True,False,"0,6;3,3;6,0;6,6",
160,"2,6",4,0,True,False,"1,2;2,6;5,0;6,5",
161,"0,6",4,0,True,False,"0,0;0,6;4,0;6,6",
162,"5,0",4,0,True,False,"0,2;0,6;5,0;5,6",
163,"6,1",4,0,True,False,"0,6;1,0;6,1;6,5",
164,"0,2",4,0,True,False,"0,2;0,6;4,6;5,0",
165,"5,2",4,0,True,False,"0,1;0,5;4,6;5,2",
166,"1,6",4,0,True,False,"1,1;1,6;5,6;6,1",
167,"1,1",4,0,True,False,"1,1;2,6;6,0;6,5",
168,"0,0",4,0,True,False,"0,0;1,5;5,0;6,6",
169,"0,5",4,0,True,False,"0,1;0,5;4,2;4,6",
170,"2,5",4,0,True,False,"1,1;2,5;5,0;6,5",
171,"1,6",4,0,True,False,"0,1;1,6;6,1;6,6",
172,"0,0",4,0,True,False,"0,0;0,5;6,1;6,5",
173,"6,0",4,0,True,False,"0,0;2,4;6,0;6,6",
174,"5,2",4,0,True,False,"0,2;0,6;5,2;5,6",
175,"6,1",4,0,True,False,"1,0;2,5;6,1;6,6",
176,"1,6",4,0,True,False,"0,2;1,6;4,1;6,5",
177,"6,1",4,0,True,False,"1,6;2,2;6,1;6,5",
178,"5,1",4,0,True,False,"0,2;1,6;5,1;6,5",
179,"0,0",4,0,True,False,"0,0;1,6;5,0;6,5",
180,"0,6",4,0,True,False,"0,2;0,6;5,0;5,4",
181,"6,4",4,0,True,False,"1,0;2,5;5,0;6,4",
182,"5,1",4,0,True,False,"0,1;1,6;5,1;5,5",
183,"0,6",4,0,True,False,"0,1;0,6;4,0;6,5",
184,"2,6",4,0,True,False,"2,0;2,6;6,0;6,4",
185,"1,0",4,0,True,False,"0,5;1,0;5,5;6,0",
186,"0,2",4,0,True,False,"0,2;0,6;5,6;6,2",
187,"0,1",4,0,True,False,"0,1;0,5;5,2;6,6",
188,"0,1",4,0,True,False,"0,1;0,6;6,0;6,5",
189,"1,4",4,0,True,False,"0,0;1,4;5,6;6,0",
190,"0,0",4,0,True,False,"0,0;1,5;5,0;5,6",
191,"4,1",4,1,True,False,"0,2;0,6;4,1;6,5","0,2"
192,"4,0",4,0,True,False,"0,1;1,6;4,0;5,6",
193,"5,0",4,0,True,False,"0,0;0,4;4,5;5,0",
194,"2,6",4,0,True,False,"2,2;2,6;6,2;6,6",
195,"4,0",4,0,True,False,"0,2;2,6;4,0;6,6",
196,"0,6",4,0,True,False,"0,0;0,6;4,4;6,0",
197,"1,0",4,0,True,False,"0,5;1,0;4,4;5,0",
198,"1,1",4,0,True,False,"1,1;2,6;5,0;6,4",
199,"0,5",4,0,True,False,"0,5;1,0;5,6;6,0",
200,"1,1",4,0,True,False,"0,5;1,1;5,2;6,6",
201,"1,1",4,0,True,False,"1,1;1,6;5,4;6,0",
202,"6,5",4,0,True,False,"1,0;1,5;6,1;6,5",
203,"1,6",4,0,True,False,"0,1;1,6;4,0;5,6",
204,"1,0",4,0,True,False,"0,6;1,0;5,1;6,5",
205,"6,1",4,0,True,False,"0,2;1,6;6,1;6,6",
206,"1,6",4,0,True,False,"1,1;1,6;5,0;5,5",
207,"0,2",4,0,True,False,"0,2;2,6;5,0;6,5",
208,"5,1",4,0,True,False,"0,1;1,5;5,1;5,6",
209,"4,6",4,0,True,False,"0,5;1,0;4,6;5,1",
210,"5,0",4,0,True,False,"1,0;1,4;5,0;5,4",
211,"0,1",4,0,True,False,"0,1;0,5;4,0;6,4",
212,"0,1",4,0,True,False,"0,1;0,5;5,0;6,5",
213,"0,1",4,0,True,False,"0,1;1,6;4,0;5,4",
214,"6,6",4,0,True,False,"1,0;1,4;5,2;6,6",
215,"6,6",4,0,True,False,"0,1;2,5;6,0;6,6",
216,"6,6",4,0,True,False,"2,0;2,4;6,1;6,6",
217,"0,6",4,0,True,False,"0,6;1,2;6,0;6,5",
218,"6,5",4,0,True,False,"1,0;2,6;5,0;6,5",
219,"0,1",4,0,True,False,"0,1;1,6;5,4;6,0",
220,"0,6",4,0,True,False,"0,6;1,1;4,6;6,2",
221,"0,2",4,0,True,False,"0,2;2,6;5,1;6,6",
222,"2,6",4,0,True,False,"0,0;2,6;4,2;6,6",
223,"2,6",4,0,True,False,"1,0;2,6;6,0;6,4",
224,"4,0",4,0,True,False,"0,2;0,6;4,0;6,4",
225,"6,5",4,0,True,False,"0,0;1,6;4,1;6,5",
226,"6,6",4,0,True,False,"0,6;3,3;6,0;6,6",
227,"0,6",4,0,True,False,"0,6;2,1;4,6;6,2",
228,"0,5",4,0,True,False,"0,1;0,5;6,0;6,6",
229,"2,6",4,0,True,False,"1,0;2,6;6,2;6,6",
230,"0,0",4,0,True,False,"0,0;1,5;4,1;5,5",
231,"0,5",4,0,True,False,"0,0;0,5;4,5;5,1",
232,"4,6",4,0,True,False,"0,1;0,6;4,6;6,1",
233,"0,6",4,0,True,False,"0,1;0,6;5,6;6,1",
234,"5,0",4,0,True,False,"0,6;1,1;5,0;6,6",
235,"0,0",4,0,True,False,"0,0;0,6;5,2;6,6",
236,"5,1",4,0,True,False,"0,0;0,5;4,6;5,1",
237,"0,0",4,0,True,False,"0,0;1,5;4,0;5,5",
238,"1,2",4,0,True,False,"1,2;1,6;5,0;5,4",
239,"1,6",4,0,True,False,"1,0;1,6;5,2;5,6",
240,"1,6",4,0,True,False,"0,2;1,6;5,1;6,6",
241,"5,0",4,0,True,False,"0,0;0,4;5,0;6,6",
242,"0,1",4,0,True,False,"0,1;1,6;5,5;6,0",
243,"2,5",4,0,True,False,"2,1;2,5;6,0;6,6",
244,"1,5",4,0,True,False,"0,0;1,5;5,0;5,6",
245,"4,6",4,0,True,False,"0,0;0,4;4,6;5,1",
246,"1,6",4,0,True,False,"1,0;1,6;5,6;6,0",
247,"1,2",4,0,True,False,"1,2;1,6;5,0;6,5",
248,"1,0",4,0,True,False,"0,4;1,0;4,6;6,0",
249,"0,1",4,0,True,False,"0,1;2,6;5,2;6,6",
250,"6,2",4,0,True,False,"0,0;0,4;4,6;6,2",
251,"0,2",4,0,True,False,"0,2;0,6;5,1;5,5",
252,"0,2",4,0,True,False,"0,2;0,6;5,2;5,6",
253,"1,1",4,0,True,False,"1,1;1,5;5,2;6,6",
254,"4,0",4,0,True,False,"0,0;1,4;4,0;6,4",
255,"6,0",4,0,True,False,"1,0;1,6;6,0;6,4",
256,"4,2",4,0,True,False,"0,1;0,6;4,2;6,6",
257,"0,5",4,0,True,False,"0,0;0,5;4,1;5,6",
258,"6,2",4,0,True,False,"0,0;0,4;5,6;6,2",
259,"0,5",4,0,True,False,"0,1;0,5;4,0;4,5",
260,"0,0",4,0,True,False,"0,0;0,4;4,5;6,1",
261,"6,0",4,0,True,False,"1,6;2,0;5,6;6,0",
262,"5,1",4,0,True,False,"0,0;0,4;5,1;5,6",
263,"5,5",4,0,True,False,"0,4;1,0;5,0;5,5",
264,"5,0",4,0,True,False,"0,6;1,1;5,0;6,5",
265,"0,1",4,0,True,False,"0,1;0,6;4,0;6,4",
266,"6,0",4,0,True,False,"0,1;0,5;5,6;6,0",
