example_idx,split,d4_status,target_color,bbox_shape,rel_template,input_color_positions,missing_from_d4_reason
67,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
68,arc-gen,pass,3,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
69,arc-gen,pass,1,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
70,arc-gen,pass,3,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
71,arc-gen,pass,3,"(5, 5)","((1, 1), (1, 3), (3, 3))","((3, 1),)",ok
72,arc-gen,fail,2,"(5, 5)","((1, 1), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 3), (4, 0), (4, 4))",candidate_count=0
73,arc-gen,fail,8,"(5, 5)","((1, 1), (1, 3), (3, 1))","((0, 0), (0, 4), (3, 3), (4, 0), (4, 4))",candidate_count=0
74,arc-gen,fail,3,"(5, 5)","((1, 1), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 3), (4, 0), (4, 4))",candidate_count=0
75,arc-gen,fail,8,"(5, 5)","((0, 0), (0, 4), (4, 4))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))",candidate_count=0
76,arc-gen,pass,3,"(5, 5)","((1, 1), (1, 3), (3, 3))","((3, 1),)",ok
77,arc-gen,pass,8,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
78,arc-gen,fail,1,"(5, 5)","((0, 2), (2, 0), (2, 4))","((1, 1), (1, 3), (2, 2), (3, 1), (3, 3), (4, 2))",candidate_count=0
79,arc-gen,pass,8,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
80,arc-gen,fail,2,"(5, 5)","((1, 1), (1, 3), (3, 3))","((0, 0), (0, 4), (3, 1), (4, 0), (4, 4))",candidate_count=0
81,arc-gen,fail,4,"(5, 5)","((0, 2), (2, 0), (2, 4))","((0, 0), (0, 4), (4, 0), (4, 2), (4, 4))",candidate_count=0
82,arc-gen,pass,8,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
83,arc-gen,fail,8,"(5, 5)","((0, 2), (2, 4), (4, 2))","((1, 1), (1, 3), (2, 0), (3, 1), (3, 3))",candidate_count=0
84,arc-gen,fail,1,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 2), (2, 0), (2, 4), (4, 2))",candidate_count=0
85,arc-gen,pass,1,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
86,arc-gen,fail,8,"(5, 5)","((0, 0), (0, 4), (4, 4))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2))",candidate_count=0
87,arc-gen,fail,3,"(5, 5)","((0, 2), (2, 0), (4, 2))","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))",candidate_count=0
88,arc-gen,pass,1,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
89,arc-gen,pass,2,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0), (2, 2))",ok
90,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
91,arc-gen,fail,1,"(5, 5)","((0, 2), (2, 0), (2, 4))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 2))",candidate_count=0
92,arc-gen,fail,8,"(5, 5)","((0, 2), (2, 0), (4, 2))","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))",candidate_count=0
93,arc-gen,pass,3,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
94,arc-gen,fail,3,"(5, 5)","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))",candidate_count=0
95,arc-gen,fail,2,"(5, 5)","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))",candidate_count=0
96,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
97,arc-gen,pass,4,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
98,arc-gen,pass,2,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0),)",ok
99,arc-gen,fail,4,"(5, 5)","((1, 1), (1, 3), (3, 1))","((0, 2), (2, 0), (2, 4), (3, 3), (4, 2))",candidate_count=0
100,arc-gen,pass,2,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
101,arc-gen,fail,8,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))",candidate_count=0
102,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
103,arc-gen,fail,4,"(5, 5)","((1, 1), (1, 3), (3, 3))","((0, 0), (0, 4), (3, 1), (4, 0), (4, 4))",candidate_count=0
104,arc-gen,pass,2,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 2), (2, 4))",ok
105,arc-gen,pass,1,"(5, 5)","((0, 0), (0, 4), (4, 4))","((4, 0),)",ok
106,arc-gen,fail,2,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 2), (1, 1), (2, 0), (2, 4), (4, 2))",candidate_count=0
107,arc-gen,fail,1,"(5, 5)","((0, 2), (2, 0), (4, 2))","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))",candidate_count=0
108,arc-gen,fail,1,"(5, 5)","((0, 2), (2, 0), (2, 4))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 2))",candidate_count=0
109,arc-gen,pass,4,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
110,arc-gen,fail,4,"(5, 5)","((1, 1), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 3), (2, 2), (4, 0), (4, 4))",candidate_count=0
111,arc-gen,pass,1,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
112,arc-gen,fail,1,"(5, 5)","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 4), (2, 2), (2, 4), (4, 0), (4, 4))",candidate_count=0
113,arc-gen,pass,3,"(5, 5)","((0, 0), (0, 4), (4, 0))","((2, 2), (4, 4))",ok
114,arc-gen,fail,3,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4), (1, 1), (1, 3), (2, 2), (3, 1), (3, 3))",candidate_count=0
115,arc-gen,pass,8,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
116,arc-gen,pass,4,"(5, 5)","((0, 0), (0, 4), (4, 4))","((4, 0),)",ok
117,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
118,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 2), (2, 4))",ok
119,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
120,arc-gen,pass,8,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
121,arc-gen,pass,2,"(5, 5)","((1, 3), (3, 1), (3, 3))","((1, 1), (2, 2))",ok
122,arc-gen,pass,2,"(5, 5)","((0, 0), (0, 4), (4, 4))","((4, 0),)",ok
123,arc-gen,fail,2,"(5, 5)","((1, 1), (1, 3), (3, 1))","((0, 0), (0, 4), (3, 3), (4, 0), (4, 4))",candidate_count=0
124,arc-gen,pass,2,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
125,arc-gen,pass,1,"(5, 5)","((0, 2), (2, 0), (2, 4))","((2, 2), (4, 2))",ok
126,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 0), (2, 4))","((2, 2), (4, 2))",ok
127,arc-gen,pass,8,"(5, 5)","((0, 0), (0, 4), (4, 4))","((2, 2), (4, 0))",ok
128,arc-gen,pass,3,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
129,arc-gen,fail,4,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2), (1, 1), (1, 3), (3, 1), (3, 3))",candidate_count=0
130,arc-gen,pass,2,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0), (2, 2))",ok
131,arc-gen,fail,4,"(5, 5)","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))",candidate_count=0
132,arc-gen,pass,4,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
133,arc-gen,fail,8,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))",candidate_count=0
134,arc-gen,fail,2,"(5, 5)","((0, 0), (0, 4), (4, 0))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 4))",candidate_count=0
135,arc-gen,fail,4,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (4, 0), (4, 4))",candidate_count=0
136,arc-gen,fail,8,"(5, 5)","((0, 0), (0, 4), (4, 4))","((0, 2), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2))",candidate_count=0
137,arc-gen,fail,8,"(5, 5)","((0, 0), (0, 4), (4, 4))","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))",candidate_count=0
138,arc-gen,fail,1,"(5, 5)","((0, 0), (0, 4), (4, 4))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))",candidate_count=0
139,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
140,arc-gen,pass,8,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
141,arc-gen,fail,2,"(5, 5)","((0, 2), (2, 0), (4, 2))","((0, 0), (0, 4), (2, 4), (4, 0), (4, 4))",candidate_count=0
142,arc-gen,pass,3,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
143,arc-gen,fail,8,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))",candidate_count=0
144,arc-gen,pass,1,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
145,arc-gen,fail,4,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))",candidate_count=0
146,arc-gen,fail,8,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0), (1, 1), (1, 3), (3, 1), (3, 3))",candidate_count=0
147,arc-gen,pass,2,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
148,arc-gen,pass,8,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
149,arc-gen,pass,3,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
150,arc-gen,fail,1,"(5, 5)","((0, 0), (0, 4), (4, 0))","((0, 2), (2, 0), (2, 4), (4, 2), (4, 4))",candidate_count=0
151,arc-gen,pass,1,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
152,arc-gen,fail,1,"(5, 5)","((0, 0), (0, 4), (4, 0))","((0, 2), (2, 0), (2, 4), (4, 2), (4, 4))",candidate_count=0
153,arc-gen,pass,2,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
154,arc-gen,pass,2,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
155,arc-gen,pass,4,"(5, 5)","((1, 1), (1, 3), (3, 3))","((3, 1),)",ok
156,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
157,arc-gen,fail,3,"(5, 5)","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 4), (1, 1), (1, 3), (2, 0), (3, 1), (3, 3), (4, 0), (4, 4))",candidate_count=0
158,arc-gen,fail,8,"(5, 5)","((0, 0), (0, 4), (4, 4))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))",candidate_count=0
159,arc-gen,fail,1,"(5, 5)","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 4), (2, 0), (4, 0), (4, 4))",candidate_count=0
160,arc-gen,pass,4,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0),)",ok
161,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
162,arc-gen,fail,1,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 2), (0, 4), (2, 0), (2, 2), (2, 4), (4, 2))",candidate_count=0
163,arc-gen,pass,8,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
164,arc-gen,pass,2,"(5, 5)","((1, 1), (1, 3), (3, 1))","((2, 2), (3, 3))",ok
165,arc-gen,pass,8,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
166,arc-gen,pass,2,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0), (2, 2))",ok
167,arc-gen,fail,4,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))",candidate_count=0
168,arc-gen,pass,4,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
169,arc-gen,fail,4,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 2), (0, 4), (1, 1), (2, 0), (2, 2), (2, 4), (4, 0), (4, 2), (4, 4))",candidate_count=0
170,arc-gen,pass,2,"(5, 5)","((1, 1), (1, 3), (3, 3))","((3, 1),)",ok
171,arc-gen,fail,4,"(5, 5)","((1, 1), (1, 3), (3, 1))","((0, 2), (2, 0), (2, 4), (3, 3), (4, 2))",candidate_count=0
172,arc-gen,fail,1,"(5, 5)","((0, 0), (0, 4), (4, 4))","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))",candidate_count=0
173,arc-gen,pass,3,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
174,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
175,arc-gen,pass,1,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0),)",ok
176,arc-gen,fail,3,"(5, 5)","((0, 2), (2, 0), (2, 4))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",candidate_count=0
177,arc-gen,pass,1,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
178,arc-gen,fail,2,"(5, 5)","((1, 1), (1, 3), (3, 3))","((0, 2), (2, 0), (2, 4), (3, 1), (4, 2))",candidate_count=0
179,arc-gen,pass,1,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
180,arc-gen,fail,1,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))",candidate_count=0
181,arc-gen,pass,8,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
182,arc-gen,pass,2,"(5, 5)","((1, 3), (3, 1), (3, 3))","((1, 1),)",ok
183,arc-gen,pass,2,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
184,arc-gen,pass,4,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
185,arc-gen,fail,8,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))",candidate_count=0
186,arc-gen,pass,1,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
187,arc-gen,pass,1,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
188,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
189,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (2, 4))","((2, 2), (4, 2))",ok
190,arc-gen,pass,3,"(5, 5)","((1, 1), (1, 3), (3, 1))","((2, 2), (3, 3))",ok
191,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
192,arc-gen,pass,4,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
193,arc-gen,fail,2,"(5, 5)","((1, 1), (1, 3), (3, 1))","((0, 2), (2, 0), (2, 2), (2, 4), (3, 3), (4, 2))",candidate_count=0
194,arc-gen,fail,3,"(5, 5)","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 4), (2, 0), (4, 0), (4, 4))",candidate_count=0
195,arc-gen,pass,8,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 2), (2, 4))",ok
196,arc-gen,pass,8,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
197,arc-gen,fail,8,"(5, 5)","((0, 0), (0, 4), (4, 4))","((0, 2), (2, 0), (2, 4), (4, 0), (4, 2))",candidate_count=0
198,arc-gen,fail,1,"(5, 5)","((1, 1), (1, 3), (3, 3))","((0, 2), (2, 0), (2, 2), (2, 4), (3, 1), (4, 2))",candidate_count=0
199,arc-gen,pass,1,"(5, 5)","((0, 0), (0, 4), (4, 4))","((4, 0),)",ok
200,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (2, 4))","((2, 2), (4, 2))",ok
201,arc-gen,fail,1,"(5, 5)","((1, 1), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 3), (4, 0), (4, 4))",candidate_count=0
202,arc-gen,pass,1,"(5, 5)","((0, 2), (2, 0), (4, 2))","((2, 4),)",ok
203,arc-gen,pass,1,"(5, 5)","((0, 0), (0, 4), (4, 0))","((2, 2), (4, 4))",ok
204,arc-gen,pass,2,"(5, 5)","((1, 1), (1, 3), (3, 3))","((3, 1),)",ok
205,arc-gen,pass,2,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
206,arc-gen,pass,3,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 2))",ok
207,arc-gen,fail,8,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (4, 0), (4, 4))",candidate_count=0
208,arc-gen,pass,3,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
209,arc-gen,pass,3,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
210,arc-gen,fail,4,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 2), (0, 4), (2, 0), (2, 4), (4, 2))",candidate_count=0
211,arc-gen,fail,4,"(5, 5)","((0, 0), (0, 4), (4, 4))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2))",candidate_count=0
212,arc-gen,pass,3,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
213,arc-gen,pass,8,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
214,arc-gen,pass,2,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4), (2, 2))",ok
215,arc-gen,pass,4,"(5, 5)","((0, 0), (0, 4), (4, 4))","((4, 0),)",ok
216,arc-gen,pass,2,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
