rounded_missing_drop,candidate_subsets,shown_subset_count
42.12,192 197 137;193 324 137;324 335 275;213 338 275,4
42.13,192 137 213;197 131 275;213 131 275;193 137 138,4
42.14,097 137 335;324 224 275;097 197 101,3
42.15,192 324 137;097 137 224;197 137 213;324 338 275,4
42.16,097 137 338;324 131 275;192 137 138;338 275 138,4
42.17,097 137 131;131 275 138,2
42.18,197 324 137;193 137 335;192 197 243;197 275 359,4
42.19,193 137 224;324 137 213;197 137 138;193 324 243,4
42.2,193 137 338;335 224 275;137 213 138;097 335 243,4
42.21,192 137 335;193 137 131;335 338 275;324 275 359,4
42.22,224 338 275;335 131 275;324 137 138;192 324 243,4
42.23,197 137 335;192 137 224;224 131 275;097 338 243,4
42.24,137 335 213;192 137 338;338 131 275;197 324 243,4
42.25,197 137 224;192 137 131;324 213 243;197 138 243,4
42.26,137 224 213;197 137 338;193 224 243;213 138 243,4
42.27,324 137 335;137 213 338;197 137 131;192 335 243,4
42.28,137 213 131;137 335 138;193 131 243;324 213 101,4
42.29,324 137 224;192 224 243;324 138 243;224 275 359,4
42.3,324 137 338;137 224 138;197 335 243;192 338 243,4
42.31,324 137 131;137 338 138;335 213 243;192 131 243,4
42.32,097 193 192;137 131 138;197 224 243;197 137 359,4
42.33,224 213 243;197 338 243;137 213 359;193 243 359,4
42.34,137 335 224;324 335 243;213 338 243;197 131 243,4
42.35,097 193 197;137 335 338;324 224 243;213 131 243,4
42.36,097 193 213;137 335 131;324 338 243;224 138 243,4
42.37,137 224 338;324 131 243;338 138 243;137 138 359,4
42.38,097 192 197;097 193 324;137 224 131;131 138 243,4
42.39,097 192 213;137 338 131;097 193 138;197 243 359,4
42.4,213 243 359;324 131 101;338 138 101,3
42.41,097 192 324;097 197 213;335 224 243;137 335 359,4
42.42,193 192 197;097 192 138;335 338 243;324 243 359,4
42.43,193 192 213;335 131 243;137 224 359;138 243 359,4
42.44,097 197 324;097 193 335;224 338 243;137 338 359,4
42.45,193 192 324;193 197 213;097 324 213;097 197 138,4
42.46,097 193 224;193 192 138;097 213 138;338 131 243,4
42.47,097 192 335;097 193 338;224 338 101,3
42.48,193 197 324;192 197 213;097 193 131;097 324 138,4
42.49,097 192 224;193 324 213;193 197 138;338 131 101,4
42.5,097 197 335;097 335 213;097 192 338;193 213 138,4
42.51,192 197 324;193 192 335;097 197 224;097 192 131,4
42.52,192 324 213;097 224 213;097 197 338;192 197 138,4
42.53,193 197 335;097 324 335;193 192 224;097 213 338,4
42.54,193 335 213;193 192 338;097 213 131;097 335 138,4
42.55,193 197 224;097 324 224;197 324 213;193 192 131,4
42.56,193 224 213;193 197 338;097 324 338;192 324 138,4
42.57,192 197 335;193 324 335;193 213 338;193 197 131,4
42.58,192 197 224;192 335 213;193 213 131;197 324 138,4
42.59,193 324 224;192 224 213;192 197 338;324 213 138,4
42.6,192 324 335;097 335 224;197 335 213;193 324 338,4
42.61,097 335 338;193 324 131;192 213 131;192 335 138,4
42.62,192 324 224;197 224 213;097 335 131;193 131 138,4
42.63,197 324 335;192 324 338;097 224 338;197 213 338,4
42.64,193 335 224;324 335 213;192 324 131;097 224 131,4
42.65,197 324 224;324 224 213;197 324 338;193 335 338,4
42.66,324 213 338;193 335 131;224 213 138;197 338 138,4
42.67,193 224 338;197 324 131;324 213 131;324 335 138,4
42.68,192 335 224;193 224 131;213 131 138;097 335 359,4
42.69,192 335 338;193 338 131;324 224 138;192 324 359,4
42.7,197 335 224;192 224 338;192 335 131;324 338 138,4
42.71,335 224 213;197 335 338;192 224 131;324 131 138,4
42.72,335 213 338;197 335 131;192 338 131;197 324 359,4
42.73,197 224 338;335 213 131;193 224 359;324 213 359,4
42.74,324 335 224;224 213 338;197 224 131;193 338 359,4
42.75,324 335 338;224 213 131;197 338 131;335 224 138,4
42.76,324 224 338;324 335 131;213 338 131;192 224 359,4
42.77,324 224 131;224 338 138;335 131 138;197 335 359,4
42.78,324 338 131;224 131 138;335 213 359;192 131 359,4
42.79,338 131 138;197 224 359,2
42.8,224 213 359;197 338 359,2
42.81,324 335 359;213 338 359;197 131 359,3
42.82,335 224 338;213 131 359;335 138 359,3
42.83,335 224 131;324 224 359;224 138 359,3
42.84,335 338 131;324 338 359;338 138 359,3
42.85,324 131 359;131 138 359,2
55.49,192 137 275 243;193 137 275 101,2
55.51,197 137 275 243;097 275 243 101,2
55.52,137 213 275 243;192 137 275 101,2
55.55,324 137 275 243;137 213 275 101;193 275 243 101,3
55.58,324 137 275 101;192 275 243 101,2
55.62,137 224 275 243;213 275 243 101,2
55.63,137 338 275 243;137 335 275 101,2
55.64,137 131 275 243;324 275 243 101,2
55.65,097 193 137 275;137 224 275 101;275 138 243 101,3
55.66,137 338 275 101;097 137 243 101,2
55.7,193 137 243 101;335 275 243 101,2
55.72,193 192 137 275;097 137 213 275;097 193 275 243;224 275 243 101,4
55.73,192 137 243 101;338 275 243 101,2
55.75,193 197 137 275;097 324 137 275;097 137 275 138;097 192 275 243,4
55.76,193 137 213 275;137 213 243 101,2
55.78,192 197 137 275;193 324 137 275;097 213 275 243;097 192 275 101,4
55.79,192 137 213 275;193 137 275 138;193 192 275 243;324 137 243 101,4
55.8,097 137 335 275;097 197 275 101;137 138 243 101,3
55.81,197 137 213 275;193 197 275 243;097 324 275 243;097 213 275 101,4
55.82,192 324 137 275;097 137 224 275;192 137 275 138;193 213 275 243,4
55.84,197 324 137 275;193 137 335 275;097 137 131 275;193 197 275 101,4
55.85,324 137 213 275;197 137 275 138;192 197 275 243;193 324 275 243,4
55.86,193 137 224 275;137 213 275 138;097 193 137 243;193 275 138 243,4
55.87,192 137 335 275;193 137 338 275;097 335 275 243;137 338 243 101,4
55.88,193 137 131 275;192 324 275 243;097 224 275 243;197 213 275 243,4
55.89,192 137 224 275;324 137 275 138;097 338 275 243;192 275 138 243,4
55.9,197 137 335 275;192 137 338 275;097 192 137 243;097 131 275 243,4
55.91,197 137 224 275;137 335 213 275;192 137 131 275;197 324 275 243,4
55.92,137 224 213 275;197 137 338 275;097 197 137 243;193 224 275 243,4
55.93,324 137 335 275;137 213 338 275;197 137 131 275;193 192 137 243,4
55.94,137 213 131 275;137 335 275 138;192 335 275 243;193 131 275 243,4
55.95,324 137 224 275;192 224 275 243;324 275 138 243;097 275 243 359,4
55.96,324 137 338 275;137 224 275 138;193 197 137 243;097 324 137 243,4
55.97,324 137 131 275;137 338 275 138;193 137 213 243;335 213 275 243,4
55.98,097 193 192 275;137 131 275 138;197 224 275 243;192 224 275 101,4
55.99,192 197 137 243;224 213 275 243;197 338 275 243;197 137 275 359,4
56.0,193 324 137 243;192 137 213 243;324 335 275 243;213 338 275 243,4
56.01,097 193 197 275;137 335 224 275;097 137 335 243;213 131 275 243,4
56.02,097 193 213 275;137 335 338 275;324 224 275 243;224 275 138 243,4
56.03,137 224 338 275;137 335 131 275;192 324 137 243;097 137 224 243,4
56.04,097 192 197 275;137 224 131 275;097 137 338 243;324 131 275 243,4
56.05,097 193 324 275;097 192 213 275;137 338 131 275;097 193 275 138,4
56.06,324 137 213 243;197 137 138 243;213 275 243 359;192 324 137 101,4
56.07,193 137 224 243;335 224 275 243;137 213 138 243;097 137 338 101,4
56.08,193 192 197 275;097 192 324 275;097 197 213 275;192 137 335 243,4
56.09,193 192 213 275;097 192 275 138;193 137 131 243;335 131 275 243,4
56.1,097 197 324 275;097 193 335 275;192 137 224 243;224 338 275 243,4
56.11,193 197 213 275;097 324 213 275;097 197 275 138;197 137 335 243,4
56.12,193 192 324 275;097 193 224 275;097 213 275 138;137 335 213 243,4
56.13,097 193 192 137;097 192 335 275;097 193 338 275;193 192 275 138,4
56.14,193 197 324 275;097 193 131 275;324 137 335 243;197 137 338 243,4
56.15,097 192 224 275;192 197 213 275;193 324 213 275;193 197 275 138,4
56.16,097 193 197 137;097 193 137 213;097 197 335 275;097 192 338 275,4
56.17,192 197 324 275;193 192 335 275;097 335 213 275;097 192 131 275,4
56.18,097 197 224 275;192 324 213 275;097 224 213 275;097 197 338 275,4
56.19,097 192 197 137;097 193 324 137;097 324 335 275;193 192 224 275,4
56.2,097 192 137 213;193 197 335 275;193 192 338 275;097 197 131 275,4
56.21,193 197 224 275;097 324 224 275;197 324 213 275;193 335 213 275,4
56.22,097 192 324 137;097 197 137 213;193 224 213 275;193 197 338 275,4
56.23,193 192 197 137;192 197 335 275;193 324 335 275;193 213 338 275,4
56.24,193 192 137 213;192 335 213 275;193 213 131 275;197 324 275 138,4
56.25,097 197 324 137;097 193 137 335;192 197 224 275;193 324 224 275,4
56.26,193 192 324 137;097 193 137 224;193 197 137 213;097 324 137 213,4
56.27,097 193 137 338;192 324 335 275;097 335 224 275;192 213 338 275,4
56.28,097 192 137 335;097 193 137 131;192 324 224 275;197 224 213 275,4
56.29,193 197 324 137;192 197 137 213;197 324 335 275;192 324 338 275,4
56.3,097 197 137 335;097 192 137 224;193 324 137 213;324 335 213 275,4
56.31,097 137 335 213;097 192 137 338;197 324 224 275;193 335 224 275,4
56.32,192 197 324 137;193 192 137 335;097 197 137 224;097 192 137 131,4
56.33,192 324 137 213;097 137 224 213;097 197 137 338;193 224 338 275,4
56.34,193 197 137 335;097 324 137 335;193 192 137 224;097 137 213 338,4
56.35,197 324 137 213;193 137 335 213;193 192 137 338;097 137 213 131,4
56.36,193 197 137 224;097 324 137 224;193 192 137 131;197 335 224 275,4
56.37,193 137 224 213;193 197 137 338;097 324 137 338;335 224 213 275,4
56.38,192 197 137 335;193 324 137 335;192 137 335 213;193 137 213 338,4
56.39,192 197 137 224;193 137 213 131;197 224 338 275;335 213 131 275,4
56.4,193 324 137 224;192 137 224 213;192 197 137 338;324 335 224 275,4
56.41,192 324 137 335;097 137 335 224;197 137 335 213;193 324 137 338,4
56.42,097 137 335 338;193 324 137 131;192 137 213 131;324 335 131 275,4
56.43,192 324 137 224;197 137 224 213;097 137 335 131;324 224 338 275,4
56.44,197 324 137 335;192 324 137 338;097 137 224 338;197 137 213 338,4
56.45,197 324 137 224;193 137 335 224;324 137 335 213;192 324 137 131,4
56.46,324 137 224 213;197 324 137 338;193 137 335 338;097 137 338 131,4
56.47,324 137 213 338;197 324 137 131;193 137 335 131;137 224 213 138,4
56.48,192 137 335 224;193 137 224 338;324 137 213 131;335 224 338 275,4
56.49,097 193 192 197;192 137 335 338;193 137 224 131;335 224 131 275,4
56.5,097 193 192 213;192 137 335 131;193 137 338 131;335 338 131 275,4
56.51,197 137 335 224;192 137 224 338;324 137 338 138;324 335 213 243,4
56.52,097 193 192 324;097 193 197 213;137 335 224 213;197 137 335 338,4
56.53,137 335 213 338;197 137 335 131;192 137 338 131;097 193 192 138,4
56.54,197 137 224 338;137 335 213 131;193 224 338 243;324 213 338 243,4
56.55,097 193 197 324;324 137 335 224;097 192 197 213;137 224 213 338,4
56.56,097 193 324 213;324 137 335 338;137 224 213 131;197 137 338 131,4
56.57,324 137 224 338;324 137 335 131;137 213 338 131;097 193 213 138,4
56.58,097 192 197 324;097 193 192 335;324 137 224 131;137 224 338 138,4
56.59,193 192 197 213;097 192 324 213;324 137 338 131;097 192 197 138,4
56.6,097 193 197 335;097 193 192 224;097 192 213 138;137 338 131 138,4
56.61,097 193 335 213;097 193 192 338;324 335 224 243;224 213 338 243,4
56.62,193 192 197 324;097 193 197 224;097 197 324 213;097 193 192 131,4
56.63,193 192 324 213;097 193 224 213;097 193 197 338;137 335 224 338,4
56.64,097 192 197 335;097 193 324 335;097 193 213 338;097 193 197 131,4
56.65,097 192 197 224;193 197 324 213;097 192 335 213;097 193 213 131,4
56.66,097 193 324 224;097 192 224 213;097 192 197 338;193 197 213 138,4
56.67,097 192 324 335;097 197 335 213;097 193 324 338;097 192 213 338,4
56.68,193 192 197 335;097 193 324 131;097 192 213 131;097 192 335 138,4
56.69,193 192 197 224;097 192 324 224;192 197 324 213;193 192 335 213,4
56.7,097 197 324 335;193 192 224 213;193 192 197 338;097 192 324 338,4
56.71,193 192 324 335;097 193 335 224;193 197 335 213;097 324 335 213,4
56.72,097 197 324 224;097 324 224 213;097 193 335 338;193 192 213 131,4
56.73,193 192 324 224;193 197 224 213;097 197 324 338;097 324 213 338,4
56.74,193 197 324 335;192 197 335 213;193 192 324 338;097 193 224 338,4
56.75,193 197 324 224;097 192 335 224;193 324 335 213;193 192 324 131,4
56.76,192 197 224 213;193 324 224 213;193 197 324 338;097 192 335 338,4
56.77,192 197 324 335;097 197 335 224;097 192 224 338;192 197 213 338,4
56.78,193 192 335 224;192 324 335 213;097 335 224 213;097 197 335 338,4
56.79,192 197 324 224;193 192 335 338;097 335 213 338;097 197 335 131,4
56.8,197 324 335 213;192 324 224 213;192 197 324 338;097 197 224 338,4
56.81,193 197 335 224;097 324 335 224;193 192 224 338;192 324 213 338,4
56.82,197 324 224 213;193 335 224 213;193 197 335 338;097 324 335 338,4
56.83,097 324 224 338;197 324 213 338;193 335 213 338;193 197 335 131,4
56.84,192 197 335 224;193 197 224 338;097 324 224 131;197 324 213 131,4
56.85,193 324 335 224;192 335 224 213;192 197 335 338;193 224 213 338,4
56.86,193 324 335 338;192 335 213 338;192 197 335 131;193 224 213 131,4
56.87,192 197 224 338;193 324 224 338;193 324 335 131;192 335 213 131,4
56.88,192 324 335 224;197 335 224 213;192 224 213 338;192 197 224 131,4
56.89,192 324 335 338;097 335 224 338;197 335 213 338;192 224 213 131,4
56.9,197 324 335 224;197 224 213 338;192 324 335 131;097 335 224 131,4
56.91,324 335 224 213;197 324 335 338;192 324 224 338;197 224 213 131,4
56.92,324 335 213 338;197 324 335 131;192 324 224 131;197 213 338 131,4
56.93,197 324 224 338;193 335 224 338;324 335 213 131;192 324 338 131,4
56.94,324 224 213 338;197 324 224 131;193 335 224 131;197 224 338 138,4
56.95,324 224 213 131;197 324 338 131;193 335 338 131;324 335 224 138,4
56.96,192 335 224 338;324 213 338 131;324 335 338 138;224 213 131 138,4
56.97,192 335 224 131;193 224 338 131;324 335 131 138;213 338 131 138,4
56.98,192 335 338 131;324 224 338 138;324 335 213 359;192 324 338 359,4
56.99,197 335 224 338;335 224 213 338;324 224 131 138;197 324 224 359,4
57.0,197 335 224 131;192 224 338 131;324 338 131 138;324 224 213 359,4
57.01,335 224 213 131;197 335 338 131;335 213 338 131;324 213 338 359,4
57.02,324 335 224 338;197 224 338 131;192 335 224 359;193 224 338 359,4
57.03,324 335 224 131;224 213 338 131;335 224 338 138;192 335 338 359,4
57.04,324 335 338 131;335 224 131 138;192 335 131 359;193 338 131 359,4
57.05,335 338 131 138;197 335 224 359;192 224 338 359;324 338 138 359,4
57.06,324 224 338 131;335 224 213 359;197 335 338 359;192 224 131 359,4
57.07,224 338 131 138;197 224 338 359;335 213 338 359;197 335 131 359,4
57.08,324 335 224 359;224 213 338 359;197 224 131 359;335 213 131 359,4
57.09,324 335 338 359;224 213 131 359;197 338 131 359;335 224 138 359,4
57.1,324 335 131 359;213 338 131 359;335 338 138 359,3
57.11,335 224 338 131;324 224 338 359;335 131 138 359,3
57.12,324 224 131 359;224 338 138 359,2
57.13,324 338 131 359;224 131 138 359,2
69.53,097 193 137 275 243;137 224 275 243 101,2
69.56,097 192 137 275 243;097 193 137 275 101,2
69.59,097 137 213 275 243;097 192 137 275 101,2
69.6,193 192 137 275 243;137 275 243 359 101,2
69.62,193 197 137 275 243;097 324 137 275 243;097 137 213 275 101;097 193 275 243 101,4
69.63,193 137 213 275 243;097 137 275 138 243;193 192 137 275 101,3
69.65,192 197 137 275 243;193 197 137 275 101;097 324 137 275 101;097 192 275 243 101,4
69.66,193 324 137 275 243;192 137 213 275 243;193 137 213 275 101;097 137 275 138 101,4
69.67,097 137 335 275 243;193 137 275 138 243,2
69.68,192 197 137 275 101;097 197 275 243 101,2
69.69,192 324 137 275 243;097 137 224 275 243;197 137 213 275 243;193 324 137 275 101,4
69.7,097 137 338 275 243;192 137 275 138 243;097 137 335 275 101;193 137 275 138 101,4
69.71,193 137 335 275 243;097 137 131 275 243,2
69.72,197 324 137 275 243;197 137 275 138 243;192 324 137 275 101;097 137 224 275 101,4
69.73,193 137 224 275 243;324 137 213 275 243;137 213 275 138 243;097 137 338 275 101,4
69.74,193 137 338 275 243;193 137 335 275 101;097 137 131 275 101,3
69.75,192 137 335 275 243;193 137 131 275 243;197 324 137 275 101;197 137 275 138 101,4
69.76,192 137 224 275 243;324 137 275 138 243;097 137 275 243 359;193 137 224 275 101,4
69.77,197 137 335 275 243;192 137 338 275 243;193 137 338 275 101;097 193 137 243 101,4
69.78,137 335 213 275 243;192 137 131 275 243;192 137 335 275 101;193 137 131 275 101,4
69.79,097 193 192 137 275;197 137 224 275 243;192 137 224 275 101;324 137 275 138 101,4
69.8,137 224 213 275 243;197 137 338 275 243;193 137 275 243 359;197 137 335 275 101,4
69.81,324 137 335 275 243;137 213 338 275 243;197 137 131 275 243;137 335 213 275 101,4
69.82,097 193 197 137 275;324 137 224 275 243;137 213 131 275 243;137 335 275 138 243,4
69.83,097 193 137 213 275;324 137 338 275 243;137 224 275 138 243;137 224 213 275 101,4
69.84,137 338 275 138 243;192 137 275 243 359;324 137 335 275 101;137 213 338 275 101,4
69.85,097 192 197 137 275;097 193 324 137 275;324 137 131 275 243;137 131 275 138 243,4
69.86,097 192 137 213 275;097 193 137 275 138;097 193 192 275 243;197 137 275 243 359,4
69.87,137 213 275 243 359;137 338 275 138 101;193 137 213 243 101;197 335 275 243 101,4
69.88,097 197 137 213 275;097 193 197 275 243;137 335 224 275 243;324 137 131 275 101,4
69.89,193 192 197 137 275;097 192 324 137 275;097 193 213 275 243;137 335 338 275 243,4
69.9,193 192 137 213 275;097 192 137 275 138;137 335 131 275 243;324 137 275 243 359,4
69.91,097 197 324 137 275;097 193 137 335 275;137 224 338 275 243;097 193 197 275 101,4
69.92,193 197 137 213 275;097 324 137 213 275;097 197 137 275 138;097 192 197 275 243,4
69.93,193 192 324 137 275;097 193 137 224 275;193 192 137 275 138;097 137 213 275 138,4
69.94,097 192 137 335 275;097 193 137 338 275;137 224 338 275 101;097 137 338 243 101,4
69.95,193 197 324 137 275;097 193 137 131 275;097 192 324 275 243;097 197 213 275 243,4
69.96,097 192 137 224 275;192 197 137 213 275;193 324 137 213 275;193 197 137 275 138,4
69.97,097 197 137 335 275;097 192 137 338 275;193 137 213 275 138;137 224 275 243 359,4
69.98,192 197 324 137 275;193 192 137 335 275;097 197 137 224 275;097 137 335 213 275,4
69.99,192 324 137 213 275;097 137 224 213 275;097 197 137 338 275;192 197 137 275 138,4
70.0,097 324 137 335 275;193 192 137 224 275;097 137 213 338 275;097 197 137 131 275,4
70.01,193 197 137 335 275;193 192 137 338 275;097 137 213 131 275;097 137 335 275 138,4
70.02,193 197 137 224 275;097 324 137 224 275;197 324 137 213 275;193 137 335 213 275,4
70.03,193 137 224 213 275;193 197 137 338 275;097 324 137 338 275;192 324 137 275 138,4
70.04,192 197 137 335 275;193 324 137 335 275;193 137 213 338 275;193 197 137 131 275,4
70.05,192 137 335 213 275;193 137 213 131 275;197 324 137 275 138;193 137 335 275 138,4
70.06,192 197 137 224 275;193 324 137 224 275;192 137 224 213 275;324 137 213 275 138,4
70.07,192 324 137 335 275;197 137 335 213 275;192 197 137 338 275;193 324 137 338 275,4
70.08,097 137 335 224 275;192 197 137 131 275;193 324 137 131 275;192 137 213 131 275,4
70.09,192 324 137 224 275;197 137 224 213 275;097 137 335 338 275;193 137 131 275 138,4
70.1,197 324 137 335 275;192 324 137 338 275;097 137 224 338 275;197 137 213 338 275,4
70.11,324 137 335 213 275;192 324 137 131 275;097 137 224 131 275;197 137 213 131 275,4
70.12,197 324 137 224 275;193 137 335 224 275;193 137 335 338 275;097 137 338 131 275,4
70.13,324 137 224 213 275;197 324 137 338 275;197 137 224 275 138;137 224 213 275 138,4
70.14,193 137 224 338 275;324 137 213 338 275;197 324 137 131 275;193 137 335 131 275,4
70.15,097 193 192 197 275;192 137 335 224 275;193 137 224 131 275;324 137 213 131 275,4
70.16,097 193 192 213 275;192 137 335 338 275;193 137 338 131 275;324 137 224 275 138,4
70.17,197 137 335 224 275;192 137 224 338 275;192 137 335 131 275;324 137 338 275 138,4
70.18,097 193 197 213 275;137 335 224 213 275;197 137 335 338 275;192 137 224 131 275,4
70.19,097 193 192 324 275;137 335 213 338 275;197 137 335 131 275;192 137 338 131 275,4
70.2,197 137 224 338 275;137 335 213 131 275;097 193 192 275 138;097 197 137 224 243,4
70.21,097 193 197 324 275;324 137 335 224 275;137 224 213 338 275;197 137 224 131 275,4
70.22,097 192 197 213 275;097 193 324 213 275;324 137 335 338 275;137 224 213 131 275,4
70.23,324 137 335 131 275;137 213 338 131 275;097 193 213 275 138;137 335 338 275 138,4
70.24,097 192 197 324 275;097 193 192 335 275;324 137 224 338 275;137 224 338 275 138,4
70.25,097 192 324 213 275;324 137 224 131 275;097 192 197 275 138;137 224 131 275 138,4
70.26,097 193 192 224 275;193 192 197 213 275;324 137 338 131 275;097 193 324 275 138,4
70.27,097 193 197 335 275;097 193 192 338 275;192 197 137 224 243;193 324 137 224 243,4
70.28,193 192 197 324 275;097 193 197 224 275;097 197 324 213 275;097 193 335 213 275,4
70.29,193 192 324 213 275;097 193 224 213 275;097 193 197 338 275;137 335 224 338 275,4
70.3,097 193 192 197 137;097 192 197 335 275;097 193 324 335 275;097 193 213 338 275,4
70.31,097 193 192 137 213;097 192 335 213 275;097 193 213 131 275;137 335 338 131 275,4
70.32,097 192 197 224 275;097 193 324 224 275;193 197 324 213 275;097 324 213 275 138,4
70.33,097 193 192 324 137;097 193 197 137 213;097 197 335 213 275;097 192 224 213 275,4
70.34,193 192 197 335 275;097 192 324 335 275;097 192 213 338 275;097 192 197 131 275,4
70.35,097 192 324 224 275;192 197 324 213 275;193 192 335 213 275;097 197 224 213 275,4
70.36,097 193 197 324 137;097 192 197 137 213;097 197 324 335 275;193 192 197 224 275,4
70.37,097 193 324 137 213;193 197 335 213 275;097 324 335 213 275;193 192 224 213 275,4
70.38,193 192 324 335 275;097 197 324 224 275;097 193 335 224 275;193 192 213 338 275,4
70.39,097 192 197 324 137;097 193 192 137 335;193 192 324 224 275;193 197 224 213 275,4
70.4,193 192 197 137 213;097 192 324 137 213;193 197 324 335 275;192 197 335 213 275,4
70.41,097 193 197 137 335;097 193 192 137 224;097 192 335 224 275;193 324 335 213 275,4
70.42,097 197 324 137 213;097 193 137 335 213;097 193 192 137 338;193 197 324 224 275,4
70.43,193 192 197 324 137;097 193 197 137 224;097 193 192 137 131;192 197 324 335 275,4
70.44,193 192 324 137 213;097 193 137 224 213;097 193 197 137 338;192 324 335 213 275,4
70.45,097 192 197 137 335;097 193 324 137 335;097 192 137 335 213;097 193 137 213 338,4
70.46,097 192 197 137 224;193 197 324 137 213;097 193 137 213 131;192 324 224 213 275,4
70.47,097 193 324 137 224;097 192 137 224 213;097 192 197 137 338;193 197 335 224 275,4
70.48,193 192 197 137 335;097 192 324 137 335;097 197 137 335 213;097 193 324 137 338,4
70.49,193 192 137 335 213;097 193 324 137 131;097 192 137 213 131;197 324 213 338 275,4
70.5,193 192 197 137 224;097 192 324 137 224;192 197 324 137 213;097 197 137 224 213,4
70.51,097 197 324 137 335;193 192 137 224 213;193 192 197 137 338;097 192 324 137 338,4
70.52,193 192 324 137 335;097 197 324 137 224;097 193 137 335 224;193 197 137 335 213,4
70.53,097 324 137 224 213;097 197 324 137 338;097 193 137 335 338;193 192 137 213 131,4
70.54,193 192 324 137 224;193 197 137 224 213;097 324 137 213 338;097 197 324 137 131,4
70.55,193 197 324 137 335;097 192 137 335 224;192 197 137 335 213;193 192 324 137 338,4
70.56,193 197 324 137 224;193 324 137 335 213;097 192 137 335 338;193 192 324 137 131,4
70.57,192 197 137 224 213;193 324 137 224 213;193 197 324 137 338;097 192 137 335 131,4
70.58,192 197 324 137 335;097 197 137 335 224;097 192 137 224 338;192 197 137 213 338,4
70.59,193 192 137 335 224;192 324 137 335 213;097 137 335 224 213;097 197 137 335 338,4
70.6,192 197 324 137 224;192 324 137 224 213;193 192 137 335 338;097 137 335 213 338,4
70.61,197 324 137 335 213;192 197 324 137 338;097 197 137 224 338;192 324 137 213 338,4
70.62,193 197 137 335 224;097 324 137 335 224;193 192 137 224 338;097 137 224 213 338,4
70.63,197 324 137 224 213;193 137 335 224 213;193 197 137 335 338;097 324 137 335 338,4
70.64,097 324 137 224 338;197 324 137 213 338;193 137 335 213 338;193 197 137 335 131,4
70.65,192 197 137 335 224;193 197 137 224 338;097 324 137 224 131;197 324 137 213 131,4
70.66,193 324 137 335 224;097 193 192 197 213;192 137 335 224 213;192 197 137 335 338,4
70.67,193 324 137 335 338;192 137 335 213 338;192 197 137 335 131;193 137 224 213 131,4
70.68,197 137 335 224 213;192 197 137 224 338;193 324 137 224 338;193 324 137 335 131,4
70.69,097 193 192 197 324;192 324 137 335 224;197 137 335 213 338;192 137 224 213 338,4
70.7,097 193 192 324 213;192 324 137 335 338;097 137 335 224 338;192 137 224 213 131,4
