idx,ok,same_component,output_shape,max_color,max_color_bbox,largest_color,largest_size,largest_bbox
114,True,True,4x3,7,"0,6,4,9",7,9,"0,6,4,9"
115,True,True,3x3,7,"5,0,8,3",7,8,"5,0,8,3"
116,True,True,4x3,2,"1,4,5,7",2,9,"1,4,5,7"
117,True,True,2x3,1,"0,5,2,8",1,5,"0,5,2,8"
118,True,True,3x3,4,"0,2,3,5",4,7,"0,2,3,5"
119,True,True,3x3,4,"0,4,3,7",4,7,"0,4,3,7"
120,True,True,3x3,6,"4,8,7,11",6,6,"4,8,7,11"
121,True,True,3x3,6,"5,2,8,5",6,6,"5,2,8,5"
122,True,True,3x3,3,"4,4,7,7",3,8,"4,4,7,7"
123,True,True,3x3,6,"2,1,5,4",6,6,"2,1,5,4"
124,True,True,3x3,2,"3,4,6,7",2,8,"3,4,6,7"
125,True,True,4x3,6,"0,8,4,11",6,9,"0,8,4,11"
126,True,True,3x3,9,"0,0,3,3",9,6,"0,0,3,3"
127,True,True,3x3,9,"3,5,6,8",9,6,"3,5,6,8"
128,True,True,4x3,3,"0,6,4,9",3,9,"0,6,4,9"
129,True,True,3x3,8,"3,1,6,4",8,8,"3,1,6,4"
130,True,True,4x3,4,"2,4,6,7",4,9,"2,4,6,7"
131,True,True,4x3,1,"0,7,4,10",1,9,"0,7,4,10"
132,True,True,3x3,9,"0,7,3,10",9,8,"0,7,3,10"
133,True,True,2x3,2,"2,1,4,4",2,5,"2,1,4,4"
134,True,True,3x3,9,"1,8,4,11",9,8,"1,8,4,11"
135,True,True,3x3,1,"0,6,3,9",1,8,"0,6,3,9"
136,True,True,3x3,1,"2,9,5,12",1,8,"2,9,5,12"
137,True,True,3x3,8,"1,7,4,10",8,7,"1,7,4,10"
138,True,True,3x3,6,"2,6,5,9",6,7,"2,6,5,9"
139,True,True,2x3,2,"3,9,5,12",2,5,"3,9,5,12"
140,True,True,2x3,7,"2,0,4,3",7,5,"2,0,4,3"
141,True,True,3x3,7,"0,8,3,11",7,8,"0,8,3,11"
142,True,True,3x3,5,"4,7,7,10",5,7,"4,7,7,10"
143,True,True,3x3,2,"2,3,5,6",2,8,"2,3,5,6"
144,True,True,3x3,2,"1,1,4,4",2,7,"1,1,4,4"
145,True,True,4x3,6,"2,0,6,3",6,9,"2,0,6,3"
146,True,True,4x3,9,"0,8,4,11",9,9,"0,8,4,11"
147,True,True,4x3,2,"2,7,6,10",2,9,"2,7,6,10"
148,True,True,4x3,2,"0,5,4,8",2,9,"0,5,4,8"
149,True,True,3x3,9,"1,0,4,3",9,7,"1,0,4,3"
150,True,True,4x3,7,"0,2,4,5",7,9,"0,2,4,5"
151,True,True,3x3,7,"3,5,6,8",7,7,"3,5,6,8"
152,True,True,3x3,9,"0,8,3,11",9,7,"0,8,3,11"
153,True,True,3x3,2,"0,0,3,3",2,9,"0,0,3,3"
154,True,True,3x3,2,"1,6,4,9",2,9,"1,6,4,9"
155,True,True,3x3,3,"0,5,3,8",3,9,"0,5,3,8"
156,True,True,3x3,8,"1,0,4,3",8,8,"1,0,4,3"
157,True,True,3x3,5,"2,6,5,9",5,7,"2,6,5,9"
158,True,True,3x3,4,"0,3,3,6",4,8,"0,3,3,6"
159,True,True,3x3,7,"2,11,5,14",7,7,"2,11,5,14"
160,True,True,4x3,3,"0,2,4,5",3,9,"0,2,4,5"
161,True,True,3x3,7,"0,2,3,5",7,9,"0,2,3,5"
162,True,True,3x3,7,"0,6,3,9",7,8,"0,6,3,9"
163,True,True,3x3,6,"0,1,3,4",6,6,"0,1,3,4"
164,True,True,4x3,8,"4,3,8,6",8,9,"4,3,8,6"
165,True,True,3x3,8,"0,8,3,11",8,6,"0,8,3,11"
166,True,True,4x3,4,"0,0,4,3",4,9,"0,0,4,3"
167,True,True,3x3,6,"4,0,7,3",6,8,"4,0,7,3"
168,True,True,4x3,2,"0,9,4,12",2,9,"0,9,4,12"
169,True,True,4x3,6,"0,1,4,4",6,9,"0,1,4,4"
170,True,True,3x3,4,"5,3,8,6",4,7,"5,3,8,6"
171,True,True,3x3,6,"1,0,4,3",6,7,"1,0,4,3"
172,True,True,2x3,7,"4,1,6,4",7,5,"4,1,6,4"
173,True,True,4x3,4,"4,7,8,10",4,9,"4,7,8,10"
174,True,True,3x3,3,"1,7,4,10",3,8,"1,7,4,10"
175,True,True,4x3,7,"2,1,6,4",7,9,"2,1,6,4"
176,True,True,4x3,5,"0,0,4,3",5,9,"0,0,4,3"
177,True,True,3x3,4,"2,8,5,11",4,7,"2,8,5,11"
178,True,True,4x3,7,"3,3,7,6",7,9,"3,3,7,6"
179,True,True,4x3,6,"2,0,6,3",6,9,"2,0,6,3"
180,True,True,3x3,1,"1,0,4,3",1,8,"1,0,4,3"
181,True,True,4x3,9,"0,0,4,3",9,9,"0,0,4,3"
182,True,True,3x3,8,"1,3,4,6",8,6,"1,3,4,6"
183,True,True,3x3,5,"2,6,5,9",5,6,"2,6,5,9"
184,True,True,3x3,6,"0,8,3,11",6,8,"0,8,3,11"
185,True,True,4x3,9,"0,1,4,4",9,9,"0,1,4,4"
186,True,True,3x3,5,"4,7,7,10",5,8,"4,7,7,10"
187,True,True,3x3,2,"3,8,6,11",2,6,"3,8,6,11"
188,True,True,3x3,1,"3,8,6,11",1,8,"3,8,6,11"
189,True,True,3x3,3,"0,7,3,10",3,8,"0,7,3,10"
190,True,True,3x3,7,"3,9,6,12",7,6,"3,9,6,12"
191,True,True,3x3,6,"2,2,5,5",6,8,"2,2,5,5"
192,True,True,3x3,7,"3,7,6,10",7,8,"3,7,6,10"
193,True,True,3x3,2,"2,11,5,14",2,9,"2,11,5,14"
194,True,True,3x3,2,"6,8,9,11",2,8,"6,8,9,11"
195,True,True,3x3,4,"1,5,4,8",4,7,"1,5,4,8"
196,True,True,4x3,5,"5,5,9,8",5,9,"5,5,9,8"
197,True,True,3x3,9,"1,0,4,3",9,8,"1,0,4,3"
198,True,True,4x3,5,"0,3,4,6",5,9,"0,3,4,6"
199,True,True,4x3,2,"4,5,8,8",2,9,"4,5,8,8"
200,True,True,4x3,2,"1,10,5,13",2,9,"1,10,5,13"
201,True,True,3x3,7,"1,6,4,9",7,7,"1,6,4,9"
202,True,True,3x3,2,"5,7,8,10",2,7,"5,7,8,10"
203,True,True,3x3,5,"2,0,5,3",5,8,"2,0,5,3"
204,True,True,3x3,4,"2,9,5,12",4,6,"2,9,5,12"
205,True,True,3x3,1,"2,3,5,6",1,7,"2,3,5,6"
206,True,True,3x3,6,"3,3,6,6",6,8,"3,3,6,6"
207,True,True,3x2,8,"0,2,3,4",8,6,"0,2,3,4"
208,True,True,3x3,8,"0,0,3,3",8,8,"0,0,3,3"
209,True,True,3x3,3,"4,9,7,12",3,8,"4,9,7,12"
210,True,True,3x3,9,"4,5,7,8",9,8,"4,5,7,8"
211,True,True,4x3,1,"0,6,4,9",1,9,"0,6,4,9"
212,True,True,4x3,6,"2,1,6,4",6,9,"2,1,6,4"
213,True,True,3x3,7,"1,2,4,5",7,8,"1,2,4,5"
214,True,True,4x3,7,"4,6,8,9",7,9,"4,6,8,9"
215,True,True,3x3,1,"2,6,5,9",1,7,"2,6,5,9"
216,True,True,3x3,5,"0,0,3,3",5,6,"0,0,3,3"
217,True,True,4x3,9,"0,9,4,12",9,9,"0,9,4,12"
218,True,True,3x3,9,"1,5,4,8",9,7,"1,5,4,8"
219,True,True,3x3,7,"5,4,8,7",7,7,"5,4,8,7"
220,True,True,3x3,7,"0,10,3,13",7,8,"0,10,3,13"
221,True,True,3x3,2,"1,5,4,8",2,8,"1,5,4,8"
222,True,True,4x3,8,"0,0,4,3",8,9,"0,0,4,3"
223,True,True,3x2,1,"5,3,8,5",1,6,"5,3,8,5"
224,True,True,3x3,6,"2,2,5,5",6,7,"2,2,5,5"
225,True,True,3x3,1,"5,0,8,3",1,6,"5,0,8,3"
226,True,True,4x3,9,"4,5,8,8",9,9,"4,5,8,8"
227,True,True,4x3,9,"1,3,5,6",9,9,"1,3,5,6"
228,True,True,3x3,1,"0,8,3,11",1,8,"0,8,3,11"
229,True,True,3x3,1,"3,9,6,12",1,8,"3,9,6,12"
230,True,True,3x3,3,"4,4,7,7",3,8,"4,4,7,7"
231,True,True,3x3,6,"1,2,4,5",6,9,"1,2,4,5"
232,True,True,2x3,5,"0,0,2,3",5,5,"0,0,2,3"
233,True,True,3x3,1,"0,3,3,6",1,7,"0,3,3,6"
234,True,True,4x3,6,"4,2,8,5",6,9,"4,2,8,5"
235,True,True,3x3,6,"3,9,6,12",6,8,"3,9,6,12"
236,True,True,3x3,7,"1,8,4,11",7,8,"1,8,4,11"
237,True,True,4x3,3,"0,4,4,7",3,9,"0,4,4,7"
238,True,True,4x3,2,"2,2,6,5",2,9,"2,2,6,5"
239,True,True,3x3,6,"5,0,8,3",6,8,"5,0,8,3"
240,True,True,3x3,9,"4,1,7,4",9,8,"4,1,7,4"
241,True,True,3x3,6,"0,6,3,9",6,8,"0,6,3,9"
242,True,True,3x3,8,"5,1,8,4",8,7,"5,1,8,4"
243,True,True,3x3,9,"4,0,7,3",9,8,"4,0,7,3"
244,True,True,3x3,3,"1,9,4,12",3,7,"1,9,4,12"
245,True,True,4x3,3,"1,0,5,3",3,9,"1,0,5,3"
246,True,True,3x3,8,"1,6,4,9",8,6,"1,6,4,9"
247,True,True,3x3,8,"0,1,3,4",8,7,"0,1,3,4"
248,True,True,4x3,1,"1,1,5,4",1,9,"1,1,5,4"
249,True,True,4x3,1,"1,8,5,11",1,9,"1,8,5,11"
250,True,True,3x3,7,"4,7,7,10",7,8,"4,7,7,10"
251,True,True,3x3,2,"5,1,8,4",2,8,"5,1,8,4"
252,True,True,3x2,3,"1,2,4,4",3,6,"1,2,4,4"
253,True,True,4x3,8,"0,9,4,12",8,9,"0,9,4,12"
254,True,True,3x3,4,"5,3,8,6",4,7,"5,3,8,6"
255,True,True,2x3,5,"2,11,4,14",5,5,"2,11,4,14"
256,True,True,3x3,3,"5,1,8,4",3,8,"5,1,8,4"
257,True,True,4x3,2,"1,5,5,8",2,9,"1,5,5,8"
258,True,True,3x3,6,"2,9,5,12",6,8,"2,9,5,12"
259,True,True,4x3,5,"2,0,6,3",5,9,"2,0,6,3"
260,True,True,3x3,5,"4,4,7,7",5,6,"4,4,7,7"
261,True,True,4x3,2,"0,0,4,3",2,9,"0,0,4,3"
262,True,True,3x3,7,"6,0,9,3",7,7,"6,0,9,3"
263,True,True,2x3,2,"6,4,8,7",2,5,"6,4,8,7"
264,True,True,4x3,2,"0,1,4,4",2,9,"0,1,4,4"
265,True,True,4x3,7,"1,10,5,13",7,9,"1,10,5,13"
266,True,True,4x3,9,"2,7,6,10",9,9,"2,7,6,10"
