task_id,split,teacher_route,cost,top_cost_rank
115,valid,crop_or_resize,4122.0,299
116,train,crop_or_resize,30.0,389
117,train,sparse_edit_or_object_completion,18454.0,199
118,train,sparse_edit_or_object_completion,60026.0,87
119,train,sparse_edit_or_object_completion,16640.0,203
120,valid,sparse_edit_or_object_completion,910.0,348
121,train,crop_or_resize,6530.0,280
122,train,sparse_edit_or_object_completion,2510.0,312
123,train,crop_or_resize,4104.0,301
124,train,crop_or_resize,11673.0,234
125,valid,same_shape_global_transform,13417.0,218
126,train,sparse_edit_or_object_completion,86091.0,43
127,train,sparse_edit_or_object_completion,900.0,358
128,train,same_shape_global_transform,95042.0,32
129,train,sparse_edit_or_object_completion,807.0,365
130,valid,crop_or_resize,15948.0,206
131,train,sparse_edit_or_object_completion,44550.0,118
132,train,sparse_edit_or_object_completion,29458.0,148
133,train,same_shape_global_transform,193923.0,2
134,train,crop_or_resize,12388.0,224
135,valid,crop_or_resize,360.0,380
136,train,sparse_edit_or_object_completion,4837.0,294
137,train,same_shape_global_transform,72472.0,64
138,train,crop_or_resize,48467.0,109
139,train,sparse_edit_or_object_completion,3630.0,307
140,valid,sparse_edit_or_object_completion,368.0,378
141,train,sparse_edit_or_object_completion,15819.0,208
142,train,crop_or_resize,1800.0,323
143,train,sparse_edit_or_object_completion,19441.0,195
144,train,crop_or_resize,786.0,367
145,valid,same_shape_global_transform,69757.0,66
146,train,crop_or_resize,2256.0,315
147,train,sparse_edit_or_object_completion,910.0,349
148,train,sparse_edit_or_object_completion,22029.0,181
149,train,crop_or_resize,437.0,376
150,valid,sparse_edit_or_object_completion,1014.0,343
151,train,sparse_edit_or_object_completion,910.0,350
152,train,crop_or_resize,1800.0,324
153,train,crop_or_resize,11212.0,236
154,train,sparse_edit_or_object_completion,45574.0,115
155,valid,sparse_edit_or_object_completion,1014.0,344
156,train,sparse_edit_or_object_completion,26552.0,158
157,train,sparse_edit_or_object_completion,79930.0,53
158,train,sparse_edit_or_object_completion,182776.0,3
159,train,crop_or_resize,89501.0,39
160,valid,sparse_edit_or_object_completion,4586.0,296
161,train,sparse_edit_or_object_completion,64647.0,76
162,train,sparse_edit_or_object_completion,63291.0,83
163,train,sparse_edit_or_object_completion,24085.0,171
164,train,crop_or_resize,30.0,390
165,valid,sparse_edit_or_object_completion,67524.0,70
166,train,sparse_edit_or_object_completion,24789.0,167
167,train,sparse_edit_or_object_completion,685.0,371
168,train,sparse_edit_or_object_completion,20403.0,190
169,train,sparse_edit_or_object_completion,23629.0,173
170,valid,crop_or_resize,78564.0,55
171,train,sparse_edit_or_object_completion,910.0,351
172,train,crop_or_resize,30.0,391
173,train,sparse_edit_or_object_completion,175243.0,4
174,train,crop_or_resize,52019.0,99
175,valid,sparse_edit_or_object_completion,23859.0,172
176,train,sparse_edit_or_object_completion,7920.0,262
177,train,crop_or_resize,61194.0,86
178,train,crop_or_resize,29331.0,149
179,train,sparse_edit_or_object_completion,0.0,399
180,valid,crop_or_resize,7450.0,269
181,train,sparse_edit_or_object_completion,1194.0,340
182,train,sparse_edit_or_object_completion,47624.0,112
183,train,crop_or_resize,24878.0,166
184,train,crop_or_resize,38855.0,125
185,valid,crop_or_resize,59584.0,88
186,train,sparse_edit_or_object_completion,364.0,379
187,train,same_shape_global_transform,105313.0,24
188,train,crop_or_resize,10664.0,240
189,train,crop_or_resize,24649.0,170
190,valid,sparse_edit_or_object_completion,11204.0,237
191,train,sparse_edit_or_object_completion,73993.0,60
192,train,sparse_edit_or_object_completion,51968.0,100
193,train,sparse_edit_or_object_completion,53661.0,98
194,train,crop_or_resize,1800.0,325
195,valid,crop_or_resize,14229.0,217
196,train,sparse_edit_or_object_completion,32242.0,139
197,train,sparse_edit_or_object_completion,50688.0,103
198,train,same_shape_global_transform,103821.0,26
199,train,sparse_edit_or_object_completion,16157.0,204
200,valid,sparse_edit_or_object_completion,8306.0,259
201,train,crop_or_resize,92700.0,35
202,train,sparse_edit_or_object_completion,125720.0,12
203,train,same_shape_global_transform,88402.0,42
204,train,same_shape_global_transform,104544.0,25
205,valid,crop_or_resize,112313.0,19
206,train,sparse_edit_or_object_completion,61387.0,85
207,train,crop_or_resize,1875.0,319
208,train,sparse_edit_or_object_completion,92273.0,36
209,train,crop_or_resize,67337.0,71
210,valid,crop_or_resize,30.0,392
211,train,crop_or_resize,1800.0,326
212,train,sparse_edit_or_object_completion,9969.0,245
213,train,crop_or_resize,50225.0,104
214,train,sparse_edit_or_object_completion,1800.0,327
215,valid,same_shape_global_transform,38094.0,127
216,train,crop_or_resize,103572.0,27
217,train,sparse_edit_or_object_completion,17924.0,201
218,train,crop_or_resize,23202.0,177
219,train,sparse_edit_or_object_completion,47688.0,111
220,valid,sparse_edit_or_object_completion,900.0,359
221,train,crop_or_resize,55869.0,93
222,train,same_shape_global_transform,58035.0,92
223,train,crop_or_resize,1800.0,328
224,train,sparse_edit_or_object_completion,45458.0,116
225,valid,sparse_edit_or_object_completion,11078.0,239
226,train,sparse_edit_or_object_completion,5559.0,287
227,train,crop_or_resize,2927.0,310
228,train,sparse_edit_or_object_completion,25086.0,163
229,train,sparse_edit_or_object_completion,1409.0,334
230,valid,sparse_edit_or_object_completion,900.0,360
231,train,crop_or_resize,38342.0,126
232,train,sparse_edit_or_object_completion,29497.0,147
233,train,crop_or_resize,63540.0,81
234,train,sparse_edit_or_object_completion,81703.0,48
235,valid,crop_or_resize,1338.0,335
236,train,crop_or_resize,643.0,372
237,train,sparse_edit_or_object_completion,14324.0,216
238,train,crop_or_resize,64372.0,78
239,train,crop_or_resize,94477.0,34
240,valid,sparse_edit_or_object_completion,27847.0,155
241,train,sparse_edit_or_object_completion,0.0,400
242,train,crop_or_resize,20119.0,192
243,train,same_shape_global_transform,67878.0,69
244,train,crop_or_resize,31782.0,142
245,valid,sparse_edit_or_object_completion,29015.0,151
246,train,sparse_edit_or_object_completion,13391.0,219
247,train,crop_or_resize,22031.0,180
248,train,sparse_edit_or_object_completion,6581.0,277
249,train,crop_or_resize,8999.0,252
250,valid,sparse_edit_or_object_completion,12141.0,227
251,train,sparse_edit_or_object_completion,100580.0,29
252,train,sparse_edit_or_object_completion,38062.0,128
253,train,crop_or_resize,48269.0,110
254,train,sparse_edit_or_object_completion,7956.0,261
255,valid,same_shape_global_transform,74403.0,59
256,train,sparse_edit_or_object_completion,21123.0,188
257,train,crop_or_resize,1077.0,342
258,train,sparse_edit_or_object_completion,160.0,385
259,train,crop_or_resize,6843.0,275
260,valid,sparse_edit_or_object_completion,12474.0,223
261,train,sparse_edit_or_object_completion,200.0,383
262,train,sparse_edit_or_object_completion,3770.0,304
263,train,crop_or_resize,8054.0,260
264,train,crop_or_resize,79536.0,54
265,valid,sparse_edit_or_object_completion,39162.0,122
266,train,sparse_edit_or_object_completion,910.0,352
267,train,sparse_edit_or_object_completion,1255.0,337
268,train,sparse_edit_or_object_completion,22387.0,179
269,train,crop_or_resize,8602.0,255
270,valid,sparse_edit_or_object_completion,27301.0,156
271,train,crop_or_resize,28991.0,152
272,train,sparse_edit_or_object_completion,910.0,353
273,train,sparse_edit_or_object_completion,5937.0,284
274,train,crop_or_resize,8581.0,257
275,valid,crop_or_resize,83879.0,46
276,train,sparse_edit_or_object_completion,10.0,396
277,train,sparse_edit_or_object_completion,14617.0,214
278,train,sparse_edit_or_object_completion,34383.0,136
279,train,sparse_edit_or_object_completion,26330.0,160
280,valid,same_shape_global_transform,90506.0,37
281,train,sparse_edit_or_object_completion,88615.0,41
282,train,sparse_edit_or_object_completion,900.0,361
283,train,sparse_edit_or_object_completion,910.0,354
284,train,sparse_edit_or_object_completion,102032.0,28
285,valid,sparse_edit_or_object_completion,151996.0,7
286,train,sparse_edit_or_object_completion,162199.0,5
287,train,sparse_edit_or_object_completion,22566.0,178
288,train,sparse_edit_or_object_completion,31807.0,140
289,train,crop_or_resize,24972.0,164
290,valid,crop_or_resize,11708.0,233
291,train,crop_or_resize,4327.0,298
292,train,sparse_edit_or_object_completion,6305.0,282
293,train,sparse_edit_or_object_completion,24771.0,168
294,train,sparse_edit_or_object_completion,910.0,355
295,valid,crop_or_resize,12190.0,225
296,train,crop_or_resize,4115.0,300
297,train,sparse_edit_or_object_completion,9172.0,249
298,train,sparse_edit_or_object_completion,14948.0,213
299,train,sparse_edit_or_object_completion,1790.0,330
300,valid,crop_or_resize,77546.0,57
301,train,sparse_edit_or_object_completion,64988.0,75
302,train,sparse_edit_or_object_completion,7796.0,265
303,train,same_shape_global_transform,80710.0,51
304,train,crop_or_resize,14494.0,215
305,valid,sparse_edit_or_object_completion,3952.0,302
306,train,sparse_edit_or_object_completion,64444.0,77
307,train,crop_or_resize,1800.0,329
308,train,crop_or_resize,21799.0,183
309,train,sparse_edit_or_object_completion,10.0,397
310,valid,crop_or_resize,25739.0,162
311,train,crop_or_resize,30.0,393
312,train,sparse_edit_or_object_completion,9979.0,244
313,train,same_shape_global_transform,83572.0,47
314,train,sparse_edit_or_object_completion,8594.0,256
315,valid,crop_or_resize,9557.0,246
316,train,crop_or_resize,3903.0,303
317,train,sparse_edit_or_object_completion,900.0,362
318,train,crop_or_resize,739.0,368
319,train,crop_or_resize,18368.0,200
320,valid,sparse_edit_or_object_completion,5190.0,290
321,train,crop_or_resize,5511.0,288
322,train,sparse_edit_or_object_completion,867.0,364
323,train,sparse_edit_or_object_completion,4533.0,297
324,train,sparse_edit_or_object_completion,48870.0,108
325,valid,crop_or_resize,43022.0,119
326,train,crop_or_resize,160.0,386
327,train,crop_or_resize,7548.0,268
328,train,same_shape_global_transform,68053.0,68
329,train,sparse_edit_or_object_completion,10260.0,242
330,valid,sparse_edit_or_object_completion,59024.0,90
331,train,sparse_edit_or_object_completion,910.0,356
332,train,sparse_edit_or_object_completion,8990.0,254
333,train,sparse_edit_or_object_completion,24893.0,165
334,train,crop_or_resize,609.0,373
335,valid,sparse_edit_or_object_completion,46249.0,114
336,train,sparse_edit_or_object_completion,6036.0,283
337,train,sparse_edit_or_object_completion,10.0,398
338,train,same_shape_global_transform,45016.0,117
339,train,crop_or_resize,884.0,363
340,valid,sparse_edit_or_object_completion,70342.0,65
341,train,sparse_edit_or_object_completion,18865.0,197
342,train,sparse_edit_or_object_completion,12153.0,226
343,train,sparse_edit_or_object_completion,28656.0,153
344,train,sparse_edit_or_object_completion,2510.0,313
345,valid,sparse_edit_or_object_completion,11716.0,232
346,train,crop_or_resize,9178.0,248
347,train,crop_or_resize,1607.0,333
348,train,sparse_edit_or_object_completion,7207.0,272
349,train,same_shape_global_transform,49480.0,107
350,valid,sparse_edit_or_object_completion,19831.0,193
351,train,crop_or_resize,35154.0,132
352,train,sparse_edit_or_object_completion,6626.0,276
353,train,sparse_edit_or_object_completion,5411.0,289
354,train,sparse_edit_or_object_completion,17007.0,202
355,valid,crop_or_resize,11795.0,230
356,train,sparse_edit_or_object_completion,5002.0,292
357,train,sparse_edit_or_object_completion,6581.0,278
358,train,sparse_edit_or_object_completion,113999.0,17
359,train,sparse_edit_or_object_completion,42313.0,120
360,valid,crop_or_resize,11146.0,238
361,train,sparse_edit_or_object_completion,15917.0,207
362,train,sparse_edit_or_object_completion,11939.0,229
363,train,sparse_edit_or_object_completion,54241.0,97
364,train,sparse_edit_or_object_completion,77859.0,56
365,valid,crop_or_resize,58814.0,91
366,train,crop_or_resize,836880.0,1
367,train,sparse_edit_or_object_completion,49772.0,105
368,train,sparse_edit_or_object_completion,32339.0,138
369,train,sparse_edit_or_object_completion,7729.0,267
370,valid,sparse_edit_or_object_completion,108296.0,21
371,train,sparse_edit_or_object_completion,21181.0,187
372,train,crop_or_resize,7880.0,263
373,train,sparse_edit_or_object_completion,524.0,374
374,train,sparse_edit_or_object_completion,15742.0,209
375,valid,sparse_edit_or_object_completion,15172.0,212
376,train,crop_or_resize,23413.0,175
377,train,crop_or_resize,61924.0,84
378,train,sparse_edit_or_object_completion,39008.0,124
379,train,sparse_edit_or_object_completion,72499.0,63
380,valid,sparse_edit_or_object_completion,728.0,370
381,train,sparse_edit_or_object_completion,3681.0,306
382,train,sparse_edit_or_object_completion,107354.0,22
383,train,sparse_edit_or_object_completion,128140.0,11
384,train,crop_or_resize,74722.0,58
385,valid,sparse_edit_or_object_completion,30.0,394
386,train,crop_or_resize,2183.0,317
387,train,sparse_edit_or_object_completion,63558.0,80
388,train,crop_or_resize,6468.0,281
389,train,sparse_edit_or_object_completion,1898.0,318
390,valid,sparse_edit_or_object_completion,24692.0,169
391,train,crop_or_resize,10021.0,243
392,train,same_shape_global_transform,30870.0,143
393,train,crop_or_resize,459.0,375
394,train,crop_or_resize,4753.0,295
395,valid,crop_or_resize,1667.0,331
396,train,crop_or_resize,143389.0,9
397,train,sparse_edit_or_object_completion,21041.0,189
398,train,crop_or_resize,84295.0,44
399,train,crop_or_resize,1839.0,320
400,valid,crop_or_resize,35153.0,133
