idx,ok,shape,object_count,selected_rank,selected_bbox,selected_shape,count2_values,count2_margin,output_shape
230,True,10x10,2,1,"(7, 3, 10, 6)","(3, 3)","4,1",3,"(3, 3)"
231,True,10x10,3,2,"(5, 2, 9, 5)","(4, 3)","3,2,1",1,"(4, 3)"
232,True,10x10,3,2,"(6, 2, 9, 6)","(3, 4)","4,2,1",2,"(3, 4)"
233,True,10x10,3,1,"(4, 0, 8, 4)","(4, 4)","3,2,1",1,"(4, 4)"
234,True,10x10,2,0,"(1, 0, 7, 4)","(6, 4)","4,1",3,"(6, 4)"
235,True,10x10,2,1,"(6, 1, 10, 6)","(4, 5)","3,1",2,"(4, 5)"
236,True,10x10,2,1,"(6, 4, 10, 7)","(4, 3)","3,1",2,"(4, 3)"
237,True,10x10,2,0,"(1, 0, 7, 5)","(6, 5)","4,1",3,"(6, 5)"
238,True,10x10,2,1,"(7, 2, 10, 6)","(3, 4)","3,2",1,"(3, 4)"
239,True,10x10,3,2,"(5, 1, 10, 5)","(5, 4)","4,3,1",1,"(5, 4)"
240,True,10x10,3,0,"(0, 3, 3, 9)","(3, 6)","3,2,1",1,"(3, 6)"
241,True,10x10,3,2,"(7, 2, 10, 5)","(3, 3)","4,3,2",1,"(3, 3)"
242,True,10x10,2,1,"(6, 0, 10, 3)","(4, 3)","4,1",3,"(4, 3)"
243,True,10x10,2,1,"(6, 2, 9, 5)","(3, 3)","2,1",1,"(3, 3)"
244,True,10x10,2,0,"(2, 2, 5, 8)","(3, 6)","4,3",1,"(3, 6)"
245,True,10x10,2,0,"(0, 2, 4, 8)","(4, 6)","4,1",3,"(4, 6)"
246,True,10x10,3,0,"(0, 7, 4, 10)","(4, 3)","4,3,2",1,"(4, 3)"
247,True,10x10,3,1,"(1, 0, 6, 3)","(5, 3)","4,3,2",1,"(5, 3)"
248,True,10x10,3,0,"(1, 5, 6, 8)","(5, 3)","4,2,1",2,"(5, 3)"
249,True,10x10,3,0,"(0, 0, 4, 3)","(4, 3)","3,2,1",1,"(4, 3)"
250,True,10x10,3,2,"(7, 0, 10, 5)","(3, 5)","4,3,2",1,"(3, 5)"
251,True,10x10,3,0,"(0, 0, 3, 4)","(3, 4)","4,2,1",2,"(3, 4)"
252,True,10x10,2,0,"(1, 5, 7, 10)","(6, 5)","4,2",2,"(6, 5)"
253,True,10x10,2,1,"(4, 3, 7, 9)","(3, 6)","4,1",3,"(3, 6)"
254,True,10x10,3,1,"(7, 1, 10, 6)","(3, 5)","4,3,2",1,"(3, 5)"
255,True,10x10,3,0,"(0, 6, 5, 9)","(5, 3)","3,2,1",1,"(5, 3)"
256,True,10x10,3,1,"(1, 7, 5, 10)","(4, 3)","4,2,1",2,"(4, 3)"
257,True,10x10,3,0,"(1, 6, 4, 10)","(3, 4)","4,2,1",2,"(3, 4)"
258,True,10x10,3,2,"(4, 1, 8, 6)","(4, 5)","4,3,1",1,"(4, 5)"
259,True,10x10,3,2,"(5, 0, 8, 3)","(3, 3)","3,2,1",1,"(3, 3)"
260,True,10x10,3,2,"(7, 0, 10, 3)","(3, 3)","4,2,1",2,"(3, 3)"
261,True,10x10,3,2,"(6, 5, 9, 10)","(3, 5)","3,2,1",1,"(3, 5)"
262,True,10x10,2,0,"(0, 0, 6, 4)","(6, 4)","4,1",3,"(6, 4)"
263,True,10x10,3,2,"(7, 0, 10, 3)","(3, 3)","3,2,1",1,"(3, 3)"
264,True,10x10,3,1,"(6, 1, 10, 4)","(4, 3)","4,3,2",1,"(4, 3)"
265,True,10x10,3,1,"(6, 0, 9, 3)","(3, 3)","4,3,1",1,"(3, 3)"
