idx,shape,expected,rank0,rank1,rank0_count,rank1_count,expected_rank,r0_bbox_area,r1_bbox_area,d_bbox_area,r0_bbox_h,r1_bbox_h,d_bbox_h,r0_bbox_w,r1_bbox_w,d_bbox_w,r0_component_count,r1_component_count,d_component_count,r0_corner_count,r1_corner_count,d_corner_count,r0_count,r1_count,d_count,r0_density_den,r1_density_den,d_density_den,r0_density_num,r1_density_num,d_density_num,r0_edge_touches,r1_edge_touches,d_edge_touches,r0_largest_component,r1_largest_component,d_largest_component,r0_touch_bottom,r1_touch_bottom,d_touch_bottom,r0_touch_left,r1_touch_left,d_touch_left,r0_touch_right,r1_touch_right,d_touch_right,r0_touch_top,r1_touch_top,d_touch_top
31,11x8,9,9,8,7,13,0,77,60,-17,11,10,-1,7,6,-1,7,4,-3,0,0,0,7,13,6,77,60,-17,7,13,6,3,2,-1,1,10,9,1,0,-1,0,1,1,1,0,-1,1,1,0
32,11x10,9,9,1,11,15,0,99,99,0,11,11,0,9,9,0,9,7,-2,0,1,1,11,15,4,99,99,0,11,15,4,3,3,0,3,9,6,1,1,0,0,0,0,1,1,0,1,1,0
33,9x9,1,1,3,7,18,0,72,63,-9,8,7,-1,9,9,0,6,6,0,0,2,2,7,18,11,72,63,-9,7,18,11,3,3,0,2,11,9,1,0,-1,1,1,0,1,1,0,0,1,1
34,6x8,6,6,5,4,13,0,32,30,-2,4,6,2,8,5,-3,4,2,-2,1,0,-1,4,13,9,32,30,-2,4,13,9,3,2,-1,1,12,11,1,1,0,1,0,-1,1,0,-1,0,1,1
35,9x7,3,3,8,11,13,0,63,48,-15,9,8,-1,7,6,-1,10,5,-5,1,0,-1,11,13,2,63,48,-15,11,13,2,4,2,-2,2,9,7,1,0,-1,1,1,0,1,0,-1,1,1,0
36,11x9,4,4,3,10,12,0,63,40,-23,9,8,-1,7,5,-2,7,3,-4,0,0,0,10,12,2,63,40,-23,10,12,2,0,1,1,2,10,8,0,1,1,0,0,0,0,0,0,0,0,0
37,9x12,1,1,3,5,17,0,42,88,46,6,8,2,7,11,4,5,8,3,0,0,0,5,17,12,42,88,46,5,17,12,0,2,2,1,9,8,0,1,1,0,1,1,0,0,0,0,0,0
38,5x7,2,2,7,1,11,0,1,20,19,1,5,4,1,4,3,1,1,0,0,0,0,1,11,10,1,20,19,1,11,10,0,3,3,1,11,10,0,1,1,0,1,1,0,0,0,0,1,1
39,6x11,8,8,7,8,14,0,40,48,8,4,6,2,10,8,-2,7,4,-3,0,1,1,8,14,6,40,48,8,8,14,6,2,3,1,2,10,8,1,1,0,1,1,0,0,0,0,0,1,1
40,10x9,2,2,8,7,14,0,63,90,27,9,10,1,7,9,2,7,6,-1,0,0,0,7,14,7,63,90,27,7,14,7,2,4,2,1,8,7,0,1,1,1,1,0,0,1,1,1,1,0
41,9x10,8,8,2,10,16,0,72,56,-16,8,8,0,9,7,-2,8,6,-2,0,0,0,10,16,6,72,56,-16,10,16,6,2,2,0,3,10,7,1,0,-1,0,0,0,1,1,0,0,1,1
42,12x10,9,9,3,16,22,0,120,120,0,12,12,0,10,10,0,10,10,0,2,0,-2,16,22,6,120,120,0,16,22,6,4,4,0,4,10,6,1,1,0,1,1,0,1,1,0,1,1,0
43,7x7,9,9,6,5,9,0,36,12,-24,6,3,-3,6,4,-2,5,1,-4,0,0,0,5,9,4,36,12,-24,5,9,4,2,1,-1,1,9,8,0,0,0,1,0,-1,0,1,1,1,0,-1
44,6x9,8,8,9,6,10,0,30,30,0,5,5,0,6,6,0,5,3,-2,0,0,0,6,10,4,30,30,0,6,10,4,2,1,-1,2,8,6,1,0,-1,0,0,0,1,0,-1,0,1,1
45,6x9,4,4,3,5,14,0,54,35,-19,6,5,-1,9,7,-2,5,4,-1,1,0,-1,5,14,9,54,35,-19,5,14,9,4,2,-2,1,11,10,1,0,-1,1,1,0,1,0,-1,1,1,0
46,9x6,4,4,7,6,14,0,54,54,0,9,9,0,6,6,0,5,4,-1,1,2,1,6,14,8,54,54,0,6,14,8,4,4,0,2,11,9,1,1,0,1,1,0,1,1,0,1,1,0
47,8x6,1,1,8,7,11,0,24,28,4,6,7,1,4,4,0,5,4,-1,0,1,1,7,11,4,24,28,4,7,11,4,2,2,0,3,8,5,1,1,0,1,0,-1,0,1,1,0,0,0
48,12x6,8,8,2,8,13,0,54,60,6,9,12,3,6,5,-1,7,5,-2,0,1,1,8,13,5,54,60,6,8,13,5,3,3,0,2,8,6,0,1,1,1,0,-1,1,1,0,1,1,0
49,9x10,9,9,5,9,23,0,64,81,17,8,9,1,8,9,1,6,9,3,0,0,0,9,23,14,64,81,17,9,23,14,2,3,1,3,11,8,1,1,0,1,0,-1,0,1,1,0,1,1
50,6x11,2,2,9,7,16,0,44,66,22,4,6,2,11,11,0,5,5,0,0,1,1,7,16,9,44,66,22,7,16,9,3,4,1,2,11,9,0,1,1,1,1,0,1,1,0,1,1,0
51,7x5,4,4,2,3,10,0,9,20,11,3,5,2,3,4,1,2,2,0,0,0,0,3,10,7,9,20,11,3,10,7,1,1,0,2,9,7,0,0,0,0,0,0,1,1,0,0,0,0
52,8x10,7,7,9,6,13,0,32,70,38,4,7,3,8,10,2,5,4,-1,0,0,0,6,13,7,32,70,38,6,13,7,0,3,3,2,10,8,0,0,0,0,1,1,0,1,1,0,1,1
53,5x8,1,1,2,4,10,0,35,24,-11,5,4,-1,7,6,-1,4,3,-1,1,1,0,4,10,6,35,24,-11,4,10,6,3,2,-1,1,8,7,1,0,-1,0,1,1,1,0,-1,1,1,0
54,8x9,9,9,4,7,12,0,28,49,21,4,7,3,7,7,0,5,5,0,0,1,1,7,12,5,28,49,21,7,12,5,1,2,1,3,8,5,0,0,0,0,1,1,1,0,-1,0,1,1
55,11x10,8,8,4,12,18,0,88,66,-22,11,11,0,8,6,-2,11,7,-4,0,0,0,12,18,6,88,66,-22,12,18,6,2,3,1,2,12,10,1,1,0,0,0,0,0,1,1,1,1,0
56,6x8,5,5,6,7,11,0,40,30,-10,5,5,0,8,6,-2,6,4,-2,1,0,-1,7,11,4,40,30,-10,7,11,4,3,1,-2,2,8,6,1,0,-1,1,0,-1,1,0,-1,0,1,1
57,9x10,2,2,1,10,16,0,70,42,-28,7,6,-1,10,7,-3,10,3,-7,0,0,0,10,16,6,70,42,-28,10,16,6,3,0,-3,1,14,13,1,0,-1,1,0,-1,1,0,-1,0,0,0
58,8x5,1,1,8,4,8,0,30,9,-21,6,3,-3,5,3,-2,4,1,-3,0,0,0,4,8,4,30,9,-21,4,8,4,2,0,-2,1,8,7,0,0,0,1,0,-1,1,0,-1,0,0,0
59,8x12,4,4,3,18,19,0,88,88,0,8,8,0,11,11,0,14,10,-4,1,0,-1,18,19,1,88,88,0,18,19,1,3,3,0,3,8,5,1,1,0,0,0,0,1,1,0,1,1,0
60,11x5,7,7,8,4,9,0,30,15,-15,6,5,-1,5,3,-2,4,2,-2,0,0,0,4,9,5,30,15,-15,4,9,5,2,0,-2,1,8,7,0,0,0,1,0,-1,1,0,-1,0,0,0
61,8x12,1,8,1,11,12,1,50,96,46,5,8,3,10,12,2,4,9,5,1,1,0,11,12,1,50,96,46,11,12,1,2,4,2,8,3,-5,0,1,1,1,1,0,0,1,1,1,1,0
62,6x6,7,7,1,4,13,0,9,30,21,3,5,2,3,6,3,2,3,1,0,0,0,4,13,9,9,30,21,4,13,9,1,3,2,3,11,8,1,1,0,0,1,1,0,1,1,0,0,0
63,6x5,1,1,5,2,9,0,6,12,6,2,4,2,3,3,0,2,1,-1,0,0,0,2,9,7,6,12,6,2,9,7,1,0,-1,1,9,8,0,0,0,0,0,0,1,0,-1,0,0,0
64,9x11,6,6,9,5,18,0,90,90,0,9,9,0,10,10,0,5,7,2,0,1,1,5,18,13,90,90,0,5,18,13,3,3,0,1,11,10,1,1,0,1,1,0,0,0,0,1,1,0
65,7x6,4,4,9,5,14,0,28,36,8,7,6,-1,4,6,2,5,4,-1,0,1,1,5,14,9,28,36,8,5,14,9,3,3,0,1,10,9,1,0,-1,0,1,1,1,1,0,1,1,0
66,8x9,9,9,8,6,19,0,56,72,16,7,8,1,8,9,1,5,7,2,0,1,1,6,19,13,56,72,16,6,19,13,2,4,2,2,12,10,1,1,0,0,1,1,1,1,0,0,1,1
67,8x7,3,3,8,5,13,0,35,42,7,5,7,2,7,6,-1,5,4,-1,0,0,0,5,13,8,35,42,7,5,13,8,3,2,-1,1,10,9,0,0,0,1,0,-1,1,1,0,1,1,0
68,8x12,7,7,4,8,15,0,60,84,24,5,7,2,12,12,0,7,7,0,0,0,0,8,15,7,60,84,24,8,15,7,2,3,1,2,9,7,0,0,0,1,1,0,1,1,0,0,1,1
69,6x11,9,9,3,11,14,0,60,48,-12,6,6,0,10,8,-2,7,4,-3,2,0,-2,11,14,3,60,48,-12,11,14,3,3,2,-1,4,11,7,1,1,0,1,0,-1,0,0,0,1,1,0
70,10x8,8,8,1,11,15,0,60,56,-4,10,7,-3,6,8,2,9,5,-4,0,1,1,11,15,4,60,56,-4,11,15,4,3,3,0,2,8,6,1,1,0,1,1,0,0,1,1,1,0,-1
71,11x9,2,2,3,7,18,0,80,90,10,10,10,0,8,9,1,7,10,3,0,2,2,7,18,11,80,90,10,7,18,11,2,3,1,1,9,8,0,0,0,1,1,0,0,1,1,1,1,0
72,11x11,4,4,6,12,20,0,88,121,33,8,11,3,11,11,0,10,10,0,0,0,0,12,20,8,88,121,33,12,20,8,3,4,1,2,8,6,0,1,1,1,1,0,1,1,0,1,1,0
73,10x11,1,1,3,8,16,0,80,110,30,10,10,0,8,11,3,5,7,2,1,0,-1,8,16,8,80,110,30,8,16,8,3,4,1,3,10,7,1,1,0,0,1,1,1,1,0,1,1,0
74,9x5,1,1,7,1,14,0,1,40,39,1,8,7,1,5,4,1,6,5,0,0,0,1,14,13,1,40,39,1,14,13,0,3,3,1,9,8,0,0,0,0,1,1,0,1,1,0,1,1
75,12x9,3,4,3,11,13,1,45,99,54,9,11,2,5,9,4,4,11,7,0,1,1,11,13,2,45,99,54,11,13,2,1,3,2,8,3,-5,0,0,0,0,1,1,1,1,0,0,1,1
76,6x5,5,5,9,3,11,0,9,20,11,3,4,1,3,5,2,3,3,0,0,0,0,3,11,8,9,20,11,3,11,8,1,2,1,1,9,8,0,0,0,0,1,1,1,1,0,0,0,0
77,11x6,2,2,5,12,14,0,66,44,-22,11,11,0,6,4,-2,9,4,-5,2,0,-2,12,14,2,66,44,-22,12,14,2,4,3,-1,3,10,7,1,1,0,1,0,-1,1,1,0,1,1,0
78,6x8,2,2,4,5,12,0,48,24,-24,6,6,0,8,4,-4,5,2,-3,0,0,0,5,12,7,48,24,-24,5,12,7,4,2,-2,1,11,10,1,1,0,1,0,-1,1,0,-1,1,1,0
79,8x11,7,7,5,10,15,0,77,56,-21,7,7,0,11,8,-3,9,7,-2,1,0,-1,10,15,5,77,56,-21,10,15,5,3,1,-2,2,9,7,0,0,0,1,0,-1,1,0,-1,1,1,0
80,12x9,2,2,8,15,16,0,88,72,-16,11,8,-3,8,9,1,13,5,-8,1,0,-1,15,16,1,88,72,-16,15,16,1,2,2,0,2,10,8,0,0,0,1,1,0,0,1,1,1,0,-1
81,7x10,1,1,5,5,12,0,48,48,0,6,6,0,8,8,0,5,5,0,0,1,1,5,12,7,48,48,0,5,12,7,2,2,0,1,8,7,0,0,0,1,0,-1,0,1,1,1,1,0
82,6x9,8,8,5,9,14,0,36,30,-6,6,5,-1,6,6,0,7,6,-1,0,0,0,9,14,5,36,30,-6,9,14,5,3,1,-2,2,8,6,1,1,0,1,0,-1,0,0,0,1,0,-1
83,10x6,1,1,7,9,12,0,50,25,-25,10,5,-5,5,5,0,7,3,-4,2,0,-2,9,12,3,50,25,-25,9,12,3,3,1,-2,3,9,6,1,0,-1,1,0,-1,0,1,1,1,0,-1
84,8x7,8,8,7,6,8,0,56,9,-47,8,3,-5,7,3,-4,6,1,-5,2,0,-2,6,8,2,56,9,-47,6,8,2,4,0,-4,1,8,7,1,0,-1,1,0,-1,1,0,-1,1,0,-1
85,11x7,1,1,7,8,13,0,63,45,-18,9,9,0,7,5,-2,7,4,-3,1,0,-1,8,13,5,63,45,-18,8,13,5,3,1,-2,2,9,7,0,0,0,1,0,-1,1,0,-1,1,1,0
86,8x11,6,6,1,13,14,0,88,48,-40,8,6,-2,11,8,-3,10,5,-5,1,0,-1,13,14,1,88,48,-40,13,14,1,4,1,-3,2,8,6,1,1,0,1,0,-1,1,0,-1,1,0,-1
87,8x5,9,9,5,4,10,0,20,25,5,4,5,1,5,5,0,4,2,-2,0,0,0,4,10,6,20,25,5,4,10,6,2,2,0,1,9,8,0,0,0,1,1,0,1,1,0,0,0,0
88,7x9,6,6,3,4,12,0,40,63,23,5,7,2,8,9,1,4,5,1,0,2,2,4,12,8,40,63,23,4,12,8,2,4,2,1,8,7,1,1,0,0,1,1,1,1,0,0,1,1
89,11x11,6,1,6,17,17,1,100,90,-10,10,9,-1,10,10,0,6,15,9,1,0,-1,17,17,0,100,90,-10,17,17,0,2,2,0,11,3,-8,1,0,-1,1,0,-1,0,1,1,0,1,1
90,8x6,8,8,9,6,15,0,42,48,6,7,8,1,6,6,0,5,5,0,1,2,1,6,15,9,42,48,6,6,15,9,3,4,1,2,11,9,0,1,1,1,1,0,1,1,0,1,1,0
91,12x10,6,6,8,11,17,0,110,110,0,11,11,0,10,10,0,10,8,-2,0,0,0,11,17,6,110,110,0,11,17,6,3,3,0,2,8,6,0,0,0,1,1,0,1,1,0,1,1,0
92,12x6,5,5,9,11,13,0,72,55,-17,12,11,-1,6,5,-1,9,5,-4,0,0,0,11,13,2,72,55,-17,11,13,2,4,2,-2,2,8,6,1,1,0,1,1,0,1,0,-1,1,0,-1
93,9x5,5,5,3,6,12,0,40,40,0,8,8,0,5,5,0,5,3,-2,1,1,0,6,12,6,40,40,0,6,12,6,3,3,0,2,10,8,1,0,-1,1,1,0,1,1,0,0,1,1
94,8x8,8,8,4,10,17,0,64,42,-22,8,7,-1,8,6,-2,9,6,-3,1,0,-1,10,17,7,64,42,-22,10,17,7,4,2,-2,2,12,10,1,0,-1,1,1,0,1,0,-1,1,1,0
95,10x10,8,8,4,13,19,0,72,100,28,8,10,2,9,10,1,9,6,-3,0,0,0,13,19,6,72,100,28,13,19,6,1,4,3,4,14,10,0,1,1,1,1,0,0,1,1,0,1,1
96,7x7,6,6,3,7,13,0,49,42,-7,7,7,0,7,6,-1,7,6,-1,0,1,1,7,13,6,49,42,-7,7,13,6,4,3,-1,1,8,7,1,1,0,1,0,-1,1,1,0,1,1,0
97,12x8,8,8,3,4,18,0,35,88,53,5,11,6,7,8,1,3,7,4,0,0,0,4,18,14,35,88,53,4,18,14,1,3,2,2,9,7,0,1,1,1,1,0,0,1,1,0,0,0
98,11x11,3,3,1,5,23,0,50,121,71,10,11,1,5,11,6,5,15,10,0,2,2,5,23,18,50,121,71,5,23,18,1,4,3,1,8,7,1,1,0,0,1,1,0,1,1,0,1,1
99,9x7,1,1,8,6,12,0,27,35,8,9,7,-2,3,5,2,6,5,-1,0,0,0,6,12,6,27,35,8,6,12,6,2,0,-2,1,8,7,1,0,-1,0,0,0,0,0,0,1,0,-1
100,8x12,2,2,7,11,20,0,56,84,28,8,7,-1,7,12,5,7,8,1,1,1,0,11,20,9,56,84,28,11,20,9,3,3,0,3,10,7,1,0,-1,1,1,0,0,1,1,1,1,0
101,5x7,5,5,7,4,10,0,30,20,-10,5,4,-1,6,5,-1,4,2,-2,0,0,0,4,10,6,30,20,-10,4,10,6,3,1,-2,1,9,8,1,0,-1,0,0,0,1,0,-1,1,1,0
102,12x11,4,4,2,11,22,0,121,108,-13,11,12,1,11,9,-2,10,11,1,0,0,0,11,22,11,121,108,-13,11,22,11,3,2,-1,2,8,6,1,1,0,1,0,-1,1,0,-1,0,1,1
103,5x11,7,7,4,5,16,0,25,45,20,5,5,0,5,9,4,4,5,1,0,1,1,5,16,11,25,45,20,5,16,11,2,3,1,2,9,7,1,1,0,0,0,0,0,1,1,1,1,0
104,5x5,3,3,6,3,10,0,6,16,10,2,4,2,3,4,1,2,1,-1,0,0,0,3,10,7,6,16,10,3,10,7,1,2,1,2,10,8,0,1,1,1,1,0,0,0,0,0,0,0
105,5x10,8,8,4,3,13,0,20,35,15,4,5,1,5,7,2,3,5,2,0,0,0,3,13,10,20,35,15,3,13,10,1,2,1,1,9,8,0,1,1,0,0,0,0,0,0,1,1,0
106,6x8,9,9,5,3,10,0,12,25,13,2,5,3,6,5,-1,3,2,-1,0,0,0,3,10,7,12,25,13,3,10,7,1,1,0,1,9,8,0,0,0,1,0,-1,0,0,0,0,1,1
107,10x6,3,3,2,5,11,0,30,40,10,10,8,-2,3,5,2,5,4,-1,0,0,0,5,11,6,30,40,10,5,11,6,3,2,-1,1,8,7,1,1,0,0,1,1,1,0,-1,1,0,-1
108,8x6,7,7,4,5,14,0,35,40,5,7,8,1,5,5,0,5,5,0,1,0,-1,5,14,9,35,40,5,5,14,9,2,3,1,1,10,9,1,1,0,1,1,0,0,0,0,0,1,1
109,12x7,5,5,9,8,21,0,84,77,-7,12,11,-1,7,7,0,7,5,-2,2,1,-1,8,21,13,84,77,-7,8,21,13,4,3,-1,2,13,11,1,0,-1,1,1,0,1,1,0,1,1,0
110,9x8,1,1,7,9,16,0,56,72,16,8,9,1,7,8,1,8,6,-2,0,1,1,9,16,7,56,72,16,9,16,7,2,4,2,2,10,8,0,1,1,0,1,1,1,1,0,1,1,0
111,10x11,4,4,3,12,14,0,90,81,-9,9,9,0,10,9,-1,10,6,-4,1,0,-1,12,14,2,90,81,-9,12,14,2,2,1,-1,2,8,6,1,1,0,1,0,-1,0,0,0,0,0,0
112,6x12,3,3,8,6,11,0,54,24,-30,6,6,0,9,4,-5,5,2,-3,0,0,0,6,11,5,54,24,-30,6,11,5,2,2,0,2,10,8,1,1,0,0,0,0,0,0,0,1,1,0
113,10x5,6,6,4,6,13,0,50,40,-10,10,10,0,5,4,-1,6,5,-1,1,1,0,6,13,7,50,40,-10,6,13,7,4,3,-1,1,9,8,1,1,0,1,0,-1,1,1,0,1,1,0
114,10x12,9,9,7,12,19,0,120,100,-20,10,10,0,12,10,-2,11,7,-4,0,1,1,12,19,7,120,100,-20,12,19,7,4,3,-1,2,9,7,1,1,0,1,1,0,1,0,-1,1,1,0
115,7x5,3,3,5,2,10,0,6,16,10,3,4,1,2,4,2,2,2,0,0,0,0,2,10,8,6,16,10,2,10,8,1,1,0,1,9,8,0,0,0,0,0,0,0,1,1,1,0,-1
116,5x7,9,9,8,4,10,0,12,24,12,3,4,1,4,6,2,3,3,0,0,1,1,4,10,6,12,24,12,4,10,6,1,2,1,2,8,6,0,1,1,0,1,1,0,0,0,1,0,-1
117,10x9,5,5,1,6,14,0,64,56,-8,8,8,0,8,7,-1,6,6,0,0,0,0,6,14,8,64,56,-8,6,14,8,2,2,0,1,8,7,0,0,0,1,0,-1,0,1,1,1,1,0
118,10x10,6,6,3,17,19,0,90,90,0,9,10,1,10,9,-1,12,9,-3,0,1,1,17,19,2,90,90,0,17,19,2,3,3,0,3,10,7,0,1,1,1,1,0,1,0,-1,1,1,0
119,5x8,8,8,4,5,15,0,24,35,11,4,5,1,6,7,1,4,5,1,0,1,1,5,15,10,24,35,11,5,15,10,1,3,2,2,8,6,0,1,1,0,0,0,0,1,1,1,1,0
120,10x10,6,6,5,16,20,0,90,90,0,10,10,0,9,9,0,11,9,-2,0,0,0,16,20,4,90,90,0,16,20,4,3,3,0,3,11,8,1,1,0,0,0,0,1,1,0,1,1,0
121,8x11,7,7,8,8,21,0,80,88,8,8,8,0,10,11,1,8,11,3,1,0,-1,8,21,13,80,88,8,8,21,13,3,4,1,1,10,9,1,1,0,1,1,0,0,1,1,1,1,0
122,6x7,2,2,9,6,12,0,21,25,4,3,5,2,7,5,-2,5,3,-2,2,0,-2,6,12,6,21,25,4,6,12,6,3,1,-2,2,10,8,1,0,-1,1,0,-1,1,0,-1,0,1,1
123,5x8,6,6,8,6,9,0,35,24,-11,5,4,-1,7,6,-1,6,2,-4,1,0,-1,6,9,3,35,24,-11,6,9,3,3,1,-2,1,8,7,1,0,-1,1,0,-1,0,0,0,1,1,0
124,10x11,4,4,8,14,21,0,88,110,22,8,10,2,11,11,0,9,10,1,0,0,0,14,21,7,88,110,22,14,21,7,3,4,1,3,8,5,0,1,1,1,1,0,1,1,0,1,1,0
