idx,split,object_count,selected_rank,selected_bbox,selected_shape,max_count2,count2_hist,all_objects_dense_rectangles,input_shape,output_shape
31,arc-gen,3,0,"[1, 5, 5, 10]",4x5,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 5)"
32,arc-gen,3,2,"[6, 0, 9, 5]",3x5,4,"{""2"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(3, 5)"
33,arc-gen,3,1,"[1, 0, 5, 3]",4x3,3,"{""2"": 1, ""3"": 1, ""1"": 1}",1,"(10, 10)","(4, 3)"
34,arc-gen,3,1,"[4, 6, 8, 10]",4x4,3,"{""1"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(4, 4)"
35,arc-gen,3,1,"[0, 5, 5, 9]",5x4,4,"{""1"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(5, 4)"
36,arc-gen,3,0,"[1, 7, 6, 10]",5x3,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(5, 3)"
37,arc-gen,3,2,"[5, 3, 8, 7]",3x4,4,"{""1"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
38,arc-gen,3,2,"[5, 6, 9, 10]",4x4,4,"{""1"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(4, 4)"
39,arc-gen,3,2,"[7, 3, 10, 9]",3x6,4,"{""2"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 6)"
40,arc-gen,3,2,"[6, 6, 10, 9]",4x3,4,"{""1"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(4, 3)"
41,arc-gen,3,2,"[6, 5, 10, 9]",4x4,4,"{""2"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(4, 4)"
42,arc-gen,3,2,"[6, 0, 9, 5]",3x5,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(3, 5)"
43,arc-gen,3,0,"[0, 0, 4, 4]",4x4,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 4)"
44,arc-gen,3,0,"[0, 5, 4, 8]",4x3,4,"{""4"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(4, 3)"
45,arc-gen,2,0,"[0, 2, 3, 8]",3x6,3,"{""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 6)"
46,arc-gen,2,1,"[2, 0, 6, 3]",4x3,4,"{""2"": 1, ""4"": 1}",1,"(10, 10)","(4, 3)"
47,arc-gen,2,0,"[3, 0, 7, 4]",4x4,2,"{""2"": 1, ""1"": 1}",1,"(10, 10)","(4, 4)"
48,arc-gen,3,1,"[6, 1, 9, 6]",3x5,4,"{""3"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(3, 5)"
49,arc-gen,3,2,"[6, 0, 10, 5]",4x5,4,"{""1"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(4, 5)"
50,arc-gen,2,0,"[2, 3, 6, 6]",4x3,4,"{""4"": 1, ""1"": 1}",1,"(10, 10)","(4, 3)"
51,arc-gen,3,0,"[1, 5, 4, 9]",3x4,4,"{""4"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 4)"
52,arc-gen,3,2,"[6, 6, 9, 10]",3x4,4,"{""3"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
53,arc-gen,3,1,"[6, 0, 9, 6]",3x6,3,"{""2"": 1, ""3"": 1, ""1"": 1}",1,"(10, 10)","(3, 6)"
54,arc-gen,3,0,"[0, 0, 5, 4]",5x4,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(5, 4)"
55,arc-gen,3,2,"[7, 0, 10, 3]",3x3,4,"{""1"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
56,arc-gen,3,1,"[2, 4, 5, 7]",3x3,4,"{""2"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
57,arc-gen,2,0,"[0, 4, 3, 9]",3x5,3,"{""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 5)"
58,arc-gen,3,2,"[7, 0, 10, 5]",3x5,4,"{""2"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(3, 5)"
59,arc-gen,2,0,"[1, 7, 7, 10]",6x3,4,"{""4"": 1, ""2"": 1}",1,"(10, 10)","(6, 3)"
60,arc-gen,3,0,"[0, 6, 3, 10]",3x4,3,"{""3"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 4)"
61,arc-gen,2,0,"[0, 0, 5, 5]",5x5,4,"{""4"": 1, ""1"": 1}",1,"(10, 10)","(5, 5)"
62,arc-gen,2,0,"[1, 5, 5, 10]",4x5,4,"{""4"": 1, ""2"": 1}",1,"(10, 10)","(4, 5)"
63,arc-gen,3,2,"[6, 7, 10, 10]",4x3,4,"{""2"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(4, 3)"
64,arc-gen,2,1,"[5, 6, 10, 10]",5x4,2,"{""1"": 1, ""2"": 1}",1,"(10, 10)","(5, 4)"
65,arc-gen,3,1,"[3, 0, 9, 3]",6x3,3,"{""1"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(6, 3)"
66,arc-gen,3,0,"[1, 5, 6, 9]",5x4,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(5, 4)"
67,arc-gen,3,2,"[5, 4, 9, 10]",4x6,4,"{""1"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(4, 6)"
68,arc-gen,3,0,"[0, 0, 5, 3]",5x3,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(5, 3)"
69,arc-gen,3,2,"[5, 0, 8, 6]",3x6,4,"{""2"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 6)"
70,arc-gen,3,0,"[0, 1, 4, 4]",4x3,4,"{""4"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(4, 3)"
71,arc-gen,3,2,"[6, 6, 10, 10]",4x4,4,"{""3"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(4, 4)"
72,arc-gen,3,2,"[4, 0, 8, 4]",4x4,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 4)"
73,arc-gen,2,1,"[4, 5, 10, 10]",6x5,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(6, 5)"
74,arc-gen,3,0,"[0, 3, 3, 9]",3x6,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 6)"
75,arc-gen,2,0,"[1, 2, 5, 8]",4x6,3,"{""3"": 1, ""1"": 1}",1,"(10, 10)","(4, 6)"
76,arc-gen,2,1,"[3, 6, 9, 9]",6x3,3,"{""1"": 1, ""3"": 1}",1,"(10, 10)","(6, 3)"
77,arc-gen,3,1,"[2, 0, 7, 3]",5x3,4,"{""3"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(5, 3)"
78,arc-gen,3,2,"[6, 1, 9, 4]",3x3,4,"{""2"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
79,arc-gen,3,2,"[5, 6, 9, 10]",4x4,4,"{""2"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(4, 4)"
80,arc-gen,3,1,"[0, 4, 3, 10]",3x6,4,"{""3"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(3, 6)"
81,arc-gen,3,1,"[5, 1, 8, 4]",3x3,4,"{""3"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(3, 3)"
82,arc-gen,2,0,"[1, 3, 4, 9]",3x6,4,"{""4"": 1, ""3"": 1}",1,"(10, 10)","(3, 6)"
83,arc-gen,3,0,"[1, 0, 6, 3]",5x3,4,"{""4"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(5, 3)"
84,arc-gen,3,0,"[0, 0, 5, 4]",5x4,4,"{""4"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(5, 4)"
85,arc-gen,3,2,"[5, 6, 8, 10]",3x4,4,"{""1"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
86,arc-gen,2,1,"[3, 5, 7, 8]",4x3,4,"{""3"": 1, ""4"": 1}",1,"(10, 10)","(4, 3)"
87,arc-gen,3,1,"[1, 1, 6, 4]",5x3,4,"{""1"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(5, 3)"
88,arc-gen,3,0,"[0, 0, 3, 3]",3x3,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 3)"
89,arc-gen,2,1,"[5, 2, 9, 8]",4x6,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 6)"
90,arc-gen,3,0,"[0, 7, 3, 10]",3x3,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 3)"
91,arc-gen,2,0,"[0, 3, 5, 9]",5x6,2,"{""2"": 1, ""1"": 1}",1,"(10, 10)","(5, 6)"
92,arc-gen,2,0,"[1, 1, 4, 4]",3x3,2,"{""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 3)"
93,arc-gen,3,2,"[5, 6, 10, 10]",5x4,4,"{""1"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(5, 4)"
94,arc-gen,3,0,"[1, 0, 6, 3]",5x3,4,"{""4"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(5, 3)"
95,arc-gen,3,2,"[7, 7, 10, 10]",3x3,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
96,arc-gen,3,0,"[0, 6, 5, 10]",5x4,4,"{""4"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(5, 4)"
97,arc-gen,3,2,"[6, 3, 9, 6]",3x3,4,"{""3"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
98,arc-gen,3,0,"[0, 3, 3, 9]",3x6,4,"{""4"": 1, ""3"": 1, ""1"": 1}",1,"(10, 10)","(3, 6)"
99,arc-gen,3,1,"[1, 0, 5, 4]",4x4,4,"{""1"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(4, 4)"
100,arc-gen,3,2,"[7, 5, 10, 9]",3x4,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(3, 4)"
101,arc-gen,3,0,"[0, 6, 3, 9]",3x3,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
102,arc-gen,3,0,"[0, 2, 5, 6]",5x4,4,"{""4"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(5, 4)"
103,arc-gen,2,0,"[0, 1, 5, 7]",5x6,4,"{""4"": 1, ""1"": 1}",1,"(10, 10)","(5, 6)"
104,arc-gen,3,1,"[2, 7, 8, 10]",6x3,4,"{""1"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(6, 3)"
105,arc-gen,3,0,"[0, 1, 4, 5]",4x4,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(4, 4)"
106,arc-gen,2,0,"[0, 7, 6, 10]",6x3,2,"{""2"": 1, ""1"": 1}",1,"(10, 10)","(6, 3)"
107,arc-gen,2,0,"[2, 3, 6, 6]",4x3,3,"{""3"": 1, ""1"": 1}",1,"(10, 10)","(4, 3)"
108,arc-gen,3,0,"[0, 0, 5, 5]",5x5,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(5, 5)"
109,arc-gen,3,1,"[4, 7, 9, 10]",5x3,4,"{""2"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(5, 3)"
110,arc-gen,3,2,"[6, 0, 10, 3]",4x3,4,"{""3"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(4, 3)"
111,arc-gen,3,0,"[1, 4, 4, 10]",3x6,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(3, 6)"
112,arc-gen,2,0,"[0, 3, 3, 6]",3x3,4,"{""4"": 1, ""1"": 1}",1,"(10, 10)","(3, 3)"
113,arc-gen,3,0,"[0, 6, 3, 9]",3x3,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
114,arc-gen,2,1,"[6, 3, 10, 9]",4x6,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(4, 6)"
115,arc-gen,3,0,"[0, 6, 3, 9]",3x3,4,"{""4"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
116,arc-gen,3,1,"[7, 0, 10, 3]",3x3,4,"{""1"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
117,arc-gen,3,1,"[3, 0, 6, 5]",3x5,4,"{""1"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(3, 5)"
118,arc-gen,3,2,"[6, 7, 9, 10]",3x3,4,"{""2"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
119,arc-gen,3,2,"[6, 3, 10, 9]",4x6,4,"{""3"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(4, 6)"
120,arc-gen,3,1,"[2, 5, 7, 9]",5x4,4,"{""3"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(5, 4)"
121,arc-gen,3,2,"[6, 5, 10, 9]",4x4,3,"{""1"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 4)"
122,arc-gen,3,1,"[1, 5, 4, 10]",3x5,4,"{""3"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(3, 5)"
123,arc-gen,3,0,"[0, 0, 5, 4]",5x4,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(5, 4)"
124,arc-gen,3,0,"[1, 5, 4, 8]",3x3,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
125,arc-gen,3,1,"[4, 0, 7, 4]",3x4,4,"{""1"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(3, 4)"
126,arc-gen,3,2,"[7, 6, 10, 9]",3x3,4,"{""1"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
127,arc-gen,3,0,"[1, 0, 4, 4]",3x4,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 4)"
128,arc-gen,2,0,"[5, 0, 10, 4]",5x4,3,"{""3"": 1, ""1"": 1}",1,"(10, 10)","(5, 4)"
129,arc-gen,3,2,"[5, 6, 8, 10]",3x4,4,"{""1"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
130,arc-gen,3,1,"[5, 2, 10, 5]",5x3,4,"{""2"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(5, 3)"
131,arc-gen,3,2,"[7, 4, 10, 7]",3x3,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
132,arc-gen,2,1,"[5, 7, 9, 10]",4x3,3,"{""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
133,arc-gen,3,1,"[1, 0, 5, 3]",4x3,4,"{""2"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(4, 3)"
134,arc-gen,2,0,"[1, 7, 5, 10]",4x3,4,"{""4"": 1, ""2"": 1}",1,"(10, 10)","(4, 3)"
135,arc-gen,3,0,"[0, 1, 4, 4]",4x3,4,"{""4"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
136,arc-gen,3,0,"[0, 1, 3, 7]",3x6,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 6)"
137,arc-gen,3,0,"[1, 0, 7, 4]",6x4,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(6, 4)"
138,arc-gen,3,2,"[5, 0, 9, 6]",4x6,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 6)"
139,arc-gen,3,0,"[0, 3, 3, 7]",3x4,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 4)"
140,arc-gen,2,1,"[6, 2, 10, 5]",4x3,3,"{""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
141,arc-gen,3,0,"[0, 1, 3, 5]",3x4,4,"{""4"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 4)"
142,arc-gen,3,2,"[6, 6, 9, 9]",3x3,3,"{""1"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
143,arc-gen,3,0,"[0, 6, 4, 10]",4x4,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(4, 4)"
144,arc-gen,3,0,"[0, 4, 4, 8]",4x4,3,"{""3"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(4, 4)"
145,arc-gen,3,1,"[4, 0, 10, 6]",6x6,4,"{""1"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(6, 6)"
146,arc-gen,2,1,"[7, 0, 10, 3]",3x3,2,"{""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
147,arc-gen,2,1,"[4, 6, 9, 9]",5x3,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(5, 3)"
148,arc-gen,3,0,"[0, 2, 4, 5]",4x3,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
149,arc-gen,3,0,"[0, 1, 6, 5]",6x4,4,"{""4"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(6, 4)"
150,arc-gen,3,1,"[5, 1, 9, 4]",4x3,4,"{""2"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(4, 3)"
151,arc-gen,3,0,"[1, 0, 6, 4]",5x4,4,"{""4"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(5, 4)"
152,arc-gen,3,0,"[1, 1, 6, 4]",5x3,4,"{""4"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(5, 3)"
153,arc-gen,2,1,"[7, 2, 10, 5]",3x3,3,"{""1"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
154,arc-gen,3,1,"[5, 0, 9, 5]",4x5,3,"{""1"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(4, 5)"
155,arc-gen,3,2,"[7, 6, 10, 9]",3x3,4,"{""3"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
156,arc-gen,2,0,"[1, 1, 5, 6]",4x5,2,"{""2"": 1, ""1"": 1}",1,"(10, 10)","(4, 5)"
157,arc-gen,2,1,"[7, 0, 10, 4]",3x4,4,"{""3"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
158,arc-gen,3,1,"[4, 5, 9, 8]",5x3,4,"{""1"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(5, 3)"
159,arc-gen,3,0,"[0, 2, 3, 7]",3x5,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(3, 5)"
160,arc-gen,3,1,"[3, 7, 6, 10]",3x3,4,"{""3"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
161,arc-gen,3,1,"[5, 1, 10, 5]",5x4,4,"{""3"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(5, 4)"
162,arc-gen,3,2,"[5, 6, 10, 9]",5x3,4,"{""3"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(5, 3)"
163,arc-gen,2,1,"[4, 6, 10, 10]",6x4,4,"{""2"": 1, ""4"": 1}",1,"(10, 10)","(6, 4)"
164,arc-gen,3,1,"[4, 1, 7, 5]",3x4,4,"{""2"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(3, 4)"
165,arc-gen,2,0,"[0, 2, 4, 5]",4x3,4,"{""4"": 1, ""1"": 1}",1,"(10, 10)","(4, 3)"
166,arc-gen,2,1,"[6, 3, 9, 8]",3x5,2,"{""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 5)"
167,arc-gen,3,1,"[3, 0, 9, 3]",6x3,3,"{""2"": 1, ""3"": 1, ""1"": 1}",1,"(10, 10)","(6, 3)"
168,arc-gen,2,0,"[1, 2, 6, 5]",5x3,3,"{""3"": 1, ""2"": 1}",1,"(10, 10)","(5, 3)"
169,arc-gen,3,1,"[5, 7, 10, 10]",5x3,4,"{""2"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(5, 3)"
170,arc-gen,3,2,"[6, 2, 10, 5]",4x3,4,"{""2"": 1, ""3"": 1, ""4"": 1}",1,"(10, 10)","(4, 3)"
171,arc-gen,3,2,"[6, 6, 10, 10]",4x4,3,"{""2"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 4)"
172,arc-gen,2,0,"[0, 1, 4, 7]",4x6,3,"{""3"": 1, ""2"": 1}",1,"(10, 10)","(4, 6)"
173,arc-gen,3,1,"[2, 4, 5, 7]",3x3,4,"{""1"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
174,arc-gen,3,1,"[5, 1, 10, 4]",5x3,4,"{""1"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(5, 3)"
175,arc-gen,2,1,"[6, 5, 9, 10]",3x5,4,"{""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 5)"
176,arc-gen,2,1,"[5, 6, 10, 9]",5x3,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(5, 3)"
177,arc-gen,2,1,"[6, 2, 10, 5]",4x3,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
178,arc-gen,2,0,"[0, 0, 3, 3]",3x3,3,"{""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
179,arc-gen,3,1,"[4, 7, 10, 10]",6x3,4,"{""2"": 1, ""4"": 1, ""1"": 1}",1,"(10, 10)","(6, 3)"
180,arc-gen,3,1,"[4, 7, 9, 10]",5x3,4,"{""2"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(5, 3)"
181,arc-gen,2,1,"[4, 2, 9, 5]",5x3,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(5, 3)"
182,arc-gen,3,0,"[0, 0, 5, 3]",5x3,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(5, 3)"
183,arc-gen,2,1,"[0, 6, 3, 10]",3x4,4,"{""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
184,arc-gen,2,0,"[1, 1, 4, 7]",3x6,3,"{""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 6)"
185,arc-gen,3,1,"[5, 0, 9, 4]",4x4,4,"{""3"": 1, ""4"": 1, ""2"": 1}",1,"(10, 10)","(4, 4)"
186,arc-gen,3,0,"[0, 0, 4, 3]",4x3,4,"{""4"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(4, 3)"
187,arc-gen,2,0,"[1, 1, 4, 4]",3x3,3,"{""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
