idx,output_shape,output_color_count,component_count,shape_match_count,exactish_count,max_color,largest_color,largest_size,same_shape_input_crop_exact_count,first_exactish
13,3x3,2,10,4,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 6, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
14,3x3,2,12,2,0,8,8,8,1,{}
15,3x3,2,12,3,1,8,8,9,1,"{'component_index': 7, 'color': 1, 'size': 6, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
16,3x3,2,8,4,1,8,8,9,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
17,3x3,2,11,3,0,8,8,9,1,{}
18,3x3,2,8,3,1,8,8,9,1,"{'component_index': 5, 'color': 1, 'size': 7, 'r0': 4, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
19,3x3,2,11,2,1,1,8,9,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
20,3x3,2,15,0,0,1,8,6,1,{}
21,3x3,2,11,2,1,8,8,9,1,"{'component_index': 2, 'color': 1, 'size': 7, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
22,3x3,2,12,3,1,8,8,8,1,"{'component_index': 8, 'color': 1, 'size': 5, 'r0': 4, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
23,3x3,2,15,3,1,1,1,6,1,"{'component_index': 7, 'color': 1, 'size': 6, 'r0': 4, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
24,3x3,2,14,2,0,8,8,9,1,{}
25,3x3,2,15,2,0,8,8,9,1,{}
26,3x3,2,13,3,1,1,1,8,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
27,3x3,2,9,3,1,1,1,8,1,"{'component_index': 5, 'color': 1, 'size': 8, 'r0': 4, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
28,3x3,2,10,3,1,1,1,8,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
29,3x3,2,14,2,1,8,8,9,1,"{'component_index': 9, 'color': 1, 'size': 8, 'r0': 5, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
30,3x3,2,13,3,1,8,1,7,1,"{'component_index': 8, 'color': 1, 'size': 7, 'r0': 4, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
31,3x3,2,12,3,1,1,1,8,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
32,3x3,2,13,1,1,1,1,8,1,"{'component_index': 9, 'color': 1, 'size': 8, 'r0': 6, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
33,3x3,2,11,3,1,8,8,9,1,"{'component_index': 9, 'color': 1, 'size': 8, 'r0': 5, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
34,3x3,2,14,3,0,8,8,8,1,{}
35,3x3,2,11,3,0,8,8,8,1,{}
36,3x3,2,15,2,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 1, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
37,3x3,2,18,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
38,3x3,2,8,3,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 7, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
39,3x3,2,13,3,1,1,1,8,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
40,3x3,2,13,2,0,8,8,9,1,{}
41,3x3,2,11,2,0,8,8,9,1,{}
42,3x3,2,14,2,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
43,3x3,2,15,3,1,1,1,8,1,"{'component_index': 14, 'color': 1, 'size': 8, 'r0': 6, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
44,3x3,2,13,3,1,8,8,8,1,"{'component_index': 7, 'color': 1, 'size': 5, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
45,3x3,2,10,2,1,8,8,8,1,"{'component_index': 4, 'color': 1, 'size': 7, 'r0': 6, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
46,3x3,2,10,3,1,8,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 1, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
47,3x3,2,10,3,0,8,8,9,1,{}
48,3x3,2,10,4,1,8,8,9,1,"{'component_index': 6, 'color': 1, 'size': 7, 'r0': 4, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
49,3x3,2,12,2,1,1,1,7,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
50,3x3,2,8,4,1,8,8,9,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 5, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
51,3x3,2,12,3,0,8,8,9,1,{}
52,3x3,2,13,2,1,1,1,7,1,"{'component_index': 7, 'color': 1, 'size': 7, 'r0': 4, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
53,3x3,2,11,3,1,8,8,9,1,"{'component_index': 4, 'color': 1, 'size': 7, 'r0': 4, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
54,3x3,2,16,2,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
55,3x3,2,15,2,1,1,1,5,1,"{'component_index': 2, 'color': 1, 'size': 5, 'r0': 1, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
56,3x3,2,17,2,0,8,8,8,1,{}
57,3x3,2,11,1,0,8,8,9,1,{}
58,3x3,2,9,4,1,1,8,9,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 2, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
59,3x3,2,14,3,1,8,8,8,1,"{'component_index': 5, 'color': 1, 'size': 7, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
60,3x3,2,13,2,1,8,8,9,1,"{'component_index': 7, 'color': 1, 'size': 6, 'r0': 6, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
61,3x3,2,16,2,1,1,1,7,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 1, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
62,3x3,2,8,4,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
63,3x3,2,8,4,1,8,8,9,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
64,3x3,2,14,3,1,1,1,7,1,"{'component_index': 11, 'color': 1, 'size': 7, 'r0': 5, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
65,3x3,2,11,3,1,8,1,8,1,"{'component_index': 8, 'color': 1, 'size': 8, 'r0': 5, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
66,3x3,2,11,3,1,1,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 5, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
67,3x3,2,15,2,0,8,8,8,1,{}
68,3x3,2,13,3,1,1,1,8,1,"{'component_index': 10, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
69,3x3,2,13,4,1,1,8,8,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
70,3x3,2,16,2,1,1,1,8,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 0, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
71,3x3,2,13,3,1,8,8,9,1,"{'component_index': 9, 'color': 1, 'size': 6, 'r0': 6, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
72,3x3,2,9,3,1,8,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 6, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
73,3x3,2,12,3,1,8,8,9,1,"{'component_index': 9, 'color': 1, 'size': 6, 'r0': 6, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
74,3x3,2,10,3,1,8,8,9,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 0, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
75,3x3,2,11,3,1,8,1,8,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 2, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
76,3x3,2,12,2,0,8,8,9,1,{}
77,3x3,2,10,3,0,8,8,9,1,{}
78,3x3,2,9,4,1,8,8,9,1,"{'component_index': 6, 'color': 1, 'size': 7, 'r0': 4, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
79,3x3,2,14,3,1,1,1,7,1,"{'component_index': 10, 'color': 1, 'size': 7, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
80,3x3,2,12,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
81,3x3,2,8,3,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 7, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
82,3x3,2,9,3,1,8,8,8,1,"{'component_index': 1, 'color': 8, 'size': 5, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
83,3x3,2,8,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 0, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
84,3x3,2,12,3,1,8,1,7,1,"{'component_index': 7, 'color': 1, 'size': 7, 'r0': 6, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
85,3x3,2,10,3,1,1,1,7,1,"{'component_index': 7, 'color': 1, 'size': 7, 'r0': 4, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
86,3x3,2,9,4,1,8,8,9,1,"{'component_index': 3, 'color': 1, 'size': 6, 'r0': 1, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
87,3x3,2,12,2,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 6, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
88,3x3,2,11,4,1,8,8,8,1,"{'component_index': 6, 'color': 1, 'size': 7, 'r0': 5, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
89,3x3,2,13,2,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
90,3x3,2,10,3,1,8,8,8,1,"{'component_index': 0, 'color': 1, 'size': 7, 'r0': 1, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
91,3x3,2,13,3,1,8,1,7,1,"{'component_index': 10, 'color': 1, 'size': 7, 'r0': 6, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
92,3x3,2,11,3,1,8,8,8,1,"{'component_index': 0, 'color': 1, 'size': 7, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
93,3x3,2,12,2,0,8,8,9,1,{}
94,3x3,2,12,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
95,3x3,2,12,2,1,8,1,8,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
96,3x3,2,11,4,1,1,1,8,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 5, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
97,3x3,2,10,4,1,1,1,8,1,"{'component_index': 5, 'color': 1, 'size': 8, 'r0': 6, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
98,3x3,2,12,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 1, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
99,3x3,2,14,2,1,1,1,7,1,"{'component_index': 10, 'color': 1, 'size': 7, 'r0': 6, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
100,3x3,2,10,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 0, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
101,3x3,2,9,4,1,8,8,9,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 5, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
102,3x3,2,11,3,1,1,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 5, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
103,3x3,2,12,2,0,8,8,9,1,{}
104,3x3,2,8,3,1,8,8,9,1,"{'component_index': 4, 'color': 1, 'size': 8, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
105,3x3,2,10,3,0,8,8,9,1,{}
106,3x3,2,14,2,0,8,8,8,1,{}
107,3x3,2,14,3,1,1,1,8,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 2, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
108,3x3,2,13,2,1,8,8,8,1,"{'component_index': 9, 'color': 1, 'size': 7, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
109,3x3,2,11,3,1,1,1,8,1,"{'component_index': 8, 'color': 1, 'size': 8, 'r0': 5, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
110,3x3,2,15,2,0,8,8,9,1,{}
111,3x3,2,13,3,1,1,1,8,1,"{'component_index': 8, 'color': 1, 'size': 8, 'r0': 4, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
112,3x3,2,10,3,1,1,1,8,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
113,3x3,2,11,3,0,8,8,9,1,{}
114,3x3,2,15,2,1,1,1,7,1,"{'component_index': 9, 'color': 1, 'size': 7, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
115,3x3,2,11,3,1,8,8,9,1,"{'component_index': 7, 'color': 1, 'size': 5, 'r0': 6, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
116,3x3,2,13,2,0,8,8,9,1,{}
117,3x3,2,11,3,1,1,1,8,1,"{'component_index': 9, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
118,3x3,2,10,2,1,1,1,8,1,"{'component_index': 5, 'color': 1, 'size': 8, 'r0': 5, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
119,3x3,2,8,4,1,8,8,9,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
120,3x3,2,11,3,1,1,1,8,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 4, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
121,3x3,2,13,3,1,1,1,6,1,"{'component_index': 9, 'color': 1, 'size': 6, 'r0': 6, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
122,3x3,2,9,3,0,8,8,9,1,{}
123,3x3,2,13,2,1,8,8,9,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
124,3x3,2,14,3,1,1,8,8,1,"{'component_index': 8, 'color': 1, 'size': 6, 'r0': 4, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
125,3x3,2,13,2,0,8,8,9,1,{}
126,3x3,2,11,3,1,1,1,8,1,"{'component_index': 3, 'color': 1, 'size': 8, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
127,3x3,2,9,2,1,1,1,8,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
128,3x3,2,13,2,1,8,8,8,1,"{'component_index': 3, 'color': 1, 'size': 5, 'r0': 0, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
129,3x3,2,10,3,1,8,8,9,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 4, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
130,3x3,2,14,2,0,8,8,7,1,{}
131,3x3,2,9,3,1,1,8,9,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
132,3x3,2,12,3,1,8,8,8,1,"{'component_index': 1, 'color': 1, 'size': 7, 'r0': 0, 'c0': 5, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
133,3x3,2,10,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 8, 'r0': 1, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
134,3x3,2,9,3,1,1,1,8,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
135,3x3,2,14,2,1,8,8,9,1,"{'component_index': 4, 'color': 1, 'size': 6, 'r0': 2, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
136,3x3,2,15,2,1,1,1,7,1,"{'component_index': 11, 'color': 1, 'size': 7, 'r0': 6, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
137,3x3,2,10,4,1,1,1,8,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 5, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
138,3x3,2,12,3,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 1, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
139,3x3,2,9,3,1,8,8,9,1,"{'component_index': 1, 'color': 1, 'size': 5, 'r0': 1, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
140,3x3,2,17,2,1,1,1,7,1,"{'component_index': 15, 'color': 1, 'size': 7, 'r0': 6, 'c0': 4, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
141,3x3,2,10,4,1,8,1,8,1,"{'component_index': 7, 'color': 1, 'size': 8, 'r0': 6, 'c0': 1, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
142,3x3,2,8,4,1,1,1,8,1,"{'component_index': 0, 'color': 1, 'size': 8, 'r0': 0, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
143,3x3,2,10,3,1,1,1,8,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
144,3x3,2,12,3,0,8,8,8,1,{}
145,3x3,2,12,2,1,1,1,8,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 5, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
146,3x3,2,13,3,1,8,8,8,1,"{'component_index': 11, 'color': 1, 'size': 6, 'r0': 5, 'c0': 2, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
147,3x3,2,12,3,0,8,8,9,1,{}
148,3x3,2,7,4,1,8,8,9,1,"{'component_index': 2, 'color': 1, 'size': 8, 'r0': 1, 'c0': 0, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
149,3x3,2,11,3,1,8,8,8,1,"{'component_index': 3, 'color': 1, 'size': 6, 'r0': 2, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
150,3x3,2,8,3,1,1,8,9,1,"{'component_index': 6, 'color': 1, 'size': 8, 'r0': 5, 'c0': 6, 'h': 3, 'w': 3, 'crop_exact': True, 'mask_binary': False, 'mask_colorized': False}"
