active_score_cc,active_score_ok,active_score_rr,col_window_count,idx,pair_cc,pair_ok,pair_rr,pair_score,rightmost_score_cc,rightmost_score_ok,rightmost_score_rr,row_window_count,score_active_cc,score_active_ok,score_active_rr,score_cc,score_ok,score_rr,shape
"17,20,23,26",True,"5,8,11,14",6,65,"17,20,23,26",True,"5,8,11,14",16,"17,20,23,26",True,"5,8,11,14",6,"17,20,23,26",True,"5,8,11,14","17,20,23,26",True,"5,8,11,14",29x29
"4,9,14,19",True,"9,14,19,24",2,66,"4,9,14,19",True,"9,14,19,24",14,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"5,8,11,14",True,"5,8,11,14",6,67,"5,8,11,14",True,"5,8,11,14",12,"5,8,11,14",True,"5,8,11,14",6,"5,8,11,14",True,"5,8,11,14","5,8,11,14",True,"5,8,11,14",29x29
"4,9,14,19",True,"9,14,19,24",2,68,"4,9,14,19",True,"9,14,19,24",10,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"11,15,19,23",True,"3,7,11,15",3,69,"11,15,19,23",True,"3,7,11,15",12,"11,15,19,23",True,"3,7,11,15",3,"11,15,19,23",True,"3,7,11,15","11,15,19,23",True,"3,7,11,15",27x27
"8,11,14,17",True,"14,17,20,23",6,70,"8,11,14,17",True,"14,17,20,23",16,"8,11,14,17",True,"14,17,20,23",6,"8,11,14,17",True,"14,17,20,23","8,11,14,17",True,"14,17,20,23",29x29
"3,7,11,15",True,"7,11,15,19",3,71,"3,7,11,15",True,"7,11,15,19",12,"3,7,11,15",True,"7,11,15,19",3,"3,7,11,15",True,"7,11,15,19","3,7,11,15",True,"7,11,15,19",27x27
"9,14,19,24",True,"9,14,19,24",2,72,"9,14,19,24",True,"9,14,19,24",14,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"7,11,15,19",True,"11,15,19,23",3,73,"7,11,15,19",True,"11,15,19,23",14,"7,11,15,19",True,"11,15,19,23",3,"7,11,15,19",True,"11,15,19,23","7,11,15,19",True,"11,15,19,23",27x27
"2,5,8,11",True,"8,11,14,17",6,74,"2,5,8,11",True,"8,11,14,17",14,"2,5,8,11",True,"8,11,14,17",6,"2,5,8,11",True,"8,11,14,17","2,5,8,11",True,"8,11,14,17",29x29
"9,14,19,24",True,"9,14,19,24",2,75,"9,14,19,24",True,"9,14,19,24",16,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"17,20,23,26",True,"2,5,8,11",6,76,"17,20,23,26",True,"2,5,8,11",14,"17,20,23,26",True,"2,5,8,11",6,"17,20,23,26",True,"2,5,8,11","17,20,23,26",True,"2,5,8,11",29x29
"11,14,17,20",True,"14,17,20,23",6,77,"11,14,17,20",True,"14,17,20,23",12,"11,14,17,20",True,"14,17,20,23",6,"11,14,17,20",True,"14,17,20,23","11,14,17,20",True,"14,17,20,23",29x29
"14,17,20,23",True,"17,20,23,26",6,78,"14,17,20,23",True,"17,20,23,26",16,"14,17,20,23",True,"17,20,23,26",6,"14,17,20,23",True,"17,20,23,26","14,17,20,23",True,"17,20,23,26",29x29
"3,7,11,15",True,"11,15,19,23",3,79,"3,7,11,15",True,"11,15,19,23",12,"3,7,11,15",True,"11,15,19,23",3,"3,7,11,15",True,"11,15,19,23","3,7,11,15",True,"11,15,19,23",27x27
"3,7,11,15",True,"7,11,15,19",3,80,"3,7,11,15",True,"7,11,15,19",14,"3,7,11,15",True,"7,11,15,19",3,"3,7,11,15",True,"7,11,15,19","3,7,11,15",True,"7,11,15,19",27x27
"4,9,14,19",True,"9,14,19,24",2,81,"4,9,14,19",True,"9,14,19,24",15,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"11,15,19,23",True,"11,15,19,23",3,82,"11,15,19,23",True,"11,15,19,23",14,"11,15,19,23",True,"11,15,19,23",3,"11,15,19,23",True,"11,15,19,23","11,15,19,23",True,"11,15,19,23",27x27
"8,11,14,17",True,"14,17,20,23",6,83,"8,11,14,17",True,"14,17,20,23",14,"8,11,14,17",True,"14,17,20,23",6,"8,11,14,17",True,"14,17,20,23","8,11,14,17",True,"14,17,20,23",29x29
"5,8,11,14",True,"14,17,20,23",6,84,"5,8,11,14",True,"14,17,20,23",12,"5,8,11,14",True,"14,17,20,23",6,"5,8,11,14",True,"14,17,20,23","5,8,11,14",True,"14,17,20,23",29x29
"11,14,17,20",True,"14,17,20,23",6,85,"11,14,17,20",True,"14,17,20,23",12,"11,14,17,20",True,"14,17,20,23",6,"11,14,17,20",True,"14,17,20,23","11,14,17,20",True,"14,17,20,23",29x29
"11,15,19,23",True,"11,15,19,23",3,86,"11,15,19,23",True,"11,15,19,23",13,"11,15,19,23",True,"11,15,19,23",3,"11,15,19,23",True,"11,15,19,23","11,15,19,23",True,"11,15,19,23",27x27
"5,8,11,14",True,"17,20,23,26",6,87,"5,8,11,14",True,"17,20,23,26",13,"5,8,11,14",True,"17,20,23,26",6,"5,8,11,14",True,"17,20,23,26","5,8,11,14",True,"17,20,23,26",29x29
"7,11,15,19",True,"3,7,11,15",3,88,"7,11,15,19",True,"3,7,11,15",10,"7,11,15,19",True,"3,7,11,15",3,"7,11,15,19",True,"3,7,11,15","7,11,15,19",True,"3,7,11,15",27x27
"7,11,15,19",True,"11,15,19,23",3,89,"7,11,15,19",True,"11,15,19,23",14,"7,11,15,19",True,"11,15,19,23",3,"7,11,15,19",True,"11,15,19,23","7,11,15,19",True,"11,15,19,23",27x27
"11,14,17,20",True,"5,8,11,14",6,90,"11,14,17,20",True,"5,8,11,14",12,"11,14,17,20",True,"5,8,11,14",6,"11,14,17,20",True,"5,8,11,14","11,14,17,20",True,"5,8,11,14",29x29
"7,11,15,19",True,"7,11,15,19",3,91,"7,11,15,19",True,"7,11,15,19",12,"7,11,15,19",True,"7,11,15,19",3,"7,11,15,19",True,"7,11,15,19","7,11,15,19",True,"7,11,15,19",27x27
"8,11,14,17",True,"11,14,17,20",6,92,"8,11,14,17",True,"11,14,17,20",15,"8,11,14,17",True,"11,14,17,20",6,"8,11,14,17",True,"11,14,17,20","8,11,14,17",True,"11,14,17,20",29x29
"8,11,14,17",True,"8,11,14,17",6,93,"8,11,14,17",True,"8,11,14,17",12,"8,11,14,17",True,"8,11,14,17",6,"8,11,14,17",True,"8,11,14,17","8,11,14,17",True,"8,11,14,17",29x29
"17,20,23,26",True,"5,8,11,14",6,94,"17,20,23,26",True,"5,8,11,14",12,"17,20,23,26",True,"5,8,11,14",6,"17,20,23,26",True,"5,8,11,14","17,20,23,26",True,"5,8,11,14",29x29
"7,11,15,19",True,"11,15,19,23",3,95,"7,11,15,19",True,"11,15,19,23",10,"7,11,15,19",True,"11,15,19,23",3,"7,11,15,19",True,"11,15,19,23","7,11,15,19",True,"11,15,19,23",27x27
"4,9,14,19",True,"4,9,14,19",2,96,"4,9,14,19",True,"4,9,14,19",10,"4,9,14,19",True,"4,9,14,19",2,"4,9,14,19",True,"4,9,14,19","4,9,14,19",True,"4,9,14,19",29x29
"11,14,17,20",True,"11,14,17,20",6,97,"11,14,17,20",True,"11,14,17,20",14,"11,14,17,20",True,"11,14,17,20",6,"11,14,17,20",True,"11,14,17,20","11,14,17,20",True,"11,14,17,20",29x29
"11,15,19,23",True,"7,11,15,19",3,98,"11,15,19,23",True,"7,11,15,19",16,"11,15,19,23",True,"7,11,15,19",3,"11,15,19,23",True,"7,11,15,19","11,15,19,23",True,"7,11,15,19",27x27
"14,17,20,23",True,"8,11,14,17",6,99,"14,17,20,23",True,"8,11,14,17",11,"14,17,20,23",True,"8,11,14,17",6,"14,17,20,23",True,"8,11,14,17","14,17,20,23",True,"8,11,14,17",29x29
"4,9,14,19",True,"9,14,19,24",2,100,"4,9,14,19",True,"9,14,19,24",14,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"8,11,14,17",True,"2,5,8,11",6,101,"8,11,14,17",True,"2,5,8,11",16,"8,11,14,17",True,"2,5,8,11",6,"8,11,14,17",True,"2,5,8,11","8,11,14,17",True,"2,5,8,11",29x29
"3,7,11,15",True,"7,11,15,19",3,102,"3,7,11,15",True,"7,11,15,19",14,"3,7,11,15",True,"7,11,15,19",3,"3,7,11,15",True,"7,11,15,19","3,7,11,15",True,"7,11,15,19",27x27
"4,9,14,19",True,"9,14,19,24",2,103,"4,9,14,19",True,"9,14,19,24",14,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"5,8,11,14",True,"2,5,8,11",6,104,"5,8,11,14",True,"2,5,8,11",12,"5,8,11,14",True,"2,5,8,11",6,"5,8,11,14",True,"2,5,8,11","5,8,11,14",True,"2,5,8,11",29x29
"11,15,19,23",True,"11,15,19,23",3,105,"11,15,19,23",True,"11,15,19,23",14,"11,15,19,23",True,"11,15,19,23",3,"11,15,19,23",True,"11,15,19,23","11,15,19,23",True,"11,15,19,23",27x27
"14,17,20,23",True,"2,5,8,11",6,106,"14,17,20,23",True,"2,5,8,11",12,"14,17,20,23",True,"2,5,8,11",6,"14,17,20,23",True,"2,5,8,11","14,17,20,23",True,"2,5,8,11",29x29
"14,17,20,23",True,"14,17,20,23",6,107,"14,17,20,23",True,"14,17,20,23",14,"14,17,20,23",True,"14,17,20,23",6,"14,17,20,23",True,"14,17,20,23","14,17,20,23",True,"14,17,20,23",29x29
"11,14,17,20",True,"5,8,11,14",6,108,"11,14,17,20",True,"5,8,11,14",14,"11,14,17,20",True,"5,8,11,14",6,"11,14,17,20",True,"5,8,11,14","11,14,17,20",True,"5,8,11,14",29x29
"8,11,14,17",True,"11,14,17,20",6,109,"8,11,14,17",True,"11,14,17,20",12,"8,11,14,17",True,"11,14,17,20",6,"8,11,14,17",True,"11,14,17,20","8,11,14,17",True,"11,14,17,20",29x29
"2,5,8,11",True,"8,11,14,17",6,110,"2,5,8,11",True,"8,11,14,17",10,"2,5,8,11",True,"8,11,14,17",6,"2,5,8,11",True,"8,11,14,17","2,5,8,11",True,"8,11,14,17",29x29
"9,14,19,24",True,"9,14,19,24",2,111,"9,14,19,24",True,"9,14,19,24",12,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"3,7,11,15",True,"3,7,11,15",3,112,"3,7,11,15",True,"3,7,11,15",16,"3,7,11,15",True,"3,7,11,15",3,"3,7,11,15",True,"3,7,11,15","3,7,11,15",True,"3,7,11,15",27x27
"8,11,14,17",True,"8,11,14,17",6,113,"8,11,14,17",True,"8,11,14,17",16,"8,11,14,17",True,"8,11,14,17",6,"8,11,14,17",True,"8,11,14,17","8,11,14,17",True,"8,11,14,17",29x29
"11,15,19,23",True,"7,11,15,19",3,114,"11,15,19,23",True,"7,11,15,19",12,"11,15,19,23",True,"7,11,15,19",3,"11,15,19,23",True,"7,11,15,19","11,15,19,23",True,"7,11,15,19",27x27
"4,9,14,19",True,"4,9,14,19",2,115,"4,9,14,19",True,"4,9,14,19",14,"4,9,14,19",True,"4,9,14,19",2,"4,9,14,19",True,"4,9,14,19","4,9,14,19",True,"4,9,14,19",29x29
"14,17,20,23",True,"2,5,8,11",6,116,"14,17,20,23",True,"2,5,8,11",12,"14,17,20,23",True,"2,5,8,11",6,"14,17,20,23",True,"2,5,8,11","14,17,20,23",True,"2,5,8,11",29x29
"9,14,19,24",True,"9,14,19,24",2,117,"9,14,19,24",True,"9,14,19,24",16,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"9,14,19,24",True,"9,14,19,24",2,118,"9,14,19,24",True,"9,14,19,24",12,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"4,9,14,19",True,"4,9,14,19",2,119,"4,9,14,19",True,"4,9,14,19",12,"4,9,14,19",True,"4,9,14,19",2,"4,9,14,19",True,"4,9,14,19","4,9,14,19",True,"4,9,14,19",29x29
"9,14,19,24",True,"9,14,19,24",2,120,"9,14,19,24",True,"9,14,19,24",16,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"11,15,19,23",True,"11,15,19,23",3,121,"11,15,19,23",True,"11,15,19,23",10,"11,15,19,23",True,"11,15,19,23",3,"11,15,19,23",True,"11,15,19,23","11,15,19,23",True,"11,15,19,23",27x27
"4,9,14,19",True,"4,9,14,19",2,122,"4,9,14,19",True,"4,9,14,19",16,"4,9,14,19",True,"4,9,14,19",2,"4,9,14,19",True,"4,9,14,19","4,9,14,19",True,"4,9,14,19",29x29
