audit_status,boolish_full_grid,cast_from_boolish_to_float_full_grid,cast_to_float_full_grid,float_full_grid_from_boolish,full_grid_bool,full_grid_float,full_grid_int32,full_grid_uint8,heuristic_saving,node_count,op_counts,reason,task_id,top_full_grid_producers,where_full_grid
ok,12,0,0,0,12,1,0,0,333000,61,Cast:7 Reshape:6 And:6 ArgMax:4 Equal:4 Or:4 Greater:4 ReduceMax:3 Sub:3 Add:3 Less:3 ReduceSum:3,ok,281,Cast:3 And:3 input_or_initializer:2 Or:2 Greater:2 ReduceMax:1 Mul:1 Add:1 Where:1 Sub:1,1
ok,9,0,0,0,9,3,0,10,324000,67,ReduceMax:11 And:9 Where:9 Cast:6 Equal:6 Concat:5 Greater:4 Reshape:4 Slice:2 Pad:2 Not:2 MatMul:2,ok,184,And:9 Where:9 input_or_initializer:2 Cast:2 ScatterND:1 ArgMax:1,9
ok,6,1,1,0,6,7,0,27,315000,37,Where:14 MaxPool:12 Greater:2 Cast:2 ReduceSum:1 Slice:1 Or:1 Not:1 And:1 Sub:1 Concat:1,ok,338,Where:14 MaxPool:12 input_or_initializer:3 Greater:2 Cast:2 Concat:1 ReduceSum:1 Slice:1 Or:1 Not:1,14
ok,11,0,0,0,11,1,0,0,306000,58,And:10 ReduceMax:7 Unsqueeze:7 Equal:7 ArgMax:6 Slice:4 Greater:4 Or:3 Cast:2 Sub:2 Less:2 ReduceSum:1,ok,51,And:6 ReduceMax:3 Or:3 Greater:2 input_or_initializer:1 Where:1 Cast:1 Slice:1,1
ok,8,1,1,0,8,7,0,0,270000,30,Equal:9 Where:5 Cast:4 ReduceSum:3 ReduceMax:2 Not:2 And:2 CumSum:2 Einsum:1,ok,92,Equal:5 Cast:4 Where:3 And:2 CumSum:2 input_or_initializer:1 Einsum:1 ReduceSum:1,3
ok,8,1,1,0,8,2,2,0,261000,41,Equal:6 Or:6 And:6 Sub:5 Cast:3 Add:3 ReduceMax:2 ReduceSum:2 Where:2 Greater:1 Slice:1 ArgMax:1,ok,376,And:5 Or:2 Where:2 input_or_initializer:1 Cast:1 Equal:1,2
ok,9,0,0,0,9,4,0,5,252000,17,Cast:5 MaxPool:4 And:3 Slice:2 Greater:1 Or:1 Where:1,ok,350,Cast:5 MaxPool:4 And:3 Slice:2 input_or_initializer:1 Where:1 Greater:1 Or:1,1
ok,9,0,0,0,9,2,0,2,252000,108,Gather:21 Less:21 Reshape:17 And:15 Sub:11 Add:10 Or:4 ReduceSum:2 MatMul:2 Cast:2 Flatten:1 Mul:1,ok,255,And:5 Or:4 input_or_initializer:1 Where:1 ReduceSum:1 Cast:1,1
ok,9,0,0,0,9,3,0,0,243000,36,Cast:7 ReduceSum:5 Sub:4 Mul:4 Div:4 And:3 Equal:2 Abs:2 Slice:1 Max:1 Not:1 Concat:1,ok,137,Cast:4 Mul:4 And:3 input_or_initializer:2 Sub:2 Or:1 ReduceSum:1 Slice:1 Max:1 Div:1,0
ok,9,0,0,0,9,1,0,1,243000,192,Mul:31 Cast:17 Slice:17 Add:14 MaxPool:13 Greater:11 ReduceSum:9 Sub:8 Gather:8 ReduceMax:7 And:6 Equal:4,ok,18,Mul:21 MaxPool:13 Cast:4 Sub:4 input_or_initializer:2 Greater:2 And:2 Equal:2 ConvTranspose:2 Add:2,0
ok,7,1,1,0,7,4,0,0,234000,71,Cast:12 Mul:10 MaxPool:7 Where:5 Add:5 Gather:5 ArgMax:4 And:4 ScatterND:4 Equal:3 Greater:3 Sub:2,ok,396,Mul:9 Cast:7 MaxPool:7 input_or_initializer:4 Add:3 Equal:2 Less:2 And:2 Where:2 ArgMax:1,2
ok,5,2,3,0,5,10,0,0,198000,416,Where:124 Cast:32 ReduceMax:28 Mul:27 Greater:27 ArgMax:26 Conv:26 Sub:26 Reshape:25 Div:25 Floor:25 And:5,ok,205,Cast:4 And:3 Mul:2 input_or_initializer:1 Unsqueeze:1 Sub:1 Conv:1 Or:1 Where:1 Equal:1,1
ok,5,0,0,0,5,2,0,10,198000,37,Where:7 Cast:5 ReduceMin:4 Sub:4 Add:4 Equal:3 Reshape:2 Pad:2 Slice:2 ArgMax:1 ReduceSum:1 Greater:1,ok,245,Where:7 Equal:3 Slice:2 input_or_initializer:1 ArgMax:1 Cast:1 ReduceSum:1 Greater:1 Not:1,7
ok,7,0,0,0,7,2,0,0,189000,39,Equal:7 And:6 Slice:5 Cast:5 ReduceSum:4 Conv:2 Add:2 Less:2 Or:1 Sub:1 Mul:1 Div:1,ok,325,input_or_initializer:3 And:3 Concat:1 Slice:1 Cast:1 Not:1,0
ok,6,0,0,0,6,1,0,2,171000,39,Cast:5 Reshape:5 Gather:5 Sub:4 ReduceSum:3 Mul:3 ReduceMax:2 Less:2 Where:2 Greater:2 Div:1 Slice:1,ok,109,Mul:3 Gather:3 input_or_initializer:2 Cast:2 ReduceSum:2 Greater:2 Where:1 ReduceMax:1 Sub:1 Max:1,1
ok,6,0,0,0,6,2,0,0,162000,33,ReduceSum:4 Sub:4 Cast:3 Clip:3 Reshape:3 MaxPool:2 Abs:2 Less:2 MatMul:2 Conv:1 Transpose:1 Mul:1,ok,195,input_or_initializer:3 Concat:1 Conv:1 Cast:1 Pad:1 Greater:1 Not:1 And:1,0
ok,1,0,0,0,1,1,0,0,162000,52,Where:19 Gather:9 Less:7 Sub:4 Mul:4 Squeeze:4 ReduceSum:2 Cast:1 ReduceMax:1 Pad:1,ok,107,input_or_initializer:16 Where:15 Gather:1 Less:1,15
ok,6,0,0,0,6,1,0,0,162000,39,Greater:7 And:7 Cast:5 ReduceMax:5 Slice:3 ArgMax:2 Expand:2 GatherElements:2 Or:2 ReduceSum:1 Equal:1 Not:1,ok,161,And:2 input_or_initializer:1 Concat:1 Cast:1 ReduceMax:1 Greater:1 Or:1 Not:1,0
ok,5,0,0,0,5,3,0,0,153000,48,Cast:10 ReduceSum:4 Greater:4 Less:4 ReduceMax:3 Unsqueeze:3 And:3 Not:2 Mul:2 Add:2 Squeeze:2 Gather:2,ok,301,Where:2 Cast:2 And:2 input_or_initializer:1 Conv:1 Greater:1 Less:1 Not:1 OneHot:1,2
ok,5,0,0,0,5,3,0,0,144000,70,Gather:13 Less:13 Reshape:12 And:9 Sub:7 Add:6 MatMul:2 Or:2 Flatten:1 Unsqueeze:1 Mul:1 ReduceSum:1,ok,66,And:3 Or:2 input_or_initializer:1 Where:1 Gather:1,1
ok,5,0,0,0,5,3,0,0,144000,320,Sum:120 Mul:117 Gather:62 Concat:5 Cast:4 Sub:4 Equal:2 Not:2 ReduceMax:1 ReduceMin:1 And:1 Where:1,ok,145,Concat:5 Cast:4 Sum:4 Sub:4 input_or_initializer:2 Gather:2 Mul:2 Equal:2 Not:2 And:1,1
ok,5,0,0,0,5,1,0,2,144000,31,ReduceMax:10 Mul:7 Cast:2 Slice:2 ReduceSum:2 Greater:2 And:2 Less:1 Not:1 Or:1 Where:1,ok,202,Mul:3 Cast:2 ReduceMax:2 Greater:2 And:2 input_or_initializer:1 Where:1 Slice:1 Or:1,1
ok,5,0,0,0,5,2,0,0,135000,24,Cast:5 Slice:2 Flatten:2 MatMul:1 Unsqueeze:1 Sub:1 Mul:1 ReduceSum:1 Less:1 ArgMax:1 Gather:1 ScatterElements:1,ok,285,input_or_initializer:1 Concat:1 Slice:1 ReduceMax:1 Greater:1 Not:1 Cast:1 And:1,0
ok,2,0,0,0,2,8,0,0,117000,21,Where:7 MaxPool:4 Slice:2 Greater:1 Neg:1 Cast:1 Unsqueeze:1 ScatterND:1 Gather:1 Equal:1 Concat:1,ok,330,Where:7 MaxPool:4 input_or_initializer:3 Slice:2 Concat:1 Greater:1 Neg:1 Cast:1 Gather:1 Equal:1,7
ok,3,1,1,0,3,4,0,0,117000,21,Mul:7 ReduceMax:5 Cast:4 Conv:1 Greater:1 Sum:1 Where:1 Equal:1,ok,215,Mul:7 Cast:4 input_or_initializer:1 ReduceMax:1 Conv:1 Greater:1 Sum:1 Where:1 Equal:1,1
ok,3,0,0,0,3,2,0,6,108000,32,Cast:5 Reshape:4 ReduceMax:3 Equal:3 Where:3 Greater:2 Mul:2 ArgMax:2 Add:2 Clip:2 Gather:2 Conv:1,ok,290,Equal:3 Where:3 Gather:2 input_or_initializer:1 Conv:1 Cast:1,3
ok,3,0,0,0,3,5,0,0,81000,36,Cast:5 Mul:5 ReduceSum:4 And:4 Slice:3 Min:2 Max:2 GreaterOrEqual:2 LessOrEqual:2 Equal:2 Or:1 Sub:1,ok,335,Mul:5 Cast:4 Slice:3 And:2 input_or_initializer:1 ScatterND:1 Or:1 Sub:1,0
ok,3,0,0,0,3,1,0,0,81000,32,Cast:4 ReduceSum:4 Add:3 ReduceMax:2 Mod:2 Less:2 Where:2 Gather:2 Slice:2 Sub:2 Greater:2 Conv:1,ok,19,Cast:2 ReduceSum:2 Gather:2 Slice:2 Sub:2 Greater:2 input_or_initializer:1 ScatterND:1 Conv:1 And:1,0
ok,2,0,0,0,2,1,0,0,81000,31,Slice:8 Less:6 Where:5 Cast:2 Mul:2 ReduceSum:2 Div:2 Floor:2 And:1 Equal:1,ok,269,Where:3 input_or_initializer:1 Equal:1 And:1,3
ok,2,0,0,0,2,1,0,0,72000,19,Conv:5 Sub:3 Cast:2 Greater:2 Where:2 Mul:2 Pad:1 Slice:1 Sum:1,ok,162,Conv:5 Sub:3 Cast:2 Greater:2 Where:2 Mul:2 input_or_initializer:1 Sum:1 Slice:1,2
ok,1,1,1,0,1,12,0,0,63000,100,Slice:18 Reshape:16 Cast:10 Sub:9 Less:9 Greater:9 Add:8 And:8 Mul:5 MatMul:2 Flatten:1 Unsqueeze:1,ok,367,Mul:4 input_or_initializer:2 Slice:2 Concat:1 Sum:1 Greater:1 Cast:1 Where:1,1
ok,2,0,0,0,2,3,0,0,63000,14,Cast:4 Sub:2 Greater:2 ReduceSum:1 Slice:1 Conv:1 Constant:1 Concat:1 Where:1,ok,97,Cast:4 Sub:2 Greater:2 input_or_initializer:1 Where:1 ReduceSum:1 Slice:1 Conv:1 Concat:1,1
ok,2,0,0,0,2,1,0,2,63000,25,Cast:5 Conv:3 Reshape:3 Mul:3 Slice:2 Greater:2 ReduceMax:2 Sub:2 MatMul:1 MaxPool:1 Where:1,ok,165,Conv:3 Mul:3 input_or_initializer:2 Cast:2 Greater:2 Where:1 MaxPool:1,1
ok,0,2,2,0,0,6,0,2,54000,52,Where:16 MaxPool:15 Cast:12 Slice:2 Or:2 Pad:2 Greater:1 Less:1 Concat:1,ok,279,input_or_initializer:2 Pad:2 Cast:2 Concat:1 Slice:1,0
ok,1,1,1,0,1,3,0,0,54000,123,And:24 Slice:16 Where:15 Greater:12 ReduceMax:12 Pad:12 Equal:10 Conv:7 Cast:5 ReduceMin:3 MaxPool:3 ConvTranspose:3,ok,80,ConvTranspose:3 Cast:2 input_or_initializer:1 Conv:1 Max:1 Equal:1,0
ok,2,0,0,0,2,1,0,0,54000,169,MaxPool:59 Min:59 Gather:10 Or:9 Mul:8 Cast:7 And:3 Not:2 ReduceMax:2 Constant:2 Slice:1 Conv:1,ok,286,input_or_initializer:1 Pad:1 Cast:1,0
ok,2,0,0,0,2,1,0,0,54000,33,Slice:14 Or:5 Concat:3 Greater:2 Tile:2 Pad:2 And:2 Cast:1 ReduceSum:1 Not:1,ok,306,input_or_initializer:1 Pad:1 Greater:1,0
ok,0,0,0,0,0,1,0,0,45000,28,Where:10 Equal:5 Slice:3 Cast:3 ReduceSum:2 Sum:2 ConvTranspose:1 Sub:1 Concat:1,ok,221,input_or_initializer:6 Where:5 Concat:1 ConvTranspose:1 Sum:1 ReduceSum:1 Sub:1,5
ok,0,0,0,0,0,4,0,0,36000,103,Where:20 Sub:16 Cast:13 ArgMax:6 Less:6 Slice:5 Greater:5 Sum:5 ReduceMax:4 Or:4 Not:4 Gather:4,ok,131,Gather:4 Where:4 Slice:3 Cast:3 input_or_initializer:2 Sub:2 Concat:1 Sum:1 Relu:1 Min:1,4
ok,1,0,0,0,1,3,0,1,36000,29,Cast:5 Reshape:5 ReduceSum:3 Where:3 Greater:2 Add:2 Gather:2 ReduceMax:2 Less:2 Slice:1 Neg:1 ArgMax:1,ok,49,input_or_initializer:1 Where:1 Cast:1 Reshape:1 Greater:1,1
ok,1,0,0,0,1,3,0,0,36000,39,Mul:11 MaxPool:8 Sub:7 Cast:6 Conv:2 Equal:1 Where:1 Sum:1 Div:1 Concat:1,ok,204,Mul:11 MaxPool:8 Sub:7 Cast:6 input_or_initializer:2 Conv:2 Concat:1 Equal:1 Where:1 Sum:1,1
ok,1,0,0,0,1,2,0,0,36000,76,ReduceSum:9 Where:9 Equal:8 Add:7 Cast:6 Squeeze:6 Greater:5 Gather:5 Unsqueeze:5 Mul:4 And:4 ArgMax:3,ok,20,input_or_initializer:1 Where:1 Unsqueeze:1,1
ok,1,0,0,0,1,2,0,0,36000,19,Cast:4 Equal:4 Reshape:2 Unsqueeze:2 Where:2 GatherND:1 ReduceMin:1 ReduceSum:1 Gather:1 ReduceMax:1,ok,118,input_or_initializer:1 Where:1 Reshape:1,1
ok,1,0,0,0,1,1,0,2,36000,16,Gather:5 Cast:3 Mul:2 ReduceSum:1 Pad:1 Sub:1 ReduceMax:1 Greater:1 Where:1,ok,33,Cast:2 Mul:2 input_or_initializer:1 Where:1 ReduceSum:1 Gather:1 Sub:1 Greater:1,1
ok,1,0,0,0,1,1,0,2,36000,29,Slice:7 Mul:7 Pad:6 Cast:2 ReduceSum:2 Sub:2 ReduceMax:1 Greater:1 Where:1,ok,126,Mul:7 Slice:6 Cast:2 ReduceSum:2 Sub:2 input_or_initializer:1 Where:1 Greater:1,1
ok,1,0,0,0,1,1,0,0,36000,15,Cast:3 ReduceSum:3 ArgMax:2 ReduceMax:2 Equal:2 Greater:1 Where:1 Mul:1,ok,359,input_or_initializer:1 Mul:1 Cast:1 ReduceSum:1 Greater:1 Where:1,1
ok,1,0,1,0,1,3,0,0,27000,17,Cast:5 ReduceSum:2 Greater:2 Conv:1 ConvTranspose:1 Slice:1 ArgMax:1 Equal:1 Sub:1 Mul:1 Concat:1,ok,192,Cast:3 input_or_initializer:1 ReduceSum:1 ConvTranspose:1 Greater:1 Sub:1 Concat:1,0
ok,1,0,0,0,1,2,0,0,27000,23,And:4 Where:4 Less:3 Equal:3 Sub:2 Conv:1 Slice:1 ReduceMax:1 Sign:1 ReduceSum:1 Greater:1 Pad:1,ok,84,input_or_initializer:1 Pad:1 Conv:1,0
ok,1,0,0,0,1,2,0,0,27000,21,ReduceSum:4 Cast:2 Mul:2 Sub:2 Abs:2 Equal:2 Conv:1 Slice:1 Greater:1 ReduceMax:1 And:1 Where:1,ok,141,input_or_initializer:1 Pad:1 Conv:1,0
ok,1,0,0,0,1,2,0,0,27000,24,Sub:5 And:4 ReduceSum:2 Greater:2 Mul:2 Slice:1 ReduceMax:1 Div:1 Floor:1 Abs:1 Less:1 Not:1,ok,248,input_or_initializer:1 Pad:1 ReduceSum:1,0
ok,1,0,0,0,1,2,0,0,27000,92,Cast:16 Gather:15 Mul:12 Where:9 Greater:8 Sub:6 And:6 ReduceSum:6 Less:6 Conv:2 Not:2 Sum:1,ok,343,input_or_initializer:1 Pad:1 Conv:1 Greater:1,0
ok,1,0,0,0,1,2,0,1,27000,41,Cast:9 ArgMax:6 Where:4 Greater:3 Equal:2 ReduceMax:2 Add:2 Sub:2 Less:2 And:2 MatMulInteger:2 ReduceSum:1,ok,355,input_or_initializer:1 Pad:1 Gather:1 Cast:1,0
ok,1,0,0,0,1,2,0,0,27000,24,Sub:5 And:4 ReduceSum:2 Greater:2 Mul:2 Slice:1 ReduceMax:1 Div:1 Floor:1 Abs:1 Less:1 Not:1,ok,357,input_or_initializer:1 Pad:1 ReduceSum:1,0
ok,1,0,0,0,1,1,0,0,27000,78,Sub:12 ReduceMax:8 Mul:8 Sum:8 Less:8 Where:5 And:5 ReduceMin:4 Slice:3 Greater:3 Clip:2 Cast:2,ok,8,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,15,Conv:5 Mul:2 Slice:1 Constant:1 ReduceSum:1 Greater:1 Where:1 Max:1 Equal:1 Pad:1,ok,12,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,2,27000,71,Equal:11 Gather:10 Cast:6 ReduceMax:6 Slice:5 Reshape:5 And:5 Constant:5 ReduceSum:5 Where:5 Sum:4 ArgMax:1,ok,17,input_or_initializer:1 Pad:1 ArgMax:1 Cast:1 Slice:1,0
ok,1,0,0,0,1,1,0,0,27000,27,Cast:7 And:5 Slice:4 Or:4 ReduceMax:3 Not:2 Concat:1 Pad:1,ok,24,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,19,Sub:3 ReduceSum:2 Cast:2 Slice:1 Conv:1 Sign:1 Sqrt:1 Greater:1 CumSum:1 Sum:1 Mul:1 Where:1,ok,32,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,38,Slice:8 And:7 ReduceMax:4 ArgMax:4 Equal:4 Or:4 Not:2 Greater:1 Cast:1 Gather:1 Concat:1 Pad:1,ok,35,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,36,Slice:8 Where:5 ReduceMax:4 ReduceMin:4 Sub:4 Less:4 And:2 Equal:2 ArgMax:1 Cast:1 Pad:1,ok,40,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,20,Cast:4 Unsqueeze:3 ArgMax:2 ReduceMax:2 And:2 Slice:1 Greater:1 GreaterOrEqual:1 LessOrEqual:1 Not:1 Concat:1 Pad:1,ok,41,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,52,Greater:12 Cast:8 Pad:8 Conv:6 ConvTranspose:6 Or:6 Not:2 And:2 Slice:1 Concat:1,ok,42,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,30,Cast:6 Or:5 And:5 ReduceMax:4 Tile:4 Slice:2 Not:2 Concat:1 Pad:1,ok,47,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,21,Cast:8 CumSum:4 And:3 Slice:2 Or:1 Xor:1 Concat:1 Pad:1,ok,50,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,16,And:3 Cast:2 Greater:2 Slice:1 ReduceMax:1 ReduceSum:1 Sub:1 Reshape:1 Gather:1 Not:1 Concat:1 Pad:1,ok,58,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,13,27000,18,Slice:6 Transpose:4 Pad:3 ArgMax:1 Cast:1 Mod:1 Max:1 Equal:1,ok,74,Slice:6 Transpose:4 input_or_initializer:1 Equal:1 ArgMax:1 Cast:1 Mod:1 Max:1,0
ok,1,0,0,0,1,1,0,0,27000,35,Slice:9 Pad:9 And:9 Or:4 Not:2 Greater:1 Concat:1,ok,81,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,56,Cast:15 And:14 MaxPool:4 ReduceSum:4 Conv:4 LessOrEqual:4 Or:4 Not:3 Slice:2 Concat:1 Pad:1,ok,93,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,25,Cast:6 Slice:2 Concat:2 Greater:2 ReduceMax:2 Tile:2 Or:2 Not:2 And:2 Conv:1 ConvTranspose:1 Pad:1,ok,94,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,48,Greater:12 Cast:9 Conv:6 ConvTranspose:6 Or:6 Slice:2 Concat:2 Pad:2 And:2 Not:1,ok,102,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,63,And:17 Cast:11 Not:8 Slice:6 Pad:5 Or:5 MaxPool:4 ReduceMax:2 ReduceSum:2 Greater:2 Concat:1,ok,105,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,13,Reshape:3 Slice:2 Equal:2 ArgMax:1 Cast:1 Concat:1 Where:1 GatherElements:1 Pad:1,ok,106,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,1,27000,176,Equal:29 Gather:21 Cast:15 ReduceMax:15 Reshape:14 And:14 Constant:14 ReduceSum:14 Where:14 Sum:13 Slice:9 ArgMax:1,ok,110,input_or_initializer:1 Pad:1 ArgMax:1 Cast:1,0
ok,1,0,0,0,1,1,0,0,27000,26,Cast:5 Reshape:4 Slice:3 Equal:3 Where:3 Not:2 ReduceMax:2 ArgMax:1 Concat:1 GatherElements:1 Pad:1,ok,114,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,34,Cast:5 Slice:3 Where:3 Reshape:3 Equal:3 ReduceMax:2 ReduceSum:2 Greater:2 ArgMax:2 Max:2 Concat:1 Not:1,ok,115,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,74,Slice:12 Equal:12 And:10 Cast:8 Where:8 Not:6 Mul:4 Gather:3 ReduceSum:2 Sub:2 Less:2 Reshape:2,ok,117,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,28,And:7 Greater:6 Sub:4 Not:3 CumSum:2 ReduceSum:2 Slice:1 MaxPool:1 Concat:1 Pad:1,ok,125,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,25,Cast:6 Conv:4 Greater:4 And:3 Or:3 Slice:2 Not:1 Concat:1 Pad:1,ok,136,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,33,Slice:9 Pad:9 Or:9 And:2 Not:2 Greater:1 Concat:1,ok,139,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,375,Max:101 Greater:65 Or:40 And:32 Cast:27 Conv:25 ConvTranspose:25 GlobalMaxPool:24 Not:17 Tile:15 Pad:2 Slice:1,ok,156,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,19,Cast:3 Greater:3 Slice:2 Concat:2 ConvTranspose:2 Not:2 And:2 Conv:1 Or:1 Pad:1,ok,160,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,0,27000,168,Greater:54 Cast:28 Conv:27 ConvTranspose:27 Or:26 Pad:2 Slice:1 Not:1 And:1 Concat:1,ok,169,input_or_initializer:1 Pad:1,0
ok,1,0,0,0,1,1,0,1,27000,68,QLinearMatMul:15 Cast:12 Reshape:10 Transpose:7 Conv:7 Greater:6 Where:3 Slice:2 Max:1 Less:1 And:1 Equal:1,ok,173,input_or_initializer:1 Pad:1 Cast:1,0
