rank,task_id,family,priority,current_cost,current_points,target_cost,gain_to_target,rule_target,lowering_target,reject_lowering,first_action,acceptance,submission_policy
23,54,signature_lookup_current,P0,52411,14.133128228057634,9000,1.761891915624009,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
24,303,signature_lookup_current,P0,52347,14.13435009193366,9000,1.760670051747983,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
25,243,signature_lookup_current,P0,51195,14.156602849991083,9000,1.73841729369056,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
26,159,signature_lookup_current,P0,48739,14.205765190060415,9000,1.6892549536212282,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
27,128,signature_lookup_current,P0,48731,14.205929343133523,9000,1.6890908005481204,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
31,91,signature_lookup_current,P0,43107,14.328559324102685,9000,1.5664608195789587,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
32,110,signature_lookup_current,P0,42363,14.345969381262638,9000,1.5490507624190055,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
34,19,signature_lookup_current,P0,40026,14.40271547806243,9000,1.4923046656192138,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
35,109,signature_lookup_current,P0,38755,14.434984941284387,9000,1.4600352023972558,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
36,216,signature_lookup_current,P0,38307,14.44661207390721,9000,1.448408069774434,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
37,382,signature_lookup_current,P0,37115,14.478223520448353,9000,1.4167966232332905,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
39,191,signature_lookup_current,P0,36076,14.506616896714402,9000,1.3884032469672416,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
40,161,signature_lookup_current,P0,34907,14.539557338855667,9000,1.3554628048259758,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,submit only small calibrated bundles first; compare LB/local before adding high-risk families
41,14,signature_lookup_current,P0,34851,14.541162889818416,9000,1.353857253863227,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
42,17,signature_lookup_current,P0,33755,14.573116166524029,9000,1.3219039771576142,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
43,2,signature_lookup_current,P0,33547,14.579297280376213,9000,1.3157228633054299,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
44,306,signature_lookup_current,P0,32802,14.601755231876945,9000,1.2932649118046982,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
45,231,signature_lookup_current,P0,30755,14.666192138357532,9000,1.228828005324111,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
46,88,signature_lookup_current,P0,30659,14.669318463892141,9000,1.225701679789502,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
47,205,signature_lookup_current,P0,30083,14.68828449286678,9000,1.2067356508148634,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
50,101,signature_lookup_current,P0,29435,14.710060278537638,9000,1.1849598651440054,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
51,324,signature_lookup_current,P0,28891,14.728714593085465,9000,1.166305550596178,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
53,165,signature_lookup_current,P0,27835,14.765950499382392,9000,1.1290696442992516,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
54,278,signature_lookup_current,P0,27080,14.793449272973788,9000,1.1015708707078549,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
55,377,signature_lookup_current,P0,26659,14.80911791634814,9000,1.085902227333504,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
56,234,signature_lookup_current,P0,26619,14.810619474496553,9000,1.08440066918509,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
57,384,signature_lookup_current,P0,26243,14.824845434208775,9000,1.0701747094728677,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
58,63,signature_lookup_current,P0,26235,14.825150323879187,9000,1.0698698198024559,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
60,33,signature_lookup_current,P0,26075,14.831267720131027,9000,1.063752423550616,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
61,364,signature_lookup_current,P0,26075,14.831267720131027,9000,1.063752423550616,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
62,75,signature_lookup_current,P0,25851,14.839895436092123,9000,1.0551247075895205,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
63,264,signature_lookup_current,P0,25739,14.844237369643414,9000,1.050782774038229,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
66,157,signature_lookup_current,P0,24780,14.882207844816866,9000,1.0128122988647767,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
67,92,signature_lookup_current,P0,24574,14.890555747572483,9000,1.0044643961091602,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
68,158,signature_lookup_current,P0,24283,14.902468203974937,9000,0.992551939706706,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
70,11,signature_lookup_current,P0,24184,14.906553463540707,9000,0.9884666801409363,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
71,301,signature_lookup_current,P0,24155,14.907753323011493,9000,0.9872668206701505,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
72,9,signature_lookup_current,P0,23611,14.930532015883037,9000,0.9644881277986066,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
73,310,signature_lookup_current,P0,23395,14.939722396699683,9000,0.9552977469819606,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
74,177,signature_lookup_current,P0,23171,14.94934322424725,9000,0.9456769194343924,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
76,285,signature_lookup_current,P0,23067,14.95384169629971,9000,0.9411784473819331,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
77,396,signature_lookup_current,P0,22947,14.959057512010025,9000,0.9359626316716181,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
79,387,signature_lookup_current,P0,22269,14.989049144214343,9000,0.9059709994673,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
80,383,signature_lookup_current,P0,22235,14.990577097055203,9000,0.9044430466264402,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
81,201,signature_lookup_current,P0,22224,14.991071935005875,9000,0.903948208675768,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
83,240,signature_lookup_current,P0,21627,15.018302186927311,9000,0.876717956754332,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
85,308,signature_lookup_current,P0,21187,15.03885693497571,9000,0.856163208705933,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
87,49,signature_lookup_current,P0,21135,15.04131428699911,9000,0.8537058566825326,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
88,65,signature_lookup_current,P0,20963,15.049485742036117,9000,0.8455344016455264,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
89,21,signature_lookup_current,P0,20739,15.060228735386625,9000,0.8347914082950183,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
90,238,signature_lookup_current,P0,20291,15.082067283032377,9000,0.8129528606492666,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
91,279,signature_lookup_current,P0,20244,15.084386267666032,9000,0.8106338760156113,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash",teacher artifactはoracleとしてprofileし、入出力差分から人間可読なinvariantだけを採用する。,human-readable rule; train/test/all-arc-gen exact; official utility pass; candidate cost < current strict seed or accepted submit-safe artifact; leakage/overfit note,hold until family calibration is trusted
