added_total,all_top_deltas,all_top_line_types,balanced_removed_added_colors,color_count_preserved_nonzero_colors,color_counts_preserved,color_motion,dominant_delta,dominant_line_type,idx,input_nonzero_bbox,nonzero_count_preserved,output_nonzero_bbox,recolor_total,removed_total,shape,split
3,"11,0:1 4,0:1 1,0:1",vertical:3,2,2,False,"[{""added"": 2, ""added_bbox"": ""(12, 12, 12, 17)"", ""color"": 2, ""delta_counts"": {""11,0"": 1, ""4,0"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 21, ""line_counts"": {""vertical"": 2}, ""mean_manhattan"": 7.5, ""output_count"": 21, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(1, 12, 8, 17)"", ""top_delta"": ""(11, 0):1 (4, 0):1"", ""top_line_type"": ""vertical:2""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 8, ""input_count"": 1, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 1, ""removed_bbox"": ""(1, 13, 1, 13)""}, {""added"": 1, ""added_bbox"": ""(3, 0, 3, 0)"", ""color"": 9, ""delta_counts"": {""1,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 20, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 1.0, ""output_count"": 20, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(2, 0, 2, 0)"", ""top_delta"": ""(1, 0):1"", ""top_line_type"": ""vertical:1""}]","11,0",vertical,64,"(1, 0, 13, 18)",False,"(3, 0, 13, 18)",0,4,"(16, 19)",arc-gen
5,"0,23:1 0,-10:1 0,-12:1 0,-1:1 0,-19:1",horizontal:5,4,4,False,"[{""added"": 1, ""added_bbox"": ""(17, 25, 17, 25)"", ""color"": 1, ""delta_counts"": {""0,23"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 28, ""line_counts"": {""horizontal"": 1}, ""mean_manhattan"": 23.0, ""output_count"": 28, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(17, 2, 17, 2)"", ""top_delta"": ""(0, 23):1"", ""top_line_type"": ""horizontal:1""}, {""added"": 1, ""added_bbox"": ""(17, 14, 17, 14)"", ""color"": 4, ""delta_counts"": {""0,-10"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 28, ""line_counts"": {""horizontal"": 1}, ""mean_manhattan"": 10.0, ""output_count"": 28, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(17, 24, 17, 24)"", ""top_delta"": ""(0, -10):1"", ""top_line_type"": ""horizontal:1""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 5, ""input_count"": 3, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 3, ""removed_bbox"": ""(5, 7, 22, 29)""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 7, ""input_count"": 27, ""output_count"": 27, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 3, ""added_bbox"": ""(2, 5, 19, 5)"", ""color"": 9, ""delta_counts"": {""0,-1"": 1, ""0,-12"": 1, ""0,-19"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 30, ""line_counts"": {""horizontal"": 3}, ""mean_manhattan"": 10.6667, ""output_count"": 30, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(2, 6, 19, 24)"", ""top_delta"": ""(0, -12):1 (0, -1):1 (0, -19):1"", ""top_line_type"": ""horizontal:3""}]","0,23",horizontal,65,"(0, 2, 26, 29)",False,"(0, 4, 26, 26)",0,8,"(27, 30)",arc-gen
4,"0,1:1 0,-10:1 0,2:1 0,9:1",horizontal:4,3,3,False,"[{""added"": 2, ""added_bbox"": ""(3, 3, 8, 5)"", ""color"": 2, ""delta_counts"": {""0,-10"": 1, ""0,1"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 17, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 5.5, ""output_count"": 17, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(3, 2, 8, 15)"", ""top_delta"": ""(0, 1):1 (0, -10):1"", ""top_line_type"": ""horizontal:2""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 4, ""input_count"": 2, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 2, ""removed_bbox"": ""(2, 2, 8, 21)""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 5, ""input_count"": 15, ""output_count"": 15, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 2, ""added_bbox"": ""(6, 17, 9, 17)"", ""color"": 7, ""delta_counts"": {""0,2"": 1, ""0,9"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 17, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 5.5, ""output_count"": 17, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(6, 8, 9, 15)"", ""top_delta"": ""(0, 2):1 (0, 9):1"", ""top_line_type"": ""horizontal:2""}]","0,1",horizontal,66,"(0, 2, 14, 21)",False,"(0, 3, 14, 18)",0,6,"(15, 24)",arc-gen
4,"0,-4:1 0,-3:1 0,-9:1 0,2:1",horizontal:4,2,2,True,"[{""added"": 2, ""added_bbox"": ""(5, 13, 7, 13)"", ""color"": 2, ""delta_counts"": {""0,-3"": 1, ""0,-4"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 25, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 3.5, ""output_count"": 25, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(5, 16, 7, 17)"", ""top_delta"": ""(0, -4):1 (0, -3):1"", ""top_line_type"": ""horizontal:2""}, {""added"": 2, ""added_bbox"": ""(3, 5, 18, 7)"", ""color"": 7, ""delta_counts"": {""0,-9"": 1, ""0,2"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 25, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 5.5, ""output_count"": 25, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(3, 3, 18, 16)"", ""top_delta"": ""(0, -9):1 (0, 2):1"", ""top_line_type"": ""horizontal:2""}]","0,-4",horizontal,67,"(0, 3, 22, 17)",True,"(0, 5, 22, 13)",0,4,"(23, 19)",arc-gen
2,"0,3:1 0,-2:1",horizontal:2,3,3,False,"[{""added"": 1, ""added_bbox"": ""(20, 15, 20, 15)"", ""color"": 2, ""delta_counts"": {""0,3"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 25, ""line_counts"": {""horizontal"": 1}, ""mean_manhattan"": 3.0, ""output_count"": 25, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(20, 12, 20, 12)"", ""top_delta"": ""(0, 3):1"", ""top_line_type"": ""horizontal:1""}, {""added"": 1, ""added_bbox"": ""(5, 11, 5, 11)"", ""color"": 3, ""delta_counts"": {""0,-2"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 25, ""line_counts"": {""horizontal"": 1}, ""mean_manhattan"": 2.0, ""output_count"": 25, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(5, 13, 5, 13)"", ""top_delta"": ""(0, -2):1"", ""top_line_type"": ""horizontal:1""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 8, ""input_count"": 24, ""output_count"": 24, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 9, ""input_count"": 4, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 4, ""removed_bbox"": ""(1, 0, 20, 20)""}]","0,3",horizontal,68,"(0, 0, 23, 20)",False,"(0, 3, 23, 16)",0,6,"(24, 21)",arc-gen
7,"0,-11:1 0,1:1 0,17:1 0,12:1 0,11:1 0,-4:1 0,-18:1",horizontal:7,3,3,False,"[{""added"": 2, ""added_bbox"": ""(14, 11, 22, 13)"", ""color"": 2, ""delta_counts"": {""0,-11"": 1, ""0,1"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 26, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 6.0, ""output_count"": 26, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(14, 10, 22, 24)"", ""top_delta"": ""(0, -11):1 (0, 1):1"", ""top_line_type"": ""horizontal:2""}, {""added"": 3, ""added_bbox"": ""(4, 19, 16, 19)"", ""color"": 4, ""delta_counts"": {""0,11"": 1, ""0,12"": 1, ""0,17"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 27, ""line_counts"": {""horizontal"": 3}, ""mean_manhattan"": 13.3333, ""output_count"": 27, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(4, 2, 16, 8)"", ""top_delta"": ""(0, 17):1 (0, 12):1 (0, 11):1"", ""top_line_type"": ""horizontal:3""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 5, ""input_count"": 3, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 3, ""removed_bbox"": ""(1, 0, 22, 22)""}, {""added"": 2, ""added_bbox"": ""(5, 5, 9, 5)"", ""color"": 7, ""delta_counts"": {""0,-18"": 1, ""0,-4"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 26, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 11.0, ""output_count"": 26, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(5, 9, 9, 23)"", ""top_delta"": ""(0, -4):1 (0, -18):1"", ""top_line_type"": ""horizontal:2""}]","0,-11",horizontal,69,"(0, 0, 23, 24)",False,"(0, 4, 23, 20)",0,10,"(24, 25)",arc-gen
8,"17,0:1 10,0:1 3,0:1 2,0:1 1,0:1 -7,0:1 -1,0:1 -12,0:1",vertical:8,3,3,False,"[{""added"": 3, ""added_bbox"": ""(17, 6, 17, 25)"", ""color"": 2, ""delta_counts"": {""10,0"": 1, ""17,0"": 1, ""3,0"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 32, ""line_counts"": {""vertical"": 3}, ""mean_manhattan"": 10.0, ""output_count"": 32, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(0, 6, 14, 25)"", ""top_delta"": ""(17, 0):1 (10, 0):1 (3, 0):1"", ""top_line_type"": ""vertical:3""}, {""added"": 3, ""added_bbox"": ""(4, 4, 6, 26)"", ""color"": 4, ""delta_counts"": {""-7,0"": 1, ""1,0"": 1, ""2,0"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 32, ""line_counts"": {""vertical"": 3}, ""mean_manhattan"": 3.3333, ""output_count"": 32, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(2, 4, 13, 26)"", ""top_delta"": ""(2, 0):1 (1, 0):1 (-7, 0):1"", ""top_line_type"": ""vertical:3""}, {""added"": 2, ""added_bbox"": ""(12, 9, 12, 15)"", ""color"": 6, ""delta_counts"": {""-1,0"": 1, ""-12,0"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 31, ""line_counts"": {""vertical"": 2}, ""mean_manhattan"": 6.5, ""output_count"": 31, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(13, 9, 24, 15)"", ""top_delta"": ""(-1, 0):1 (-12, 0):1"", ""top_line_type"": ""vertical:2""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 9, ""input_count"": 4, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 4, ""removed_bbox"": ""(1, 9, 24, 28)""}]","17,0",vertical,70,"(0, 0, 24, 28)",False,"(4, 0, 18, 28)",0,12,"(25, 29)",arc-gen
3,"-2,0:1 -3,0:1 -4,0:1",vertical:3,2,2,False,"[{""added"": 0, ""added_bbox"": ""None"", ""color"": 2, ""input_count"": 21, ""output_count"": 21, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 3, ""input_count"": 1, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 1, ""removed_bbox"": ""(0, 6, 0, 6)""}, {""added"": 3, ""added_bbox"": ""(4, 4, 4, 7)"", ""color"": 6, ""delta_counts"": {""-2,0"": 1, ""-3,0"": 1, ""-4,0"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 24, ""line_counts"": {""vertical"": 3}, ""mean_manhattan"": 3.0, ""output_count"": 24, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(6, 4, 8, 7)"", ""top_delta"": ""(-2, 0):1 (-3, 0):1 (-4, 0):1"", ""top_line_type"": ""vertical:3""}]","-2,0",vertical,71,"(0, 0, 12, 20)",False,"(3, 0, 12, 20)",0,4,"(13, 21)",arc-gen
6,"15,0:1 11,0:1 1,0:1 -1,0:1 -3,0:1 -21,0:1",vertical:6,4,4,False,"[{""added"": 0, ""added_bbox"": ""None"", ""color"": 3, ""input_count"": 20, ""output_count"": 20, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 4, ""input_count"": 4, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 4, ""removed_bbox"": ""(8, 3, 28, 14)""}, {""added"": 4, ""added_bbox"": ""(19, 2, 21, 19)"", ""color"": 5, ""delta_counts"": {""-1,0"": 1, ""1,0"": 1, ""11,0"": 1, ""15,0"": 1}, ""dominant_delta_share"": 0.25, ""dominant_line_share"": 1.0, ""input_count"": 24, ""line_counts"": {""vertical"": 4}, ""mean_manhattan"": 7.0, ""output_count"": 24, ""pair_count"": 4, ""perfect_size_match"": true, ""removed"": 4, ""removed_bbox"": ""(4, 2, 22, 19)"", ""top_delta"": ""(15, 0):1 (11, 0):1 (1, 0):1 (-1, 0):1"", ""top_line_type"": ""vertical:4""}, {""added"": 1, ""added_bbox"": ""(14, 10, 14, 10)"", ""color"": 6, ""delta_counts"": {""-3,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 21, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 3.0, ""output_count"": 21, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(17, 10, 17, 10)"", ""top_delta"": ""(-3, 0):1"", ""top_line_type"": ""vertical:1""}, {""added"": 1, ""added_bbox"": ""(7, 7, 7, 7)"", ""color"": 9, ""delta_counts"": {""-21,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 21, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 21.0, ""output_count"": 21, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(28, 7, 28, 7)"", ""top_delta"": ""(-21, 0):1"", ""top_line_type"": ""vertical:1""}]","15,0",vertical,72,"(4, 0, 28, 19)",False,"(6, 0, 26, 19)",0,10,"(29, 20)",arc-gen
2,"0,-1:1 0,4:1",horizontal:2,1,1,False,"[{""added"": 0, ""added_bbox"": ""None"", ""color"": 7, ""input_count"": 1, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 1, ""removed_bbox"": ""(7, 2, 7, 2)""}, {""added"": 2, ""added_bbox"": ""(7, 4, 12, 6)"", ""color"": 9, ""delta_counts"": {""0,-1"": 1, ""0,4"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 17, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 2.5, ""output_count"": 17, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(7, 0, 12, 7)"", ""top_delta"": ""(0, -1):1 (0, 4):1"", ""top_line_type"": ""horizontal:2""}]","0,-1",horizontal,73,"(0, 0, 14, 7)",False,"(0, 4, 14, 6)",0,3,"(15, 12)",arc-gen
2,"0,4:1 0,-3:1",horizontal:2,2,2,True,"[{""added"": 1, ""added_bbox"": ""(10, 10, 10, 10)"", ""color"": 4, ""delta_counts"": {""0,4"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 25, ""line_counts"": {""horizontal"": 1}, ""mean_manhattan"": 4.0, ""output_count"": 25, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(10, 6, 10, 6)"", ""top_delta"": ""(0, 4):1"", ""top_line_type"": ""horizontal:1""}, {""added"": 1, ""added_bbox"": ""(17, 4, 17, 4)"", ""color"": 6, ""delta_counts"": {""0,-3"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 25, ""line_counts"": {""horizontal"": 1}, ""mean_manhattan"": 3.0, ""output_count"": 25, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(17, 7, 17, 7)"", ""top_delta"": ""(0, -3):1"", ""top_line_type"": ""horizontal:1""}]","0,4",horizontal,74,"(0, 3, 23, 11)",True,"(0, 3, 23, 11)",0,2,"(24, 14)",arc-gen
3,"1,0:1 -2,0:1 -7,0:1",vertical:3,3,3,True,"[{""added"": 0, ""added_bbox"": ""None"", ""color"": 3, ""input_count"": 30, ""output_count"": 30, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 1, ""added_bbox"": ""(8, 18, 8, 18)"", ""color"": 4, ""delta_counts"": {""1,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 31, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 1.0, ""output_count"": 31, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(7, 18, 7, 18)"", ""top_delta"": ""(1, 0):1"", ""top_line_type"": ""vertical:1""}, {""added"": 2, ""added_bbox"": ""(4, 13, 4, 26)"", ""color"": 9, ""delta_counts"": {""-2,0"": 1, ""-7,0"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 32, ""line_counts"": {""vertical"": 2}, ""mean_manhattan"": 4.5, ""output_count"": 32, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(6, 13, 11, 26)"", ""top_delta"": ""(-2, 0):1 (-7, 0):1"", ""top_line_type"": ""vertical:2""}]","1,0",vertical,75,"(3, 0, 16, 29)",True,"(3, 0, 16, 29)",0,3,"(19, 30)",arc-gen
2,"-15,0:1 -2,0:1",vertical:2,3,3,False,"[{""added"": 1, ""added_bbox"": ""(7, 6, 7, 6)"", ""color"": 1, ""delta_counts"": {""-15,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 19, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 15.0, ""output_count"": 19, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(22, 6, 22, 6)"", ""top_delta"": ""(-15, 0):1"", ""top_line_type"": ""vertical:1""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 4, ""input_count"": 18, ""output_count"": 18, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 5, ""input_count"": 2, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 2, ""removed_bbox"": ""(16, 1, 18, 17)""}, {""added"": 1, ""added_bbox"": ""(21, 15, 21, 15)"", ""color"": 8, ""delta_counts"": {""-2,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 19, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 2.0, ""output_count"": 19, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(23, 15, 23, 15)"", ""top_delta"": ""(-2, 0):1"", ""top_line_type"": ""vertical:1""}]","-15,0",vertical,76,"(6, 0, 23, 17)",False,"(6, 0, 21, 17)",0,4,"(25, 18)",arc-gen
5,"4,0:1 2,0:1 -6,0:1 7,0:1 -1,0:1",vertical:5,3,3,False,"[{""added"": 2, ""added_bbox"": ""(11, 5, 11, 18)"", ""color"": 1, ""delta_counts"": {""2,0"": 1, ""4,0"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 29, ""line_counts"": {""vertical"": 2}, ""mean_manhattan"": 3.0, ""output_count"": 29, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(7, 5, 9, 18)"", ""top_delta"": ""(4, 0):1 (2, 0):1"", ""top_line_type"": ""vertical:2""}, {""added"": 1, ""added_bbox"": ""(4, 9, 4, 9)"", ""color"": 6, ""delta_counts"": {""-6,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 28, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 6.0, ""output_count"": 28, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(10, 9, 10, 9)"", ""top_delta"": ""(-6, 0):1"", ""top_line_type"": ""vertical:1""}, {""added"": 2, ""added_bbox"": ""(17, 3, 19, 23)"", ""color"": 7, ""delta_counts"": {""-1,0"": 1, ""7,0"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 29, ""line_counts"": {""vertical"": 2}, ""mean_manhattan"": 4.0, ""output_count"": 29, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(10, 3, 20, 23)"", ""top_delta"": ""(7, 0):1 (-1, 0):1"", ""top_line_type"": ""vertical:2""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 8, ""input_count"": 1, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 1, ""removed_bbox"": ""(10, 20, 10, 20)""}]","4,0",vertical,77,"(3, 0, 20, 26)",False,"(3, 0, 19, 26)",0,6,"(21, 27)",arc-gen
6,"0,4:1 0,1:1 0,-10:1 0,-12:1 0,-18:1 0,10:1",horizontal:6,3,3,True,"[{""added"": 3, ""added_bbox"": ""(2, 10, 15, 12)"", ""color"": 1, ""delta_counts"": {""0,-10"": 1, ""0,1"": 1, ""0,4"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 20, ""line_counts"": {""horizontal"": 3}, ""mean_manhattan"": 5.0, ""output_count"": 20, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(2, 6, 15, 22)"", ""top_delta"": ""(0, 4):1 (0, 1):1 (0, -10):1"", ""top_line_type"": ""horizontal:3""}, {""added"": 2, ""added_bbox"": ""(7, 4, 11, 4)"", ""color"": 3, ""delta_counts"": {""0,-12"": 1, ""0,-18"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 19, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 15.0, ""output_count"": 19, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(7, 16, 11, 22)"", ""top_delta"": ""(0, -12):1 (0, -18):1"", ""top_line_type"": ""horizontal:2""}, {""added"": 1, ""added_bbox"": ""(8, 17, 8, 17)"", ""color"": 5, ""delta_counts"": {""0,10"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 18, ""line_counts"": {""horizontal"": 1}, ""mean_manhattan"": 10.0, ""output_count"": 18, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(8, 7, 8, 7)"", ""top_delta"": ""(0, 10):1"", ""top_line_type"": ""horizontal:1""}]","0,4",horizontal,78,"(0, 3, 16, 22)",True,"(0, 3, 16, 18)",0,6,"(17, 23)",arc-gen
3,"-14,0:2 -3,0:1",vertical:3,3,3,False,"[{""added"": 0, ""added_bbox"": ""None"", ""color"": 1, ""input_count"": 1, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 1, ""removed_bbox"": ""(15, 19, 15, 19)""}, {""added"": 1, ""added_bbox"": ""(13, 12, 13, 12)"", ""color"": 2, ""delta_counts"": {""-3,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 29, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 3.0, ""output_count"": 29, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(16, 12, 16, 12)"", ""top_delta"": ""(-3, 0):1"", ""top_line_type"": ""vertical:1""}, {""added"": 2, ""added_bbox"": ""(4, 3, 4, 4)"", ""color"": 7, ""delta_counts"": {""-14,0"": 2}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 30, ""line_counts"": {""vertical"": 2}, ""mean_manhattan"": 14.0, ""output_count"": 30, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(18, 3, 18, 4)"", ""top_delta"": ""(-14, 0):2"", ""top_line_type"": ""vertical:2""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 8, ""input_count"": 28, ""output_count"": 28, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}]","-14,0",vertical,79,"(3, 0, 20, 27)",False,"(3, 0, 20, 27)",0,4,"(21, 28)",arc-gen
