idx,output_shape,component_count,shape_match_count,exactish_count,chosen_color,chosen_size,chosen_area,chosen_r0,chosen_c0,crop_exact,mask_binary,mask_colorized,rank_size_desc,rank_area_desc,rank_r0_asc,rank_c0_asc,rank_color_asc
24,3x3,3,2,1,1,8,9,3,0,True,False,True,0,0,1,0,0
25,4x3,3,1,1,8,9,12,0,3,True,False,True,0,0,0,0,2
26,3x3,4,2,1,5,8,9,1,0,True,False,True,0,1,1,0,1
27,3x3,3,2,1,5,9,9,2,5,True,False,True,0,0,0,1,1
28,3x3,3,2,1,6,8,9,5,0,True,False,True,0,1,2,0,2
29,4x3,3,1,1,7,9,12,3,7,True,False,True,0,0,1,2,2
30,4x3,3,1,1,1,9,12,0,0,True,False,True,0,0,0,0,0
31,3x3,3,1,1,6,6,9,2,4,True,False,True,0,0,0,1,1
32,4x3,3,1,1,4,9,12,2,8,True,False,True,0,0,1,2,0
33,3x3,3,2,1,9,8,9,2,12,True,False,True,0,1,1,2,2
34,3x3,3,1,1,1,6,9,6,3,True,False,True,0,0,2,1,0
35,3x3,3,1,1,7,7,9,2,10,True,False,True,0,0,2,2,2
36,4x3,3,1,1,6,9,12,0,1,True,False,True,0,0,0,1,1
37,4x3,4,1,1,9,9,12,3,0,True,False,True,0,0,1,0,3
38,4x3,3,1,1,2,9,12,3,4,True,False,True,0,0,1,1,0
39,4x3,4,1,1,3,9,12,2,9,True,False,True,0,0,2,3,1
40,3x2,3,1,1,9,6,6,0,0,True,False,True,0,0,0,0,2
41,4x3,3,1,1,9,9,12,3,7,True,False,True,0,0,1,2,2
42,4x3,3,1,1,8,9,12,1,8,True,False,True,0,0,1,2,2
43,3x3,3,1,1,5,7,9,4,7,True,False,True,0,0,2,2,0
44,3x3,3,2,1,2,7,9,3,0,True,False,True,0,1,2,0,1
45,3x3,3,2,1,6,8,9,4,4,True,False,True,0,0,1,1,2
46,3x3,3,1,1,7,8,9,1,0,True,False,True,0,0,0,0,2
47,3x3,3,2,1,1,8,9,1,4,True,False,True,0,1,1,2,0
48,3x3,3,1,1,6,6,9,4,6,True,False,True,0,0,1,2,2
49,4x3,3,1,1,5,9,12,0,5,True,False,True,0,0,1,1,2
50,3x3,4,3,1,4,9,9,0,5,True,False,True,0,1,1,2,2
51,3x3,3,1,1,1,8,9,3,2,True,False,True,0,0,2,0,0
52,3x3,3,1,1,3,6,9,3,7,True,False,True,0,0,1,2,0
53,4x3,3,1,1,5,9,12,0,1,True,False,True,0,0,0,0,1
54,3x3,3,1,1,5,7,9,2,3,True,False,True,0,0,2,1,1
55,3x3,3,2,1,3,8,9,3,6,True,False,True,0,0,1,1,1
56,3x3,3,2,1,8,8,9,2,8,True,False,True,0,1,2,2,2
57,2x3,3,2,1,8,5,6,6,4,True,False,True,0,1,2,1,2
58,3x3,3,2,1,7,8,9,3,5,True,False,True,0,1,2,2,2
59,4x3,4,1,1,4,9,12,0,0,True,False,True,0,0,0,0,2
60,2x3,3,1,1,2,5,6,6,9,True,False,True,0,0,2,2,0
61,4x3,4,1,1,2,9,12,3,0,True,False,True,0,0,2,0,0
62,3x3,3,1,1,3,6,9,1,0,True,False,True,0,0,0,0,0
63,3x3,3,1,1,1,8,9,3,0,True,False,True,0,0,1,0,0
64,3x3,4,2,1,4,9,9,0,0,True,False,True,0,0,0,0,1
65,3x3,3,1,1,9,8,9,2,4,True,False,True,0,0,0,1,2
66,4x3,3,1,1,4,9,12,0,2,True,False,True,0,0,0,0,1
67,4x3,3,1,1,3,9,12,1,5,True,False,True,0,0,1,1,0
68,4x3,4,1,1,7,9,12,2,4,True,False,True,0,0,1,1,2
69,3x3,4,1,1,5,7,9,0,8,True,False,True,0,0,0,2,1
70,3x3,3,1,1,7,7,9,1,1,True,False,True,0,0,0,0,2
71,3x3,3,1,1,2,6,9,2,6,True,False,True,0,0,0,1,1
72,3x3,4,2,1,9,8,9,0,5,True,False,True,0,0,0,3,3
73,3x3,4,1,1,1,8,9,0,9,True,False,True,0,0,1,2,0
74,4x3,3,1,1,3,9,12,0,4,True,False,True,0,0,0,0,0
75,2x3,3,1,1,1,5,6,5,2,True,False,True,0,0,2,1,0
76,3x3,3,1,1,5,7,9,6,2,True,False,True,0,0,1,0,1
77,3x3,3,2,1,7,8,9,5,8,True,False,True,0,1,2,2,2
78,3x3,3,1,1,3,8,9,6,4,True,False,True,0,0,1,0,0
79,4x3,4,1,1,2,9,12,4,6,True,False,True,0,0,3,2,0
80,4x3,3,1,1,5,9,12,1,0,True,False,True,0,0,0,0,1
81,3x3,3,1,1,2,8,9,6,2,True,False,True,0,0,2,0,0
82,4x3,3,1,1,2,9,12,2,1,True,False,True,0,0,1,0,0
83,3x3,3,2,1,1,8,9,0,6,True,False,True,0,0,0,1,0
84,3x3,3,2,1,3,9,9,2,5,True,False,True,0,1,1,2,0
85,4x3,3,1,1,9,9,12,3,0,True,False,True,0,0,0,0,2
86,3x3,4,2,1,4,8,9,1,1,True,False,True,0,1,1,0,2
87,3x3,3,2,1,8,8,9,4,9,True,False,True,0,1,2,2,2
88,4x3,3,1,1,1,9,12,1,7,True,False,True,0,0,1,1,0
89,4x3,4,1,1,7,9,12,4,2,True,False,True,0,0,2,1,2
90,3x3,3,2,1,8,7,9,3,9,True,False,True,0,1,2,2,2
91,3x3,3,2,1,3,7,9,3,0,True,False,True,0,1,1,0,0
92,3x3,3,1,1,2,6,9,3,7,True,False,True,0,0,2,2,0
93,4x3,3,1,1,6,9,12,1,7,True,False,True,0,0,1,2,1
94,3x3,3,1,1,8,7,9,3,4,True,False,True,0,0,1,2,2
95,3x3,3,1,1,4,8,9,0,0,True,False,True,0,0,0,0,1
96,3x3,3,1,1,8,8,9,4,1,True,False,True,0,0,1,0,2
97,3x3,3,2,1,5,8,9,4,0,True,False,True,0,1,2,1,0
98,3x3,4,2,1,4,8,9,0,6,True,False,True,0,0,1,3,0
99,3x3,3,2,1,2,8,9,3,0,True,False,True,0,1,2,0,0
100,3x3,4,2,1,6,7,9,4,5,True,False,True,0,1,2,2,1
101,4x3,3,1,1,8,9,12,0,7,True,False,True,0,0,1,1,2
102,4x3,4,1,1,5,9,12,4,7,True,False,True,0,0,3,2,2
103,4x3,4,1,1,3,9,12,0,0,True,False,True,0,0,0,0,1
104,3x3,3,1,1,5,8,9,1,9,True,False,True,0,0,0,2,1
105,4x3,3,1,1,8,9,12,0,1,True,False,True,0,0,0,0,2
106,3x3,3,2,1,5,8,9,5,5,True,False,True,0,1,2,1,0
107,4x3,3,1,1,4,9,12,4,7,True,False,True,0,0,1,2,0
108,3x3,3,1,1,6,8,9,0,8,True,False,True,0,0,1,2,1
109,4x3,3,1,1,5,9,12,0,4,True,False,True,0,0,0,1,1
110,3x2,3,1,1,8,6,6,0,7,True,False,True,0,0,0,2,2
111,4x3,4,1,1,9,9,12,4,4,True,False,True,0,0,2,2,3
112,4x3,4,1,1,8,9,12,1,6,True,False,True,0,0,1,2,3
113,4x3,3,1,1,3,9,12,0,0,True,False,True,0,0,0,0,1
114,4x3,4,1,1,7,9,12,0,6,True,False,True,0,0,1,3,3
115,3x3,3,2,1,7,8,9,5,0,True,False,True,0,1,1,0,2
116,4x3,3,1,1,2,9,12,1,4,True,False,True,0,0,0,1,0
117,2x3,3,2,1,1,5,6,0,5,True,False,True,0,0,0,2,0
118,3x3,3,2,1,4,7,9,0,2,True,False,True,0,0,0,0,1
119,3x3,3,1,1,4,7,9,0,4,True,False,True,0,0,0,0,0
120,3x3,3,1,1,6,6,9,4,8,True,False,True,0,0,1,2,2
121,3x3,4,1,1,6,6,9,5,2,True,False,True,0,0,2,1,1
122,3x3,3,2,1,3,8,9,4,4,True,False,True,0,0,1,1,0
123,3x3,3,1,1,6,6,9,2,1,True,False,True,0,0,1,0,1
124,3x3,4,2,1,2,8,9,3,4,True,False,True,0,1,3,1,0
125,4x3,4,1,1,6,9,12,0,8,True,False,True,0,0,1,3,2
126,3x3,3,1,1,9,6,9,0,0,True,False,True,0,0,0,0,2
127,3x3,3,1,1,9,6,9,3,5,True,False,True,0,0,2,2,2
128,4x3,4,1,1,3,9,12,0,6,True,False,True,0,0,1,2,0
129,3x3,3,2,1,8,8,9,3,1,True,False,True,0,1,2,0,2
130,4x3,4,1,1,4,9,12,2,4,True,False,True,0,0,1,1,2
131,4x3,3,1,1,1,9,12,0,7,True,False,True,0,0,1,2,0
132,3x3,4,2,1,9,8,9,0,7,True,False,True,0,0,1,3,3
133,2x3,3,1,1,2,5,6,2,1,True,False,True,0,0,0,0,1
134,3x3,4,2,1,9,8,9,1,8,True,False,True,0,1,2,3,3
135,3x3,3,1,1,1,8,9,0,6,True,False,True,0,0,0,2,0
136,3x3,4,1,1,1,8,9,2,9,True,False,True,0,0,2,3,0
137,3x3,3,2,1,8,7,9,1,7,True,False,True,0,1,1,2,2
138,3x3,4,1,1,6,7,9,2,6,True,False,True,0,0,1,2,3
139,2x3,3,2,1,2,5,6,3,9,True,False,True,0,1,2,1,0
140,2x3,3,2,1,7,5,6,2,0,True,False,True,0,0,1,0,1
141,3x3,3,2,1,7,8,9,0,8,True,False,True,0,0,0,2,2
142,3x3,4,2,1,5,7,9,4,7,True,False,True,0,1,2,3,1
143,3x3,4,2,1,2,8,9,2,3,True,False,True,0,1,1,2,0
144,3x3,3,1,1,2,7,9,1,1,True,False,True,0,0,0,0,0
145,4x3,4,1,1,6,9,12,2,0,True,False,True,0,0,1,0,1
146,4x3,3,1,1,9,9,12,0,8,True,False,True,0,0,0,2,2
147,4x3,3,1,1,2,9,12,2,7,True,False,True,0,0,0,2,0
148,4x3,3,1,1,2,9,12,0,5,True,False,True,0,0,0,1,0
149,3x3,3,1,1,9,7,9,1,0,True,False,True,0,0,1,0,2
150,4x3,4,1,1,7,9,12,0,2,True,False,True,0,0,0,1,2
151,3x3,3,1,1,7,7,9,3,5,True,False,True,0,0,1,1,2
152,3x3,3,1,1,9,7,9,0,8,True,False,True,0,0,1,2,2
153,3x3,3,2,1,2,9,9,0,0,True,False,True,0,0,0,0,0
154,3x3,3,3,1,2,9,9,1,6,True,False,True,0,1,1,2,1
155,3x3,3,3,1,3,9,9,0,5,True,False,True,0,0,0,1,0
156,3x3,3,1,1,8,8,9,1,0,True,False,True,0,0,1,0,2
157,3x3,3,1,1,5,7,9,2,6,True,False,True,0,0,1,2,2
158,3x3,3,1,1,4,8,9,0,3,True,False,True,0,0,0,0,0
159,3x3,3,1,1,7,7,9,2,11,True,False,True,0,0,1,2,1
160,4x3,3,1,1,3,9,12,0,2,True,False,True,0,0,0,0,1
161,3x3,3,2,1,7,9,9,0,2,True,False,True,0,0,0,1,2
162,3x3,3,1,1,7,8,9,0,6,True,False,True,0,0,0,1,2
163,3x3,4,1,1,6,6,9,0,1,True,False,True,0,0,0,0,3
164,4x3,3,1,1,8,9,12,4,3,True,False,True,0,0,1,0,2
165,3x3,3,1,1,8,6,9,0,8,True,False,True,0,0,1,1,2
166,4x3,3,1,1,4,9,12,0,0,True,False,True,0,0,0,0,1
167,3x3,3,2,1,6,8,9,4,0,True,False,True,0,1,1,0,1
168,4x3,3,1,1,2,9,12,0,9,True,False,True,0,0,0,2,0
169,4x3,3,1,1,6,9,12,0,1,True,False,True,0,0,0,0,2
170,3x3,3,2,1,4,7,9,5,3,True,False,True,0,1,2,2,1
171,3x3,3,1,1,6,7,9,1,0,True,False,True,0,0,0,0,2
172,2x3,3,1,1,7,5,6,4,1,True,False,True,0,0,1,0,2
173,4x3,3,1,1,4,9,12,4,7,True,False,True,0,0,1,2,0
174,3x3,4,2,1,3,8,9,1,7,True,False,True,0,0,1,3,1
175,4x3,3,1,1,7,9,12,2,1,True,False,True,0,0,1,0,2
176,4x3,3,1,1,5,9,12,0,0,True,False,True,0,0,0,0,0
177,3x3,3,2,1,4,7,9,2,8,True,False,True,0,0,0,1,0
178,4x3,3,1,1,7,9,12,3,3,True,False,True,0,0,1,0,1
179,4x3,3,1,1,6,9,12,2,0,True,False,True,0,0,0,0,1
180,3x3,3,1,1,1,8,9,1,0,True,False,True,0,0,0,0,0
181,4x3,3,1,1,9,9,12,0,0,True,False,True,0,0,0,0,2
182,3x3,3,1,1,8,6,9,1,3,True,False,True,0,0,1,0,1
183,3x3,3,1,1,5,6,9,2,6,True,False,True,0,0,1,2,0
184,3x3,3,2,1,6,8,9,0,8,True,False,True,0,0,0,1,2
185,4x3,3,1,1,9,9,12,0,1,True,False,True,0,0,0,0,2
186,3x3,4,2,1,5,8,9,4,7,True,False,True,0,1,3,3,1
187,3x3,3,1,1,2,6,9,3,8,True,False,True,0,0,2,2,1
188,3x3,3,1,1,1,8,9,3,8,True,False,True,0,0,1,2,0
189,3x3,3,2,1,3,8,9,0,7,True,False,True,0,1,1,1,1
190,3x3,3,1,1,7,6,9,3,9,True,False,True,0,0,2,2,1
191,3x3,3,2,1,6,8,9,2,2,True,False,True,0,1,1,0,1
192,3x3,3,1,1,7,8,9,3,7,True,False,True,0,0,1,1,1
193,3x3,3,2,1,2,9,9,2,11,True,False,True,0,0,1,2,0
194,3x3,3,1,1,2,8,9,6,8,True,False,True,0,0,2,2,1
195,3x3,3,1,1,4,7,9,1,5,True,False,True,0,0,0,2,1
196,4x3,3,1,1,5,9,12,5,5,True,False,True,0,0,2,2,1
197,3x3,3,2,1,9,8,9,1,0,True,False,True,0,0,0,0,2
198,4x3,3,1,1,5,9,12,0,3,True,False,True,0,0,0,1,2
199,4x3,3,1,1,2,9,12,4,5,True,False,True,0,0,2,2,0
200,4x3,4,1,1,2,9,12,1,10,True,False,True,0,0,2,3,0
201,3x3,4,1,1,7,7,9,1,6,True,False,True,0,0,1,2,2
202,3x3,3,1,1,2,7,9,5,7,True,False,True,0,0,2,2,1
203,3x3,3,1,1,5,8,9,2,0,True,False,True,0,0,2,0,1
204,3x3,3,1,1,4,6,9,2,9,True,False,True,0,0,2,2,0
205,3x3,3,2,1,1,7,9,2,3,True,False,True,0,1,2,1,0
206,3x3,3,2,1,6,8,9,3,3,True,False,True,0,1,2,1,2
207,3x2,3,1,1,8,6,6,0,2,True,False,True,0,0,0,1,2
208,3x3,3,2,1,8,8,9,0,0,True,False,True,0,0,0,0,1
209,3x3,4,2,1,3,8,9,4,9,True,False,True,0,1,2,3,0
210,3x3,3,1,1,9,8,9,4,5,True,False,True,0,0,2,1,2
211,4x3,3,1,1,1,9,12,0,6,True,False,True,0,0,0,1,0
212,4x3,3,1,1,6,9,12,2,1,True,False,True,0,0,0,0,1
213,3x3,3,1,1,7,8,9,1,2,True,False,True,0,0,0,0,1
214,4x3,3,1,1,7,9,12,4,6,True,False,True,0,0,1,2,1
215,3x3,3,2,1,1,7,9,2,6,True,False,True,0,1,1,2,0
216,3x3,3,1,1,5,6,9,0,0,True,False,True,0,0,0,0,0
217,4x3,3,1,1,9,9,12,0,9,True,False,True,0,0,1,2,2
218,3x3,3,2,1,9,7,9,1,5,True,False,True,0,0,0,1,2
219,3x3,3,2,1,7,7,9,5,4,True,False,True,0,0,1,1,1
220,3x3,3,2,1,7,8,9,0,10,True,False,True,0,1,1,2,2
221,3x3,4,2,1,2,8,9,1,5,True,False,True,0,1,1,2,0
222,4x3,3,1,1,8,9,12,0,0,True,False,True,0,0,0,0,2
223,3x2,4,1,1,1,6,6,5,3,True,False,True,0,2,3,1,0
224,3x3,3,1,1,6,7,9,2,2,True,False,True,0,0,1,0,1
225,3x3,3,1,1,1,6,9,5,0,True,False,True,0,0,1,0,0
226,4x3,3,1,1,9,9,12,4,5,True,False,True,0,0,2,1,2
227,4x3,3,1,1,9,9,12,1,3,True,False,True,0,0,1,0,2
228,3x3,3,3,1,1,8,9,0,8,True,False,True,0,1,1,1,0
229,3x3,3,1,1,1,8,9,3,9,True,False,True,0,0,2,2,0
230,3x3,4,3,1,3,8,9,4,4,True,False,True,0,2,2,1,1
231,3x3,3,2,1,6,9,9,1,2,True,False,True,0,0,0,0,1
232,2x3,3,2,1,5,5,6,0,0,True,False,True,0,0,0,0,1
233,3x3,4,2,1,1,7,9,0,3,True,False,True,0,0,0,1,0
234,4x3,3,1,1,6,9,12,4,2,True,False,True,0,0,1,0,1
235,3x3,3,1,1,6,8,9,3,9,True,False,True,0,0,1,2,1
236,3x3,3,1,1,7,8,9,1,8,True,False,True,0,0,1,2,2
237,4x3,3,1,1,3,9,12,0,4,True,False,True,0,0,0,1,1
238,4x3,3,1,1,2,9,12,2,2,True,False,True,0,0,1,0,0
239,3x3,3,2,1,6,8,9,5,0,True,False,True,0,1,1,0,1
240,3x3,3,2,1,9,8,9,4,1,True,False,True,0,1,2,0,2
241,3x3,3,2,1,6,8,9,0,6,True,False,True,0,0,0,1,1
242,3x3,3,2,1,8,7,9,5,1,True,False,True,0,1,2,0,2
243,3x3,3,2,1,9,8,9,4,0,True,False,True,0,0,1,0,2
244,3x3,3,1,1,3,7,9,1,9,True,False,True,0,0,0,2,1
245,4x3,3,1,1,3,9,12,1,0,True,False,True,0,0,1,0,0
246,3x3,3,1,1,8,6,9,1,6,True,False,True,0,0,2,1,1
247,3x3,3,1,1,8,7,9,0,1,True,False,True,0,0,0,0,1
248,4x3,3,1,1,1,9,12,1,1,True,False,True,0,0,1,0,0
249,4x3,3,1,1,1,9,12,1,8,True,False,True,0,0,1,1,0
250,3x3,3,1,1,7,8,9,4,7,True,False,True,0,0,2,2,2
251,3x3,4,3,1,2,8,9,5,1,True,False,True,0,1,2,0,1
252,3x2,3,1,1,3,6,6,1,2,True,False,True,0,0,0,1,0
253,4x3,3,1,1,8,9,12,0,9,True,False,True,0,0,1,2,2
254,3x3,3,1,1,4,7,9,5,3,True,False,True,0,0,2,2,0
255,2x3,3,1,1,5,5,6,2,11,True,False,True,0,0,2,2,0
256,3x3,4,2,1,3,8,9,5,1,True,False,True,0,1,2,1,1
257,4x3,3,1,1,2,9,12,1,5,True,False,True,0,0,1,2,1
258,3x3,3,2,1,6,8,9,2,9,True,False,True,0,1,1,2,1
259,4x3,4,1,1,5,9,12,2,0,True,False,True,0,0,1,0,1
260,3x3,3,1,1,5,6,9,4,4,True,False,True,0,0,2,1,2
261,4x3,3,1,1,2,9,12,0,0,True,False,True,0,0,0,0,0
262,3x3,3,2,1,7,7,9,6,0,True,False,True,0,1,2,0,2
263,2x3,3,1,1,2,5,6,6,4,True,False,True,0,0,2,1,1
264,4x3,3,1,1,2,9,12,0,1,True,False,True,0,0,0,0,0
265,4x3,3,1,1,7,9,12,1,10,True,False,True,0,0,0,2,1
266,4x3,4,1,1,9,9,12,2,7,True,False,True,0,0,1,3,3
