task_id,cost,route,archetype,op_sequence,conv_class,compiler_note,weight_shape,bias_shape,kernel,out_channels,in_channels,nonzero,weight_size,density,unique_nonzero_values,max_abs_weight,groups,pads,strides,dilations,per_out_nonzero_min,per_out_nonzero_max,per_in_nonzero_min,per_in_nonzero_max,sha256
98,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,general_conv_kernel,Inspect manually before compiler emission.,10x10x3x3,10,3x3,10,10,900,900,1.0,"-5.05936,-5.04062,-4.92657,-4.91158,-4.89412,-4.88875,-4.88318,-4.87742,-4.84425,-4.83543,-4.77822,-4.77456,-4.76715,-4.76465,-4.75292,-4.73676,-4.73336,-4.72183,-4.71828,-4.71732",8.11963176727295,1,"1,1,1,1",,,90,90,90,90,a8f900b509645e6f976a19b886bfbb64685e0fdee99c5ec60fc805eed20545b5
120,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,general_conv_kernel,Inspect manually before compiler emission.,10x10x3x3,10,3x3,10,10,366,900,0.4066666666666667,"-5.06768,-4.83958,-4.80602,-4.65655,-4.57337,-4.49094,-4.48516,-4.47708,-4.28748,-4.2708,-4.10213,-3.87317,-2.99362,-2.94959,-2.81459,-2.15994,-2.13081,-2.0889,-2.03941,-2.01959",7.761297225952148,1,"1,1,1,1",,,36,37,1,90,0785e5a0983b2b5c6b626a8b0d271359db71a4c00c97d2ad82d835bcf5d32754
147,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,10,3x3,10,10,54,900,0.06,"-2.02524,-1.56148,-1.00714,-1.00556,-0.997869,-0.991979,-0.764367,-0.413753,-0.407052,-0.405721,-0.400251,-0.324676,-0.323709,-0.319071,-0.315219,-0.310098,-0.306151,-0.302625,-0.29688,-0.14363",2.0252444744110107,1,"1,1,1,1",,,0,18,0,27,20e31f9954eb07b1ed602c8e9d6d2e7591d1c02862d3c665f9ef9a0af12c87d1
151,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,10,3x3,10,10,202,900,0.22444444444444445,"-0.0233333,-0.02,-0.00666667,-0.00333333,0.02,0.0266667,0.03,0.04",0.03999999910593033,1,"1,1,1,1","1,1","1,1",15,49,0,24,78279de40234dc3b49f23ce8efa2aa776b92bd38a0a498486896af47e8e1057f
171,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,10,3x3,10,10,18,900,0.02,"-1.07677,-1.01156,-0.818782,-0.267384,0.0709006,0.108206,0.396027,0.64265,0.656108,0.678434,0.68024,1.8545",1.854495882987976,1,"1,1,1,1",,,0,9,0,18,870d03d11f50675a25e91011d3de920f98d7b42c7cea3ef00ac5889afbe2b765
266,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,10,3x3,10,10,90,900,0.1,"-2.26962,-2.2374,-2.16246,-1.04868,-0.99623,-0.780392,-0.780392,-0.555853,-0.555851,-0.202421,-0.202421,-0.201374,-0.175552,-0.112974,-0.112974,-0.0989701,-0.0951519,-0.0951518,-0.0874798,-0.0520507",2.2696194648742676,1,"1,1,1,1",,,0,18,0,45,9266080d8ed294e52e63b99529da14cc1579383439176769c66563d294d12414
272,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,10,3x3,10,10,54,900,0.06,"-2.08506,-1.57589,-1.1151,-1.10487,-1.10291,-1.10201,-0.850215,-0.429528,-0.428964,-0.410148,-0.404867,-0.346171,-0.336191,-0.332491,-0.331521,-0.329121,-0.326923,-0.323763,-0.32009,-0.149604",2.08506178855896,1,"1,1,1,1",,,0,18,0,27,2d16a68fb9c67906f50d61d5ef9d7ea99b5be9e1241a424a754da7a4a9554267
283,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,10,3x3,10,10,72,900,0.08,"-2.02147,-1.68865,-1.68202,-1.67507,-1.62722,-1.04386,-1.03452,-1.01559,-0.670552,-0.653651,-0.555889,-0.555886,-0.555884,-0.555882,-0.324409,-0.32299,-0.2912,-0.2912,-0.26023,-0.26023",2.75150728225708,1,"1,1,1,1",,,0,18,0,36,8db88668af17c5c730bab617d6a4a0585532ddb4633d97ae3c3317a3e7b9226a
294,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,10,3x3,10,10,54,900,0.06,"-2.00238,-0.811014,-0.78426,-0.775398,-0.728325,-0.727447,-0.555855,-0.555853,-0.55585,-0.359079,-0.320879,-0.250305,-0.249789,-0.237586,-0.231724,-0.177954,-0.153962,-0.113976,-0.101991,-0.0925231",2.002380132675171,1,"1,1,1,1",,,0,18,0,27,5037f105281aeed7f850b84f0b90baa656d0667ae2c026d838e8c61ca2bcfb8e
331,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,10,3x3,10,10,188,900,0.2088888888888889,"-9.63036,-9.61405,-9.4719,-9.4572,-7.81142,-3.21904,-3.16523,-3.04656,-3.04439,-3.03079,-2.99474,-2.96772,-2.8111,-2.67833,-2.58197,-2.52528,-2.46328,-2.41617,-2.40846,-2.40647",11.068929672241211,1,"1,1,1,1",,,18,19,1,90,5d958e2bec660aada61848feb0b17c6bd6433a91959a3674a3b4f8d7dbb98f04
