idx,split,input_shape,output_shape,exact_crop_matches,exact_crop_positions,nonzero_bbox_match,color_bbox_matches,component_bbox_matches,component_bbox_shapes,crop_with_color_remap_matches,best_signal
46,arc-gen,"(15, 26)","(15, 13)",0,[],0,[],0,"{""(15, 26)"": 1}",0,no_crop_signal
47,arc-gen,"(24, 12)","(12, 12)",0,[],0,[],0,"{""(24, 12)"": 1}",0,no_crop_signal
48,arc-gen,"(26, 11)","(13, 11)",0,[],0,[],0,"{""(26, 11)"": 1}",0,no_crop_signal
49,arc-gen,"(10, 18)","(10, 9)",0,[],0,[],0,"{""(10, 18)"": 1}",0,no_crop_signal
50,arc-gen,"(12, 22)","(12, 11)",0,[],0,[],0,"{""(12, 22)"": 1}",0,no_crop_signal
51,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(11, 13)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
52,arc-gen,"(15, 30)","(15, 15)",0,[],0,[],0,"{""(15, 30)"": 1}",0,no_crop_signal
53,arc-gen,"(14, 28)","(14, 14)",0,[],0,[],0,"{""(14, 28)"": 1}",0,no_crop_signal
54,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(22, 13)"": 1}",0,no_crop_signal
55,arc-gen,"(12, 24)","(12, 12)",0,[],0,[],0,"{""(12, 13)"": 1, ""(1, 2)"": 1, ""(2, 1)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
56,arc-gen,"(10, 18)","(10, 9)",0,[],0,[],0,"{""(10, 10)"": 1, ""(1, 1)"": 2}",0,no_crop_signal
57,arc-gen,"(26, 12)","(13, 12)",0,[],0,[],0,"{""(26, 12)"": 1}",0,no_crop_signal
58,arc-gen,"(10, 22)","(10, 11)",0,[],0,[],0,"{""(10, 22)"": 1}",0,no_crop_signal
59,arc-gen,"(26, 12)","(13, 12)",0,[],0,[],0,"{""(1, 1)"": 3, ""(13, 12)"": 1}",0,no_crop_signal
60,arc-gen,"(15, 26)","(15, 13)",0,[],0,[],0,"{""(15, 26)"": 1}",0,no_crop_signal
61,arc-gen,"(10, 24)","(10, 12)",0,[],0,[],0,"{""(10, 12)"": 1, ""(5, 2)"": 1, ""(7, 3)"": 1}",0,no_crop_signal
62,arc-gen,"(26, 13)","(13, 13)",0,[],0,[],0,"{""(26, 13)"": 1}",0,no_crop_signal
63,arc-gen,"(20, 9)","(10, 9)",0,[],0,[],0,"{""(20, 9)"": 1}",0,no_crop_signal
64,arc-gen,"(30, 15)","(15, 15)",0,[],0,[],0,"{""(30, 15)"": 1}",0,no_crop_signal
65,arc-gen,"(22, 10)","(11, 10)",0,[],0,[],0,"{""(22, 10)"": 1}",0,no_crop_signal
66,arc-gen,"(14, 30)","(14, 15)",0,[],0,[],0,"{""(14, 30)"": 1}",0,no_crop_signal
67,arc-gen,"(26, 11)","(13, 11)",0,[],0,[],0,"{""(26, 11)"": 1}",0,no_crop_signal
68,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(22, 13)"": 1}",0,no_crop_signal
69,arc-gen,"(12, 26)","(12, 13)",0,[],0,[],0,"{""(12, 26)"": 1}",0,no_crop_signal
70,arc-gen,"(30, 16)","(15, 16)",0,[],0,[],0,"{""(30, 16)"": 1}",0,no_crop_signal
71,arc-gen,"(26, 15)","(13, 15)",0,[],0,[],0,"{""(15, 15)"": 1, ""(2, 7)"": 1, ""(2, 3)"": 1}",0,no_crop_signal
72,arc-gen,"(20, 10)","(10, 10)",0,[],0,[],0,"{""(1, 1)"": 1, ""(10, 10)"": 1}",0,no_crop_signal
73,arc-gen,"(14, 28)","(14, 14)",0,[],0,[],0,"{""(14, 28)"": 1}",0,no_crop_signal
74,arc-gen,"(20, 8)","(10, 8)",0,[],0,[],0,"{""(20, 8)"": 1}",0,no_crop_signal
75,arc-gen,"(10, 24)","(10, 12)",0,[],0,[],0,"{""(10, 24)"": 1}",0,no_crop_signal
76,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(22, 13)"": 1}",0,no_crop_signal
77,arc-gen,"(26, 12)","(13, 12)",0,[],0,[],0,"{""(26, 12)"": 1}",0,no_crop_signal
78,arc-gen,"(12, 26)","(12, 13)",0,[],0,[],0,"{""(12, 26)"": 1}",0,no_crop_signal
79,arc-gen,"(12, 28)","(12, 14)",0,[],0,[],0,"{""(12, 28)"": 1}",0,no_crop_signal
80,arc-gen,"(10, 24)","(10, 12)",0,[],0,[],0,"{""(10, 12)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
81,arc-gen,"(11, 26)","(11, 13)",0,[],0,[],0,"{""(11, 26)"": 1}",0,no_crop_signal
82,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(11, 13)"": 1, ""(6, 5)"": 1, ""(2, 2)"": 1}",0,no_crop_signal
83,arc-gen,"(26, 15)","(13, 15)",0,[],0,[],0,"{""(26, 15)"": 1}",0,no_crop_signal
84,arc-gen,"(20, 9)","(10, 9)",0,[],0,[],0,"{""(20, 9)"": 1}",0,no_crop_signal
85,arc-gen,"(12, 22)","(12, 11)",0,[],0,[],0,"{""(12, 22)"": 1}",0,no_crop_signal
86,arc-gen,"(13, 30)","(13, 15)",0,[],0,[],0,"{""(13, 30)"": 1}",0,no_crop_signal
87,arc-gen,"(20, 9)","(10, 9)",0,[],0,[],0,"{""(20, 9)"": 1}",0,no_crop_signal
88,arc-gen,"(12, 26)","(12, 13)",0,[],0,[],0,"{""(12, 26)"": 1}",0,no_crop_signal
89,arc-gen,"(20, 11)","(10, 11)",0,[],0,[],0,"{""(20, 11)"": 1}",0,no_crop_signal
90,arc-gen,"(10, 20)","(10, 10)",0,[],0,[],0,"{""(10, 20)"": 1}",0,no_crop_signal
91,arc-gen,"(11, 20)","(11, 10)",0,[],0,[],0,"{""(11, 20)"": 1}",0,no_crop_signal
92,arc-gen,"(12, 28)","(12, 14)",0,[],0,[],0,"{""(12, 28)"": 1}",0,no_crop_signal
93,arc-gen,"(14, 26)","(14, 13)",0,[],0,[],0,"{""(14, 26)"": 1}",0,no_crop_signal
94,arc-gen,"(22, 12)","(11, 12)",0,[],0,[],0,"{""(22, 12)"": 1}",0,no_crop_signal
95,arc-gen,"(26, 14)","(13, 14)",0,[],0,[],0,"{""(13, 14)"": 1, ""(2, 1)"": 1, ""(1, 1)"": 4}",0,no_crop_signal
96,arc-gen,"(22, 11)","(11, 11)",0,[],0,[],0,"{""(11, 11)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
97,arc-gen,"(28, 15)","(14, 15)",0,[],0,[],0,"{""(28, 15)"": 1}",0,no_crop_signal
98,arc-gen,"(11, 18)","(11, 9)",0,[],0,[],0,"{""(11, 18)"": 1}",0,no_crop_signal
99,arc-gen,"(26, 14)","(13, 14)",0,[],0,[],0,"{""(26, 14)"": 1}",0,no_crop_signal
100,arc-gen,"(30, 16)","(15, 16)",0,[],0,[],0,"{""(1, 1)"": 2, ""(16, 16)"": 1}",0,no_crop_signal
101,arc-gen,"(24, 14)","(12, 14)",0,[],0,[],0,"{""(12, 14)"": 1, ""(1, 1)"": 1, ""(1, 2)"": 1}",0,no_crop_signal
102,arc-gen,"(11, 18)","(11, 9)",0,[],0,[],0,"{""(11, 18)"": 1}",0,no_crop_signal
103,arc-gen,"(20, 12)","(10, 12)",0,[],0,[],0,"{""(20, 12)"": 1}",0,no_crop_signal
104,arc-gen,"(20, 9)","(10, 9)",0,[],0,[],0,"{""(20, 9)"": 1}",0,no_crop_signal
105,arc-gen,"(22, 12)","(11, 12)",0,[],0,[],0,"{""(22, 12)"": 1}",0,no_crop_signal
106,arc-gen,"(22, 11)","(11, 11)",0,[],0,[],0,"{""(1, 2)"": 1, ""(1, 1)"": 1, ""(11, 11)"": 1}",0,no_crop_signal
107,arc-gen,"(15, 32)","(15, 16)",0,[],0,[],0,"{""(15, 32)"": 1}",0,no_crop_signal
108,arc-gen,"(13, 22)","(13, 11)",0,[],0,[],0,"{""(13, 22)"": 1}",0,no_crop_signal
109,arc-gen,"(20, 10)","(10, 10)",0,[],0,[],0,"{""(20, 10)"": 1}",0,no_crop_signal
110,arc-gen,"(13, 26)","(13, 13)",0,[],0,[],0,"{""(13, 26)"": 1}",0,no_crop_signal
111,arc-gen,"(14, 24)","(14, 12)",0,[],0,[],0,"{""(14, 24)"": 1}",0,no_crop_signal
112,arc-gen,"(22, 9)","(11, 9)",0,[],0,[],0,"{""(22, 9)"": 1}",0,no_crop_signal
113,arc-gen,"(28, 14)","(14, 14)",0,[],0,[],0,"{""(28, 14)"": 1}",0,no_crop_signal
114,arc-gen,"(28, 16)","(14, 16)",0,[],0,[],0,"{""(28, 16)"": 1}",0,no_crop_signal
115,arc-gen,"(30, 14)","(15, 14)",0,[],0,[],0,"{""(1, 1)"": 4, ""(1, 2)"": 1, ""(15, 14)"": 1}",0,no_crop_signal
116,arc-gen,"(28, 16)","(14, 16)",0,[],0,[],0,"{""(28, 16)"": 1}",0,no_crop_signal
117,arc-gen,"(13, 30)","(13, 15)",0,[],0,[],0,"{""(13, 30)"": 1}",0,no_crop_signal
118,arc-gen,"(30, 17)","(15, 17)",0,[],0,[],0,"{""(30, 17)"": 1}",0,no_crop_signal
119,arc-gen,"(28, 13)","(14, 13)",0,[],0,[],0,"{""(1, 1)"": 3, ""(14, 13)"": 1}",0,no_crop_signal
120,arc-gen,"(13, 26)","(13, 13)",0,[],0,[],0,"{""(13, 26)"": 1}",0,no_crop_signal
121,arc-gen,"(13, 30)","(13, 15)",0,[],0,[],0,"{""(13, 15)"": 1, ""(1, 3)"": 1, ""(2, 1)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
122,arc-gen,"(22, 11)","(11, 11)",0,[],0,[],0,"{""(22, 11)"": 1}",0,no_crop_signal
123,arc-gen,"(11, 22)","(11, 11)",0,[],0,[],0,"{""(11, 22)"": 1}",0,no_crop_signal
124,arc-gen,"(26, 11)","(13, 11)",0,[],0,[],0,"{""(26, 11)"": 1}",0,no_crop_signal
125,arc-gen,"(28, 12)","(14, 12)",0,[],0,[],0,"{""(28, 12)"": 1}",0,no_crop_signal
126,arc-gen,"(13, 30)","(13, 15)",0,[],0,[],0,"{""(13, 30)"": 1}",0,no_crop_signal
127,arc-gen,"(14, 28)","(14, 14)",0,[],0,[],0,"{""(14, 28)"": 1}",0,no_crop_signal
128,arc-gen,"(13, 24)","(13, 12)",0,[],0,[],0,"{""(13, 24)"": 1}",0,no_crop_signal
129,arc-gen,"(10, 16)","(10, 8)",0,[],0,[],0,"{""(10, 16)"": 1}",0,no_crop_signal
130,arc-gen,"(15, 32)","(15, 16)",0,[],0,[],0,"{""(15, 32)"": 1}",0,no_crop_signal
131,arc-gen,"(20, 9)","(10, 9)",0,[],0,[],0,"{""(20, 9)"": 1}",0,no_crop_signal
132,arc-gen,"(30, 15)","(15, 15)",0,[],0,[],0,"{""(30, 15)"": 1}",0,no_crop_signal
133,arc-gen,"(28, 15)","(14, 15)",0,[],0,[],0,"{""(28, 15)"": 1}",0,no_crop_signal
134,arc-gen,"(12, 20)","(12, 10)",0,[],0,[],0,"{""(12, 20)"": 1}",0,no_crop_signal
135,arc-gen,"(12, 26)","(12, 13)",0,[],0,[],0,"{""(12, 26)"": 1}",0,no_crop_signal
136,arc-gen,"(30, 17)","(15, 17)",0,[],0,[],0,"{""(30, 17)"": 1}",0,no_crop_signal
137,arc-gen,"(14, 32)","(14, 16)",0,[],0,[],0,"{""(14, 32)"": 1}",0,no_crop_signal
138,arc-gen,"(28, 15)","(14, 15)",0,[],0,[],0,"{""(28, 15)"": 1}",0,no_crop_signal
139,arc-gen,"(24, 14)","(12, 14)",0,[],0,[],0,"{""(24, 14)"": 1}",0,no_crop_signal
140,arc-gen,"(13, 30)","(13, 15)",0,[],0,[],0,"{""(13, 30)"": 1}",0,no_crop_signal
141,arc-gen,"(11, 26)","(11, 13)",0,[],0,[],0,"{""(11, 26)"": 1}",0,no_crop_signal
142,arc-gen,"(14, 24)","(14, 12)",0,[],0,[],0,"{""(14, 24)"": 1}",0,no_crop_signal
143,arc-gen,"(10, 24)","(10, 12)",0,[],0,[],0,"{""(10, 24)"": 1}",0,no_crop_signal
144,arc-gen,"(12, 28)","(12, 14)",0,[],0,[],0,"{""(12, 28)"": 1}",0,no_crop_signal
145,arc-gen,"(13, 26)","(13, 13)",0,[],0,[],0,"{""(13, 26)"": 1}",0,no_crop_signal
146,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(22, 13)"": 1}",0,no_crop_signal
147,arc-gen,"(28, 13)","(14, 13)",0,[],0,[],0,"{""(20, 13)"": 1, ""(2, 2)"": 1, ""(2, 4)"": 1}",0,no_crop_signal
148,arc-gen,"(30, 14)","(15, 14)",0,[],0,[],0,"{""(30, 14)"": 1}",0,no_crop_signal
149,arc-gen,"(20, 8)","(10, 8)",0,[],0,[],0,"{""(20, 8)"": 1}",0,no_crop_signal
150,arc-gen,"(24, 11)","(12, 11)",0,[],0,[],0,"{""(24, 11)"": 1}",0,no_crop_signal
151,arc-gen,"(11, 26)","(11, 13)",0,[],0,[],0,"{""(11, 26)"": 1}",0,no_crop_signal
152,arc-gen,"(15, 26)","(15, 13)",0,[],0,[],0,"{""(15, 26)"": 1}",0,no_crop_signal
153,arc-gen,"(24, 13)","(12, 13)",0,[],0,[],0,"{""(24, 13)"": 1}",0,no_crop_signal
154,arc-gen,"(11, 26)","(11, 13)",0,[],0,[],0,"{""(11, 13)"": 1, ""(1, 1)"": 3}",0,no_crop_signal
155,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(11, 13)"": 1, ""(4, 5)"": 1, ""(6, 2)"": 1}",0,no_crop_signal
156,arc-gen,"(12, 28)","(12, 14)",0,[],0,[],0,"{""(12, 28)"": 1}",0,no_crop_signal
157,arc-gen,"(14, 30)","(14, 15)",0,[],0,[],0,"{""(14, 30)"": 1}",0,no_crop_signal
158,arc-gen,"(10, 18)","(10, 9)",0,[],0,[],0,"{""(10, 18)"": 1}",0,no_crop_signal
159,arc-gen,"(12, 20)","(12, 10)",0,[],0,[],0,"{""(12, 20)"": 1}",0,no_crop_signal
160,arc-gen,"(20, 10)","(10, 10)",0,[],0,[],0,"{""(20, 10)"": 1}",0,no_crop_signal
161,arc-gen,"(20, 10)","(10, 10)",0,[],0,[],0,"{""(20, 10)"": 1}",0,no_crop_signal
162,arc-gen,"(12, 28)","(12, 14)",0,[],0,[],0,"{""(12, 28)"": 1}",0,no_crop_signal
163,arc-gen,"(10, 22)","(10, 11)",0,[],0,[],0,"{""(10, 22)"": 1}",0,no_crop_signal
164,arc-gen,"(14, 28)","(14, 14)",0,[],0,[],0,"{""(14, 14)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
165,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(22, 13)"": 1}",0,no_crop_signal
166,arc-gen,"(12, 22)","(12, 11)",0,[],0,[],0,"{""(12, 11)"": 1, ""(1, 2)"": 1, ""(1, 1)"": 2}",0,no_crop_signal
167,arc-gen,"(28, 12)","(14, 12)",0,[],0,[],0,"{""(28, 12)"": 1}",0,no_crop_signal
168,arc-gen,"(26, 12)","(13, 12)",0,[],0,[],0,"{""(13, 12)"": 1, ""(2, 6)"": 1, ""(5, 4)"": 1, ""(2, 7)"": 1}",0,no_crop_signal
169,arc-gen,"(30, 14)","(15, 14)",0,[],0,[],0,"{""(30, 14)"": 1}",0,no_crop_signal
170,arc-gen,"(20, 12)","(10, 12)",0,[],0,[],0,"{""(10, 12)"": 1, ""(6, 5)"": 1, ""(7, 2)"": 1}",0,no_crop_signal
171,arc-gen,"(15, 26)","(15, 13)",0,[],0,[],0,"{""(3, 3)"": 1, ""(15, 13)"": 1, ""(3, 5)"": 1, ""(2, 2)"": 1}",0,no_crop_signal
172,arc-gen,"(30, 13)","(15, 13)",0,[],0,[],0,"{""(16, 13)"": 1, ""(1, 1)"": 2}",0,no_crop_signal
173,arc-gen,"(30, 17)","(15, 17)",0,[],0,[],0,"{""(30, 17)"": 1}",0,no_crop_signal
174,arc-gen,"(24, 10)","(12, 10)",0,[],0,[],0,"{""(24, 10)"": 1}",0,no_crop_signal
175,arc-gen,"(22, 12)","(11, 12)",0,[],0,[],0,"{""(22, 12)"": 1}",0,no_crop_signal
176,arc-gen,"(28, 16)","(14, 16)",0,[],0,[],0,"{""(28, 16)"": 1}",0,no_crop_signal
177,arc-gen,"(20, 8)","(10, 8)",0,[],0,[],0,"{""(20, 8)"": 1}",0,no_crop_signal
178,arc-gen,"(28, 12)","(14, 12)",0,[],0,[],0,"{""(28, 12)"": 1}",0,no_crop_signal
179,arc-gen,"(26, 14)","(13, 14)",0,[],0,[],0,"{""(26, 14)"": 1}",0,no_crop_signal
180,arc-gen,"(30, 15)","(15, 15)",0,[],0,[],0,"{""(30, 15)"": 1}",0,no_crop_signal
181,arc-gen,"(20, 9)","(10, 9)",0,[],0,[],0,"{""(3, 2)"": 1, ""(2, 7)"": 1, ""(10, 9)"": 1}",0,no_crop_signal
182,arc-gen,"(10, 22)","(10, 11)",0,[],0,[],0,"{""(10, 22)"": 1}",0,no_crop_signal
183,arc-gen,"(30, 13)","(15, 13)",0,[],0,[],0,"{""(30, 13)"": 1}",0,no_crop_signal
184,arc-gen,"(14, 24)","(14, 12)",0,[],0,[],0,"{""(14, 24)"": 1}",0,no_crop_signal
185,arc-gen,"(14, 26)","(14, 13)",0,[],0,[],0,"{""(14, 26)"": 1}",0,no_crop_signal
186,arc-gen,"(24, 14)","(12, 14)",0,[],0,[],0,"{""(24, 14)"": 1}",0,no_crop_signal
187,arc-gen,"(24, 13)","(12, 13)",0,[],0,[],0,"{""(24, 13)"": 1}",0,no_crop_signal
188,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(22, 13)"": 1}",0,no_crop_signal
189,arc-gen,"(14, 28)","(14, 14)",0,[],0,[],0,"{""(14, 28)"": 1}",0,no_crop_signal
190,arc-gen,"(11, 22)","(11, 11)",0,[],0,[],0,"{""(11, 22)"": 1}",0,no_crop_signal
191,arc-gen,"(20, 10)","(10, 10)",0,[],0,[],0,"{""(20, 10)"": 1}",0,no_crop_signal
192,arc-gen,"(30, 13)","(15, 13)",0,[],0,[],0,"{""(30, 13)"": 1}",0,no_crop_signal
193,arc-gen,"(28, 15)","(14, 15)",0,[],0,[],0,"{""(28, 15)"": 1}",0,no_crop_signal
194,arc-gen,"(15, 34)","(15, 17)",0,[],0,[],0,"{""(15, 17)"": 1, ""(2, 2)"": 1, ""(4, 4)"": 1, ""(2, 7)"": 1}",0,no_crop_signal
195,arc-gen,"(22, 11)","(11, 11)",0,[],0,[],0,"{""(22, 11)"": 1}",0,no_crop_signal
196,arc-gen,"(15, 30)","(15, 15)",0,[],0,[],0,"{""(15, 15)"": 1, ""(1, 1)"": 1, ""(2, 1)"": 1}",0,no_crop_signal
197,arc-gen,"(30, 14)","(15, 14)",0,[],0,[],0,"{""(2, 2)"": 2, ""(2, 5)"": 1, ""(15, 14)"": 1}",0,no_crop_signal
198,arc-gen,"(22, 11)","(11, 11)",0,[],0,[],0,"{""(7, 2)"": 1, ""(5, 4)"": 1, ""(11, 11)"": 1}",0,no_crop_signal
199,arc-gen,"(10, 24)","(10, 12)",0,[],0,[],0,"{""(10, 24)"": 1}",0,no_crop_signal
200,arc-gen,"(15, 30)","(15, 15)",0,[],0,[],0,"{""(15, 30)"": 1}",0,no_crop_signal
201,arc-gen,"(24, 12)","(12, 12)",0,[],0,[],0,"{""(12, 12)"": 1, ""(5, 6)"": 1, ""(2, 3)"": 1, ""(3, 7)"": 1}",0,no_crop_signal
202,arc-gen,"(13, 30)","(13, 15)",0,[],0,[],0,"{""(13, 15)"": 1, ""(2, 2)"": 1, ""(2, 1)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
203,arc-gen,"(11, 22)","(11, 11)",0,[],0,[],0,"{""(11, 22)"": 1}",0,no_crop_signal
204,arc-gen,"(10, 18)","(10, 9)",0,[],0,[],0,"{""(10, 18)"": 1}",0,no_crop_signal
205,arc-gen,"(15, 26)","(15, 13)",0,[],0,[],0,"{""(15, 26)"": 1}",0,no_crop_signal
206,arc-gen,"(14, 24)","(14, 12)",0,[],0,[],0,"{""(14, 24)"": 1}",0,no_crop_signal
207,arc-gen,"(24, 12)","(12, 12)",0,[],0,[],0,"{""(24, 12)"": 1}",0,no_crop_signal
208,arc-gen,"(28, 13)","(14, 13)",0,[],0,[],0,"{""(28, 13)"": 1}",0,no_crop_signal
209,arc-gen,"(10, 16)","(10, 8)",0,[],0,[],0,"{""(10, 16)"": 1}",0,no_crop_signal
210,arc-gen,"(15, 28)","(15, 14)",0,[],0,[],0,"{""(15, 28)"": 1}",0,no_crop_signal
211,arc-gen,"(12, 20)","(12, 10)",0,[],0,[],0,"{""(12, 10)"": 1, ""(2, 3)"": 1, ""(7, 2)"": 1, ""(5, 6)"": 1}",0,no_crop_signal
212,arc-gen,"(12, 24)","(12, 12)",0,[],0,[],0,"{""(12, 24)"": 1}",0,no_crop_signal
213,arc-gen,"(28, 15)","(14, 15)",0,[],0,[],0,"{""(28, 15)"": 1}",0,no_crop_signal
214,arc-gen,"(14, 32)","(14, 16)",0,[],0,[],0,"{""(14, 32)"": 1}",0,no_crop_signal
215,arc-gen,"(26, 11)","(13, 11)",0,[],0,[],0,"{""(26, 11)"": 1}",0,no_crop_signal
216,arc-gen,"(14, 24)","(14, 12)",0,[],0,[],0,"{""(14, 24)"": 1}",0,no_crop_signal
217,arc-gen,"(22, 12)","(11, 12)",0,[],0,[],0,"{""(11, 12)"": 1, ""(1, 1)"": 3}",0,no_crop_signal
218,arc-gen,"(30, 13)","(15, 13)",0,[],0,[],0,"{""(30, 13)"": 1}",0,no_crop_signal
219,arc-gen,"(28, 12)","(14, 12)",0,[],0,[],0,"{""(28, 12)"": 1}",0,no_crop_signal
