task_id,synthesis_family,route_prediction,current_source,current_template,current_cost,current_points,train_count,test_count,arc_gen_count,shape_pairs,input_colors,output_colors,avg_changed_ratio,avg_input_nonzero_ratio,avg_output_nonzero_ratio,avg_line_score,avg_component_count,needs_program_synthesis,cost_rank,priority_band
209,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,59268,14.010175,3,1,262,"(16, 18)->(11, 11):1;(17, 17)->(9, 14):1;(17, 18)->(7, 7):1",0 1 2 3 4 8,0 1 2 3 4 8,0.000000,0.087931,0.376861,0.000,7.667,0,18,top100
204,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,56172,14.063826,5,1,262,"(10, 10)->(10, 10):2;(11, 11)->(11, 11):1;(15, 15)->(15, 15):1;(20, 20)->(20, 20):1",0 1,0 1 2 7,0.166585,0.276615,0.443200,0.000,3.000,0,19,top100
221,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,55869,14.069235,4,1,262,"(3, 3)->(12, 12):1;(3, 3)->(15, 15):1;(3, 3)->(18, 18):1;(3, 3)->(9, 9):1",0 2 3 4 6,0 2 3 4 6,0.000000,0.500000,0.179236,0.250,2.000,1,20,top100
13,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,54112,14.101189,4,1,262,"(10, 25)->(10, 25):1;(22, 9)->(22, 9):1;(24, 8)->(24, 8):1;(7, 23)->(7, 23):1",0 1 2 3 4 8,0 1 2 3 4 8,0.309338,0.010235,0.319573,0.000,2.000,0,21,top100
222,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,52892,14.123993,3,1,262,"(16, 16)->(16, 16):3",0 1 2 3 4 5 6 7 8 9,0 2 6 7,0.308594,0.354167,0.045573,0.000,33.667,0,22,top100
54,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,52412,14.133109,3,1,262,"(30, 30)->(30, 30):3",1 2 3 4 5 6 8,1 2 3 4 5 6 8,0.088519,1.000000,1.000000,9.333,1.000,0,23,top100
303,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,52348,14.134331,3,1,261,"(12, 14)->(12, 14):1;(12, 19)->(12, 19):1;(17, 15)->(17, 15):1",0 1 3 8,0 1 2 3 8,0.150302,0.594510,0.744812,0.000,10.667,0,24,top100
243,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,51196,14.156583,3,1,261,"(13, 13)->(13, 13):1;(15, 15)->(15, 15):1;(16, 16)->(16, 16):1",0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0.409760,0.516489,0.926249,0.000,17.333,0,25,top100
349,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,49480,14.190676,4,1,262,"(10, 10)->(10, 10):1;(15, 15)->(15, 15):1;(20, 20)->(20, 20):2",0 9,0 1 3 9,0.478542,0.119167,0.597708,0.000,2.750,1,26,top100
159,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,48740,14.205745,3,1,261,"(18, 21)->(8, 8):1;(19, 22)->(5, 5):1;(21, 24)->(11, 11):1",0 1 2 4 8,0 1 2 4 8,0.000000,0.075609,0.764160,0.000,3.000,0,27,top100
128,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,48732,14.205909,3,1,262,"(15, 15)->(15, 15):3",0 1 2 4,0 1 2 4,0.248889,0.124444,0.124444,0.000,3.000,0,28,top100
138,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,48467,14.211362,3,1,262,"(12, 12)->(8, 8):1;(14, 15)->(6, 9):1;(22, 22)->(15, 12):1",0 1 2 3 4 6 8,0 1 2 3 4 6 8,0.000000,0.316054,0.618133,1.667,8.333,1,29,top100
338,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,45016,14.285227,3,2,262,"(10, 10)->(10, 10):2;(15, 15)->(15, 15):1",0 2,0 3,0.179630,0.136296,0.043333,0.000,1.667,1,30,top100
91,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,43108,14.328536,3,1,262,"(11, 13)->(6, 5):1;(9, 11)->(5, 7):1;(9, 9)->(5, 5):1",0 5 8,0 5 8,0.000000,0.203891,0.426032,0.000,9.333,0,31,top100
110,signature_lookup_current,same_shape_global_transform,exp016_signature_scatternd_lookup,signature_scatternd_lookup,42364,14.345946,3,1,262,"(29, 29)->(29, 29):3",0 1 2 3 4 5 6 7 8,1 2 3 4 5 6 7 8,0.093936,0.906064,1.000000,0.000,1.000,0,32,top100
80,line_grid_fill,same_shape_global_transform,massimilianoghiotto_6254,baseline,42082,14.352625,3,1,262,"(24, 24)->(24, 24):1;(27, 27)->(27, 27):2",0 2 3 4 6 8,0 2 3 4 6 8,0.097737,0.494856,0.592593,10.667,1.000,1,33,top100
19,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,40027,14.402690,4,1,262,"(2, 4)->(4, 8):1;(3, 4)->(6, 8):1;(4, 4)->(8, 8):1;(5, 3)->(10, 6):1",0 2 4 5 6,0 2 4 5 6 8,0.000000,0.121875,0.451042,0.000,1.500,0,34,top100
109,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,38756,14.434959,3,1,262,"(11, 11)->(10, 10):1;(7, 7)->(6, 6):1;(9, 9)->(8, 8):1",0 1 2 3 4 8,0 2 4 8,0.000000,0.277807,0.318981,2.000,2.333,0,35,top100
216,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,38308,14.446586,3,1,262,"(20, 20)->(5, 17):1;(20, 20)->(5, 6):1;(20, 20)->(9, 9):1",0 1 2,1 2,0.000000,0.492500,1.000000,0.000,3.667,0,36,top100
215,line_grid_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,38094,14.452188,2,1,262,"(10, 12)->(10, 12):1;(15, 19)->(15, 19):1",0 2 8,0 2 8,0.400439,0.143860,0.544298,1.000,1.000,1,37,top100
382,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,37116,14.478197,3,1,262,"(12, 12)->(12, 12):1;(14, 10)->(14, 10):1;(17, 12)->(17, 12):1",0 2 8,0 2 8,0.235726,0.033283,0.269009,0.000,5.333,0,38,top100
191,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,36077,14.506589,4,1,262,"(23, 23)->(23, 23):4",0 1 4,0 1 4,0.054348,0.091210,0.145558,0.000,28.000,0,39,top100
161,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,34908,14.539529,3,1,262,"(11, 22)->(11, 22):1;(13, 20)->(13, 20):1;(15, 17)->(15, 17):1",0 1 2 3 4 5 8,0 2 3 8,0.249214,0.155894,0.135882,0.000,28.000,0,40,top100
14,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,34852,14.541134,3,1,262,"(18, 19)->(7, 9):1;(19, 17)->(9, 6):1;(21, 21)->(10, 10):1",0 1 2 3 4 8,0 2 3 4,0.000000,0.449201,0.639471,0.000,16.667,0,41,top100
17,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,33756,14.573087,3,1,262,"(21, 21)->(21, 21):3",0 1 2 3 4 5 6 7,1 2 3 4 5 6 7,0.135299,0.864701,1.000000,0.000,1.000,0,42,top100
2,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,33548,14.579267,5,1,262,"(10, 10)->(10, 10):3;(20, 20)->(20, 20):1;(6, 6)->(6, 6):1",0 3,0 3 4,0.058611,0.198833,0.257444,0.000,9.000,0,43,top100
306,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,32803,14.601725,2,1,262,"(19, 19)->(19, 19):1;(19, 9)->(19, 9):1",0 1 2 3 4 5 7 8,0 1 2 3 4 5 7 8,0.070791,0.120653,0.191444,1.500,9.000,0,44,top100
392,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,30870,14.662460,3,1,262,"(10, 10)->(10, 10):3",0 1 2 8,1 2 5 8,0.816667,0.183333,1.000000,0.000,2.333,1,45,top100
231,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,30756,14.666160,3,1,262,"(5, 6)->(5, 12):1;(5, 7)->(5, 14):1;(5, 8)->(5, 16):1",0 1 2 3 8,0 1 2 3 8,0.000000,0.333333,0.333333,0.000,1.000,0,46,top100
88,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,30660,14.669286,4,1,262,"(12, 14)->(4, 4):1;(12, 18)->(4, 8):1;(12, 9)->(3, 5):1;(7, 7)->(3, 3):1",0 2 3 4 6 8,0 3 4 6 8,0.000000,0.105584,0.447396,0.000,6.250,0,47,top100
62,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,30609,14.670951,4,1,262,"(10, 10)->(10, 10):4",0 2 4 6 7 8,3 4 6 7 8,0.957500,0.062500,1.000000,0.000,1.000,1,48,top100
205,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,30084,14.688251,3,1,262,"(16, 17)->(6, 8):1;(17, 23)->(7, 6):1;(27, 23)->(10, 9):1",0 1 2 3 4 5 6 7 8 9,1 2 4 8,0.000000,0.927552,1.000000,0.000,1.000,0,49,top100
132,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,29458,14.709279,4,1,262,"(10, 10)->(10, 10):2;(6, 11)->(6, 11):1;(7, 8)->(7, 8):1",0 1 2 3 4 7,0 1 2 3 4 7,0.255541,0.040433,0.295974,0.000,3.000,1,50,top100
101,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,29436,14.710026,3,1,262,"(14, 12)->(14, 12):3",0 1 2,0 1 2,0.105159,0.077381,0.182540,0.000,3.333,0,51,top100
324,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,28892,14.728680,3,1,262,"(12, 14)->(12, 14):1;(15, 15)->(15, 15):1;(19, 12)->(19, 12):1",1 2 3 4 6 8,1 2 3 4 6 8,0.144309,1.000000,1.000000,10.000,1.000,0,52,top100
165,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,27836,14.765915,3,1,261,"(20, 20)->(20, 20):3",0 2 3 4 7 8 9,0 2 3 4 7 8 9,0.058333,0.057500,0.115833,0.000,16.000,0,53,top100
278,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,27081,14.793412,2,1,262,"(15, 16)->(15, 16):1;(15, 18)->(15, 18):1",0 2,0 2 3,0.058102,0.053935,0.112037,0.000,11.500,0,54,top100
96,crop_resize,crop_or_resize,kojimar_5800_minimal_blend,baseline,26948,14.798336,3,1,262,"(13, 17)->(7, 7):1;(18, 18)->(11, 11):1;(18, 18)->(7, 7):1",0 1 2 3 4 6 7 8,0 1 2 3 4 6 7 8,0.000000,0.998971,0.993197,11.333,1.000,1,55,top100
377,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,26660,14.809080,3,1,262,"(21, 22)->(7, 7):1;(22, 25)->(3, 3):1;(23, 27)->(5, 5):1",1 2 3 5 6 8,1 2 3 5 6 8,0.000000,1.000000,1.000000,16.667,1.000,0,56,top100
234,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,26620,14.810582,3,1,262,"(13, 18)->(13, 18):1;(15, 19)->(15, 19):1;(17, 14)->(17, 14):1",0 2 3 4 5,0 2 3 4 5,0.122355,0.211230,0.196676,0.000,1.000,0,57,top100
55,region_partition_fill,same_shape_global_transform,afr1ste_5689_artifact,baseline,26370,14.820018,2,1,262,"(12, 14)->(12, 14):1;(18, 19)->(18, 19):1",0 8,0 1 2 3 4 6 8,0.418964,0.245196,0.664160,4.000,1.000,1,58,top100
384,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,26244,14.824807,3,1,262,"(9, 9)->(6, 6):1;(9, 9)->(6, 8):1;(9, 9)->(8, 6):1",0 4,0 4,0.000000,0.074074,0.537037,0.000,1.333,0,59,top100
63,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,26236,14.825112,3,1,262,"(10, 10)->(10, 10):1;(12, 12)->(12, 12):2",0 2 8,0 2 3 8,0.304815,0.466019,0.770833,2.000,1.000,0,60,top100
33,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,26076,14.831229,3,1,261,"(17, 17)->(17, 17):3",0 1 2 3 8,0 1 2 3 8,0.134948,0.273356,0.408304,4.000,9.333,0,61,top100
364,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,26076,14.831229,3,1,262,"(10, 11)->(10, 11):1;(14, 12)->(14, 12):1;(19, 21)->(19, 21):1",0 3,0 1 2 6,0.177888,0.177888,0.177888,0.000,5.333,0,62,top100
86,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,25857,14.839663,3,1,262,"(10, 10)->(10, 10):3",0 1 2 3 4 6 7,0 1 2 3 4 6 7,0.390000,0.136667,0.390000,0.000,1.000,1,63,top100
75,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,25852,14.839857,3,1,261,"(9, 13)->(9, 13):3",0 1 2 3 4 5 6 7 8 9,0 2 3 4 5 6 7 8 9,0.333333,0.190883,0.487179,1.000,5.333,0,64,top100
264,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,25740,14.844199,2,1,262,"(14, 14)->(9, 9):1;(16, 14)->(9, 9):1",0 1 2 3 4 5 6 7 8 9,1 2 3 4 5 6 7 8 9,0.000000,0.387436,1.000000,0.000,8.500,0,65,top100
289,crop_resize,crop_or_resize,afr1ste_5689_artifact,baseline,24972,14.874490,5,1,262,"(3, 3)->(12, 12):1;(3, 3)->(6, 6):2;(3, 3)->(9, 9):2",0 1 2 3 4 6 7 8 9,0 1 2 3 4 6 7 8 9,0.000000,0.488889,0.488889,0.000,1.800,1,66,top100
157,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,24781,14.882167,2,1,262,"(10, 15)->(10, 15):2",0 2 5,0 1 2,0.253333,0.360000,0.360000,1.000,4.500,0,67,top100
92,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,24575,14.890515,2,1,262,"(20, 10)->(20, 10):1;(30, 20)->(30, 20):1",0 2 3 4 5 6 7 8 9,0 2 3 4 5 6 7 8 9,0.073333,0.033333,0.106667,0.000,10.000,0,68,top100
158,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,24284,14.902427,3,1,262,"(20, 19)->(20, 19):1;(20, 21)->(20, 21):1;(21, 22)->(21, 22):1",1 2 3 4 6 8,1 2 3 4 6 8,0.072002,1.000000,1.000000,25.667,1.000,0,69,top100
11,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,24185,14.906512,4,1,262,"(11, 11)->(11, 11):4",0 2 3 4 5 6 8,0 2 3 4 5 6,0.469008,0.694215,0.628099,4.000,4.750,0,70,top100
301,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,24156,14.907712,3,1,262,"(10, 7)->(10, 7):1;(3, 3)->(3, 3):1;(7, 4)->(7, 4):1",0 1 2 3 4 5 6 8,0 1 2 3 4 5 6 8,0.466138,0.474603,0.474603,1.000,3.667,0,71,top100
175,sparse_edit_or_object_completion,sparse_edit_or_object_completion,kojimar_5800_minimal_blend,baseline,23859,14.920083,3,1,262,"(21, 21)->(21, 21):3",0 1 2 3 4 5 6 7 8,1 2 3 4 5 6 7 8,0.105064,0.894936,1.000000,0.000,1.000,1,72,top100
9,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,23612,14.930490,3,1,261,"(20, 20)->(20, 20):1;(23, 23)->(23, 23):2",0 1 2 3 4 8 9,0 1 2 3 4 8 9,0.062035,0.569332,0.631367,13.333,1.000,0,73,top100
376,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,23413,14.938953,2,1,36,"(3, 17)->(9, 17):1;(4, 17)->(13, 17):1",0 2 8,0 2 8,0.000000,0.350490,0.371041,0.000,17.000,1,74,top100
310,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,23396,14.939680,3,1,262,"(24, 24)->(7, 7):1;(26, 26)->(7, 7):1;(28, 28)->(7, 7):1",0 1 2 3 4 5 6 8,0 1 2 3 4 6 8,0.000000,0.831019,0.925170,6.000,1.000,0,75,top100
177,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,23172,14.949300,3,1,261,"(10, 15)->(4, 8):1;(12, 16)->(5, 5):1;(15, 17)->(4, 6):1",0 1 2 3 4 6 8,1 2 3 4 6 8,0.000000,0.145886,1.000000,0.000,1.000,0,76,top100
285,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,23068,14.953798,3,1,261,"(14, 14)->(14, 14):1;(20, 20)->(20, 20):1;(30, 30)->(30, 30):1",0 1 2 3 4 6 7 8,0 1 2 3 4 6 7 8,0.065057,0.044769,0.109826,0.000,3.667,0,77,top100
396,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,22948,14.959014,3,1,262,"(13, 13)->(7, 7):1;(13, 16)->(6, 7):1;(15, 16)->(7, 7):1",0 1 2 3 4,0 2 3 4,0.000000,0.260667,0.565760,0.000,10.333,0,78,top100
268,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,22387,14.983764,3,1,262,"(6, 6)->(6, 6):1;(7, 7)->(7, 7):1;(9, 9)->(9, 9):1",0 3 6 7,0 3 4 6 7,0.410053,0.274418,0.684471,0.333,1.000,1,79,top100
387,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,22270,14.989004,4,1,261,"(14, 14)->(14, 14):1;(17, 14)->(17, 14):1;(17, 16)->(17, 16):2",0 1 2 3 4 8,0 1 2 3 4 5 8,0.182060,0.016657,0.198717,0.000,4.000,0,80,top100
383,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,22236,14.990532,3,1,262,"(15, 17)->(15, 17):1;(16, 18)->(16, 18):1;(19, 13)->(19, 13):1",0 1 2 3 4 8,0 1 2 3 4 8,0.132290,0.485139,0.540443,0.000,1.000,0,81,top100
201,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,22225,14.991027,4,1,261,"(13, 13)->(4, 6):1;(13, 13)->(5, 6):1;(13, 13)->(6, 8):1;(13, 13)->(7, 8):1",0 1 2 3 4 7 8,0 1 2 3 4 7 8,0.000000,0.131657,0.571280,0.000,3.000,0,82,top100
148,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,22029,14.999885,3,1,262,"(19, 8)->(19, 8):1;(20, 10)->(20, 10):2",0 2 8,0 2 4 8,0.144123,0.064737,0.198333,0.000,4.000,1,83,top100
74,sparse_edit_or_object_completion,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,21825,15.009189,4,1,262,"(30, 30)->(30, 30):4",0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8,0.084444,0.510000,0.467778,0.000,86.750,1,84,top100
240,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,21628,15.018256,3,1,262,"(19, 19)->(19, 19):3",0 1 2 3 4 8,0 1 2 3 4 8,0.084026,0.012004,0.096030,0.000,4.333,0,85,top100
308,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,21188,15.038810,3,1,262,"(10, 8)->(3, 3):1;(12, 11)->(5, 5):1;(12, 14)->(5, 5):1",1 2 3 4 7 8,1 2 3 4 7 8,0.000000,1.000000,1.000000,12.000,1.000,0,86,top100
49,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,21136,15.041267,5,1,262,"(10, 10)->(3, 3):1;(10, 15)->(3, 2):1;(13, 15)->(3, 4):1;(18, 15)->(2, 2):1;(20, 20)->(2, 3):1",0 1 2 3 4 6 7 8,1 4 6 7 8,0.000000,0.416890,1.000000,0.000,2.000,0,87,top100
65,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,20964,15.049438,3,1,262,"(11, 11)->(5, 5):1;(5, 5)->(2, 2):1;(7, 7)->(3, 3):1",1 2 3 4 8,1 3 4 8,0.000000,1.000000,1.000000,2.000,1.000,0,88,top100
21,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,20740,15.060181,3,1,262,"(11, 11)->(3, 2):1;(15, 15)->(2, 4):1;(27, 27)->(6, 5):1",1 3 7 8,1 3,0.000000,1.000000,1.000000,5.333,1.000,0,89,top100
238,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,20292,15.082018,3,1,262,"(14, 16)->(5, 5):1;(15, 15)->(6, 6):1;(15, 16)->(6, 6):1",0 1 2 3 4 6 7 8,0 1 2 3 4 6 7 8,0.000000,0.101415,0.721481,0.000,6.000,0,90,top100
